Date,Open_AKAM,High_AKAM,Low_AKAM,Close_AKAM,Volume_AKAM,AdjClose_AKAM
2015-09-09,74.879997,75.25,73.129997,73.349998,1276200,73.349998
2015-09-10,73.279999,75.029999,73.190002,74.550003,1410900,74.550003
2015-09-11,74.32,75.32,73.940002,74.669998,1372300,74.669998
2015-09-14,74.449997,74.760002,73.849998,74.580002,1010800,74.580002
2015-09-15,74.599998,75.370003,74.209999,75.199997,1077500,75.199997
2015-09-16,74.169998,75.019997,74.120003,74.82,1381100,74.82
2015-09-17,74.879997,75.400002,74.07,74.639999,1705000,74.639999
2015-09-18,73.75,74.269997,71.790001,71.949997,3906000,71.949997
2015-09-21,72.32,72.599998,71.720001,72.089996,1729300,72.089996
2015-09-22,71.440002,71.550003,70.110001,70.610001,1794200,70.610001
2015-09-23,70.290001,70.790001,70.059998,70.540001,1761700,70.540001
2015-09-24,70.279999,70.400002,69.019997,69.389999,1705300,69.389999
2015-09-25,69.720001,71.650002,69.470001,70.550003,2835700,70.550003
2015-09-28,70.07,70.910004,67.75,67.959999,1897900,67.959999
2015-09-29,68.0,68.400002,67.099998,67.5,1344700,67.5
2015-09-30,68.68,69.160004,68.349998,69.059998,2200700,69.059998
2015-10-01,69.059998,69.440002,68.139999,68.959999,1453200,68.959999
2015-10-02,68.18,70.239998,67.440002,70.230003,1216200,70.230003
2015-10-05,70.82,72.480003,70.410004,72.120003,1363600,72.120003
2015-10-06,72.0,72.400002,71.5,72.300003,1094200,72.300003
2015-10-07,72.400002,73.730003,72.300003,73.550003,1420500,73.550003
2015-10-08,73.120003,73.910004,72.849998,73.800003,957200,73.800003
2015-10-09,73.800003,74.040001,73.290001,73.459999,1109800,73.459999
2015-10-12,73.57,73.589996,72.57,72.82,1084700,72.82
2015-10-13,72.529999,72.660004,71.0,71.139999,1295200,71.139999
2015-10-14,71.010002,71.870003,70.110001,70.279999,1307400,70.279999
2015-10-15,70.790001,71.690002,70.379997,71.559998,1074800,71.559998
2015-10-16,71.669998,71.669998,70.550003,70.949997,1278000,70.949997
2015-10-19,70.470001,70.839996,70.010002,70.419998,1690800,70.419998
2015-10-20,70.510002,72.230003,70.279999,71.919998,1284800,71.919998
2015-10-21,72.120003,72.279999,71.050003,71.160004,786500,71.160004
2015-10-22,71.709999,73.949997,71.519997,72.529999,1504400,72.529999
2015-10-23,73.510002,74.489998,72.839996,74.080002,1402100,74.080002
2015-10-26,73.900002,75.440002,73.709999,75.370003,1908900,75.370003
2015-10-27,74.989998,76.389999,74.830002,75.550003,3751000,75.550003
2015-10-28,61.91,63.200001,60.25,62.91,21769200,62.91
2015-10-29,61.700001,61.75,60.43,61.110001,6395000,61.110001
2015-10-30,61.27,62.869999,60.799999,60.82,4006700,60.82
2015-11-02,60.73,62.099998,60.689999,61.779999,2383600,61.779999
2015-11-03,61.650002,63.549999,61.41,63.110001,2789500,63.110001
2015-11-04,63.32,63.389999,61.98,62.220001,2043300,62.220001
2015-11-05,62.439999,62.439999,61.09,61.700001,1521800,61.700001
2015-11-06,61.639999,62.790001,61.360001,62.380001,1580100,62.380001
2015-11-09,62.189999,62.330002,61.150002,61.830002,1832400,61.830002
2015-11-10,61.75,62.360001,61.529999,61.650002,1708000,61.650002
2015-11-11,61.959999,62.080002,61.119999,61.419998,1269100,61.419998
2015-11-12,61.32,61.82,60.400002,60.439999,1423600,60.439999
2015-11-13,60.43,60.650002,58.560001,58.57,1957100,58.57
2015-11-16,58.59,59.310001,58.259998,59.139999,1777100,59.139999
2015-11-17,59.169998,59.48,58.529999,58.73,1528900,58.73
2015-11-18,58.84,59.389999,58.52,59.25,1544600,59.25
2015-11-19,59.84,60.0,58.799999,59.209999,1369500,59.209999
2015-11-20,57.959999,58.0,55.360001,56.919998,6647100,56.919998
2015-11-23,56.939999,57.849998,56.82,56.950001,2954700,56.950001
2015-11-24,56.549999,57.330002,56.450001,56.619999,1794700,56.619999
2015-11-25,56.970001,58.099998,56.82,57.68,1422800,57.68
2015-11-27,57.669998,58.169998,57.5,57.900002,581600,57.900002
2015-11-30,58.009998,58.130001,57.16,57.610001,1832800,57.610001
2015-12-01,57.619999,58.509998,57.459999,57.66,1851200,57.66
2015-12-02,57.57,57.84,55.959999,56.07,2715200,56.07
2015-12-03,56.310001,56.630001,54.529999,54.810001,2509100,54.810001
2015-12-04,54.98,56.810001,54.91,56.619999,2532100,56.619999
2015-12-07,56.34,56.349998,55.619999,55.709999,1765000,55.709999
2015-12-08,55.32,55.529999,54.939999,55.099998,1822000,55.099998
2015-12-09,53.720001,55.310001,53.23,53.27,4107000,53.27
2015-12-10,53.389999,54.279999,53.080002,53.700001,2067500,53.700001
2015-12-11,53.099998,53.650002,51.560001,51.810001,2894100,51.810001
2015-12-14,52.369999,52.849998,50.560001,51.080002,3155600,51.080002
2015-12-15,51.32,52.540001,51.139999,51.759998,3014200,51.759998
2015-12-16,52.349998,53.369999,52.25,53.279999,2513900,53.279999
2015-12-17,53.34,53.93,52.59,52.59,2272200,52.59
2015-12-18,52.48,53.040001,52.279999,52.32,3772300,52.32
2015-12-21,52.82,52.950001,51.990002,52.68,1444800,52.68
2015-12-22,52.700001,53.169998,52.52,52.98,987200,52.98
2015-12-23,52.91,53.48,52.810001,53.25,1337800,53.25
2015-12-24,53.400002,53.509998,52.959999,53.040001,410200,53.040001
2015-12-28,53.110001,53.330002,52.599998,53.18,927200,53.18
2015-12-29,53.450001,53.830002,53.0,53.330002,1082100,53.330002
2015-12-30,53.299999,53.439999,52.889999,52.900002,786400,52.900002
2015-12-31,52.84,53.419998,52.610001,52.630001,1132000,52.630001
2016-01-04,51.799999,52.32,50.91,52.310001,4341100,52.310001
2016-01-05,52.380001,52.650002,51.93,52.02,1505000,52.02
2016-01-06,51.0,51.759998,50.380001,50.48,2588700,50.48
2016-01-07,49.34,50.700001,48.16,48.189999,4029600,48.189999
2016-01-08,48.509998,49.18,48.049999,48.099998,4122700,48.099998
2016-01-11,48.27,48.869999,44.93,45.459999,6487000,45.459999
2016-01-12,46.009998,48.189999,46.009998,46.880001,6203400,46.880001
2016-01-13,47.139999,47.689999,45.75,45.82,4134900,45.82
2016-01-14,45.98,47.259998,45.099998,46.91,2974800,46.91
2016-01-15,45.330002,45.91,43.93,44.150002,3836100,44.150002
2016-01-19,44.82,45.639999,43.75,45.439999,3590100,45.439999
2016-01-20,44.790001,46.75,43.75,46.110001,3493500,46.110001
2016-01-21,46.330002,47.82,45.799999,46.209999,3350300,46.209999
2016-01-22,46.970001,47.889999,46.52,46.91,1984700,46.91
2016-01-25,46.810001,46.900002,45.639999,45.700001,1413900,45.700001
2016-01-26,45.860001,46.419998,45.259998,46.200001,2256200,46.200001
2016-01-27,45.700001,46.439999,44.150002,44.349998,2074000,44.349998
2016-01-28,44.849998,45.209999,43.279999,43.470001,2726300,43.470001
2016-01-29,43.790001,45.630001,43.529999,45.619999,2265300,45.619999
2016-02-01,45.5,45.540001,44.310001,45.299999,2760100,45.299999
2016-02-02,44.959999,44.959999,42.68,42.939999,2786700,42.939999
2016-02-03,43.25,44.810001,42.959999,44.389999,3792500,44.389999
2016-02-04,44.41,45.279999,43.869999,44.639999,2399500,44.639999
2016-02-05,44.150002,44.189999,42.880001,43.200001,2615800,43.200001
2016-02-08,42.509998,43.0,40.220001,40.98,3279000,40.98
2016-02-09,40.59,41.529999,39.43,39.57,5892200,39.57
2016-02-10,46.990002,49.279999,44.68,47.959999,14248100,47.959999
2016-02-11,47.130001,49.439999,46.5,49.139999,5801200,49.139999
2016-02-12,49.57,50.900002,49.279999,50.759998,4014600,50.759998
2016-02-16,51.27,53.150002,50.470001,52.549999,4545600,52.549999
2016-02-17,53.18,54.0,52.849998,53.419998,3344200,53.419998
2016-02-18,54.830002,54.830002,53.07,53.279999,3437900,53.279999
2016-02-19,52.900002,53.139999,52.0,53.130001,3425900,53.130001
2016-02-22,53.630001,55.599998,53.389999,54.48,3679200,54.48
2016-02-23,54.07,54.759998,53.580002,53.970001,3874600,53.970001
2016-02-24,53.59,54.970001,53.02,54.779999,2165300,54.779999
2016-02-25,54.919998,55.0,54.150002,54.959999,2251500,54.959999
2016-02-26,55.349998,55.549999,54.599998,55.240002,3037300,55.240002
2016-02-29,55.290001,55.540001,53.970001,53.970001,4307900,53.970001
