Date,Open_JEC,High_JEC,Low_JEC,Close_JEC,Volume_JEC,AdjClose_JEC
2015-08-20,42.790001,42.810001,41.75,41.75,1306100,41.75
2015-08-21,41.360001,41.630001,40.279999,40.310001,1845800,40.310001
2015-08-24,38.5,39.82,38.009998,38.259998,3069000,38.259998
2015-08-25,39.43,39.43,37.049999,37.049999,2602900,37.049999
2015-08-26,38.0,38.009998,36.82,37.59,2564000,37.59
2015-08-27,38.119999,39.560001,38.040001,39.400002,1975600,39.400002
2015-08-28,39.240002,40.299999,39.200001,39.959999,1644100,39.959999
2015-08-31,39.669998,40.740002,39.509998,40.41,1394000,40.41
2015-09-01,39.48,40.07,39.240002,39.48,1674100,39.48
2015-09-02,40.02,40.07,39.27,39.970001,1365400,39.970001
2015-09-03,40.07,40.849998,39.91,40.34,793900,40.34
2015-09-04,39.77,40.09,39.279999,39.43,1065700,39.43
2015-09-08,40.150002,40.32,39.889999,40.07,1577300,40.07
2015-09-09,40.470001,40.77,39.700001,39.790001,1051400,39.790001
2015-09-10,39.810001,40.049999,39.119999,39.84,1009800,39.84
2015-09-11,39.630001,40.189999,39.52,40.189999,990200,40.189999
2015-09-14,39.990002,40.029999,39.18,39.25,1595500,39.25
2015-09-15,39.650002,39.650002,39.150002,39.200001,2682300,39.200001
2015-09-16,39.310001,39.669998,39.18,39.27,2768700,39.27
2015-09-17,39.240002,39.919998,39.110001,39.200001,2740400,39.200001
2015-09-18,38.740002,38.75,37.740002,37.889999,1827300,37.889999
2015-09-21,38.150002,38.200001,37.689999,37.98,2275900,37.98
2015-09-22,37.389999,37.5,37.049999,37.41,1871600,37.41
2015-09-23,37.560001,37.639999,36.900002,37.0,1095700,37.0
2015-09-24,36.689999,37.599998,36.27,37.349998,2343500,37.349998
2015-09-25,37.700001,37.720001,37.209999,37.360001,1551800,37.360001
2015-09-28,37.02,37.299999,36.470001,36.650002,1739100,36.650002
2015-09-29,36.669998,37.369999,36.549999,37.310001,1901100,37.310001
2015-09-30,37.650002,37.950001,36.869999,37.43,2873200,37.43
2015-10-01,37.610001,37.709999,36.599998,36.759998,2079000,36.759998
2015-10-02,36.330002,37.41,36.049999,37.400002,948300,37.400002
2015-10-05,37.849998,39.419998,37.509998,39.330002,1529300,39.330002
2015-10-06,39.25,40.32,39.02,39.759998,1622200,39.759998
2015-10-07,40.049999,41.119999,39.700001,40.389999,1720900,40.389999
2015-10-08,40.23,41.400002,40.16,41.259998,1470000,41.259998
2015-10-09,41.369999,41.810001,40.950001,41.349998,1024700,41.349998
2015-10-12,41.369999,41.470001,40.619999,40.91,680600,40.91
2015-10-13,40.639999,41.439999,40.619999,40.880001,1214100,40.880001
2015-10-14,40.740002,41.209999,40.509998,40.650002,1143600,40.650002
2015-10-15,40.669998,40.849998,39.669998,40.57,1248300,40.57
2015-10-16,40.470001,40.689999,38.790001,39.32,1597600,39.32
2015-10-19,38.950001,39.490002,38.889999,39.07,1032300,39.07
2015-10-20,38.84,40.029999,38.830002,39.34,1423900,39.34
2015-10-21,39.509998,39.669998,38.880001,38.93,831100,38.93
2015-10-22,39.09,39.830002,38.970001,39.18,1004200,39.18
2015-10-23,39.43,39.970001,39.279999,39.75,1052100,39.75
2015-10-26,39.66,39.950001,39.509998,39.669998,671400,39.669998
2015-10-27,39.240002,39.540001,37.790001,37.869999,1321000,37.869999
2015-10-28,38.080002,39.369999,38.009998,38.889999,1197000,38.889999
2015-10-29,38.700001,39.240002,38.619999,39.040001,831800,39.040001
2015-10-30,39.150002,40.369999,39.040001,40.139999,1241900,40.139999
2015-11-02,40.119999,41.310001,40.080002,41.240002,778100,41.240002
2015-11-03,41.27,41.900002,40.91,41.59,907100,41.59
2015-11-04,41.610001,41.880001,41.330002,41.57,689400,41.57
2015-11-05,41.439999,42.060001,41.150002,41.84,714900,41.84
2015-11-06,41.41,41.740002,40.889999,41.209999,716500,41.209999
2015-11-09,41.169998,41.299999,40.310001,41.099998,1243700,41.099998
2015-11-10,41.09,41.740002,40.709999,41.5,831200,41.5
2015-11-11,41.709999,41.709999,41.169998,41.549999,520300,41.549999
2015-11-12,41.040001,41.389999,40.419998,40.43,845200,40.43
2015-11-13,40.560001,41.25,40.439999,40.720001,1012200,40.720001
2015-11-16,40.599998,41.5,40.439999,41.459999,808200,41.459999
2015-11-17,41.459999,41.720001,40.68,40.93,985800,40.93
2015-11-18,41.110001,41.860001,41.009998,41.830002,920300,41.830002
2015-11-19,41.73,42.779999,41.700001,42.740002,1392600,42.740002
2015-11-20,42.790001,42.889999,42.240002,42.380001,1621700,42.380001
2015-11-23,40.459999,43.66,40.400002,43.540001,2504600,43.540001
2015-11-24,43.5,44.610001,43.450001,43.970001,2418900,43.970001
2015-11-25,43.950001,44.029999,43.189999,43.25,1185900,43.25
2015-11-27,43.25,43.830002,43.150002,43.470001,609600,43.470001
2015-11-30,43.599998,44.139999,43.049999,44.139999,1319800,44.139999
2015-12-01,44.110001,45.130001,43.990002,44.959999,1363700,44.959999
2015-12-02,44.93,45.41,43.950001,44.139999,1208300,44.139999
2015-12-03,44.349998,45.080002,44.080002,44.73,1710600,44.73
2015-12-04,44.540001,45.150002,44.09,44.599998,1559600,44.599998
2015-12-07,44.259998,44.639999,43.720001,43.900002,1344100,43.900002
2015-12-08,43.200001,43.450001,42.639999,43.02,1534700,43.02
2015-12-09,42.990002,43.740002,42.549999,42.77,1177100,42.77
2015-12-10,42.849998,43.099998,42.66,42.75,795300,42.75
2015-12-11,42.169998,42.610001,41.790001,41.869999,1043200,41.869999
2015-12-14,41.82,41.869999,41.23,41.700001,907200,41.700001
2015-12-15,42.099998,42.439999,41.82,42.150002,896300,42.150002
2015-12-16,42.369999,42.77,41.849998,42.57,1310400,42.57
2015-12-17,42.599998,42.599998,41.490002,41.599998,677800,41.599998
2015-12-18,41.389999,41.669998,40.779999,40.779999,1168300,40.779999
2015-12-21,40.98,41.369999,40.639999,40.939999,1193100,40.939999
2015-12-22,41.119999,42.130001,40.919998,41.98,662400,41.98
2015-12-23,42.439999,43.48,42.130001,43.360001,707900,43.360001
2015-12-24,43.279999,43.59,43.139999,43.299999,250400,43.299999
2015-12-28,42.990002,43.259998,42.360001,42.669998,625400,42.669998
2015-12-29,42.950001,43.34,42.68,43.07,692800,43.07
2015-12-30,42.779999,43.18,42.419998,42.419998,577500,42.419998
2015-12-31,42.209999,42.599998,41.950001,41.950001,510900,41.950001
2016-01-04,41.349998,41.939999,41.040001,41.919998,652400,41.919998
2016-01-05,41.75,42.119999,41.040001,41.330002,632000,41.330002
2016-01-06,40.48,40.900002,40.299999,40.529999,860200,40.529999
2016-01-07,39.889999,40.299999,39.27,39.439999,1074200,39.439999
2016-01-08,39.599998,39.950001,38.59,38.75,1070300,38.75
2016-01-11,38.860001,39.16,38.0,38.400002,1368600,38.400002
2016-01-12,38.900002,39.169998,38.290001,39.060001,1205600,39.060001
2016-01-13,39.389999,39.630001,37.830002,38.25,1372800,38.25
2016-01-14,38.549999,38.810001,37.59,38.380001,875400,38.380001
2016-01-15,37.130001,37.790001,36.75,37.639999,1321700,37.639999
2016-01-19,38.0,38.200001,36.259998,36.439999,1269900,36.439999
2016-01-20,35.869999,37.189999,35.200001,36.779999,2022400,36.779999
2016-01-21,36.869999,37.439999,36.369999,36.619999,981000,36.619999
2016-01-22,37.41,38.41,36.900002,37.41,940900,37.41
2016-01-25,37.119999,37.700001,36.650002,36.720001,831700,36.720001
2016-01-26,36.889999,37.470001,36.540001,37.459999,1762300,37.459999
2016-01-27,37.400002,38.330002,36.990002,37.459999,1210400,37.459999
2016-01-28,37.889999,38.09,37.389999,37.720001,698900,37.720001
2016-01-29,37.82,39.23,37.450001,39.23,1221500,39.23
2016-02-01,38.790001,39.220001,38.150002,39.130001,1082900,39.130001
2016-02-02,38.130001,38.91,38.110001,38.66,1725500,38.66
2016-02-03,38.84,38.84,36.189999,37.349998,3056800,37.349998
2016-02-04,37.220001,38.27,37.110001,37.400002,1926400,37.400002
2016-02-05,37.259998,37.970001,36.82,37.049999,1701300,37.049999
2016-02-08,36.48,36.619999,34.970001,35.709999,1245300,35.709999
2016-02-09,35.349998,35.779999,35.099998,35.5,1278300,35.5
2016-02-10,35.669998,36.02,35.389999,35.400002,932100,35.400002
2016-02-11,34.91,35.580002,34.759998,35.060001,1443800,35.060001
2016-02-12,35.369999,36.169998,34.950001,36.080002,1108000,36.080002
2016-02-16,36.790001,37.23,36.040001,37.209999,1011200,37.209999
2016-02-17,37.689999,38.84,37.689999,38.43,1072300,38.43
2016-02-18,38.669998,38.799999,37.580002,38.0,676600,38.0
2016-02-19,37.43,38.119999,36.689999,37.990002,816900,37.990002
2016-02-22,38.459999,39.189999,38.459999,38.630001,892800,38.630001
2016-02-23,38.43,39.130001,38.049999,38.23,695000,38.23
2016-02-24,37.68,38.549999,37.27,38.509998,591000,38.509998
2016-02-25,38.689999,38.990002,37.919998,38.470001,463000,38.470001
2016-02-26,38.860001,39.16,38.59,38.860001,670100,38.860001
2016-02-29,38.84,39.099998,38.259998,38.650002,790300,38.650002
2016-03-01,38.880001,39.740002,38.759998,39.66,630300,39.66
2016-03-02,39.48,40.099998,39.32,39.98,519600,39.98
2016-03-03,40.040001,40.700001,39.970001,40.580002,616300,40.580002
2016-03-04,40.700001,40.849998,40.16,40.73,1076000,40.73
2016-03-07,40.580002,41.919998,40.580002,41.75,1152900,41.75
2016-03-08,41.41,41.610001,40.400002,40.759998,859300,40.759998
2016-03-09,41.09,41.09,40.48,40.75,599700,40.75
2016-03-10,40.82,40.970001,39.880001,40.599998,569100,40.599998
2016-03-11,40.919998,41.93,40.880001,41.75,709300,41.75
2016-03-14,41.48,41.68,40.93,41.490002,509200,41.490002
2016-03-15,41.040001,41.549999,40.860001,41.360001,621900,41.360001
2016-03-16,41.220001,42.650002,41.139999,42.380001,959200,42.380001
2016-03-17,42.380001,43.98,42.310001,43.860001,1336200,43.860001
2016-03-18,43.98,44.57,43.73,44.080002,798100,44.080002
2016-03-21,43.91,44.18,43.66,44.139999,484800,44.139999
2016-03-22,44.119999,44.77,43.91,44.59,661900,44.59
2016-03-23,44.299999,44.400002,43.630001,43.66,613800,43.66
2016-03-24,43.349998,43.400002,42.919998,43.27,700600,43.27
2016-03-28,43.5,43.549999,42.759998,43.02,687600,43.02
2016-03-29,42.869999,43.529999,42.529999,43.529999,759000,43.529999
2016-03-30,43.959999,43.990002,43.490002,43.77,480700,43.77
2016-03-31,43.720001,43.790001,43.400002,43.549999,625000,43.549999
2016-04-01,43.080002,43.77,42.5,43.759998,986800,43.759998
2016-04-04,43.720001,43.77,42.939999,43.040001,565600,43.040001
2016-04-05,42.57,42.869999,42.240002,42.43,907400,42.43
2016-04-06,42.509998,42.700001,41.919998,42.279999,1405300,42.279999
2016-04-07,41.830002,41.98,40.93,40.990002,1452400,40.990002
2016-04-08,41.490002,42.029999,41.029999,41.200001,503000,41.200001
2016-04-11,41.459999,41.889999,41.189999,41.470001,694400,41.470001
2016-04-12,41.439999,42.09,41.360001,41.799999,969200,41.799999
2016-04-13,41.959999,43.060001,41.939999,42.950001,557500,42.950001
2016-04-14,43.07,43.099998,42.290001,42.380001,810600,42.380001
2016-04-15,42.23,42.52,41.990002,42.16,752600,42.16
2016-04-18,41.880001,42.68,41.77,42.599998,339800,42.599998
2016-04-19,42.799999,43.27,42.700001,42.959999,371900,42.959999
2016-04-20,43.119999,43.610001,42.919998,43.380001,514100,43.380001
2016-04-21,43.34,43.669998,43.279999,43.380001,544000,43.380001
2016-04-22,43.529999,44.049999,43.5,43.77,571100,43.77
2016-04-25,43.529999,43.98,43.34,43.610001,541600,43.610001
2016-04-26,43.810001,44.52,43.810001,44.380001,589800,44.380001
2016-04-27,44.400002,45.040001,44.349998,44.950001,414800,44.950001
2016-04-28,44.509998,45.299999,44.360001,44.5,629000,44.5
2016-04-29,44.389999,45.09,44.27,44.580002,642300,44.580002
2016-05-02,44.619999,44.880001,44.209999,44.880001,486100,44.880001
2016-05-03,44.310001,45.18,43.93,45.07,2134800,45.07
2016-05-04,45.0,45.209999,44.07,44.450001,1059800,44.450001
2016-05-05,45.0,46.619999,44.439999,46.59,1750600,46.59
2016-05-06,46.549999,48.669998,46.380001,48.650002,2806000,48.650002
2016-05-09,49.049999,50.040001,48.720001,49.240002,2454900,49.240002
2016-05-10,49.560001,50.59,49.299999,50.43,1585400,50.43
2016-05-11,50.400002,50.52,50.009998,50.07,1130900,50.07
2016-05-12,50.299999,50.720001,49.790001,49.810001,1339100,49.810001
2016-05-13,49.810001,50.200001,48.98,49.139999,1090500,49.139999
2016-05-16,49.43,50.380001,49.360001,50.119999,1306700,50.119999
2016-05-17,50.0,50.25,49.240002,49.32,1362700,49.32
2016-05-18,49.189999,50.150002,48.700001,49.400002,2121500,49.400002
2016-05-19,48.950001,49.369999,48.34,48.919998,1052700,48.919998
2016-05-20,49.360001,49.689999,49.0,49.220001,1052900,49.220001
2016-05-23,49.169998,49.34,48.41,48.639999,1677500,48.639999
2016-05-24,49.0,49.09,48.68,49.0,1197000,49.0
2016-05-25,49.48,50.220001,49.369999,50.02,873500,50.02
2016-05-26,50.18,50.389999,49.630001,50.02,599600,50.02
2016-05-27,49.91,50.169998,49.700001,50.150002,560800,50.150002
2016-05-31,50.169998,50.830002,50.02,50.689999,954300,50.689999
2016-06-01,50.470001,51.0,50.25,50.880001,946900,50.880001
2016-06-02,50.66,51.060001,50.459999,50.779999,1214600,50.779999
2016-06-03,51.07,51.75,50.490002,51.5,1037000,51.5
