Date,Open_ANTM,High_ANTM,Low_ANTM,Close_ANTM,Volume_ANTM,AdjClose_ANTM
2015-08-27,143.0,144.369995,139.440002,142.160004,2274000,140.195726
2015-08-28,141.770004,142.240005,139.089996,140.559998,2018500,138.617828
2015-08-31,140.089996,143.690002,139.949997,141.050003,3228500,139.101063
2015-09-01,138.490005,139.75,137.029999,138.059998,3342900,136.152371
2015-09-02,139.050003,140.5,137.619995,140.470001,2357900,138.529075
2015-09-03,140.809998,143.940002,140.570007,142.949997,2721100,140.974804
2015-09-04,140.839996,142.949997,140.490005,142.050003,2201000,140.087246
2015-09-08,143.490005,146.550003,142.740005,146.429993,2216100,145.0449
2015-09-09,147.270004,147.960007,145.169998,145.600006,2346200,144.222764
2015-09-10,145.110001,146.279999,143.759995,143.940002,2030500,142.578463
2015-09-11,147.75,147.75,143.009995,147.089996,1582500,145.698661
2015-09-14,147.440002,147.800003,145.389999,145.869995,1600900,144.490199
2015-09-15,147.660004,148.619995,145.570007,148.240005,1465800,146.837792
2015-09-16,148.619995,151.910004,148.600006,151.149994,1762400,149.720254
2015-09-17,151.979996,152.440002,148.320007,150.270004,2275400,148.848589
2015-09-18,148.789993,149.490005,146.229996,146.860001,2662400,145.47084
2015-09-21,148.669998,149.779999,147.020004,149.570007,2085400,148.155213
2015-09-22,148.009995,149.850006,147.059998,148.660004,1832000,147.253817
2015-09-23,148.240005,150.410004,147.800003,149.279999,1532800,147.867948
2015-09-24,147.520004,149.979996,144.789993,147.059998,1875500,145.668946
2015-09-25,148.020004,148.429993,140.869995,141.910004,2209800,140.567666
2015-09-28,141.210007,142.029999,134.619995,136.309998,2941200,135.020631
2015-09-29,136.5,139.830002,135.139999,137.720001,2699900,136.417297
2015-09-30,138.899994,141.429993,138.389999,140.0,1812600,138.675729
2015-10-01,140.309998,140.679993,137.0,138.940002,2142600,137.625758
2015-10-02,138.0,141.869995,136.710007,141.850006,1429200,140.508236
2015-10-05,142.889999,143.960007,142.020004,142.850006,1499300,141.498777
2015-10-06,142.880005,142.919998,138.190002,139.460007,1621700,138.140844
2015-10-07,139.949997,139.990005,135.25,139.410004,3358200,138.091314
2015-10-08,139.220001,139.380005,136.179993,137.330002,1998000,136.030987
2015-10-09,137.149994,141.320007,137.149994,140.490005,1951500,139.1611
