Date,Open_SNA,High_SNA,Low_SNA,Close_SNA,Volume_SNA,AdjClose_SNA
2014-04-23,116.839996,117.889999,116.629997,116.910004,261500,113.118223
2014-04-24,117.639999,117.75,116.239998,117.059998,307500,113.263352
2014-04-25,116.610001,116.839996,115.209999,115.470001,259300,111.724924
2014-04-28,116.339996,116.57,113.470001,115.080002,408600,111.347574
2014-04-29,115.830002,115.919998,114.25,115.0,390600,111.270167
2014-04-30,115.089996,116.550003,114.639999,116.0,339900,112.237734
2014-05-01,115.839996,116.169998,114.989998,116.010002,459800,112.247411
2014-05-02,115.959999,116.900002,115.300003,115.370003,329700,111.628169
2014-05-05,115.5,116.699997,115.459999,116.010002,331000,112.247411
2014-05-06,115.610001,116.480003,115.110001,115.269997,396400,111.531407
2014-05-07,115.470001,116.18,114.559998,115.760002,374900,112.00552
2014-05-08,115.769997,116.68,114.959999,115.290001,325100,111.550762
2014-05-09,115.110001,115.279999,113.699997,114.790001,434400,111.066979
2014-05-12,115.489998,116.970001,115.480003,116.68,283600,112.895679
2014-05-13,117.029999,117.349998,116.169998,116.300003,336900,112.528007
2014-05-14,116.370003,116.389999,115.260002,115.529999,221500,111.782976
2014-05-15,115.120003,115.120003,112.709999,113.959999,357400,110.263897
2014-05-16,116.839996,116.919998,113.470001,114.959999,382800,111.662594
2014-05-19,114.339996,115.790001,114.139999,115.519997,217300,112.206529
2014-05-20,115.860001,115.93,112.629997,113.25,259600,110.001643
2014-05-21,113.610001,115.599998,113.260002,115.300003,348800,111.992845
2014-05-22,115.309998,115.860001,114.779999,114.849998,202700,111.555748
2014-05-23,114.889999,115.949997,114.489998,115.830002,192700,112.507642
2014-05-27,116.07,117.18,116.019997,116.32,205600,112.983585
2014-05-28,116.370003,117.129997,116.169998,116.75,356300,113.401252
2014-05-29,116.82,117.220001,116.190002,117.0,284100,113.644081
2014-05-30,116.540001,117.489998,116.540001,117.269997,196200,113.906334
2014-06-02,117.559998,118.120003,116.410004,117.830002,299700,114.450276
2014-06-03,117.830002,117.830002,116.800003,116.989998,194900,113.634366
2014-06-04,117.220001,117.220001,116.230003,116.279999,250700,112.944732
2014-06-05,116.330002,117.25,116.150002,116.800003,478400,113.449821
2014-06-06,117.160004,118.510002,116.800003,118.25,268800,114.858227
2014-06-09,117.93,119.080002,117.32,118.529999,233400,115.130195
2014-06-10,118.860001,118.870003,117.690002,118.540001,166800,115.13991
2014-06-11,118.050003,118.050003,117.300003,117.839996,101900,114.459984
2014-06-12,117.68,117.839996,116.480003,116.660004,140000,113.313837
2014-06-13,117.239998,117.410004,116.480003,116.82,115500,113.469244
2014-06-16,116.43,116.75,115.830002,116.580002,132400,113.23613
2014-06-17,116.160004,117.919998,116.160004,117.769997,236900,114.391992
2014-06-18,117.669998,118.720001,116.82,118.650002,231400,115.246756
2014-06-19,118.510002,118.849998,117.25,118.739998,168400,115.334171
2014-06-20,118.940002,119.459999,118.379997,119.459999,605900,116.03352
2014-06-23,119.529999,119.57,118.0,118.269997,220100,114.87765
2014-06-24,118.010002,118.82,117.169998,117.239998,351300,113.877195
2014-06-25,117.089996,118.220001,116.739998,118.110001,200300,114.722244
2014-06-26,118.010002,118.349998,116.82,118.269997,180400,114.87765
2014-06-27,117.889999,119.0,117.889999,118.650002,278300,115.246756
2014-06-30,118.510002,118.849998,117.769997,118.519997,218200,115.12048
2014-07-01,118.660004,120.0,118.269997,119.629997,194300,116.198642
2014-07-02,119.379997,120.400002,118.769997,119.309998,196500,115.887821
2014-07-03,119.720001,120.440002,119.610001,120.360001,89700,116.907707
2014-07-07,119.599998,120.220001,118.82,119.410004,182100,115.984959
2014-07-08,119.309998,119.330002,118.290001,118.769997,176400,115.363309
2014-07-09,119.290001,119.370003,118.839996,119.18,175700,115.761552
2014-07-10,117.43,118.43,117.360001,117.839996,144400,114.459984
2014-07-11,118.050003,118.199997,117.489998,118.169998,224100,114.78052
2014-07-14,119.129997,119.980003,118.660004,119.169998,326200,115.751837
2014-07-15,118.690002,119.779999,118.190002,118.470001,334200,115.071918
2014-07-16,119.0,119.529999,118.120003,119.040001,331100,115.625569
2014-07-17,123.0,126.589996,122.510002,123.870003,969800,120.317031
2014-07-18,124.019997,124.769997,123.5,123.629997,689700,120.08391
2014-07-21,122.730003,123.760002,122.730003,122.93,384800,119.403991
2014-07-22,123.690002,124.459999,123.349998,123.650002,371300,120.10334
2014-07-23,123.800003,124.029999,122.919998,123.300003,378000,119.763381
2014-07-24,123.589996,123.760002,122.629997,123.529999,423900,119.98678
2014-07-25,123.709999,124.879997,123.339996,124.669998,387900,121.09408
2014-07-28,124.300003,125.010002,123.410004,124.330002,558800,120.763836
2014-07-29,124.599998,125.110001,123.589996,123.610001,587400,120.064487
2014-07-30,123.839996,124.279999,122.050003,123.040001,319600,119.510836
2014-07-31,121.959999,122.339996,120.110001,120.199997,379000,116.752292
2014-08-01,120.18,120.620003,118.410004,119.75,396300,116.315203
2014-08-04,120.209999,121.480003,119.330002,121.190002,651900,117.713902
2014-08-05,120.699997,121.199997,119.059998,119.440002,384000,116.014097
2014-08-06,119.0,119.370003,118.279999,118.959999,446100,115.547862
2014-08-07,119.709999,119.709999,118.760002,119.169998,368300,115.751837
2014-08-08,119.300003,121.279999,118.949997,121.239998,279000,117.762463
2014-08-11,121.709999,122.449997,121.419998,121.75,201800,118.257837
2014-08-12,121.93,122.82,121.82,122.279999,262900,118.772633
2014-08-13,122.730003,123.889999,122.410004,123.589996,307300,120.045056
2014-08-14,123.849998,124.57,123.809998,124.550003,247600,120.977527
2014-08-15,125.0,125.0,123.07,123.849998,376700,120.297601
2014-08-18,124.510002,125.18,124.040001,125.029999,165500,121.443755
2014-08-19,125.120003,125.839996,125.040001,125.449997,207000,121.851706
2014-08-20,125.470001,126.599998,125.169998,126.339996,266300,122.716178
2014-08-21,125.760002,126.209999,125.110001,126.0,259200,122.813646
2014-08-22,125.75,125.940002,124.809998,125.0,292300,121.838935
2014-08-25,125.449997,126.0,124.910004,125.849998,161200,122.667438
2014-08-26,125.690002,125.949997,124.919998,125.019997,183900,121.858426
2014-08-27,124.989998,125.220001,124.330002,124.949997,192600,121.790196
2014-08-28,124.660004,125.400002,123.879997,125.230003,221000,122.063122
2014-08-29,125.440002,125.5,124.669998,124.949997,308900,121.790196
2014-09-02,125.290001,125.870003,124.82,125.43,428500,122.258061
2014-09-03,126.0,126.339996,125.610001,126.080002,412800,122.891625
2014-09-04,126.290001,127.32,125.660004,126.010002,261800,122.823395
2014-09-05,126.019997,127.019997,125.139999,127.010002,241900,123.798107
2014-09-08,126.870003,126.970001,125.07,125.629997,471800,122.453
2014-09-09,125.75,126.059998,124.940002,124.989998,350600,121.829186
2014-09-10,125.160004,125.660004,124.269997,125.290001,216400,122.121602
2014-09-11,124.959999,125.470001,124.690002,125.220001,366100,122.053372
2014-09-12,125.269997,125.870003,124.900002,125.730003,388400,122.550477
2014-09-15,125.599998,125.769997,124.830002,125.360001,203800,122.189831
2014-09-16,125.389999,126.160004,124.400002,125.839996,260400,122.657689
2014-09-17,126.260002,126.449997,124.300003,124.989998,295000,121.829186
2014-09-18,125.260002,126.0,124.550003,125.330002,374700,122.160591
2014-09-19,126.220001,126.220001,123.610001,123.849998,577500,120.718015
2014-09-22,123.459999,123.459999,122.370003,122.82,286000,119.714063
2014-09-23,122.669998,123.269997,121.900002,121.919998,366900,118.836822
2014-09-24,121.970001,123.160004,121.449997,122.919998,355300,119.811533
2014-09-25,122.419998,122.419998,120.540001,120.629997,337600,117.579443
2014-09-26,121.209999,122.080002,120.639999,121.75,307500,118.671122
2014-09-29,120.760002,121.559998,120.540001,121.379997,309400,118.310476
2014-09-30,121.050003,121.68,120.43,121.080002,415100,118.018068
2014-10-01,120.980003,120.980003,118.139999,118.529999,461300,115.53255
2014-10-02,118.68,119.440002,117.470001,118.419998,312000,115.425331
2014-10-03,119.0,120.919998,118.889999,120.900002,412300,117.842619
2014-10-06,121.0,121.839996,120.610001,120.879997,479000,117.823121
2014-10-07,120.040001,120.400002,118.169998,118.25,289500,115.259632
2014-10-08,118.019997,120.300003,117.300003,120.110001,304700,117.072596
2014-10-09,120.589996,120.739998,117.580002,117.800003,298700,114.821015
2014-10-10,118.010002,118.010002,115.760002,115.779999,320500,112.852094
