Date,Open_PG,High_PG,Low_PG,Close_PG,Volume_PG,AdjClose_PG
2014-06-03,80.040001,80.300003,79.599998,79.93,6970600,74.927134
2014-06-04,80.0,80.220001,79.639999,79.860001,5427700,74.861515
2014-06-05,80.110001,80.309998,79.970001,80.110001,5787700,75.095868
2014-06-06,80.089996,80.239998,79.82,80.029999,5520500,75.020873
2014-06-09,79.910004,80.239998,79.849998,80.089996,6352500,75.077115
2014-06-10,80.029999,80.300003,80.0,80.150002,5658400,75.133365
2014-06-11,80.050003,80.300003,79.879997,80.059998,7453700,75.048994
2014-06-12,79.82,80.029999,79.690002,79.760002,6526800,74.767776
2014-06-13,79.730003,79.940002,79.5,79.639999,5214000,74.655284
2014-06-16,79.519997,79.940002,79.110001,79.690002,5334600,74.702157
2014-06-17,79.610001,79.790001,79.349998,79.580002,5337300,74.599042
2014-06-18,79.440002,79.940002,79.129997,79.790001,9614200,74.795897
2014-06-19,79.849998,80.57,79.800003,80.239998,12485100,75.217728
2014-06-20,80.440002,80.5,79.830002,79.93,11659900,74.927134
2014-06-23,80.059998,80.059998,79.360001,79.519997,6938900,74.542792
2014-06-24,79.419998,79.440002,78.919998,79.010002,8157300,74.064719
2014-06-25,79.040001,79.360001,78.650002,79.32,12569300,74.355313
2014-06-26,79.239998,79.290001,78.589996,78.620003,7258800,73.69913
2014-06-27,78.599998,79.190002,78.519997,79.019997,8974900,74.074088
2014-06-30,79.010002,79.459999,78.43,78.589996,10297700,73.671001
2014-07-01,78.870003,79.410004,78.510002,79.279999,8421200,74.317816
2014-07-02,79.559998,79.860001,79.440002,79.559998,6276600,74.58029
2014-07-03,79.93,80.139999,79.639999,79.980003,5501100,74.974007
2014-07-07,79.75,80.199997,79.660004,80.190002,6673600,75.170862
2014-07-08,80.029999,80.849998,79.910004,80.559998,9150200,75.517699
2014-07-09,80.660004,81.800003,80.5,81.669998,12113100,76.558224
2014-07-10,81.269997,81.910004,81.190002,81.610001,8786500,76.501982
2014-07-11,81.059998,81.57,81.0,81.160004,7519300,76.08015
2014-07-14,81.360001,81.739998,81.300003,81.32,6802000,76.230132
2014-07-15,81.510002,81.519997,81.089996,81.260002,9637600,76.17389
2014-07-16,80.900002,81.199997,80.75,80.940002,8940500,76.480038
2014-07-17,80.989998,81.220001,80.389999,80.400002,5844700,75.969792
2014-07-18,80.550003,80.75,80.160004,80.550003,6502400,76.111528
2014-07-21,80.330002,80.400002,79.949997,80.279999,4434300,75.856401
2014-07-22,80.290001,80.580002,79.769997,80.099998,6073200,75.68632
2014-07-23,80.330002,80.5,79.82,79.989998,5891200,75.58238
2014-07-24,80.120003,80.32,79.849998,80.260002,6273100,75.837507
2014-07-25,80.019997,80.160004,79.370003,79.559998,6293400,75.176074
2014-07-28,79.410004,79.620003,78.849998,79.260002,6757300,74.892609
2014-07-29,79.089996,79.5,78.650002,78.650002,6419600,74.31622
2014-07-30,78.699997,79.010002,78.139999,78.160004,8296500,73.853223
2014-07-31,77.760002,78.010002,77.290001,77.32,11235600,73.059505
2014-08-01,79.25,80.669998,78.830002,79.650002,18110700,75.261118
2014-08-04,79.459999,79.459999,78.660004,79.220001,12075300,74.854812
2014-08-05,78.989998,79.739998,78.980003,79.410004,7995900,75.034345
2014-08-06,79.400002,81.300003,79.269997,81.089996,12839000,76.621766
2014-08-07,81.019997,81.18,80.010002,80.139999,7904000,75.724116
2014-08-08,80.050003,81.029999,80.040001,80.949997,6215600,76.489481
2014-08-11,81.230003,81.870003,81.029999,81.480003,8188000,76.990283
2014-08-12,81.5,81.860001,81.209999,81.419998,6591200,76.933584
2014-08-13,81.639999,81.800003,81.110001,81.480003,5472200,76.990283
2014-08-14,81.589996,82.040001,81.440002,81.949997,5930700,77.434379
2014-08-15,82.230003,82.230003,81.18,81.779999,7418400,77.273748
2014-08-18,81.989998,82.849998,81.809998,82.440002,8450500,77.897384
2014-08-19,82.349998,82.870003,82.120003,82.690002,6867700,78.133609
2014-08-20,82.459999,82.940002,82.459999,82.809998,4581800,78.246992
2014-08-21,82.800003,83.470001,82.690002,83.279999,7099800,78.691095
2014-08-22,83.160004,83.660004,83.139999,83.389999,6978500,78.795034
2014-08-25,83.739998,83.82,83.309998,83.540001,5586800,78.936771
2014-08-26,83.610001,83.830002,83.330002,83.379997,5188400,78.785583
2014-08-27,83.43,83.599998,83.160004,83.309998,4248300,78.719441
2014-08-28,83.019997,83.220001,82.760002,83.029999,4278700,78.454871
2014-08-29,83.089996,83.129997,82.599998,83.110001,4901300,78.530464
2014-09-02,83.209999,83.489998,82.709999,82.980003,5528900,78.40763
2014-09-03,83.260002,83.480003,82.769997,82.900002,5851800,78.332037
2014-09-04,82.919998,83.75,82.779999,83.699997,7444200,79.087951
2014-09-05,83.440002,83.800003,83.07,83.769997,5888900,79.154093
2014-09-08,83.57,83.599998,83.129997,83.32,4899600,78.728892
2014-09-09,83.050003,83.290001,82.830002,82.989998,5202900,78.417074
