Date,Open_AVY,High_AVY,Low_AVY,Close_AVY,Volume_AVY,AdjClose_AVY
2015-10-02,57.43,59.509998,56.939999,59.48,1034600,58.493808
2015-10-05,59.830002,60.369999,59.040001,59.34,1133500,58.35613
2015-10-06,59.310001,59.360001,58.299999,58.610001,665300,57.638234
2015-10-07,58.950001,59.59,58.450001,58.790001,704800,57.81525
2015-10-08,58.669998,59.299999,58.279999,59.150002,669700,58.169281
2015-10-09,59.360001,60.220001,59.119999,59.610001,522400,58.621653
2015-10-12,59.669998,60.040001,59.16,59.490002,544300,58.503644
2015-10-13,59.25,59.689999,59.040001,59.25,745300,58.267622
2015-10-14,59.299999,59.610001,58.5,58.630001,667900,57.657903
2015-10-15,58.790001,59.41,58.029999,59.34,991100,58.35613
2015-10-16,59.57,59.990002,59.369999,59.869999,586400,58.877341
2015-10-19,59.73,60.23,59.48,60.18,371300,59.182202
2015-10-20,60.049999,60.799999,59.759998,60.77,479800,59.76242
2015-10-21,60.98,60.98,60.330002,60.41,501900,59.408389
2015-10-22,60.950001,62.990002,60.900002,62.849998,503100,61.807931
2015-10-23,63.459999,64.18,63.25,63.91,567300,62.850358
2015-10-26,63.84,64.050003,63.279999,63.580002,653900,62.525831
2015-10-27,63.209999,63.470001,62.330002,63.150002,730800,62.10296
2015-10-28,63.27,64.309998,63.02,64.260002,527200,63.194557
2015-10-29,63.830002,66.089996,63.830002,65.18,900100,64.099301
2015-10-30,65.459999,65.68,64.769997,64.970001,1077300,63.892784
2015-11-02,65.029999,65.989998,64.510002,65.690002,1209400,64.600847
2015-11-03,65.660004,65.980003,65.080002,65.110001,1154700,64.030462
2015-11-04,65.419998,65.5,64.129997,64.459999,1063500,63.391238
2015-11-05,64.599998,65.059998,64.279999,64.830002,901300,63.755106
2015-11-06,64.489998,65.089996,64.360001,65.089996,840500,64.01079
2015-11-09,64.93,65.559998,64.550003,65.349998,728200,64.266481
2015-11-10,65.269997,65.480003,63.060001,64.010002,1042900,62.948702
2015-11-11,64.190002,65.550003,63.540001,65.239998,806800,64.158304
2015-11-12,64.769997,65.059998,62.779999,62.880001,683200,61.837437
2015-11-13,62.939999,63.029999,62.029999,62.369999,971100,61.33589
2015-11-16,62.419998,63.549999,62.259998,63.34,685500,62.289809
2015-11-17,63.529999,64.160004,63.18,63.580002,609900,62.525831
2015-11-18,63.630001,65.470001,63.610001,65.379997,888100,64.295982
2015-11-19,65.440002,66.199997,65.120003,66.0,701300,64.905705
2015-11-20,66.279999,66.650002,65.730003,65.949997,567800,64.856531
2015-11-23,65.849998,66.419998,65.419998,65.709999,584500,64.620513
2015-11-24,65.290001,66.190002,64.940002,66.110001,702900,65.013882
2015-11-25,66.099998,66.400002,65.580002,66.169998,387800,65.072885
2015-11-27,66.059998,66.440002,65.580002,66.169998,325700,65.072885
2015-11-30,65.849998,66.339996,65.440002,65.959999,890100,65.231115
2015-12-01,66.059998,66.639999,65.82,66.18,689600,65.448685
2015-12-02,66.040001,66.550003,65.239998,65.309998,651900,64.588296
2015-12-03,65.440002,65.580002,63.48,64.0,1183800,63.292774
2015-12-04,64.25,65.75,64.07,65.559998,870800,64.835533
2015-12-07,65.169998,65.940002,64.709999,65.089996,852900,64.370726
2015-12-08,64.379997,64.940002,63.919998,64.230003,702600,63.520236
2015-12-09,64.169998,64.959999,63.189999,63.619999,739700,62.916972
2015-12-10,63.799999,64.43,63.630001,63.700001,644300,62.99609
2015-12-11,63.0,63.75,62.790001,62.939999,584700,62.244486
2015-12-14,63.080002,63.82,62.48,62.82,698400,62.125813
2015-12-15,63.439999,63.650002,62.790001,63.299999,1017200,62.600509
2015-12-16,63.720001,64.709999,63.540001,64.559998,763100,63.846584
2015-12-17,64.510002,64.639999,63.060001,63.07,670200,62.373051
2015-12-18,62.900002,63.32,61.990002,62.060001,1335300,61.374213
2015-12-21,62.669998,63.349998,62.43,62.900002,481200,62.204931
2015-12-22,63.009998,63.279999,62.32,63.07,493200,62.373051
2015-12-23,63.439999,63.959999,62.959999,63.939999,622300,63.233436
2015-12-24,63.98,64.330002,63.529999,64.059998,193500,63.352109
2015-12-28,63.700001,64.199997,63.299999,63.990002,289800,63.282886
2015-12-29,64.470001,64.470001,63.23,63.59,673700,62.887305
2015-12-30,63.220001,63.889999,62.98,63.34,891100,62.640068
2015-12-31,63.200001,63.669998,62.630001,62.66,562900,61.967582
2016-01-04,61.68,61.75,60.150002,61.200001,1241800,60.523716
2016-01-05,61.139999,61.77,60.950001,61.669998,784300,60.98852
2016-01-06,60.860001,61.529999,60.540001,60.950001,623300,60.276479
2016-01-07,59.830002,60.419998,59.080002,59.119999,796500,58.466699
2016-01-08,59.599998,60.439999,59.27,59.689999,1364400,59.0304
2016-01-11,59.84,60.220001,58.790001,59.709999,1060900,59.05018
2016-01-12,60.049999,60.490002,59.290001,59.900002,893200,59.238082
2016-01-13,59.939999,60.52,58.459999,58.669998,919000,58.021671
2016-01-14,58.84,60.52,58.720001,59.93,1038600,59.26775
2016-01-15,58.23,59.189999,57.869999,58.939999,965400,58.288688
2016-01-19,59.650002,59.650002,58.360001,58.970001,787500,58.318359
2016-01-20,58.169998,59.52,57.060001,59.02,785400,58.367806
2016-01-21,59.389999,59.59,58.610001,58.889999,1053800,58.239241
2016-01-22,60.0,60.790001,59.610001,60.740002,893900,60.0688
2016-01-25,60.139999,60.389999,57.959999,58.16,1273500,57.517308
2016-01-26,58.07,59.939999,57.619999,59.610001,743000,58.951286
2016-01-27,59.32,60.240002,59.200001,59.700001,1243500,59.040292
2016-01-28,60.080002,60.18,59.169998,59.349998,676100,58.694157
2016-01-29,59.650002,60.970001,59.27,60.889999,907400,60.21714
2016-02-01,60.669998,61.18,60.200001,61.029999,1704100,60.355593
2016-02-02,60.310001,60.560001,59.380001,59.860001,1287700,59.198523
2016-02-03,63.799999,66.370003,62.650002,63.740002,2587700,63.035649
2016-02-04,63.43,64.800003,63.43,64.370003,1805900,63.658688
2016-02-05,64.120003,64.650002,62.93,63.200001,1048500,62.501615
2016-02-08,62.73,62.73,60.639999,61.330002,1066500,60.652281
2016-02-09,60.73,63.470001,60.369999,62.889999,1635900,62.19504
2016-02-10,63.330002,64.5,62.950001,63.040001,1017800,62.343383
2016-02-11,61.959999,62.66,61.59,62.279999,792800,61.59178
2016-02-12,62.950001,64.099998,62.57,63.98,783700,63.272995
2016-02-16,64.709999,64.970001,63.689999,64.830002,946300,64.113604
2016-02-17,65.190002,65.620003,64.07,64.199997,832400,63.490561
2016-02-18,64.099998,64.43,63.73,64.18,758500,63.470785
2016-02-19,64.300003,64.849998,63.919998,64.589996,996800,63.876251
2016-02-22,64.589996,65.690002,64.449997,65.029999,711600,64.311391
2016-02-23,64.720001,65.139999,63.84,63.990002,565300,63.282886
2016-02-24,63.48,64.889999,62.990002,64.779999,730800,64.064154
2016-02-25,65.160004,66.279999,65.07,66.239998,647800,65.508019
2016-02-26,66.610001,66.889999,66.209999,66.449997,618000,65.715698
2016-02-29,66.040001,66.529999,65.120003,65.120003,1146900,64.760999
2016-03-01,65.800003,67.550003,65.75,66.790001,1338900,66.421791
2016-03-02,66.589996,67.889999,66.360001,67.449997,1145700,67.078148
2016-03-03,67.43,68.330002,67.150002,68.239998,1010700,67.863794
2016-03-04,68.0,68.209999,67.5,67.860001,1114300,67.485892
2016-03-07,67.459999,67.940002,67.269997,67.940002,1110300,67.565452
2016-03-08,67.690002,68.730003,67.080002,68.18,978300,67.804127
2016-03-09,68.580002,69.709999,68.059998,69.099998,1164800,68.719053
2016-03-10,69.309998,70.139999,68.940002,69.629997,999000,69.24613
2016-03-11,70.360001,70.360001,69.019997,69.849998,864200,69.464919
2016-03-14,69.629997,69.800003,68.82,69.230003,1067200,68.848342
2016-03-15,68.650002,69.410004,68.360001,69.010002,1064000,68.629553
2016-03-16,68.900002,69.5,68.330002,69.199997,923600,68.818501
2016-03-17,69.5,70.0,69.099998,69.800003,1327200,69.415199
2016-03-18,69.989998,70.739998,69.660004,70.459999,4154400,70.071556
2016-03-21,70.459999,71.059998,70.459999,70.970001,783100,70.578747
2016-03-22,70.919998,71.959999,70.809998,71.440002,829000,71.046157
2016-03-23,71.110001,71.849998,70.940002,71.349998,810100,70.956649
2016-03-24,71.040001,71.480003,70.730003,70.989998,566900,70.598633
2016-03-28,71.300003,71.550003,71.110001,71.269997,435500,70.877089
2016-03-29,71.330002,72.480003,71.110001,72.43,583800,72.030697
2016-03-30,72.620003,72.639999,71.739998,72.400002,392900,72.000864
2016-03-31,72.410004,72.529999,71.779999,72.110001,783600,71.712462
2016-04-01,71.739998,72.959999,71.550003,72.860001,1002300,72.458327
2016-04-04,73.0,73.220001,72.309998,72.82,1020900,72.418546
2016-04-05,72.699997,72.800003,71.650002,72.059998,971000,71.662734
2016-04-06,72.129997,73.150002,71.93,73.019997,826700,72.617441
2016-04-07,72.470001,72.669998,71.330002,71.57,1166600,71.175438
2016-04-08,72.150002,72.480003,71.5,71.720001,665600,71.324612
