Date,Open_CHRW,High_CHRW,Low_CHRW,Close_CHRW,Volume_CHRW,AdjClose_CHRW
2016-05-03,71.150002,71.379997,70.480003,70.839996,1185800,70.433739
2016-05-04,70.519997,71.970001,70.339996,71.739998,1789200,71.328579
2016-05-05,71.709999,71.959999,70.730003,70.849998,845500,70.443684
2016-05-06,70.949997,72.910004,70.639999,72.82,1789600,72.402387
2016-05-09,72.5,73.260002,72.209999,73.139999,1038900,72.720552
2016-05-10,73.690002,73.830002,72.779999,73.050003,1065900,72.631071
2016-05-11,72.839996,73.199997,72.330002,72.589996,941900,72.173703
2016-05-12,72.519997,72.989998,72.0,72.470001,840800,72.054396
2016-05-13,72.559998,72.75,71.830002,72.309998,1111200,71.89531
2016-05-16,72.440002,72.830002,71.650002,72.440002,840200,72.024569
2016-05-17,72.059998,73.699997,71.870003,72.779999,1162600,72.362616
2016-05-18,72.610001,73.410004,72.220001,73.150002,1282700,72.730496
2016-05-19,72.580002,73.379997,72.5,73.099998,828800,72.68078
2016-05-20,73.529999,74.489998,73.529999,74.32,1093600,73.893785
2016-05-23,74.059998,74.529999,74.059998,74.360001,846400,73.933556
2016-05-24,74.419998,74.989998,74.029999,74.690002,1134900,74.261666
2016-05-25,74.940002,75.07,74.480003,74.809998,1161400,74.380973
2016-05-26,75.099998,75.370003,74.730003,74.970001,806700,74.540059
2016-05-27,74.989998,75.440002,74.790001,75.18,1108300,74.748853
2016-05-31,75.410004,75.779999,74.360001,74.980003,4326800,74.550003
2016-06-01,74.559998,74.660004,73.75,74.25,827600,74.25
2016-06-02,74.230003,74.300003,73.699997,73.790001,1063900,73.790001
2016-06-03,73.260002,73.419998,72.959999,73.360001,2470600,73.360001
