Date,Open_PNC,High_PNC,Low_PNC,Close_PNC,Volume_PNC,AdjClose_PNC
2015-08-26,87.830002,89.080002,86.099998,89.029999,4152900,87.459744
2015-08-27,90.059998,91.389999,89.629997,91.330002,3062500,89.719181
2015-08-28,90.940002,91.669998,90.540001,91.230003,2336600,89.620946
2015-08-31,90.739998,91.470001,90.470001,91.120003,2071700,89.512885
2015-09-01,89.150002,89.720001,86.580002,87.190002,3271200,85.6522
2015-09-02,89.0,89.290001,87.709999,88.940002,2575100,87.371335
2015-09-03,89.389999,90.589996,89.010002,89.550003,2336400,87.970576
2015-09-04,88.510002,88.980003,87.059998,87.660004,3143800,86.113912
2015-09-08,89.529999,91.029999,89.230003,90.980003,2866600,89.375355
2015-09-09,92.269997,92.43,89.760002,89.959999,2032200,88.373341
2015-09-10,89.599998,91.18,89.349998,90.529999,1859700,88.933288
2015-09-11,89.940002,90.400002,89.57,90.349998,1440500,88.756462
2015-09-14,90.400002,91.379997,90.029999,90.660004,1743300,89.060999
2015-09-15,91.089996,92.339996,90.889999,91.970001,2272600,90.347892
2015-09-16,91.93,92.0,90.660004,91.769997,1749400,90.151415
2015-09-17,91.699997,92.650002,89.470001,89.82,2585700,88.235811
2015-09-18,88.160004,88.669998,87.089996,87.43,4116700,85.887965
2015-09-21,88.160004,89.339996,87.949997,88.870003,1748800,87.302569
2015-09-22,87.459999,88.32,87.07,87.790001,1823700,86.241616
2015-09-23,87.599998,88.660004,87.440002,87.949997,1332500,86.39879
2015-09-24,86.919998,88.18,86.610001,87.800003,3348700,86.251442
2015-09-25,89.099998,90.029999,88.849998,89.290001,2423800,87.71516
2015-09-28,88.43,88.93,87.150002,87.349998,2748100,85.809374
2015-09-29,87.330002,88.239998,86.980003,87.849998,2039000,86.300555
2015-09-30,88.760002,89.5,88.220001,89.199997,2393200,87.626743
2015-10-01,89.080002,89.720001,88.040001,89.059998,2391100,87.489213
2015-10-02,86.860001,88.269997,84.93,88.160004,3379100,86.605093
2015-10-05,89.010002,90.949997,88.879997,90.589996,2484800,88.992227
2015-10-06,90.360001,90.849998,89.860001,89.949997,2036000,88.363515
2015-10-07,90.739998,91.279999,89.980003,90.559998,2841400,88.962757
2015-10-08,90.370003,91.089996,89.970001,90.970001,1813300,89.365529
2015-10-09,90.790001,91.260002,89.57,89.82,1693300,88.235811
2015-10-12,89.629997,90.099998,89.230003,89.709999,1776100,88.12775
2015-10-13,88.970001,89.360001,88.529999,88.629997,2516400,87.564602
2015-10-14,88.089996,88.260002,85.879997,86.199997,3348000,85.163812
2015-10-15,86.790001,87.389999,86.129997,87.220001,3729200,86.171555
2015-10-16,88.220001,88.220001,87.050003,87.610001,3245400,86.556866
2015-10-19,87.160004,87.910004,86.480003,86.709999,3313400,85.667684
2015-10-20,86.379997,88.269997,86.379997,88.019997,2235800,86.961934
2015-10-21,88.5,89.029999,87.480003,87.580002,3277200,86.527228
2015-10-22,88.110001,90.160004,88.040001,89.480003,2420800,88.40439
2015-10-23,90.099998,91.379997,89.980003,91.239998,2551800,90.143229
2015-10-26,90.989998,91.370003,90.120003,90.32,1755400,89.234289
2015-10-27,89.690002,90.459999,89.290001,89.629997,1621900,88.552581
2015-10-28,89.660004,93.080002,89.650002,92.919998,2351800,91.803034
2015-10-29,92.470001,93.639999,92.089996,92.150002,2127000,91.042293
2015-10-30,92.080002,92.209999,90.019997,90.260002,2934500,89.175013
2015-11-02,90.830002,92.199997,90.709999,91.93,2113900,90.824937
2015-11-03,91.43,92.279999,91.129997,91.760002,2387400,90.656982
2015-11-04,92.0,92.669998,91.860001,92.220001,1738500,91.111452
2015-11-05,92.110001,93.300003,92.110001,92.639999,2394000,91.526401
2015-11-06,94.989998,96.080002,94.669998,95.199997,4044600,94.055626
2015-11-09,95.480003,95.889999,93.980003,94.629997,2495100,93.492478
2015-11-10,94.230003,95.349998,93.779999,95.300003,2147000,94.15443
2015-11-11,95.980003,96.059998,94.949997,95.110001,1793200,93.966711
2015-11-12,94.029999,94.900002,93.199997,93.260002,2357000,92.138951
2015-11-13,93.059998,93.650002,91.779999,92.32,2208000,91.210248
2015-11-16,92.190002,93.370003,91.889999,93.339996,1747100,92.217984
2015-11-17,93.639999,94.480003,92.690002,93.239998,1618800,92.119187
2015-11-18,93.480003,95.230003,93.199997,95.110001,2098400,93.966711
2015-11-19,93.739998,95.459999,93.739998,95.099998,1617900,93.956829
2015-11-20,95.699997,95.82,95.0,95.379997,2227200,94.233462
2015-11-23,95.309998,95.910004,94.769997,94.900002,1714700,93.759236
2015-11-24,94.190002,95.370003,93.980003,95.150002,2280500,94.006231
2015-11-25,95.040001,95.5,94.459999,94.720001,1779300,93.5814
2015-11-27,94.970001,95.629997,94.330002,95.480003,799900,94.332266
2015-11-30,95.489998,96.019997,95.110001,95.510002,2203200,94.361904
2015-12-01,96.160004,96.660004,95.290001,96.349998,1839100,95.191803
2015-12-02,96.279999,96.68,95.0,95.220001,1832900,94.075389
2015-12-03,95.529999,95.93,93.629997,93.849998,2395500,92.721855
2015-12-04,94.309998,97.25,93.949997,97.190002,2541200,96.02171
2015-12-07,96.839996,97.309998,95.870003,96.489998,1921300,95.33012
2015-12-08,95.459999,95.980003,94.5,94.860001,2904300,93.719716
2015-12-09,94.169998,95.360001,92.989998,93.559998,1887100,92.43534
2015-12-10,93.580002,95.400002,93.059998,94.349998,1644100,93.215845
2015-12-11,92.75,93.519997,91.849998,92.370003,2179800,91.25965
2015-12-14,92.730003,93.480003,91.449997,92.769997,2594600,91.654836
2015-12-15,93.730003,95.709999,93.730003,94.839996,2898100,93.699953
2015-12-16,95.589996,97.18,94.400002,97.0,2881600,95.833991
2015-12-17,97.389999,97.5,95.650002,95.68,3637900,94.529859
2015-12-18,94.910004,95.25,93.629997,93.75,6264700,92.623059
2015-12-21,94.470001,95.309998,93.330002,94.459999,1762300,93.324523
2015-12-22,94.709999,94.940002,93.040001,94.57,2001800,93.433201
2015-12-23,95.290001,96.269997,94.870003,96.169998,1665500,95.013967
2015-12-24,95.910004,96.800003,95.879997,96.239998,775800,95.083125
2015-12-28,95.739998,95.989998,94.779999,95.940002,961600,94.786736
2015-12-29,96.529999,97.309998,96.040001,96.949997,1219000,95.784589
2015-12-30,96.959999,96.989998,95.949997,96.099998,849300,94.944809
2015-12-31,95.519997,96.459999,95.199997,95.309998,1360300,94.164304
2016-01-04,94.0,94.260002,92.260002,93.160004,3040300,92.040155
2016-01-05,93.230003,93.730003,92.269997,93.290001,1911000,92.168589
2016-01-06,91.339996,92.75,91.209999,91.599998,2576200,90.498902
2016-01-07,90.010002,90.849998,88.879997,89.279999,2658300,88.20679
2016-01-08,89.949997,90.389999,87.669998,87.959999,2358000,86.902658
2016-01-11,88.379997,88.849998,87.370003,88.279999,1940700,87.218811
2016-01-12,89.160004,89.400002,87.660004,89.0,2108300,87.930157
2016-01-13,89.32,89.839996,85.830002,86.410004,2970800,85.371294
2016-01-14,85.82,87.150002,85.449997,86.870003,4580400,86.335322
2016-01-15,84.57,86.669998,82.839996,86.330002,5749700,85.798645
2016-01-19,87.139999,87.779999,84.580002,85.330002,3426700,84.8048
2016-01-20,83.800003,85.110001,82.540001,84.169998,4514000,83.651936
2016-01-21,84.540001,86.120003,83.870003,84.129997,2534200,83.612181
2016-01-22,85.790001,86.269997,84.779999,85.739998,2097500,85.212272
2016-01-25,85.669998,85.809998,82.540001,82.730003,3661600,82.220804
2016-01-26,83.360001,84.580002,82.93,84.449997,2783300,83.930211
2016-01-27,84.449997,87.040001,84.199997,85.050003,2811800,84.526524
2016-01-28,85.620003,86.18,84.559998,84.910004,2625900,84.387386
2016-01-29,85.559998,86.660004,84.919998,86.650002,3191200,86.116675
2016-02-01,86.650002,86.809998,85.459999,86.089996,2039700,85.560116
2016-02-02,84.860001,85.379997,83.43,83.800003,2336200,83.284218
2016-02-03,84.07,84.260002,81.379997,83.849998,3747800,83.333906
2016-02-04,83.260002,85.120003,83.120003,84.889999,2242300,84.367505
2016-02-05,85.190002,85.709999,83.239998,83.57,3357200,83.05563
2016-02-08,82.449997,82.519997,80.720001,81.769997,3469300,81.266706
2016-02-09,80.480003,82.68,80.279999,82.199997,4125800,81.69406
2016-02-10,82.739998,83.489998,81.470001,81.510002,2197200,81.008312
2016-02-11,79.199997,80.220001,77.669998,78.169998,5031200,77.688865
2016-02-12,79.709999,81.190002,79.440002,80.93,4390200,80.43188
2016-02-16,82.360001,84.209999,81.510002,83.269997,3884800,82.757474
2016-02-17,84.139999,84.650002,83.860001,84.059998,2929100,83.542612
2016-02-18,84.050003,84.199997,82.239998,82.580002,2721900,82.071726
2016-02-19,81.830002,82.989998,81.32,82.82,2710400,82.310246
2016-02-22,82.82,84.510002,82.82,84.449997,1644600,83.930211
2016-02-23,83.940002,84.269997,81.779999,82.809998,2555600,82.300306
2016-02-24,81.550003,82.410004,80.57,82.300003,1997300,81.79345
2016-02-25,82.57,82.959999,82.120003,82.940002,2498300,82.429511
2016-02-26,83.830002,84.910004,83.080002,83.970001,2114800,83.45317
2016-02-29,83.699997,83.75,81.300003,81.309998,3110000,80.809538
2016-03-01,81.82,84.480003,81.620003,84.480003,3119900,83.960033
2016-03-02,84.599998,85.650002,84.230003,85.639999,1749400,85.112889
2016-03-03,85.629997,86.580002,85.25,86.580002,1635200,86.047106
2016-03-04,87.190002,87.959999,86.730003,87.300003,1872300,86.762676
2016-03-07,86.519997,87.279999,86.239998,86.959999,2009500,86.424764
2016-03-08,86.080002,86.480003,85.0,85.07,2081800,84.546398
2016-03-09,85.75,85.940002,84.419998,84.620003,2276100,84.09917
2016-03-10,85.389999,86.239998,84.0,85.139999,2367600,84.615967
2016-03-11,86.239998,86.550003,85.620003,86.400002,3106100,85.868213
2016-03-14,85.949997,86.129997,85.190002,85.82,2487700,85.291782
2016-03-15,85.059998,85.870003,84.870003,85.790001,1882800,85.261967
2016-03-16,85.599998,86.330002,84.379997,84.690002,2186100,84.168739
2016-03-17,84.589996,85.519997,83.82,85.199997,2556400,84.675595
2016-03-18,85.639999,87.019997,85.470001,86.160004,5251200,85.629693
2016-03-21,86.150002,86.720001,85.629997,86.199997,1804900,85.66944
2016-03-22,85.589996,86.489998,85.260002,85.849998,1987100,85.321596
2016-03-23,85.959999,86.080002,85.160004,85.349998,2179200,84.824673
2016-03-24,84.720001,84.870003,83.82,84.800003,2338400,84.278063
2016-03-28,85.379997,85.440002,84.540001,84.879997,1648500,84.357565
2016-03-29,84.349998,84.660004,83.459999,84.470001,2162300,83.950092
2016-03-30,85.0,86.129997,84.849998,85.349998,1506700,84.824673
2016-03-31,85.199997,85.57,84.309998,84.57,1720000,84.049475
2016-04-01,84.650002,85.410004,83.699997,85.290001,1844500,84.765045
2016-04-04,85.089996,85.989998,84.699997,85.32,1736800,84.794859
2016-04-05,84.389999,84.68,82.860001,82.940002,3120300,82.429511
2016-04-06,82.800003,83.830002,82.300003,83.800003,3040300,83.284218
2016-04-07,82.970001,83.099998,81.059998,81.470001,3834100,80.968557
2016-04-08,81.959999,82.970001,81.550003,81.82,1900100,81.316401
2016-04-11,82.360001,83.080002,81.919998,81.919998,1687400,81.415784
2016-04-12,81.940002,82.970001,81.440002,82.860001,3281500,82.350001
2016-04-13,83.32,85.510002,83.239998,85.169998,3833800,85.169998
2016-04-14,83.0,85.889999,82.690002,84.690002,3760800,84.690002
2016-04-15,84.589996,85.150002,83.660004,84.160004,2052200,84.160004
2016-04-18,83.480003,85.099998,83.379997,85.010002,1837100,85.010002
2016-04-19,85.370003,86.43,85.099998,86.269997,2118900,86.269997
2016-04-20,86.690002,87.980003,86.129997,87.739998,2281500,87.739998
2016-04-21,87.669998,88.559998,87.260002,87.510002,2163400,87.510002
2016-04-22,87.769997,88.449997,87.360001,88.089996,2853900,88.089996
2016-04-25,87.550003,87.809998,86.940002,87.709999,1545000,87.709999
2016-04-26,87.870003,88.959999,87.459999,88.879997,1944100,88.879997
2016-04-27,88.739998,89.769997,88.220001,88.989998,2038400,88.989998
2016-04-28,88.0,89.0,87.68,88.190002,2023700,88.190002
2016-04-29,87.690002,88.129997,87.099998,87.779999,2579800,87.779999
2016-05-02,88.519997,88.550003,87.629997,87.910004,2682100,87.910004
2016-05-03,86.650002,87.129997,86.0,86.870003,1820600,86.870003
2016-05-04,86.0,86.470001,84.57,85.370003,2687700,85.370003
2016-05-05,85.449997,86.099998,85.029999,85.349998,2093400,85.349998
2016-05-06,84.900002,85.739998,84.699997,85.610001,2162600,85.610001
2016-05-09,84.860001,86.040001,84.610001,84.989998,2244600,84.989998
