Date,Open_MSI,High_MSI,Low_MSI,Close_MSI,Volume_MSI,AdjClose_MSI
2013-08-06,55.919998,56.52,55.84,56.400002,1656500,52.894103
2013-08-07,56.189999,56.52,56.049999,56.48,1679100,52.969128
2013-08-08,56.599998,57.16,56.259998,57.130001,1721100,53.578724
2013-08-09,56.84,57.540001,56.84,57.360001,1534500,53.794427
2013-08-12,57.049999,57.560001,56.799999,57.439999,1898100,53.869452
2013-08-13,57.389999,57.939999,57.32,57.84,1406500,54.244589
2013-08-14,57.68,57.959999,57.619999,57.709999,1392900,54.122669
2013-08-15,57.099998,57.099998,56.52,56.959999,3299600,53.41929
2013-08-16,57.310001,57.459999,56.900002,57.150002,2011800,53.597482
2013-08-19,56.970001,57.52,56.939999,57.09,1518600,53.54121
2013-08-20,56.959999,57.139999,56.849998,57.049999,1913300,53.503696
2013-08-21,56.860001,57.0,55.779999,56.060001,3258900,52.575237
2013-08-22,56.049999,56.450001,55.939999,56.330002,1435500,52.828454
2013-08-23,56.490002,56.84,56.310001,56.740002,1100300,53.212968
2013-08-26,56.59,57.060001,56.529999,56.549999,1001500,53.034776
2013-08-27,56.029999,56.349998,55.700001,56.119999,1720600,52.631505
2013-08-28,56.119999,56.599998,56.119999,56.389999,1308900,52.884722
2013-08-29,56.259998,56.43,55.970001,56.189999,1372400,52.697154
2013-08-30,56.16,56.209999,55.849998,56.009998,1408800,52.528343
2013-09-03,56.380001,57.0,56.040001,56.279999,1749400,52.781559
2013-09-04,56.220001,56.380001,55.959999,56.080002,2384900,52.593995
2013-09-05,55.93,56.59,55.93,56.169998,1457900,52.678397
2013-09-06,56.169998,56.810001,55.799999,56.470001,1894600,52.959751
2013-09-09,56.630001,58.0,56.630001,57.59,2370800,54.010129
2013-09-10,57.759998,58.0,57.139999,57.369999,1794000,53.803804
2013-09-11,56.990002,57.32,56.639999,57.25,1096500,53.98296
2013-09-12,57.349998,58.0,57.290001,57.5,2043800,54.218693
2013-09-13,57.439999,57.529999,57.150002,57.459999,1042300,54.180975
2013-09-16,58.060001,58.16,57.77,57.810001,2050300,54.511004
2013-09-17,57.759998,58.290001,57.759998,58.279999,1547200,54.954181
2013-09-18,58.25,59.380001,58.099998,59.259998,2663700,55.878255
2013-09-19,59.220001,59.919998,59.200001,59.689999,2588000,56.283717
2013-09-20,59.93,60.77,59.880001,60.389999,8420000,56.943771
2013-09-23,60.16,60.389999,60.049999,60.369999,1655200,56.924912
2013-09-24,60.23,60.23,59.919998,59.990002,2714000,56.5666
2013-09-25,59.799999,60.119999,59.529999,59.849998,1617800,56.434586
2013-09-26,59.869999,60.099998,59.709999,59.869999,990700,56.453445
2013-09-27,59.740002,59.919998,59.549999,59.75,838700,56.340294
2013-09-30,59.290001,59.610001,59.150002,59.380001,1420600,55.99141
2013-10-01,59.419998,60.889999,59.240002,60.889999,2788000,57.415238
2013-10-02,60.52,60.720001,60.150002,60.700001,2405500,57.236082
2013-10-03,60.48,60.790001,60.34,60.560001,1954300,57.104072
2013-10-04,60.369999,61.240002,60.16,61.139999,1978700,57.650972
