Date,Open_UNP,High_UNP,Low_UNP,Close_UNP,Volume_UNP,AdjClose_UNP
2015-07-31,97.690002,98.260002,97.220001,97.589996,3925000,95.022773
2015-08-03,97.559998,97.690002,95.959999,96.470001,4137500,93.932241
2015-08-04,96.199997,96.790001,94.970001,95.720001,6053500,93.201971
2015-08-05,96.400002,96.980003,94.980003,95.07,4631000,92.569068
2015-08-06,95.18,95.260002,93.629997,93.800003,5661200,91.33248
2015-08-07,93.550003,93.849998,92.410004,92.5,3542100,90.066675
2015-08-10,93.050003,93.870003,93.050003,93.480003,4878800,91.020899
2015-08-11,92.75,93.169998,92.010002,92.309998,3966000,89.881671
2015-08-12,91.610001,93.080002,91.260002,92.82,3800200,90.378257
2015-08-13,92.639999,93.029999,92.120003,92.699997,3017300,90.261411
2015-08-14,92.32,93.080002,92.32,92.739998,2277500,90.30036
2015-08-17,92.459999,92.959999,92.010002,92.739998,2777400,90.30036
2015-08-18,92.660004,92.889999,92.379997,92.779999,3853400,90.339308
2015-08-19,92.25,93.089996,91.879997,92.160004,3900400,89.735623
2015-08-20,90.620003,90.849998,89.32,89.32,8294300,86.970329
2015-08-21,88.360001,88.889999,86.410004,86.449997,9589500,84.175825
2015-08-24,81.18,85.190002,79.309998,82.660004,10316400,80.485532
2015-08-25,85.199997,85.25,80.510002,80.559998,9192100,78.440769
2015-08-26,82.629997,84.309998,81.730003,83.550003,12302500,81.352119
2015-08-27,84.349998,86.330002,84.139999,86.279999,10741600,84.566995
2015-08-28,86.099998,87.190002,86.010002,86.889999,5654100,85.164885
2015-08-31,86.900002,87.080002,85.730003,85.739998,5359400,84.037715
2015-09-01,83.629997,84.5,83.0,83.379997,5579900,81.72457
2015-09-02,84.360001,85.120003,83.160004,85.110001,6914800,83.420226
2015-09-03,85.940002,86.370003,85.489998,85.699997,6073800,83.998508
2015-09-04,85.0,85.75,84.449997,84.779999,5643400,83.096776
2015-09-08,87.0,88.029999,86.5,87.860001,8128400,86.115627
2015-09-09,88.349998,89.07,86.769997,86.949997,5162200,85.223691
2015-09-10,86.900002,87.580002,86.5,87.099998,4141900,85.370714
2015-09-11,87.080002,87.080002,85.739998,86.120003,5094200,84.410175
2015-09-14,86.519997,86.519997,85.529999,85.730003,4478200,84.027919
2015-09-15,86.18,88.190002,85.940002,87.980003,5070300,86.233248
2015-09-16,87.919998,90.160004,87.900002,89.790001,5988000,88.007309
2015-09-17,89.330002,91.160004,89.309998,89.720001,4501900,87.938699
2015-09-18,88.599998,89.059998,87.580002,87.779999,7384600,86.037214
2015-09-21,87.970001,89.339996,87.660004,88.25,4682100,86.497884
2015-09-22,86.970001,87.059998,85.639999,86.669998,4766800,84.949251
2015-09-23,86.400002,87.040001,85.489998,85.68,3441500,83.978909
2015-09-24,84.769997,85.209999,83.870003,84.830002,5545900,83.145786
2015-09-25,86.25,87.32,85.580002,86.589996,5357100,84.870838
2015-09-28,85.68,86.660004,84.849998,84.970001,5439700,83.283006
2015-09-29,85.239998,86.650002,84.940002,86.550003,4936600,84.831638
2015-09-30,87.900002,88.529999,86.989998,88.410004,5212000,86.654711
2015-10-01,89.239998,90.639999,89.110001,90.400002,6921000,88.605199
2015-10-02,88.75,91.93,88.559998,91.900002,5341700,90.075418
2015-10-05,91.730003,94.089996,91.620003,93.709999,5263000,91.84948
2015-10-06,93.809998,94.089996,93.160004,93.389999,3811000,91.535833
2015-10-07,94.209999,96.25,93.75,95.110001,4270600,93.221686
2015-10-08,94.57,97.290001,94.489998,97.050003,4140700,95.123171
2015-10-09,97.75,98.279999,96.169998,97.040001,4439200,95.113368
2015-10-12,96.760002,97.0,94.199997,95.260002,5480200,93.368709
2015-10-13,94.440002,95.25,93.75,93.800003,3549600,91.937697
2015-10-14,93.440002,93.75,92.599998,92.910004,5326500,91.065368
2015-10-15,93.669998,94.529999,93.0,94.260002,3276300,92.388563
2015-10-16,94.629997,94.730003,92.550003,92.940002,4580800,91.094771
2015-10-19,92.559998,92.790001,91.550003,92.709999,3991800,90.869334
2015-10-20,92.709999,94.230003,92.139999,93.739998,3384700,91.878883
2015-10-21,94.300003,94.879997,93.190002,93.410004,4248400,91.555441
2015-10-22,96.510002,97.57,95.540001,97.010002,6998900,95.083965
2015-10-23,97.419998,98.260002,96.160004,96.919998,4949100,94.995748
2015-10-26,96.620003,97.190002,95.010002,95.169998,4680600,93.280492
2015-10-27,94.199997,94.199997,90.220001,90.239998,9808700,88.448372
2015-10-28,90.75,91.389999,89.139999,90.099998,7342900,88.311152
2015-10-29,90.029999,91.510002,89.760002,90.519997,5298600,88.722812
2015-10-30,90.870003,91.169998,89.190002,89.349998,5603400,87.576043
2015-11-02,89.360001,89.760002,88.580002,89.099998,5365600,87.331006
2015-11-03,88.959999,89.339996,88.480003,88.699997,4957900,86.938946
2015-11-04,89.199997,89.440002,87.849998,88.190002,4714700,86.439077
2015-11-05,88.290001,88.510002,87.0,87.209999,6426300,85.478531
2015-11-06,87.0,87.209999,85.470001,85.980003,6826500,84.272956
2015-11-09,85.730003,89.099998,83.989998,86.169998,9109000,84.459178
2015-11-10,85.669998,86.309998,84.5,84.839996,5487300,83.155582
2015-11-11,85.480003,85.480003,84.110001,84.370003,4699000,82.69492
2015-11-12,83.830002,84.809998,83.150002,83.949997,5392800,82.283253
2015-11-13,83.550003,85.089996,83.519997,83.779999,4648100,82.11663
2015-11-16,83.589996,84.57,83.099998,84.349998,3601900,82.675313
2015-11-17,84.370003,85.949997,83.120003,85.099998,5275300,83.410422
2015-11-18,85.739998,87.75,85.620003,87.110001,5386900,85.380518
2015-11-19,87.080002,87.230003,85.949997,87.040001,6145500,85.311908
2015-11-20,87.519997,88.050003,86.5,86.739998,4401100,85.017861
2015-11-23,86.860001,87.480003,84.910004,85.110001,4723200,83.420226
2015-11-24,84.93,85.290001,84.629997,84.800003,5125400,83.116383
2015-11-25,84.43,84.949997,84.269997,84.629997,3518000,83.491268
2015-11-27,84.650002,84.959999,84.459999,84.5,2120100,83.363019
2015-11-30,84.839996,84.949997,83.940002,83.949997,6441200,82.820417
2015-12-01,83.949997,85.0,83.120003,84.400002,5399500,83.264367
2015-12-02,84.190002,84.370003,81.68,82.080002,7544400,80.975583
2015-12-03,82.139999,82.300003,78.760002,79.199997,11254200,78.13433
2015-12-04,77.370003,78.629997,77.029999,78.309998,11007100,77.256306
2015-12-07,78.150002,78.620003,76.699997,77.290001,9414300,76.250034
2015-12-08,76.339996,76.690002,74.779999,75.599998,8115300,74.582771
2015-12-09,75.029999,77.800003,74.940002,77.540001,9972300,76.49667
2015-12-10,77.540001,78.620003,77.309998,77.449997,6341000,76.407877
2015-12-11,77.449997,77.949997,76.379997,77.279999,6100400,76.240166
2015-12-14,77.5,77.970001,76.419998,76.879997,7517400,75.845547
2015-12-15,77.57,77.739998,76.120003,76.410004,7786800,75.381877
2015-12-16,77.099998,79.019997,76.839996,78.910004,5763800,77.848239
2015-12-17,78.720001,79.489998,77.300003,77.330002,5890900,76.289496
2015-12-18,76.82,76.830002,75.279999,75.43,10160000,74.41506
2015-12-21,75.989998,76.43,75.019997,75.489998,5247900,74.47425
2015-12-22,76.059998,77.589996,75.870003,77.059998,5706500,76.023125
2015-12-23,77.839996,79.129997,77.57,78.769997,6148700,77.710116
2015-12-24,78.790001,79.099998,78.5,78.800003,2327500,77.739718
2015-12-28,78.489998,78.730003,77.940002,78.339996,3958400,77.285901
2015-12-29,78.599998,79.050003,78.110001,78.970001,3505600,77.907429
2015-12-30,78.660004,78.779999,78.160004,78.510002,3685500,77.453619
2015-12-31,77.730003,79.150002,77.57,78.199997,3754600,77.147785
2016-01-04,76.870003,79.040001,76.129997,78.970001,6902600,77.907429
2016-01-05,79.010002,79.339996,77.300003,78.209999,6117300,77.157653
2016-01-06,76.75,77.190002,74.239998,74.830002,8125200,73.823135
2016-01-07,73.389999,74.190002,72.419998,73.080002,9077600,72.096682
