Date,Open_CCE,High_CCE,Low_CCE,Close_CCE,Volume_CCE,AdjClose_CCE
2015-08-21,51.84,52.049999,51.560001,51.790001,6220200,36.379227
2015-08-24,49.59,51.369999,48.209999,50.599998,6461700,35.543325
2015-08-25,51.779999,52.07,50.240002,50.360001,7388200,35.374742
2015-08-26,51.32,51.959999,50.799999,51.779999,5399000,36.372202
2015-08-27,52.200001,52.43,51.029999,51.849998,2570300,36.421372
2015-08-28,51.599998,51.889999,51.27,51.869999,1565100,36.435421
2015-08-31,52.07,52.07,51.27,51.490002,2464000,36.168497
2015-09-01,50.529999,51.16,50.0,50.93,3183500,35.775131
2015-09-02,51.43,51.549999,50.959999,51.540001,2146400,36.403757
2015-09-03,51.830002,51.830002,51.450001,51.630001,1951700,36.467326
2015-09-04,50.860001,51.259998,49.919998,49.990002,2823700,35.308961
2015-09-08,50.360001,51.27,50.259998,51.18,2612700,36.149482
2015-09-09,51.439999,51.52,49.009998,49.119999,3506400,34.69446
2015-09-10,48.919998,49.790001,48.740002,49.259998,2820000,34.793345
2015-09-11,49.110001,49.200001,48.75,49.029999,2264600,34.630892
2015-09-14,48.639999,49.23,48.639999,49.0,1947900,34.609703
2015-09-15,49.02,49.240002,48.669998,48.709999,2893800,34.404869
2015-09-16,49.049999,49.880001,49.040001,49.459999,2572200,34.93461
2015-09-17,49.5,50.029999,48.970001,49.049999,1929000,34.645018
2015-09-18,48.689999,49.220001,48.389999,48.509998,3464600,34.263605
2015-09-21,48.799999,49.419998,48.759998,48.959999,1381000,34.581449
2015-09-22,48.52,48.889999,47.91,48.130001,1412500,33.995205
2015-09-23,48.080002,49.099998,48.029999,48.919998,2864400,34.553196
2015-09-24,48.540001,48.810001,48.130001,48.619999,1908600,34.3413
2015-09-25,49.080002,49.209999,48.310001,48.639999,3248300,34.355427
2015-09-28,48.369999,48.5,46.560001,46.82,3647900,33.069924
2015-09-29,47.25,48.119999,46.959999,47.709999,4292300,33.698549
2015-09-30,48.189999,48.439999,47.939999,48.349998,2447500,34.150593
2015-10-01,48.389999,48.959999,48.389999,48.779999,1814900,34.454311
2015-10-02,48.360001,49.150002,48.049999,49.130001,1632000,34.701525
2015-10-05,49.360001,49.68,49.290001,49.470001,4175600,34.941674
2015-10-06,49.48,49.68,48.790001,48.830002,1923600,34.48963
2015-10-07,48.959999,50.360001,48.869999,49.889999,2593000,35.238328
2015-10-08,49.68,50.330002,49.599998,50.27,901400,35.50673
2015-10-09,50.27,50.93,50.189999,50.830002,1207100,35.902271
2015-10-12,50.709999,51.18,50.630001,50.91,1200100,35.958775
2015-10-13,50.759998,51.040001,50.139999,50.23,2095100,35.478477
2015-10-14,50.23,50.470001,49.950001,50.09,2490600,35.379592
2015-10-15,50.419998,50.59,49.939999,50.299999,1114000,35.527919
2015-10-16,50.509998,50.93,50.41,50.880001,818700,35.937586
2015-10-19,50.860001,51.200001,50.790001,51.16,712400,36.135355
2015-10-20,51.23,51.41,50.790001,50.900002,1249700,35.951713
2015-10-21,50.91,51.259998,50.509998,50.529999,1663500,35.690372
2015-10-22,50.669998,51.43,50.669998,51.310001,1771400,36.241304
2015-10-23,51.5,51.619999,50.779999,51.509998,1639300,36.382566
2015-10-26,51.490002,51.490002,50.689999,50.939999,1978300,35.979963
2015-10-27,50.759998,50.970001,50.450001,50.740002,2161100,35.838702
2015-10-28,50.93,51.490002,50.540001,51.43,2570700,36.326062
2015-10-29,50.43,51.779999,50.110001,51.119999,2655700,36.107101
2015-10-30,51.18,51.860001,51.169998,51.34,1846900,36.262493
2015-11-02,51.459999,51.549999,51.029999,51.299999,1406900,36.234239
2015-11-03,51.139999,51.66,50.580002,51.57,1804100,36.424946
2015-11-04,51.639999,51.77,50.419998,50.68,2333100,35.796321
2015-11-05,50.810001,51.77,50.810001,51.73,2143900,36.537957
2015-11-06,51.490002,51.52,50.450001,50.549999,1267300,35.704499
2015-11-09,50.27,50.830002,49.869999,50.119999,3701400,35.400781
2015-11-10,50.09,51.189999,50.09,51.009998,2040900,36.029406
2015-11-11,51.290001,52.029999,51.049999,51.540001,1998400,36.403757
2015-11-12,51.18,51.68,51.0,51.610001,2310600,36.4532
2015-11-13,51.599998,52.110001,50.810001,50.860001,2318400,35.923459
2015-11-16,50.830002,51.25,50.470001,50.959999,2013000,35.99409
2015-11-17,51.0,51.419998,50.259998,50.41,2583000,35.605615
2015-11-18,50.419998,50.77,49.939999,50.709999,1970600,36.017567
2015-11-19,50.73,51.360001,50.540001,50.77,1541100,36.060184
2015-11-20,50.959999,51.25,50.060001,50.099998,1593900,35.584304
2015-11-23,50.310001,50.830002,50.240002,50.560001,1998200,35.911029
2015-11-24,50.34,51.080002,50.07,50.82,1787700,36.095696
2015-11-25,50.860001,51.720001,50.689999,51.439999,1701500,36.53606
2015-11-27,51.57,51.630001,51.27,51.560001,443600,36.621294
2015-11-30,51.540001,51.57,50.290001,50.299999,2385300,35.726358
2015-12-01,50.720001,50.720001,50.18,50.450001,2016700,35.832899
2015-12-02,50.470001,50.529999,49.73,49.77,1864900,35.349918
2015-12-03,49.84,49.98,49.110001,49.599998,2304700,35.229172
2015-12-04,49.759998,50.470001,49.630001,50.080002,2790500,35.570101
2015-12-07,49.970001,50.290001,49.450001,49.720001,2006300,35.314405
2015-12-08,49.419998,50.049999,49.279999,49.630001,2761600,35.250481
2015-12-09,49.200001,50.029999,49.119999,49.639999,2419000,35.257583
2015-12-10,49.639999,50.299999,49.580002,49.650002,3080700,35.264687
2015-12-11,49.23,49.5,48.610001,48.880001,2722700,34.717782
2015-12-14,49.029999,49.779999,48.389999,49.73,2281300,35.321507
2015-12-15,49.950001,50.220001,49.639999,50.0,1584600,35.513279
