Date,Open_CME,High_CME,Low_CME,Close_CME,Volume_CME,AdjClose_CME
2014-11-10,85.599998,86.040001,85.019997,85.949997,1041500,78.412422
2014-11-11,86.0,86.389999,85.610001,86.290001,752300,78.722609
2014-11-12,86.07,86.279999,85.489998,85.599998,1062700,78.093118
2014-11-13,85.949997,86.139999,84.870003,85.139999,1282300,77.673459
2014-11-14,85.190002,85.510002,84.709999,84.82,1277300,77.381523
2014-11-17,84.610001,84.849998,83.849998,84.089996,1327800,76.715538
2014-11-18,84.389999,84.449997,83.339996,83.709999,1467300,76.368866
2014-11-19,83.510002,84.019997,82.720001,83.779999,1510600,76.432727
2014-11-20,83.190002,84.0,82.510002,83.589996,1300900,76.259387
2014-11-21,84.580002,84.580002,82.830002,83.139999,1159800,75.848854
2014-11-24,83.559998,84.190002,83.029999,83.360001,998600,76.049561
2014-11-25,83.010002,84.0,83.0,83.529999,1856900,76.204651
2014-11-26,83.599998,83.839996,83.290001,83.690002,1093600,76.350623
2014-11-28,84.120003,84.910004,83.849998,84.639999,1370000,77.217308
2014-12-01,84.589996,84.830002,84.010002,84.610001,1398900,77.18994
2014-12-02,84.650002,85.639999,84.370003,85.610001,1706100,78.102243
2014-12-03,85.389999,86.800003,85.089996,86.739998,1420000,79.133142
2014-12-04,86.43,87.260002,86.239998,87.239998,1315000,79.589294
2014-12-05,87.650002,88.879997,87.480003,88.739998,2018700,80.957748
2014-12-08,87.959999,89.489998,87.589996,88.93,1922200,81.563074
2014-12-09,88.040001,88.639999,86.980003,88.580002,1085100,81.242069
2014-12-10,88.220001,89.529999,88.0,89.029999,2210700,81.654789
2014-12-11,89.519997,89.989998,88.339996,88.480003,1902900,81.150355
2014-12-12,87.82,88.379997,87.040001,87.080002,1427200,79.866329
2014-12-15,87.669998,88.169998,87.0,87.940002,1758100,80.655087
2014-12-16,87.5,88.43,86.82,87.5,1722100,80.251534
2014-12-17,87.699997,89.989998,87.559998,89.940002,1969000,82.489408
2014-12-18,90.059998,92.300003,90.029999,92.279999,2187100,84.63556
2014-12-19,91.93,93.040001,91.93,92.360001,2746200,84.708934
2014-12-22,92.269997,93.040001,92.0,92.910004,1680300,85.213375
2014-12-23,93.199997,93.910004,92.629997,92.720001,1443500,85.039113
2014-12-24,91.0,91.349998,90.150002,90.580002,908700,84.907884
2014-12-26,91.040001,91.349998,90.32,90.389999,716800,84.729779
2014-12-29,90.019997,90.959999,89.639999,90.18,889200,84.53293
2014-12-30,89.959999,90.199997,89.68,89.849998,782900,84.223593
2014-12-31,90.089996,90.290001,88.639999,88.650002,863400,83.09874
2015-01-02,89.220001,89.379997,87.620003,88.139999,1130200,82.620674
2015-01-05,87.900002,89.040001,87.690002,88.639999,1503900,83.089364
2015-01-06,89.0,89.209999,87.019997,87.290001,1583800,81.823902
2015-01-07,87.0,88.339996,86.650002,88.300003,1908800,82.770658
2015-01-08,89.260002,89.970001,88.540001,88.709999,2002400,83.15498
2015-01-09,88.699997,89.260002,88.199997,88.790001,1239500,83.229972
2015-01-12,88.93,89.239998,87.419998,87.610001,1132800,82.123864
2015-01-13,88.599998,89.199997,86.860001,87.129997,1746200,81.673918
2015-01-14,85.389999,86.209999,84.339996,85.010002,2362800,79.686677
2015-01-15,84.93,85.540001,84.449997,84.870003,1308100,79.555445
2015-01-16,84.480003,85.220001,83.43,85.040001,2198000,79.714797
2015-01-20,86.739998,87.360001,85.480003,85.550003,2095400,80.192863
2015-01-21,85.290001,86.970001,84.989998,85.550003,2147100,80.192863
2015-01-22,85.580002,88.900002,85.379997,88.57,2125900,83.023748
2015-01-23,88.5,88.940002,87.68,88.519997,1009600,82.976876
2015-01-26,88.620003,88.989998,87.389999,88.790001,724900,83.229972
2015-01-27,88.300003,88.839996,87.260002,87.370003,761400,81.898895
2015-01-28,88.019997,88.400002,85.139999,85.169998,1337000,79.836654
2015-01-29,85.220001,86.290001,85.07,86.220001,1309400,80.820906
2015-01-30,85.089996,86.389999,85.0,85.300003,1533600,79.958518
2015-02-02,85.839996,87.239998,84.769997,87.080002,1329800,81.627053
2015-02-03,87.169998,87.860001,86.68,87.269997,1680000,81.805151
2015-02-04,87.739998,89.889999,87.370003,89.25,2255300,83.661166
2015-02-05,89.790001,91.620003,89.269997,90.839996,2321600,85.151597
2015-02-06,92.040001,95.209999,91.559998,94.209999,3206900,88.31057
2015-02-09,93.620003,94.870003,93.089996,93.82,1425300,87.944993
2015-02-10,94.040001,94.919998,93.25,94.620003,1423800,88.6949
2015-02-11,94.580002,95.32,93.970001,94.809998,1024000,88.872997
2015-02-12,94.889999,95.800003,94.599998,95.309998,1437100,89.341687
2015-02-13,94.830002,95.379997,93.739998,93.919998,1668300,88.038729
2015-02-17,94.010002,94.349998,93.480003,94.199997,1219200,88.301195
2015-02-18,94.160004,94.75,93.32,93.760002,879700,87.888752
