Date,Open_AON,High_AON,Low_AON,Close_AON,Volume_AON,AdjClose_AON
2013-10-14,72.919998,73.709999,72.650002,73.690002,1428300,71.376495
2013-10-15,73.410004,73.900002,72.559998,72.629997,2317100,70.349769
2013-10-16,73.110001,73.949997,73.07,73.849998,2362300,71.531468
2013-10-17,73.599998,74.489998,73.330002,74.199997,2529200,71.870478
2013-10-18,74.449997,75.550003,74.120003,75.389999,2481300,73.02312
2013-10-21,75.300003,75.43,74.849998,75.099998,820700,72.742224
2013-10-22,75.419998,76.519997,75.370003,76.360001,2594500,73.962668
2013-10-23,75.940002,75.989998,75.540001,75.849998,1594100,73.468677
2013-10-24,76.150002,76.900002,75.449997,75.580002,2730100,73.207157
2013-10-25,75.190002,78.75,74.599998,77.540001,4473000,75.105622
2013-10-28,77.589996,78.400002,77.550003,78.07,2067100,75.618981
2013-10-29,78.139999,79.739998,77.989998,79.709999,3496100,77.207493
2013-10-30,79.489998,80.419998,78.510002,80.239998,3859300,77.891861
2013-10-31,80.120003,80.150002,79.080002,79.089996,2230800,76.775514
2013-11-01,79.379997,79.449997,78.440002,78.769997,1640200,76.464878
2013-11-04,78.879997,78.989998,77.790001,78.620003,1542400,76.319274
2013-11-05,78.489998,79.080002,78.32,78.690002,1947900,76.387225
2013-11-06,79.150002,80.07,78.739998,80.050003,1835900,77.707427
2013-11-07,80.209999,80.220001,79.379997,79.43,2007600,77.105568
2013-11-08,79.389999,80.629997,79.230003,80.599998,1779400,78.241327
2013-11-11,80.620003,81.730003,80.559998,81.699997,1384100,79.309135
2013-11-12,81.260002,81.440002,80.32,80.57,933600,78.212206
2013-11-13,79.150002,80.18,79.150002,80.169998,2130300,77.82391
2013-11-14,80.410004,81.32,80.199997,80.809998,1336700,78.445181
2013-11-15,80.720001,81.580002,80.610001,81.580002,2342900,79.192652
2013-11-18,81.599998,81.82,81.019997,81.169998,855300,78.794646
2013-11-19,81.25,81.82,80.360001,80.529999,1388500,78.173376
2013-11-20,80.870003,81.290001,80.169998,80.43,1028100,78.076304
2013-11-21,80.660004,81.519997,80.639999,81.379997,1077200,78.9985
2013-11-22,81.68,82.550003,81.019997,82.550003,1499000,80.134267
2013-11-25,82.5,82.5,81.300003,81.370003,1225600,78.988798
2013-11-26,81.559998,82.300003,81.290001,81.870003,1898600,79.474166
2013-11-27,81.889999,82.370003,81.730003,82.290001,1055800,79.881873
2013-11-29,82.209999,82.419998,81.540001,81.639999,432600,79.250893
2013-12-02,81.550003,82.529999,81.220001,81.860001,1072100,79.464457
2013-12-03,81.610001,82.550003,81.559998,81.879997,1239300,79.483868
2013-12-04,81.550003,82.169998,81.040001,81.470001,1149300,79.08587
2013-12-05,81.129997,81.720001,81.019997,81.459999,1076700,79.076161
2013-12-06,82.559998,82.949997,82.330002,82.75,1226900,80.328411
2013-12-09,82.610001,83.339996,82.379997,82.900002,1176700,80.474023
2013-12-10,82.300003,83.279999,82.230003,83.07,1359900,80.639046
2013-12-11,82.870003,83.239998,81.589996,81.75,1382800,79.357675
2013-12-12,81.519997,82.279999,81.519997,81.900002,1300400,79.503287
2013-12-13,82.040001,82.389999,81.43,81.610001,783600,79.221773
2013-12-16,81.889999,82.330002,81.459999,81.849998,1216200,79.454747
2013-12-17,82.059998,82.339996,81.360001,81.82,1297300,79.425626
2013-12-18,82.0,84.059998,81.739998,83.93,2070300,81.47388
2013-12-19,83.510002,83.669998,82.169998,83.089996,1721000,80.658458
2013-12-20,83.400002,83.720001,82.919998,82.940002,2458400,80.512853
2013-12-23,83.339996,83.550003,82.300003,82.68,1183100,80.26046
2013-12-24,82.68,83.800003,82.660004,83.620003,584700,81.172954
2013-12-26,83.650002,84.0,82.970001,83.470001,937400,81.027342
2013-12-27,83.889999,84.0,82.93,83.410004,1084600,80.969101
2013-12-30,83.129997,83.870003,83.089996,83.25,1540300,80.813779
2013-12-31,83.559998,84.330002,83.529999,83.889999,970500,81.43505
2014-01-02,83.360001,83.699997,82.260002,82.360001,1209200,79.949825
2014-01-03,82.690002,82.980003,82.339996,82.599998,860400,80.182799
2014-01-06,83.019997,83.209999,81.720001,81.739998,1214100,79.347966
2014-01-07,82.339996,82.660004,82.110001,82.300003,1474200,79.891583
2014-01-08,82.120003,82.220001,81.510002,81.900002,1880600,79.503287
2014-01-09,82.150002,83.75,82.150002,83.650002,1372100,81.202075
2014-01-10,83.669998,83.720001,82.260002,82.519997,1081900,80.105139
2014-01-13,82.150002,82.449997,80.68,80.919998,1370400,78.551962
2014-01-14,81.370003,82.980003,81.040001,82.910004,1259600,80.483732
2014-01-15,83.0,83.419998,82.830002,83.400002,1161500,80.959391
2014-01-16,83.150002,84.040001,82.980003,84.019997,891800,81.561243
2014-01-17,84.419998,84.510002,83.980003,84.150002,961600,81.687443
2014-01-21,84.349998,84.629997,83.440002,83.699997,1128100,81.250607
2014-01-22,83.699997,83.959999,82.279999,82.760002,2078600,80.338121
2014-01-23,82.010002,82.059998,80.639999,81.290001,1805300,78.911137
2014-01-24,80.599998,80.910004,78.410004,78.410004,1899100,76.11542
2014-01-27,78.669998,80.099998,78.489998,78.93,2021500,76.6202
2014-01-28,79.18,80.360001,79.18,80.080002,1192700,77.736548
2014-01-29,79.510002,80.330002,79.32,79.550003,2565800,77.222059
2014-01-30,80.029999,80.75,79.610001,80.739998,2000400,78.550031
2014-01-31,79.230003,80.879997,77.849998,80.459999,1937100,78.277627
2014-02-03,80.190002,80.459999,76.809998,76.879997,2763500,74.794728
2014-02-04,77.309998,77.709999,76.739998,77.400002,2108200,75.300628
2014-02-05,77.209999,77.860001,76.980003,77.470001,1791000,75.368729
2014-02-06,77.599998,77.980003,76.489998,77.330002,1940000,75.232527
