Date,Open_TSO,High_TSO,Low_TSO,Close_TSO,Volume_TSO,AdjClose_TSO
2014-07-24,58.110001,59.880001,58.110001,59.810001,1951500,57.427956
2014-07-25,59.779999,60.25,59.150002,60.150002,1691800,57.754415
2014-07-28,60.0,60.009998,58.580002,59.080002,2181700,56.72703
2014-07-29,59.59,60.5,59.200001,59.98,2646500,57.591184
2014-07-30,60.099998,60.740002,59.060001,59.389999,2221700,57.024682
2014-07-31,58.990002,62.52,58.939999,61.540001,6453900,59.089055
2014-08-01,60.470001,61.48,58.549999,59.849998,3497400,57.46636
2014-08-04,59.950001,61.349998,59.68,61.200001,2795000,58.762596
2014-08-05,60.919998,61.799999,60.470001,61.299999,2457500,58.858612
2014-08-06,61.18,62.549999,61.099998,61.869999,2770000,59.405911
2014-08-07,62.119999,63.23,61.77,62.73,3529600,60.23166
2014-08-08,63.0,63.43,62.59,63.310001,1919300,60.788562
2014-08-11,63.43,63.740002,61.720001,61.759998,2610500,59.300291
2014-08-12,61.82,62.82,61.599998,62.200001,2170100,59.722769
2014-08-13,62.59,63.689999,61.939999,63.43,2158600,60.903782
2014-08-14,63.560001,64.190002,63.060001,63.689999,2498700,61.153425
2014-08-15,63.880001,64.199997,62.16,62.959999,3286600,60.452499
2014-08-18,63.41,64.470001,63.16,63.970001,2777900,61.422276
2014-08-19,64.050003,64.339996,63.290001,64.260002,2105900,61.700727
2014-08-20,64.220001,64.879997,63.400002,64.690002,1920200,62.113602
2014-08-21,64.849998,64.849998,63.740002,63.98,2495600,61.431876
2014-08-22,63.880001,64.709999,61.139999,64.5,2254400,61.931167
2014-08-25,64.800003,65.309998,64.199997,64.910004,1289300,62.324841
2014-08-26,64.800003,65.199997,63.950001,64.760002,1664800,62.180814
2014-08-27,64.5,64.690002,63.400002,63.709999,2732800,61.457329
2014-08-28,63.779999,64.540001,63.32,64.480003,1932800,62.200107
2014-08-29,64.370003,65.040001,64.220001,64.739998,1408700,62.450909
2014-09-02,64.860001,65.040001,63.549999,63.779999,2109500,61.524853
2014-09-03,64.129997,64.860001,63.880001,64.629997,1691400,62.344797
2014-09-04,64.660004,66.269997,64.419998,65.730003,2979200,63.405909
2014-09-05,65.620003,66.839996,65.0,66.610001,2497000,64.254792
2014-09-08,66.57,67.07,66.120003,66.510002,1577000,64.158329
2014-09-09,66.209999,66.330002,64.720001,64.830002,2316400,62.53773
2014-09-10,64.809998,65.150002,61.91,62.970001,4484000,60.743496
2014-09-11,62.470001,63.349998,61.540001,61.759998,3759500,59.576277
2014-09-12,61.68,62.119999,60.849998,61.5,2561000,59.325471
2014-09-15,61.41,62.110001,60.790001,62.060001,1980600,59.865672
2014-09-16,61.790001,63.77,61.650002,62.639999,2598500,60.425162
2014-09-17,62.799999,62.93,60.790001,61.810001,2568200,59.624512
2014-09-18,61.860001,62.200001,60.880001,61.360001,1546500,59.190422
2014-09-19,61.57,62.16,61.310001,61.919998,2357500,59.730619
2014-09-22,61.580002,61.889999,59.950001,60.009998,2722600,57.888153
2014-09-23,59.889999,61.02,59.470001,59.52,1778200,57.415481
2014-09-24,59.310001,59.93,58.130001,59.48,2189600,57.376894
2014-09-25,59.540001,59.650002,58.610001,59.34,1818200,57.241845
2014-09-26,59.509998,61.099998,59.18,60.91,2423100,58.756332
2014-09-29,60.310001,61.450001,60.189999,61.049999,1850300,58.891382
2014-09-30,61.09,62.07,60.490002,60.98,3790400,58.823857
2014-10-01,61.09,62.73,60.970001,61.349998,2946400,59.180774
2014-10-02,61.040001,61.82,59.639999,60.720001,3061200,58.573052
2014-10-03,60.880001,61.0,59.290001,60.650002,3153900,58.505527
2014-10-06,60.669998,62.16,60.07,62.02,2627900,59.827085
2014-10-07,61.720001,64.739998,61.720001,62.040001,5590300,59.846379
2014-10-08,62.259998,64.690002,61.369999,64.599998,3888800,62.315859
2014-10-09,64.489998,65.779999,61.91,61.98,4319100,59.788499
2014-10-10,62.189999,63.0,60.220001,61.669998,5092400,59.489459
2014-10-13,61.779999,63.16,60.25,60.389999,3908100,58.254718
2014-10-14,61.82,61.82,57.68,59.220001,4231300,57.126089
2014-10-15,58.470001,58.950001,55.59,58.639999,5059900,56.566595
2014-10-16,57.560001,60.540001,57.470001,59.810001,3282800,57.695228
