Date,Open_CI,High_CI,Low_CI,Close_CI,Volume_CI,AdjClose_CI
2016-04-12,131.970001,136.309998,131.960007,135.779999,1495200,135.779999
2016-04-13,136.240005,139.880005,135.570007,137.0,1539700,137.0
2016-04-14,137.089996,137.289993,134.949997,135.0,964600,135.0
2016-04-15,135.669998,137.649994,134.839996,136.649994,1590900,136.649994
2016-04-18,135.979996,137.580002,135.929993,137.119995,950900,137.119995
2016-04-19,138.190002,139.949997,137.5,139.869995,1432900,139.869995
2016-04-20,139.809998,142.910004,139.050003,141.270004,1177100,141.270004
2016-04-21,141.350006,142.820007,139.729996,140.339996,747300,140.339996
2016-04-22,140.580002,142.110001,140.029999,141.820007,572600,141.820007
2016-04-25,141.5,141.770004,140.240005,140.25,786000,140.25
2016-04-26,140.119995,141.149994,139.300003,140.679993,1417700,140.679993
2016-04-27,140.570007,141.0,137.690002,139.270004,974900,139.270004
2016-04-28,138.330002,141.0,138.039993,139.940002,554100,139.940002
2016-04-29,138.940002,139.160004,137.279999,138.539993,674900,138.539993
2016-05-02,139.240005,139.789993,137.529999,138.279999,653600,138.279999
2016-05-03,137.919998,139.080002,136.690002,137.740005,705500,137.740005
2016-05-04,136.940002,137.740005,134.710007,135.300003,1036200,135.300003
2016-05-05,135.0,136.339996,134.479996,134.929993,814100,134.929993
2016-05-06,137.0,137.0,129.050003,130.850006,2575300,130.850006
2016-05-09,130.699997,132.839996,130.259995,131.380005,1186600,131.380005
2016-05-10,131.589996,133.559998,131.300003,133.050003,751500,133.050003
2016-05-11,133.089996,133.75,130.089996,130.509995,1458400,130.509995
2016-05-12,130.529999,130.529999,127.269997,128.059998,1795900,128.059998
2016-05-13,128.369995,129.270004,126.07,128.360001,1551600,128.360001
2016-05-16,128.309998,130.919998,127.860001,130.009995,910900,130.009995
2016-05-17,129.679993,130.550003,128.029999,130.440002,1624300,130.440002
2016-05-18,130.320007,130.660004,128.199997,129.479996,761300,129.479996
2016-05-19,128.600006,130.070007,127.199997,129.059998,683900,129.059998
2016-05-20,129.720001,131.309998,129.5,131.279999,1976600,131.279999
2016-05-23,128.470001,128.5,125.010002,126.150002,4228400,126.150002
2016-05-24,126.889999,128.0,124.519997,124.809998,4518600,124.809998
2016-05-25,126.129997,129.869995,125.150002,129.300003,3455000,129.300003
2016-05-26,129.649994,130.559998,128.559998,128.869995,927600,128.869995
2016-05-27,128.910004,130.029999,128.539993,128.820007,980100,128.820007
2016-05-31,129.0,129.229996,127.459999,128.110001,1891000,128.110001
2016-06-01,128.110001,128.389999,126.279999,127.720001,1641800,127.720001
2016-06-02,127.760002,129.839996,127.720001,129.570007,1492100,129.570007
2016-06-03,128.970001,130.279999,128.899994,129.699997,1236900,129.699997
