Date,Open_CHD,High_CHD,Low_CHD,Close_CHD,Volume_CHD,AdjClose_CHD
2015-10-01,84.0,84.199997,83.190002,83.800003,1134000,82.821648
2015-10-02,83.25,85.129997,83.220001,85.129997,701900,84.136115
2015-10-05,85.809998,86.559998,85.410004,86.389999,1588600,85.381406
2015-10-06,86.349998,86.389999,85.43,85.559998,697700,84.561095
2015-10-07,85.889999,86.709999,85.419998,86.5,993900,85.490123
2015-10-08,86.330002,87.080002,86.080002,87.050003,570200,86.033705
2015-10-09,87.160004,87.839996,87.029999,87.620003,386000,86.59705
2015-10-12,87.75,88.519997,87.669998,88.300003,814800,87.269111
2015-10-13,88.0,88.610001,87.730003,87.93,498800,86.903428
2015-10-14,87.980003,88.199997,86.839996,86.959999,370900,85.944751
2015-10-15,87.489998,87.760002,86.989998,87.519997,312600,86.498211
2015-10-16,87.709999,88.459999,87.550003,88.370003,275300,87.338293
2015-10-19,88.260002,88.720001,88.0,88.209999,609700,87.180158
2015-10-20,88.300003,88.519997,87.860001,88.099998,308900,87.071441
2015-10-21,88.43,88.730003,87.720001,87.809998,269500,86.784826
2015-10-22,88.379997,88.870003,88.0,88.650002,547000,87.615023
2015-10-23,88.900002,89.370003,87.660004,87.809998,848600,86.784826
2015-10-26,87.610001,87.980003,87.160004,87.190002,630000,86.17207
2015-10-27,87.18,87.639999,86.32,86.580002,788100,85.569191
2015-10-28,86.870003,87.5,86.449997,87.489998,527500,86.468563
2015-10-29,87.029999,87.739998,86.379997,86.470001,794800,85.460474
2015-10-30,86.510002,86.709999,85.510002,86.089996,961100,85.084906
2015-11-02,87.080002,87.080002,85.050003,85.400002,827500,84.402967
2015-11-03,85.220001,85.470001,84.040001,84.110001,683400,83.128026
2015-11-04,84.480003,84.639999,83.5,83.860001,615500,82.880945
2015-11-05,84.059998,84.059998,82.910004,83.010002,751800,82.04087
2015-11-06,82.720001,82.949997,80.57,81.889999,1238100,81.261885
2015-11-09,81.889999,82.040001,80.669998,81.32,1032200,80.696257
2015-11-10,81.449997,83.400002,81.080002,83.239998,883500,82.601528
2015-11-11,83.239998,84.139999,83.150002,83.449997,745700,82.809917
2015-11-12,83.089996,83.620003,82.519997,82.589996,631100,81.956513
2015-11-13,82.5,82.959999,82.110001,82.529999,938200,81.896975
2015-11-16,82.529999,83.690002,82.370003,83.57,517300,82.928999
2015-11-17,83.57,84.800003,83.260002,83.470001,734700,82.829768
2015-11-18,83.580002,84.970001,83.43,84.849998,704400,84.19918
2015-11-19,85.150002,86.519997,84.940002,85.650002,750200,84.993047
2015-11-20,86.019997,86.660004,85.57,85.730003,563600,85.072435
2015-11-23,85.889999,86.540001,85.599998,86.300003,510000,85.638063
2015-11-24,85.690002,86.849998,85.57,86.629997,924900,85.965526
2015-11-25,86.529999,87.300003,86.510002,86.940002,371100,86.273153
2015-11-27,87.239998,87.660004,86.790001,87.110001,224500,86.441847
2015-11-30,87.099998,87.599998,85.620003,85.769997,779700,85.112122
2015-12-01,86.0,86.980003,86.0,86.860001,589000,86.193765
2015-12-02,86.540001,87.129997,85.57,85.760002,742100,85.102204
2015-12-03,86.290001,86.620003,84.629997,85.220001,539800,84.566345
2015-12-04,85.519997,86.900002,85.43,86.739998,408700,86.074683
2015-12-07,86.739998,87.379997,86.389999,87.07,369400,86.402153
2015-12-08,86.669998,87.269997,86.07,86.900002,367600,86.233459
2015-12-09,86.830002,87.760002,85.660004,85.949997,1383500,85.290741
2015-12-10,85.949997,86.260002,84.860001,84.940002,1009100,84.288494
2015-12-11,84.389999,84.690002,83.75,83.849998,627100,83.20685
2015-12-14,84.160004,84.690002,83.5,83.989998,748200,83.345776
2015-12-15,84.559998,84.889999,84.0,84.519997,863700,83.871709
2015-12-16,85.139999,85.839996,84.529999,85.540001,584200,84.88389
2015-12-17,85.709999,85.82,84.650002,85.239998,1012000,84.586188
2015-12-18,84.959999,85.110001,82.800003,83.220001,1405300,82.581685
2015-12-21,83.660004,84.239998,83.339996,84.129997,977600,83.484701
2015-12-22,84.300003,85.470001,83.540001,85.330002,812800,84.675502
2015-12-23,87.0,87.769997,86.360001,86.800003,1731900,86.134228
2015-12-24,86.660004,86.989998,85.889999,86.440002,752300,85.776988
2015-12-28,86.199997,86.779999,85.260002,85.349998,25684500,84.695345
2015-12-29,85.5,86.620003,85.07,86.269997,1471000,85.608286
2015-12-30,86.300003,86.790001,85.879997,86.129997,1607900,85.469361
2015-12-31,85.75,86.239998,84.849998,84.879997,768200,84.228949
2016-01-04,83.800003,84.150002,82.190002,83.510002,1748400,82.869462
2016-01-05,83.459999,83.889999,82.379997,82.800003,1461300,82.164909
2016-01-06,82.139999,83.120003,81.639999,82.410004,2054900,81.7779
2016-01-07,81.209999,81.879997,80.620003,81.080002,1332100,80.4581
2016-01-08,81.489998,83.050003,81.059998,82.059998,2102900,81.430579
2016-01-11,82.260002,82.949997,81.410004,82.620003,1504900,81.986289
2016-01-12,83.209999,83.82,82.769997,83.730003,1454200,83.087775
2016-01-13,82.139999,82.760002,78.470001,78.650002,2957900,78.046738
2016-01-14,79.050003,79.660004,78.110001,78.230003,1633300,77.629962
2016-01-15,77.010002,79.019997,77.010002,78.93,1807700,78.32459
2016-01-19,79.459999,80.139999,78.489998,78.959999,1086200,78.354358
2016-01-20,78.0,78.790001,76.849998,78.519997,1191200,77.917731
2016-01-21,78.440002,79.790001,77.809998,79.209999,1035000,78.602441
2016-01-22,80.0,81.32,79.379997,81.07,1158700,80.448175
2016-01-25,80.349998,80.580002,79.279999,79.449997,1033100,78.840598
2016-01-26,79.940002,80.739998,79.510002,80.309998,1159400,79.694002
2016-01-27,80.459999,81.660004,80.010002,80.510002,861400,79.892472
2016-01-28,80.889999,81.949997,80.330002,81.589996,1008000,80.964183
2016-01-29,81.620003,84.019997,81.410004,84.0,1452700,83.355701
2016-02-01,83.540001,85.099998,83.309998,85.07,1810100,84.417494
2016-02-02,84.220001,86.0,83.75,85.779999,2316900,85.122047
2016-02-03,86.239998,87.290001,85.339996,87.07,1742500,86.402153
2016-02-04,87.0,87.629997,85.980003,86.739998,1368400,86.074683
2016-02-05,86.489998,87.360001,85.900002,86.900002,1422100,86.233459
2016-02-08,85.580002,87.470001,85.190002,87.25,1508500,86.580773
2016-02-09,86.629997,88.839996,86.32,88.489998,1393200,87.81126
2016-02-10,88.690002,89.330002,88.269997,88.419998,980700,87.741797
2016-02-11,86.599998,87.209999,84.830002,86.620003,1424200,86.302104
2016-02-12,87.190002,88.809998,86.360001,88.580002,964500,88.25491
2016-02-16,89.0,89.739998,88.029999,89.639999,1165900,89.311017
2016-02-17,89.669998,90.290001,89.360001,89.879997,1210200,89.550134
2016-02-18,90.0,90.0,89.139999,89.510002,1400400,89.181497
2016-02-19,89.040001,89.839996,88.400002,89.410004,2087500,89.081866
2016-02-22,90.150002,90.57,89.660004,90.169998,730600,89.839071
2016-02-23,89.93,91.150002,89.860001,90.919998,690000,90.586318
2016-02-24,90.300003,91.690002,90.300003,91.620003,997000,91.283754
2016-02-25,91.790001,92.400002,91.330002,92.209999,992100,91.871585
2016-02-26,92.300003,92.720001,91.0,91.699997,903100,91.363455
2016-02-29,91.400002,92.279999,90.5,90.760002,1147900,90.42691
2016-03-01,91.190002,91.790001,90.730003,90.980003,961100,90.646103
2016-03-02,90.639999,91.379997,90.040001,91.349998,733400,91.014741
2016-03-03,91.389999,91.760002,90.610001,91.75,803300,91.413274
2016-03-04,91.330002,91.900002,90.980003,91.779999,602300,91.443163
2016-03-07,91.239998,91.540001,90.129997,90.650002,1083600,90.317313
2016-03-08,90.599998,91.940002,90.120003,90.93,854900,90.596284
2016-03-09,91.269997,91.879997,89.940002,90.169998,1073700,89.839071
2016-03-10,90.510002,90.730003,89.370003,90.300003,745100,89.968599
2016-03-11,90.900002,91.040001,90.040001,90.980003,583700,90.646103
2016-03-14,91.169998,91.489998,90.339996,90.599998,656500,90.267493
2016-03-15,90.129997,91.660004,90.010002,91.510002,922800,91.174157
2016-03-16,91.150002,92.349998,90.93,91.900002,683100,91.562725
2016-03-17,91.68,92.410004,91.349998,91.989998,724300,91.652391
2016-03-18,92.0,92.389999,91.129997,91.730003,1265200,91.393351
2016-03-21,91.599998,92.43,90.800003,92.0,539200,91.662357
2016-03-22,91.910004,91.949997,91.290001,91.480003,664400,91.144268
2016-03-23,91.620003,92.480003,91.379997,91.57,606400,91.233934
2016-03-24,91.610001,92.040001,91.050003,91.449997,696200,91.114372
2016-03-28,91.82,92.230003,91.449997,91.980003,455200,91.642433
2016-03-29,91.970001,92.5,91.330002,92.290001,536400,91.951293
2016-03-30,92.5,92.5,91.57,92.120003,501600,91.781919
2016-03-31,92.110001,92.379997,91.599998,92.18,944200,91.841696
2016-04-01,91.949997,93.769997,91.690002,93.699997,658200,93.356115
2016-04-04,93.879997,93.879997,92.169998,92.540001,798400,92.200376
2016-04-05,92.599998,94.269997,92.110001,93.940002,1744600,93.595239
2016-04-06,93.82,94.849998,93.709999,94.419998,1372500,94.073473
2016-04-07,93.919998,94.489998,93.160004,93.919998,1078100,93.575308
2016-04-08,94.25,94.400002,93.610001,94.110001,352700,93.764613
2016-04-11,94.5,94.5,93.290001,93.449997,568000,93.107032
2016-04-12,93.32,93.910004,93.050003,93.739998,439300,93.395969
2016-04-13,94.059998,94.080002,92.620003,93.480003,605300,93.136928
2016-04-14,93.480003,93.769997,92.870003,93.029999,574400,92.688575
2016-04-15,93.260002,94.949997,93.260002,93.910004,848100,93.56535
2016-04-18,92.650002,93.559998,91.730003,93.279999,891900,92.937658
2016-04-19,93.489998,94.440002,93.339996,94.260002,642100,93.914064
2016-04-20,94.099998,94.449997,93.120003,93.260002,508600,92.917734
2016-04-21,92.980003,93.199997,91.300003,91.300003,665500,90.964929
2016-04-22,90.830002,92.099998,90.209999,92.029999,736000,91.692245
2016-04-25,92.0,92.830002,91.790001,92.480003,548700,92.140598
2016-04-26,92.620003,92.949997,91.940002,92.059998,496000,91.722134
