Date,Open_SIG,High_SIG,Low_SIG,Close_SIG,Volume_SIG,AdjClose_SIG
2015-08-18,123.190002,125.110001,122.139999,124.129997,494400,123.428953
2015-08-19,125.050003,127.57,123.690002,126.5,1181300,125.785571
2015-08-20,126.019997,127.550003,125.730003,125.769997,1128900,125.059691
2015-08-21,124.510002,125.18,122.370003,123.120003,856500,122.424663
2015-08-24,120.360001,120.360001,116.970001,119.769997,1471300,119.093577
2015-08-25,120.959999,122.379997,117.5,117.559998,838900,116.896059
2015-08-26,119.57,121.379997,116.419998,121.290001,1505200,120.604996
2015-08-27,133.330002,139.899994,131.610001,138.820007,2540800,138.035999
2015-08-28,139.919998,141.589996,137.440002,139.660004,1061100,138.871252
2015-08-31,139.330002,142.929993,137.979996,138.0,1209300,137.220623
2015-09-01,135.75,136.820007,133.160004,134.050003,1428500,133.292934
2015-09-02,135.610001,138.119995,133.830002,138.080002,687400,137.300173
2015-09-03,138.380005,139.880005,136.419998,137.160004,794200,136.385371
2015-09-04,136.610001,138.419998,135.440002,136.529999,621500,135.758924
2015-09-08,137.169998,140.470001,137.110001,139.789993,605200,139.000507
2015-09-09,141.139999,142.080002,137.320007,137.679993,442200,136.902423
2015-09-10,137.710007,139.210007,137.080002,137.919998,724400,137.141073
2015-09-11,137.179993,139.320007,136.380005,139.240005,416100,138.453625
2015-09-14,138.970001,139.520004,137.270004,138.320007,391900,137.538823
2015-09-15,138.679993,138.820007,136.5,137.419998,702600,136.643897
2015-09-16,137.220001,138.949997,136.339996,138.720001,516500,137.936558
2015-09-17,138.800003,140.470001,137.490005,137.860001,485000,137.081414
2015-09-18,136.179993,138.839996,135.979996,136.869995,940500,136.097
2015-09-21,137.800003,138.880005,136.330002,138.580002,410200,137.797349
2015-09-22,136.839996,138.960007,136.339996,138.600006,522600,137.81724
2015-09-23,138.360001,142.740005,138.360001,141.669998,987900,140.869894
2015-09-24,140.539993,142.029999,139.380005,141.600006,730200,140.800298
2015-09-25,142.699997,142.869995,138.910004,140.009995,500600,139.219266
2015-09-28,139.539993,140.899994,136.080002,137.940002,587600,137.160964
2015-09-29,137.720001,138.889999,132.779999,133.800003,1145600,133.044346
2015-09-30,135.190002,137.009995,133.279999,136.130005,821200,135.361189
2015-10-01,136.75,136.949997,133.699997,134.970001,637000,134.207737
2015-10-02,133.880005,136.460007,131.949997,136.449997,636300,135.679374
2015-10-05,137.559998,138.710007,136.610001,138.289993,608300,137.508979
2015-10-06,138.220001,139.110001,135.080002,136.149994,530400,135.381065
2015-10-07,137.429993,138.380005,135.309998,138.300003,773900,137.518932
2015-10-08,137.869995,142.520004,137.869995,141.929993,738100,141.12842
2015-10-09,141.720001,143.580002,140.160004,143.0,737800,142.192385
2015-10-12,143.050003,146.720001,142.860001,144.759995,846000,143.942439
2015-10-13,144.289993,145.160004,142.309998,142.660004,452700,141.854309
2015-10-14,142.360001,143.330002,140.350006,140.919998,448400,140.12413
2015-10-15,141.380005,143.100006,140.570007,141.649994,777500,140.850003
2015-10-16,142.75,143.929993,141.339996,142.990005,573700,142.182447
2015-10-19,142.600006,146.160004,141.139999,146.070007,697300,145.245054
2015-10-20,146.940002,150.649994,145.220001,145.860001,913600,145.036233
2015-10-21,146.059998,147.070007,144.869995,146.339996,829800,145.513518
2015-10-22,147.699997,149.429993,146.889999,147.589996,768900,146.756458
2015-10-23,148.320007,148.429993,144.440002,144.759995,1135600,143.942439
2015-10-26,144.910004,148.220001,144.210007,147.779999,582600,146.945388
2015-10-27,147.440002,147.949997,145.779999,147.699997,363600,146.865838
2015-10-28,147.889999,149.970001,147.119995,149.470001,588900,148.625846
2015-10-29,149.699997,151.0,148.899994,150.570007,516400,149.940326
2015-10-30,150.520004,152.270004,148.960007,150.940002,477000,150.308774
2015-11-02,150.860001,150.929993,147.740005,149.169998,662400,148.546172
2015-11-03,148.740005,148.899994,147.190002,148.160004,602200,147.540401
2015-11-04,148.289993,149.550003,147.449997,148.199997,424700,147.580227
2015-11-05,148.860001,149.690002,146.649994,147.759995,347900,147.142065
2015-11-06,147.399994,148.25,144.649994,146.639999,451000,146.026754
2015-11-09,146.520004,147.419998,143.539993,146.850006,723600,146.235882
2015-11-10,146.729996,150.070007,146.470001,149.729996,665300,149.103828
2015-11-11,149.610001,150.5,144.869995,145.059998,613800,144.453359
2015-11-12,144.600006,147.740005,140.949997,141.139999,688800,140.549755
2015-11-13,140.110001,140.330002,134.380005,136.419998,1546200,135.849492
2015-11-16,136.210007,138.649994,135.119995,138.649994,660100,138.070162
2015-11-17,139.710007,140.199997,136.660004,137.919998,836400,137.343219
2015-11-18,138.419998,141.300003,137.259995,140.589996,962700,140.002052
2015-11-19,141.0,141.0,138.009995,139.710007,746400,139.125742
