Date,Open_TROW,High_TROW,Low_TROW,Close_TROW,Volume_TROW,AdjClose_TROW
2014-09-15,79.550003,79.720001,78.699997,78.980003,1271000,73.454228
2014-09-16,78.739998,79.239998,78.419998,79.080002,1353800,73.54723
2014-09-17,79.599998,79.769997,78.779999,79.300003,1224500,73.751839
2014-09-18,79.629997,80.529999,79.559998,80.209999,918100,74.598168
2014-09-19,80.5,80.739998,79.5,80.07,1487700,74.467964
2014-09-22,80.07,80.080002,79.169998,79.190002,1306900,73.649535
2014-09-23,79.089996,79.650002,78.940002,79.040001,1498500,73.510028
2014-09-24,79.349998,79.739998,79.019997,79.690002,1670300,74.114553
2014-09-25,79.589996,79.68,78.519997,78.720001,2444900,73.212417
2014-09-26,78.669998,79.489998,78.529999,79.199997,1259200,73.65883
2014-09-29,78.57,78.690002,77.919998,78.519997,1399500,73.026406
2014-09-30,78.769997,78.900002,78.059998,78.400002,1345400,72.914806
2014-10-01,78.5,78.720001,76.809998,77.080002,1685200,71.687159
2014-10-02,76.809998,77.769997,76.459999,77.440002,1432700,72.021972
2014-10-03,77.989998,78.57,77.720001,77.889999,1075600,72.440486
2014-10-06,78.300003,78.489998,77.660004,78.139999,872900,72.672994
2014-10-07,77.510002,78.110001,76.379997,76.389999,1354600,71.045432
2014-10-08,76.32,77.650002,75.57,77.550003,1668200,72.124277
2014-10-09,77.32,77.589996,75.910004,75.970001,2577500,70.654819
2014-10-10,75.839996,76.589996,75.330002,75.349998,2643200,70.078194
2014-10-13,75.220001,75.93,73.910004,73.940002,1855400,68.766847
2014-10-14,74.18,74.970001,73.949997,74.230003,1755300,69.036558
2014-10-15,73.080002,75.010002,71.779999,74.489998,2558300,69.278363
2014-10-16,73.440002,76.0,72.910004,75.43,2102200,70.152598
2014-10-17,76.190002,77.300003,75.690002,76.389999,2009300,71.045432
2014-10-20,75.989998,76.269997,75.43,76.230003,1164300,70.89663
2014-10-21,76.989998,77.849998,76.690002,77.690002,1774100,72.254481
2014-10-22,77.989998,78.160004,76.900002,76.989998,2197500,71.603452
2014-10-23,78.300003,78.300003,76.110001,77.32,2335100,71.910365
2014-10-24,77.589996,77.959999,77.220001,77.839996,990700,72.393981
2014-10-27,77.82,78.279999,77.089996,78.139999,1135300,72.672994
2014-10-28,78.389999,79.860001,78.269997,79.82,1740900,74.235455
2014-10-29,79.959999,80.330002,79.360001,80.080002,1446000,74.477266
2014-10-30,79.940002,81.349998,79.620003,80.860001,1392500,75.202693
