Date,Open_KSS,High_KSS,Low_KSS,Close_KSS,Volume_KSS,AdjClose_KSS
2015-09-30,46.52,46.810001,46.09,46.310001,3076400,45.393452
2015-10-01,47.18,47.52,44.759998,45.060001,4683000,44.168192
2015-10-02,44.689999,45.400002,44.040001,45.400002,4266100,44.501463
2015-10-05,45.790001,47.080002,45.700001,46.830002,3281100,45.903161
2015-10-06,46.419998,46.630001,45.650002,46.490002,3664300,45.56989
2015-10-07,46.619999,47.139999,45.73,46.150002,2158100,45.236619
2015-10-08,46.18,47.0,46.040001,46.650002,2865000,45.726723
2015-10-09,46.599998,47.380001,46.43,47.27,3782800,46.334451
2015-10-12,47.25,47.25,46.299999,46.5,1656600,45.57969
2015-10-13,46.369999,46.779999,45.59,45.610001,1675000,44.707306
2015-10-14,45.790001,46.09,44.580002,45.009998,3016700,44.119178
2015-10-15,45.169998,45.419998,44.650002,45.18,3195700,44.285816
2015-10-16,45.299999,45.970001,45.040001,45.93,2468200,45.020972
2015-10-19,45.91,46.299999,45.25,45.669998,2714300,44.766116
2015-10-20,45.709999,46.34,45.48,46.310001,2481500,45.393452
2015-10-21,46.380001,46.630001,45.599998,45.650002,1890200,44.746515
2015-10-22,45.75,45.990002,44.970001,45.419998,2478200,44.521064
2015-10-23,45.48,45.48,43.450001,44.060001,3495400,43.187983
2015-10-26,43.939999,45.720001,43.650002,45.330002,3462500,44.432848
2015-10-27,45.330002,45.869999,45.02,45.759998,5365900,44.854335
2015-10-28,45.779999,46.009998,45.16,45.700001,2539500,44.795524
2015-10-29,45.66,45.73,44.049999,44.580002,2830800,43.697692
2015-10-30,44.779999,46.619999,44.75,46.119999,3353700,45.20721
2015-11-02,46.139999,46.779999,44.52,46.709999,3946000,45.785533
2015-11-03,46.720001,48.16,46.720001,47.369999,3273800,46.432471
2015-11-04,47.439999,47.59,45.82,46.209999,2590800,45.295429
2015-11-05,46.32,46.759998,45.849998,46.66,2924500,45.736524
2015-11-06,46.540001,47.200001,46.200001,46.57,4085500,45.648305
2015-11-09,46.009998,46.200001,43.66,43.98,6119500,43.109565
2015-11-10,43.630001,45.75,43.509998,45.599998,6824800,44.697501
2015-11-11,44.0,44.040001,42.189999,43.16,9828300,42.305794
2015-11-12,45.43,47.240002,45.0,45.790001,19188600,44.883743
2015-11-13,44.669998,44.669998,41.860001,42.849998,9982600,42.001928
2015-11-16,42.689999,43.990002,42.57,43.939999,4144200,43.070356
2015-11-17,44.299999,45.169998,43.450001,44.049999,4433900,43.178179
2015-11-18,44.279999,45.310001,43.720001,45.150002,4506300,44.256411
2015-11-19,45.389999,45.77,44.990002,45.18,2767800,44.285816
2015-11-20,45.59,47.09,45.580002,47.040001,5070800,46.109004
2015-11-23,47.310001,47.970001,47.200001,47.639999,3518700,46.697127
2015-11-24,47.349998,49.060001,47.32,48.529999,3262600,47.569512
