Date,Open_PH,High_PH,Low_PH,Close_PH,Volume_PH,AdjClose_PH
2014-02-18,118.260002,118.860001,117.470001,117.879997,946100,112.4138
2014-02-19,117.589996,118.910004,116.690002,116.75,1207300,111.336202
2014-02-20,116.82,118.480003,116.769997,117.790001,1304500,112.327977
2014-02-21,118.150002,118.75,117.709999,117.769997,871400,112.3089
2014-02-24,117.949997,119.440002,117.949997,118.639999,1291300,113.13856
2014-02-25,118.599998,118.769997,117.400002,117.800003,1175300,112.337515
2014-02-26,118.059998,119.440002,117.379997,118.970001,1237000,113.453259
2014-02-27,118.949997,120.480003,118.690002,120.169998,872000,114.597612
2014-02-28,119.940002,121.57,119.779999,120.550003,945500,114.959995
2014-03-03,119.0,120.440002,118.760002,119.389999,975100,113.853782
2014-03-04,121.169998,122.07,120.699997,121.129997,895900,115.513095
2014-03-05,121.440002,121.970001,120.709999,121.910004,626400,116.256931
2014-03-06,122.360001,122.849998,121.940002,122.449997,873700,116.771885
2014-03-07,123.190002,125.349998,123.050003,124.379997,1653200,118.612389
2014-03-10,124.190002,124.489998,122.470001,123.220001,695600,117.506183
2014-03-11,123.300003,123.510002,120.269997,120.75,1162000,115.150718
2014-03-12,120.150002,120.349998,118.43,119.300003,1130400,113.767959
2014-03-13,119.790001,120.019997,116.110001,116.809998,1056100,111.393417
2014-03-14,116.669998,117.629997,116.129997,116.190002,1024900,110.802172
2014-03-17,117.43,120.18,117.389999,119.830002,1366400,114.273381
2014-03-18,119.82,120.540001,119.040001,119.879997,921300,114.321058
2014-03-19,119.919998,120.919998,118.690002,119.660004,770700,114.111266
2014-03-20,119.300003,120.639999,118.879997,119.230003,620300,113.701205
2014-03-21,121.260002,121.650002,119.169998,119.379997,1459300,113.844244
2014-03-24,119.610001,120.150002,118.480003,118.919998,852200,113.405575
2014-03-25,120.0,122.099998,119.839996,121.129997,1301300,115.513095
2014-03-26,121.790001,121.970001,118.629997,118.730003,1039600,113.224391
2014-03-27,118.580002,118.879997,117.5,118.010002,893100,112.537776
2014-03-28,118.480003,120.199997,118.269997,119.239998,649300,113.710736
2014-03-31,120.440002,121.080002,119.599998,119.709999,1242000,114.158943
2014-04-01,120.589996,122.25,120.050003,121.989998,1283700,116.333216
2014-04-02,122.010002,124.18,122.010002,123.75,1126600,118.011606
2014-04-03,123.82,124.029999,122.489998,123.260002,727900,117.544329
2014-04-04,125.089996,125.089996,121.589996,121.800003,1099800,116.152032
2014-04-07,121.339996,121.720001,118.459999,119.300003,1165700,113.767959
2014-04-08,118.989998,120.889999,118.790001,119.669998,1299700,114.120797
2014-04-09,120.650002,122.82,120.239998,122.529999,1059500,116.848177
2014-04-10,122.050003,123.169998,119.690002,119.82,957100,114.263843
2014-04-11,119.089996,120.080002,118.620003,119.139999,1146700,113.615375
2014-04-14,120.18,121.050003,119.040001,120.330002,984200,114.750196
2014-04-15,121.150002,122.370003,119.480003,121.269997,1497000,115.646602
2014-04-16,122.519997,124.220001,122.480003,124.220001,1262900,118.459812
2014-04-17,124.220001,126.0,124.099998,125.349998,1343200,119.537411
2014-04-21,125.099998,125.720001,124.309998,125.190002,623100,119.384834
2014-04-22,125.129997,126.099998,124.800003,124.940002,751700,119.146427
2014-04-23,125.169998,126.160004,124.599998,124.769997,649400,118.984304
2014-04-24,125.510002,125.720001,123.839996,124.459999,688200,118.688681
2014-04-25,124.309998,124.870003,121.809998,122.400002,977900,116.724208
2014-04-28,123.040001,124.269997,121.449997,122.730003,1662900,117.038907
2014-04-29,125.0,126.489998,123.519997,125.860001,1600300,120.023764
2014-04-30,127.050003,127.099998,125.230003,126.879997,1104400,120.996462
2014-05-01,126.419998,127.279999,125.709999,126.089996,768000,120.243094
2014-05-02,126.0,126.330002,124.860001,125.080002,952600,119.279934
2014-05-05,124.419998,125.279999,123.449997,124.269997,1057800,118.50749
2014-05-06,123.93,124.660004,123.209999,123.400002,927400,117.677837
2014-05-07,123.07,123.949997,121.860001,123.889999,1091400,118.606469
2014-05-08,123.739998,126.0,123.349998,124.230003,815400,118.931973
2014-05-09,124.110001,124.389999,123.029999,124.199997,468000,118.903247
2014-05-12,125.040001,126.870003,125.040001,126.480003,541300,121.086018
2014-05-13,126.739998,126.75,125.940002,126.040001,588600,120.66478
2014-05-14,126.150002,126.370003,124.75,124.940002,637000,119.611693
2014-05-15,124.419998,124.800003,121.589996,122.559998,1191000,117.333188
2014-05-16,122.650002,123.43,121.959999,123.029999,821900,117.783145
2014-05-19,122.620003,123.949997,122.32,123.809998,407200,118.529879
2014-05-20,123.470001,123.650002,121.010002,121.260002,928900,116.088634
2014-05-21,121.790001,122.779999,121.419998,122.470001,715000,117.24703
2014-05-22,122.760002,123.989998,121.82,121.879997,793600,116.682188
2014-05-23,121.559998,123.330002,121.559998,123.099998,430400,117.85016
2014-05-27,123.57,125.809998,123.389999,124.790001,918600,119.468089
2014-05-28,125.029999,125.389999,124.25,124.389999,475300,119.085146
2014-05-29,124.75,124.959999,123.360001,124.669998,505700,119.353204
2014-05-30,124.410004,125.470001,123.910004,125.230003,943200,119.889326
2014-06-02,125.580002,126.019997,123.900002,125.760002,758800,120.396722
2014-06-03,125.290001,126.029999,125.0,125.720001,727900,120.358427
2014-06-04,125.57,126.699997,125.32,125.839996,836500,120.473305
2014-06-05,126.300003,127.540001,125.900002,127.389999,1047200,121.957205
2014-06-06,127.669998,128.330002,127.510002,128.199997,686300,122.732659
2014-06-09,128.130005,130.440002,127.910004,129.410004,686500,123.891062
2014-06-10,128.910004,129.630005,128.190002,129.520004,477400,123.996372
2014-06-11,128.300003,129.0,127.760002,128.899994,567800,123.402803
2014-06-12,128.460007,128.630005,126.510002,126.82,727600,121.411514
2014-06-13,127.080002,127.68,126.690002,127.169998,380800,121.746586
2014-06-16,126.550003,127.510002,126.309998,127.18,407100,121.756162
2014-06-17,127.150002,128.570007,126.410004,127.239998,713200,121.813601
2014-06-18,127.029999,128.070007,126.129997,127.989998,580200,122.531616
2014-06-19,127.989998,128.009995,125.260002,127.480003,1321500,122.043371
2014-06-20,127.400002,128.279999,127.279999,127.720001,944700,122.273133
2014-06-23,127.779999,127.949997,126.559998,126.989998,837300,121.574262
2014-06-24,126.260002,127.839996,125.440002,125.709999,820600,120.348852
2014-06-25,125.139999,126.309998,124.839996,125.919998,730300,120.549895
2014-06-26,126.18,126.18,124.650002,125.650002,956700,120.291413
2014-06-27,125.160004,126.059998,124.18,125.629997,1473100,120.272262
2014-06-30,125.989998,126.230003,124.699997,125.730003,870800,120.368003
2014-07-01,126.089996,127.18,125.610001,126.870003,840300,121.459385
2014-07-02,126.709999,127.019997,125.760002,126.25,597400,120.865823
2014-07-03,126.82,127.599998,126.629997,127.370003,754900,121.938061
2014-07-07,126.870003,126.940002,125.550003,125.940002,998800,120.569046
2014-07-08,125.669998,125.870003,124.540001,124.739998,715600,119.420218
