Date,Open_NOV,High_NOV,Low_NOV,Close_NOV,Volume_NOV,AdjClose_NOV
2014-04-22,82.000002,82.660002,81.620001,82.229997,2188200,68.654704
2014-04-23,82.150007,83.150004,82.100002,82.650001,3708300,69.00537
2014-04-24,82.999999,82.999999,82.040005,82.879996,5842000,69.197395
2014-04-25,82.739992,83.819988,82.319988,83.469999,5376500,69.689994
2014-04-28,80.339996,80.490001,77.069998,77.309994,12013800,64.546941
2014-04-29,78.059994,79.70999,77.339997,78.109999,8038100,65.214873
2014-04-30,77.999997,78.830004,77.510004,78.529994,4195800,65.565532
2014-05-01,78.620002,79.25,78.249994,78.800001,4120900,65.790964
2014-05-02,78.97,80.469999,78.749997,79.399996,3772200,66.291906
2014-05-05,79.259992,80.430004,79.000003,79.879989,3155100,66.692657
2014-05-06,80.179999,80.639998,79.799998,80.069997,2346900,66.851297
2014-05-07,80.370007,81.009997,79.999999,80.680001,2193200,67.360596
2014-05-08,80.540006,80.919989,80.230003,80.309994,2833500,67.051672
2014-05-09,80.480009,80.589993,79.72,80.01,2871900,66.801205
2014-05-12,80.230003,80.979995,79.98999,80.419995,2564100,67.143514
2014-05-13,80.559999,81.419992,80.500002,81.330001,3399600,67.903287
2014-05-14,81.20999,81.58999,80.820006,81.029991,3861200,67.652806
2014-05-15,80.770001,81.009997,79.899999,80.440005,5217500,67.16022
2014-05-16,80.500002,81.89,80.320003,81.629994,5016900,68.153755
2014-05-19,81.249994,82.45,81.149993,82.299995,3470000,68.713146
2014-05-20,82.139997,82.479994,81.940005,82.07,4097600,68.52112
2014-05-21,82.199994,83.220002,82.100002,82.359992,3145800,68.763238
2014-05-22,82.389995,82.739992,81.879999,82.399996,2307900,68.796637
2014-05-23,82.73,82.999999,81.639995,81.900001,2721900,68.379187
2014-05-27,82.259991,82.389995,81.660005,81.930004,2493800,68.404236
2014-05-28,82.000002,82.210004,81.349994,81.870007,2387900,68.354144
2014-05-29,82.239998,82.299995,81.58999,82.080001,3833000,68.52947
2014-05-30,81.800001,82.010003,81.51,81.870007,3980500,68.354144
2014-06-02,74.699997,75.300003,73.790001,74.190002,4134100,68.693707
2014-06-03,74.269997,76.050003,73.900002,76.019997,4755900,70.388128
2014-06-04,75.900002,76.550003,75.25,76.309998,4764200,70.656644
2014-06-05,76.709999,76.779999,76.0,76.25,2808600,70.601092
2014-06-06,76.699997,77.209999,76.519997,77.139999,2023900,71.425156
2014-06-09,77.160004,78.489998,77.160004,78.059998,3126300,72.276997
2014-06-10,77.93,78.650002,77.830002,78.459999,2952500,72.647365
2014-06-11,76.910004,76.910004,75.889999,76.379997,4928500,71.138531
2014-06-12,76.709999,77.419998,76.580002,77.059998,3664000,71.771868
2014-06-13,77.519997,77.589996,76.779999,77.540001,2617300,72.218931
2014-06-16,77.5,78.25,77.370003,77.839996,2522500,72.49834
2014-06-17,77.559998,78.199997,77.400002,77.919998,2199900,72.572852
2014-06-18,77.610001,78.029999,77.0,77.970001,2899000,72.619424
2014-06-19,78.080002,78.480003,77.360001,78.269997,2838800,72.898832
2014-06-20,78.129997,79.580002,78.029999,79.580002,3972600,74.11894
2014-06-23,79.599998,80.5,79.559998,80.370003,2470700,74.854728
2014-06-24,80.129997,80.919998,79.440002,79.540001,4290100,74.081684
2014-06-25,79.589996,80.870003,79.290001,80.800003,3538100,75.255221
2014-06-26,80.800003,81.190002,80.43,80.949997,2687400,75.394921
2014-06-27,80.879997,82.690002,80.699997,82.629997,4374300,76.959634
2014-06-30,82.610001,82.75,82.010002,82.349998,3411900,76.69885
2014-07-01,82.660004,82.769997,81.800003,82.410004,2738200,76.754737
2014-07-02,82.389999,82.870003,82.160004,82.610001,2360300,76.94101
2014-07-03,82.480003,83.040001,82.18,83.019997,1430800,77.32287
2014-07-07,82.809998,83.230003,82.610001,83.139999,2342800,77.434638
2014-07-08,82.559998,83.32,82.5,83.139999,2889000,77.434638
2014-07-09,83.139999,84.669998,83.080002,84.5,3297800,78.701311
2014-07-10,83.559998,83.769997,82.760002,83.360001,3699100,77.639542
2014-07-11,83.279999,83.300003,82.089996,82.75,2824400,77.071402
2014-07-14,83.120003,83.760002,83.07,83.75,1919200,78.002778
2014-07-15,83.440002,84.099998,82.900002,83.879997,3391900,78.123855
2014-07-16,84.25,85.470001,84.139999,85.360001,3563900,79.502295
2014-07-17,85.199997,85.75,84.400002,84.599998,2714400,78.794447
2014-07-18,84.589996,85.449997,84.360001,85.449997,3178500,79.586115
2014-07-21,85.160004,85.760002,85.110001,85.580002,2507900,79.707199
2014-07-22,85.849998,86.339996,85.800003,86.029999,2536000,80.126315
2014-07-23,86.120003,86.300003,85.059998,86.18,3123900,80.266023
2014-07-24,86.129997,86.410004,85.07,85.449997,3306900,79.586115
2014-07-25,85.0,85.389999,84.779999,85.169998,2611400,79.325331
2014-07-28,85.169998,85.199997,83.790001,84.699997,4034800,78.887583
2014-07-29,85.739998,85.790001,82.919998,83.410004,4670700,77.686114
2014-07-30,83.0,83.449997,81.730003,81.730003,5051000,76.121401
2014-07-31,81.300003,81.93,80.900002,81.040001,4249200,75.478749
2014-08-01,80.529999,81.599998,80.300003,81.089996,3567000,75.525314
2014-08-04,81.089996,82.989998,80.519997,82.870003,3384100,77.18317
2014-08-05,82.559998,82.559998,80.760002,81.559998,3580300,75.963062
2014-08-06,81.169998,82.709999,81.139999,82.010002,2724900,76.382185
2014-08-07,82.18,82.720001,81.309998,81.639999,2496000,76.037573
2014-08-08,81.760002,82.379997,81.410004,82.309998,4121000,76.661594
2014-08-11,82.5,82.889999,81.870003,81.970001,2452000,76.344929
2014-08-12,81.739998,82.449997,81.57,81.889999,2081900,76.270418
2014-08-13,82.349998,82.830002,82.099998,82.220001,1637200,76.577773
2014-08-14,82.290001,82.699997,80.550003,80.769997,2745300,75.227273
2014-08-15,81.139999,82.199997,81.139999,82.110001,2780500,76.475321
2014-08-18,82.699997,82.860001,82.010002,82.489998,2124500,76.829242
2014-08-19,82.529999,84.139999,82.449997,83.620003,3039000,77.881702
2014-08-20,83.099998,83.870003,82.480003,83.839996,2279600,78.086599
2014-08-21,84.0,84.639999,83.300003,84.410004,2543600,78.61749
2014-08-22,84.18,84.32,83.519997,84.0,2246800,78.235622
2014-08-25,84.199997,84.790001,83.760002,84.669998,2097300,78.859643
2014-08-26,84.82,85.959999,84.779999,84.910004,2193000,79.083178
2014-08-27,85.139999,85.75,84.300003,85.620003,1736700,79.744455
2014-08-28,85.169998,85.730003,84.690002,85.419998,1847800,79.558175
2014-08-29,85.550003,86.459999,85.209999,86.43,2116900,80.498867
2014-09-02,86.5,86.550003,84.199997,84.629997,3297100,78.822387
2014-09-03,85.339996,85.709999,85.07,85.129997,2095900,79.288075
2014-09-04,85.160004,85.25,83.190002,83.629997,3715400,77.891011
2014-09-05,83.629997,83.889999,82.25,83.550003,2911900,77.816506
2014-09-08,83.199997,83.199997,81.800003,82.629997,2562800,76.959634
2014-09-09,82.5,82.690002,81.209999,81.75,3812200,76.140025
2014-09-10,81.269997,81.510002,80.139999,81.489998,4836700,76.327352
2014-09-11,80.959999,82.529999,80.800003,82.489998,3131200,77.263999
2014-09-12,82.150002,82.169998,80.309998,80.639999,3220100,75.531204
2014-09-15,80.779999,81.529999,80.300003,81.300003,2816000,76.149394
2014-09-16,81.300003,82.860001,81.18,82.349998,2713700,77.132869
2014-09-17,82.730003,82.769997,80.43,80.910004,3451200,75.784102
2014-09-18,81.120003,81.349998,80.269997,80.589996,2435700,75.484369
2014-09-19,80.980003,81.190002,80.160004,80.230003,4738600,75.147182
2014-09-22,80.150002,80.330002,78.120003,78.699997,4079800,73.714106
2014-09-23,78.650002,79.050003,78.239998,78.82,3389300,73.826507
2014-09-24,78.839996,79.400002,77.650002,78.860001,3643400,73.863973
2014-09-25,78.849998,78.919998,77.300003,77.93,3545000,72.992892
2014-09-26,78.139999,78.830002,77.580002,78.5,2792900,73.52678
2014-09-29,77.739998,78.260002,77.050003,78.099998,2639800,73.15212
2014-09-30,78.209999,78.410004,75.230003,76.099998,8965300,71.278826
2014-10-01,76.199997,76.730003,74.089996,74.540001,6559200,69.817659
2014-10-02,74.720001,75.209999,72.889999,74.190002,6760300,69.489834
2014-10-03,74.410004,74.419998,72.940002,73.5,4436800,68.843546
2014-10-06,73.629997,74.25,73.110001,73.540001,4300600,68.881012
2014-10-07,73.269997,74.93,73.169998,73.690002,4800400,69.021511
2014-10-08,73.059998,73.970001,71.25,73.93,6261300,69.246304
2014-10-09,73.489998,73.690002,71.029999,71.339996,5253900,66.820385
2014-10-10,71.440002,72.150002,69.769997,70.32,5695300,65.865008
2014-10-13,70.309998,71.260002,67.93,68.050003,5221000,63.738823
