Date,Open_CVS,High_CVS,Low_CVS,Close_CVS,Volume_CVS,AdjClose_CVS
2014-07-30,78.0,78.199997,77.43,77.739998,4014400,75.781144
2014-07-31,77.309998,77.739998,76.360001,76.360001,4385900,74.435919
2014-08-01,76.199997,77.089996,76.199997,76.489998,4483000,74.562641
2014-08-04,76.519997,77.480003,76.5,77.370003,4396200,75.420472
2014-08-05,78.010002,78.959999,76.169998,77.269997,6797600,75.322985
2014-08-06,74.720001,77.43,74.690002,77.029999,11306300,75.089035
2014-08-07,77.5,77.629997,75.629997,76.110001,5665500,74.192218
2014-08-08,76.25,77.919998,76.18,77.809998,4574600,75.84938
2014-08-11,78.019997,78.690002,77.949997,78.360001,3248700,76.385524
2014-08-12,78.209999,78.839996,78.120003,78.669998,2425000,76.68771
2014-08-13,78.93,79.150002,78.440002,78.910004,3448300,76.921668
2014-08-14,79.059998,79.339996,78.889999,79.300003,2696200,77.301841
2014-08-15,79.300003,79.5,78.440002,78.910004,3308500,76.921668
2014-08-18,79.160004,79.43,78.900002,79.150002,2205900,77.155619
2014-08-19,79.300003,79.540001,78.970001,79.529999,2251800,77.526041
2014-08-20,79.440002,79.760002,79.169998,79.610001,2584500,77.604027
2014-08-21,79.790001,79.82,78.93,78.980003,2597400,76.989904
2014-08-22,78.910004,79.599998,78.910004,79.239998,3502200,77.243348
2014-08-25,79.440002,79.769997,79.110001,79.209999,2500700,77.214105
2014-08-26,79.169998,79.639999,78.900002,79.349998,2727200,77.350576
2014-08-27,79.480003,79.75,79.25,79.43,2093100,77.428562
2014-08-28,79.309998,79.599998,78.970001,79.43,1811400,77.428562
2014-08-29,79.5,79.800003,79.279999,79.449997,2416200,77.448055
2014-09-02,79.470001,79.790001,79.220001,79.730003,2565800,77.721006
2014-09-03,79.889999,80.620003,79.669998,80.360001,3512200,78.335129
2014-09-04,80.43,81.160004,80.019997,80.309998,4924000,78.286386
2014-09-05,80.470001,81.650002,80.110001,81.639999,3567400,79.582875
2014-09-08,81.720001,82.120003,81.150002,81.400002,3357600,79.348925
2014-09-09,81.5,81.559998,80.57,80.860001,3849300,78.82253
2014-09-10,80.779999,81.190002,80.589996,80.910004,2751100,78.871273
2014-09-11,80.760002,81.220001,80.75,81.089996,3926300,79.046731
2014-09-12,81.360001,81.360001,80.330002,80.57,2867800,78.539837
2014-09-15,81.050003,81.279999,80.900002,81.239998,4369500,79.192953
2014-09-16,81.160004,82.57,81.150002,82.220001,3832000,80.148262
2014-09-17,81.900002,82.489998,81.75,82.239998,3570100,80.167755
2014-09-18,81.940002,82.129997,81.050003,81.18,4831000,79.134467
2014-09-19,81.669998,81.75,81.029999,81.370003,5876000,79.319682
2014-09-22,81.230003,81.279999,80.470001,80.599998,3534200,78.56908
2014-09-23,80.559998,80.75,79.82,79.989998,3684000,77.974449
2014-09-24,80.349998,80.889999,80.139999,80.82,4268700,78.783537
2014-09-25,80.580002,80.790001,79.709999,79.839996,3899100,77.828228
2014-09-26,79.620003,80.440002,79.610001,80.290001,3917500,78.266893
2014-09-29,79.739998,80.199997,79.269997,80.029999,3026900,78.013442
2014-09-30,80.0,80.309998,79.449997,79.589996,4049100,77.584527
2014-10-01,79.449997,79.830002,79.050003,79.139999,6973100,77.145869
2014-10-02,79.230003,80.260002,79.019997,80.059998,6297000,78.042685
2014-10-03,80.43,81.400002,80.099998,81.330002,5630700,79.280689
2014-10-06,81.559998,81.919998,81.080002,81.339996,3370500,79.290431
2014-10-07,81.019997,82.0,80.839996,81.029999,4676200,78.988245
2014-10-08,81.290001,82.559998,81.050003,82.519997,4846500,80.440699
2014-10-09,82.529999,83.199997,81.919998,81.949997,5075700,79.885061
2014-10-10,82.190002,83.449997,81.68,82.480003,7263100,80.401713
2014-10-13,82.519997,82.519997,80.019997,80.120003,7516200,78.101179
2014-10-14,80.660004,81.279999,80.389999,80.68,7812900,78.647066
2014-10-15,79.690002,79.980003,77.510002,78.989998,9026300,76.999647
2014-10-16,77.699997,79.650002,77.400002,78.809998,7354300,76.824182
2014-10-17,79.870003,80.169998,78.970001,79.959999,5568000,77.945207
2014-10-20,80.059998,81.970001,79.849998,81.760002,5721400,79.699854
2014-10-21,81.760002,83.099998,81.510002,82.919998,5166000,81.103413
2014-10-22,83.080002,83.790001,82.839996,83.25,5206000,81.426185
2014-10-23,83.919998,84.449997,83.43,83.599998,3969400,81.768516
2014-10-24,83.68,84.349998,83.419998,84.290001,2709200,82.443402
2014-10-27,84.290001,85.220001,84.209999,84.839996,3602500,82.981348
2014-10-28,85.199997,85.260002,84.699997,85.199997,3386900,83.333462
2014-10-29,85.07,85.739998,84.580002,85.190002,3379100,83.323687
2014-10-30,84.849998,85.949997,84.779999,85.550003,3101900,83.6758
2014-10-31,86.68,87.160004,85.720001,85.809998,6211000,83.930099
2014-11-03,86.029999,86.68,85.910004,86.120003,5217300,84.233313
2014-11-04,84.849998,86.209999,83.610001,85.470001,6300000,83.597551
2014-11-05,86.330002,87.879997,85.68,87.5,5460700,85.583077
2014-11-06,87.599998,88.480003,87.349998,88.43,3994900,86.492704
2014-11-07,88.169998,88.410004,87.739998,88.379997,3651200,86.443796
2014-11-10,88.110001,89.209999,87.919998,89.190002,3489300,87.236056
2014-11-11,89.330002,90.18,89.309998,89.760002,3330300,87.793568
2014-11-12,89.610001,89.800003,89.019997,89.290001,3000700,87.333864
2014-11-13,89.459999,90.139999,89.400002,90.129997,3489000,88.155457
2014-11-14,90.099998,90.25,89.029999,89.129997,5289500,87.177365
2014-11-17,89.129997,90.129997,89.129997,90.120003,4021200,88.145682
2014-11-18,90.040001,90.449997,89.730003,90.120003,3938900,88.145682
2014-11-19,90.059998,90.370003,89.339996,89.589996,4060500,87.627287
2014-11-20,89.419998,89.709999,88.940002,89.25,3513100,87.294739
2014-11-21,89.620003,89.970001,89.230003,89.330002,4319400,87.372988
2014-11-24,89.790001,91.110001,89.669998,90.870003,4193800,88.879251
2014-11-25,91.080002,91.080002,90.129997,90.290001,3907700,88.311956
2014-11-26,90.650002,90.919998,90.220001,90.889999,2112300,88.89881
2014-11-28,91.209999,92.0,91.139999,91.360001,1966200,89.358514
2014-12-01,91.419998,91.419998,89.980003,90.160004,3788500,88.184807
2014-12-02,90.110001,90.470001,89.900002,90.089996,3668600,88.116333
2014-12-03,89.889999,90.25,88.949997,89.139999,4429200,87.187148
2014-12-04,89.519997,89.970001,89.040001,89.839996,4141500,87.87181
2014-12-05,90.0,90.730003,89.639999,90.699997,3074700,88.71297
2014-12-08,90.410004,91.220001,90.32,90.760002,2779000,88.77166
2014-12-09,89.959999,91.269997,89.790001,91.25,3364900,89.250924
2014-12-10,91.139999,91.330002,90.07,90.110001,4549600,88.135899
2014-12-11,90.290001,91.75,90.199997,90.93,4068000,88.937934
2014-12-12,90.470001,91.849998,89.919998,89.940002,4312700,87.969625
2014-12-15,90.959999,91.529999,89.309998,89.870003,6389600,87.901159
2014-12-16,91.220001,94.610001,91.029999,92.309998,10159000,90.287699
