Date,Open_SLG,High_SLG,Low_SLG,Close_SLG,Volume_SLG,AdjClose_SLG
2014-05-07,106.629997,107.75,106.120003,107.589996,568800,102.959941
2014-05-08,107.57,108.849998,107.269997,107.889999,989100,103.247034
2014-05-09,107.919998,108.550003,107.589996,108.489998,583400,103.821212
2014-05-12,108.629997,109.099998,108.339996,108.949997,448900,104.261415
2014-05-13,109.0,109.660004,108.110001,108.400002,375900,103.735088
2014-05-14,108.440002,109.029999,107.730003,108.300003,541000,103.639393
2014-05-15,108.290001,108.769997,107.080002,107.989998,693500,103.342729
2014-05-16,108.209999,108.57,107.400002,108.57,590000,103.897771
2014-05-19,108.5,108.940002,107.800003,108.370003,445400,103.70638
2014-05-20,108.269997,108.910004,108.010002,108.370003,424300,103.70638
2014-05-21,108.82,109.900002,108.089996,108.25,383900,103.591542
2014-05-22,108.18,108.489998,107.75,107.779999,813000,103.141767
2014-05-23,108.129997,108.900002,107.779999,108.900002,404700,104.213571
2014-05-27,108.989998,109.330002,108.0,109.099998,476100,104.404961
2014-05-28,108.879997,108.910004,107.639999,108.489998,508300,103.821212
2014-05-29,108.720001,109.209999,108.150002,109.0,360700,104.309266
2014-05-30,109.089996,109.809998,108.510002,109.489998,585800,104.778177
2014-06-02,109.709999,110.629997,109.279999,110.389999,357300,105.639448
2014-06-03,110.010002,110.709999,109.470001,110.120003,374200,105.38107
2014-06-04,109.959999,110.879997,109.68,110.629997,319000,105.869118
2014-06-05,110.82,112.849998,110.290001,112.790001,435600,107.936167
2014-06-06,112.75,112.75,111.790001,112.480003,445700,107.63951
2014-06-09,112.400002,112.940002,111.120003,111.32,612600,106.529426
2014-06-10,111.120003,111.510002,109.610001,110.239998,533400,105.495902
2014-06-11,110.510002,111.080002,109.610001,110.519997,583900,105.763851
2014-06-12,110.519997,110.720001,109.110001,110.150002,633100,105.409778
2014-06-13,110.470001,111.089996,109.370003,110.699997,541300,105.936105
2014-06-16,110.790001,111.199997,109.940002,110.199997,385900,105.457622
2014-06-17,110.040001,110.550003,109.360001,110.0,691300,105.266232
2014-06-18,109.919998,111.199997,109.529999,110.650002,592100,105.888261
2014-06-19,111.18,111.57,110.669998,111.57,406400,106.768668
2014-06-20,111.260002,111.589996,110.629997,111.019997,1017300,106.242334
2014-06-23,111.199997,111.639999,110.650002,110.75,463300,105.983956
2014-06-24,110.489998,110.989998,110.150002,110.660004,560400,105.897833
