,Indicator,Error
21190,"Momentum_1, RSI_1, Weekdays",24.4327452549
13782,"EMA_2, SMA_4",24.432989457
6337,"Bollinger_5, Volatility_2",24.4380985458
1022,"EMA_2, RSI_1, RSI_2",24.4392879778
23623,"Lag_1, RSI_1, Weekdays",24.4395398261
2423,"RSI_1, RSI_2, Weekdays",24.440799045
6342,"Lag_1, Volatility_2, Weekdays",24.4409896293
19336,Lag_3,24.4423840972
7897,"Bollinger_5, SMA_4",24.4430747722
1623,"Bollinger_4, RSI_1, RSI_2",24.4454417169
29568,"Lag_1, Momentum_2, Weekdays",24.44624723
27143,"Momentum_1, Momentum_2, Weekdays",24.4478602388
24477,"Bollinger_5, RSI_2",24.4491863275
33970,"Lag_3, Momentum_2",24.4495211002
28174,"Lag_1, Momentum_1",24.4496819481
36315,"EMA_2, Momentum_2, Weekdays",24.4497175125
27078,"Bollinger_4, Bollinger_5, Lag_1",24.4497616692
28048,"Lag_1, SMA_4",24.4516844973
25195,"EMA_2, RSI_2, Volatility_2",24.4530741604
10749,"Lag_1, SMA_2",24.453762903
9734,"Momentum_1, SMA_4",24.4546321018
34084,"SMA_2, SMA_4",24.4549709693
25232,"Momentum_2, RSI_1, Volatility_2",24.4556812762
2296,Momentum_3,24.4565141401
29643,"Momentum_2, RSI_2, Volatility_2",24.4566249537
34268,"Lag_3, SMA_4",24.4568775411
5981,"Bollinger_4, Lag_1, RSI_1",24.4570715922
21580,"EMA_2, Lag_3",24.4570944775
13415,"Bollinger_4, Bollinger_5, Momentum_1",24.4577924257
14824,"Volatility_2, Volatility_3",24.4580851586
17535,"SMA_2, RSI_1, Weekdays",24.4583902621
3516,"Bollinger_4, Bollinger_5, SMA_2",24.4586434162
28456,"Bollinger_4, Momentum_2, RSI_1",24.4603984509
5105,"Momentum_2, SMA_2, Weekdays",24.4607078021
5335,"Bollinger_4, Momentum_1, RSI_1",24.4621774814
11481,"Bollinger_4, SMA_4",24.4622130662
13262,"EMA_2, Momentum_2, SMA_4",24.4626515911
14802,"Lag_1, Lag_3",24.4626548939
27722,"Lag_1, Lag_3, Momentum_2",24.4627341472
17682,"Bollinger_5, Lag_3",24.4633073243
20655,"Lag_1, Momentum_2, RSI_1, RSI_2",24.4636845541
5134,"EMA_2, Lag_3, Momentum_2",24.4637909811
28455,"Bollinger_4, Momentum_2, RSI_2",24.4637944495
31020,"Bollinger_4, EMA_2, RSI_2",24.4639038188
26078,"Bollinger_4, Lag_1, Volatility_2",24.464567692
17455,"Lag_3, Momentum_1, Momentum_2",24.4664689115
31140,"Bollinger_4, SMA_2, RSI_1",24.4665160856
293,"Lag_3, Momentum_2, SMA_4",24.4670509962
17719,"Lag_3, Momentum_1",24.467082348
13416,"Bollinger_4, Bollinger_5, Momentum_2",24.4671190105
294,"Lag_3, Momentum_2, SMA_2",24.4671723336
34266,"Lag_3, SMA_2",24.4676003089
23065,"SMA_4, RSI_2",24.4678962617
9076,"Momentum_1, Momentum_2, RSI_1, RSI_2",24.4681825306
27693,"EMA_2, RSI_2, Weekdays",24.4682082184
10721,"Momentum_2, SMA_2, RSI_1, RSI_2",24.4698028036
21229,"Bollinger_4, Lag_1, Weekdays",24.4698941589
21763,"Momentum_2, Momentum_3",24.4698951568
3303,"EMA_2, Momentum_2, RSI_1, RSI_2",24.4700960536
23066,"SMA_4, RSI_1",24.4706338759
13344,"Lag_3, SMA_2, SMA_4",24.4719730157
25629,"EMA_2, Weekdays",24.4721059171
18309,"Lag_3, Momentum_1, SMA_4",24.4725974108
445,"Bollinger_4, Momentum_1, Volatility_2",24.4734007075
3061,"Bollinger_5, Momentum_2, SMA_4",24.4735309577
25092,"Bollinger_4, Momentum_2, Volatility_2",24.4738512943
9149,"EMA_2, SMA_2, RSI_2",24.4744590018
427,"Bollinger_4, RSI_2, Volatility_2",24.4750269282
4766,"EMA_2, Momentum_3",24.4754883843
27826,"Bollinger_4, Weekdays",24.4769056408
16569,"Lag_1, Volatility_3",24.4772558434
13584,"Lag_1, Lag_3, SMA_4",24.4774334703
14568,"Momentum_3, SMA_4",24.4777087507
33834,"Bollinger_5, Momentum_3",24.4780716979
29637,"Lag_1, Momentum_2, RSI_2, Volatility_2",24.4791385581
14448,"Bollinger_4, SMA_2, Volatility_2",24.4796376853
28173,"Lag_1, Momentum_3",24.480146373
32954,"EMA_2, Momentum_1, RSI_2",24.4814295888
34567,"Bollinger_4, Lag_3",24.4821684341
16164,"Lag_1, Momentum_2, Momentum_3",24.4825252087
29616,"EMA_2, Lag_1, RSI_2",24.4825965638
12801,"Momentum_1, Volatility_3",24.4827321569
7218,"EMA_2, Momentum_2, Momentum_3",24.4829584831
35952,"Momentum_1, Momentum_3",24.4835603917
25590,"SMA_4, Volatility_2",24.4835966529
14566,"Momentum_3, SMA_2",24.483813648
19279,"Momentum_2, Momentum_3, SMA_4",24.4839643034
28267,"Momentum_1, Momentum_2, RSI_2, Volatility_2",24.4846970849
8486,"Bollinger_5, Momentum_2, Volatility_2",24.4849113336
13705,"Momentum_1, Momentum_2, Momentum_3",24.4851789687
19274,"Momentum_2, Momentum_3, SMA_2",24.4857390258
35510,"SMA_2, Volatility_3",24.4862465943
20055,"Bollinger_5, EMA_2, SMA_4",24.4862611634
12255,"EMA_2, Lag_1, Weekdays",24.4865292718
29975,"Momentum_2, SMA_2, RSI_2, Volatility_2",24.487259814
14741,"EMA_2, Momentum_2, RSI_2, Volatility_2",24.4873390712
9894,"Momentum_3, SMA_2, SMA_4",24.4875640081
30965,"Momentum_1, Momentum_3, SMA_4",24.4876739094
24777,"SMA_2, Volatility_2, Weekdays",24.4878010173
8598,"EMA_2, Lag_3, SMA_4",24.488114315
36435,"Bollinger_5, Weekdays",24.4882784896
36445,"Bollinger_5, Lag_3, Momentum_2",24.4887394516
12422,"Lag_1, Momentum_3, SMA_4",24.4887415773
24478,"Bollinger_5, RSI_1",24.4890701546
9490,"Bollinger_4, Bollinger_5, EMA_2",24.4904299045
24788,"Bollinger_4, Bollinger_5, Lag_1, Momentum_2",24.490940399
4093,"Lag_1, RSI_1, RSI_2, Volatility_2",24.4912790668
4950,"Bollinger_5, Lag_1, Volatility_2",24.4917390765
8601,"EMA_2, Lag_3, SMA_2",24.4922215723
35869,"Bollinger_4, Momentum_2, SMA_4",24.4923825423
27190,"Lag_3, RSI_2",24.4923941305
13882,"Bollinger_4, Momentum_1, Weekdays",24.4943065717
2595,"RSI_1, Volatility_3",24.4961042976
24969,"Bollinger_5, Lag_1, RSI_2",24.4961716108
29138,"Momentum_1, Momentum_2, SMA_4",24.4963310758
3797,"Momentum_2, SMA_2, SMA_4",24.4963890738
5284,"Lag_1, Momentum_2, SMA_4",24.4972129316
23808,"EMA_2, RSI_1, Volatility_2",24.497508401
30723,"Momentum_1, RSI_1, RSI_2, Volatility_2",24.497775443
7118,"Momentum_1, Volatility_2, Weekdays",24.4983207822
6354,"EMA_2, Momentum_3, SMA_4",24.4992206706
17374,"Bollinger_5, Momentum_1, Volatility_2",24.4993160356
35745,"Bollinger_4, Bollinger_5, EMA_2, Momentum_2",24.4993397655
14133,"Bollinger_4, Bollinger_5, Momentum_1, Momentum_2",24.4993627355
24544,"Bollinger_4, Lag_3, Momentum_2",24.499828681
15170,"Bollinger_4, RSI_2, Weekdays",24.4998690074
19711,"Bollinger_4, RSI_1, Volatility_2",24.5000297179
35314,"Bollinger_4, Bollinger_5, Momentum_2, SMA_2",24.5003885944
5132,"EMA_2, Lag_3, Momentum_1",24.5004712361
9998,"Momentum_2, Volatility_2, Weekdays",24.5012504874
29790,"Bollinger_5, Momentum_1, RSI_2",24.5017282225
27157,"Bollinger_4, Momentum_3",24.5023390369
4576,"EMA_2, Lag_1, Lag_3",24.5024029364
27058,"Bollinger_5, SMA_2, RSI_2",24.5024253841
27590,"Bollinger_5, Lag_1, SMA_4",24.5024437721
17031,"Momentum_2, SMA_4, RSI_2",24.503008849
1154,"Bollinger_5, SMA_2, Volatility_2",24.5037376542
12857,"Bollinger_4, EMA_2, SMA_4",24.5038976106
5708,"SMA_2, RSI_1, RSI_2, Volatility_2",24.5041506601
17032,"Momentum_2, SMA_4, RSI_1",24.5045490035
17005,"Bollinger_4, EMA_2, Momentum_2, RSI_2",24.5059282586
17482,"Bollinger_4, Bollinger_5, Weekdays",24.5062145727
18947,"Bollinger_5, SMA_2, SMA_4",24.5065345793
36362,"Bollinger_4, Lag_1, Momentum_2, RSI_1",24.5066875254
31019,"Bollinger_4, EMA_2, RSI_1",24.5067382442
14391,"Bollinger_5, Momentum_1, SMA_4",24.5067684641
9369,"Bollinger_5, Lag_3, SMA_4",24.5069889108
23053,"Lag_1, Momentum_2, RSI_1, Volatility_2",24.5071487267
29176,"Bollinger_4, Lag_1, RSI_1, RSI_2",24.5072615472
27189,"Lag_3, RSI_1",24.5073321384
30958,"Bollinger_5, EMA_2, Lag_3",24.508727835
3818,"Bollinger_5, Lag_1, Lag_3",24.508982893
10862,"EMA_2, Momentum_1, Weekdays",24.5090068866
22600,"EMA_2, SMA_4, RSI_2",24.5091197897
30327,"Bollinger_4, Bollinger_5, Volatility_2",24.5096973012
1265,"Momentum_3, RSI_2",24.5103727966
27123,"Bollinger_5, Momentum_2, Momentum_3",24.5105298041
17868,"Bollinger_4, Momentum_1, RSI_1, RSI_2",24.5107692996
6353,"EMA_2, Momentum_3, SMA_2",24.510905651
34562,"Bollinger_4, Bollinger_5, RSI_2",24.5118274508
32370,"Bollinger_4, Momentum_1, Momentum_2, RSI_1",24.5133123655
15497,"Bollinger_5, Lag_1, Lag_3, Momentum_2",24.5133785334
36359,"Bollinger_4, Lag_1, Momentum_2, RSI_2",24.5136641981
29734,"Momentum_1, Momentum_2, RSI_1, Volatility_2",24.5140751421
30341,"Bollinger_4, Lag_1, Momentum_2, Volatility_2",24.5141393819
36443,"Bollinger_5, Lag_3, Momentum_1",24.5142574379
19082,"Lag_3, Momentum_2, RSI_1",24.5147573901
9371,"Bollinger_5, Lag_3, SMA_2",24.5149761945
18256,"Lag_1, Lag_3, RSI_2",24.51504999
33864,"Bollinger_4, SMA_2, RSI_1, RSI_2",24.515110825
4302,"Bollinger_4, EMA_2, Volatility_2",24.515436441
23514,"Lag_1, Volatility_2, Volatility_3",24.5157980243
1942,"EMA_2, SMA_2, Volatility_2",24.5158571912
27479,"Momentum_2, SMA_4, Volatility_2",24.5161688071
15540,"Bollinger_4, Momentum_2, SMA_2, RSI_1",24.5164309449
36353,"SMA_2, RSI_1, RSI_2, Weekdays",24.5166266857
22806,EMA_4,24.5166930977
4103,"Bollinger_5, Lag_3, Momentum_1, SMA_4",24.5168289032
5654,"Bollinger_5, EMA_2, Lag_3, Momentum_2",24.5169077894
9588,"Momentum_2, RSI_2, Weekdays",24.517013583
11028,"Bollinger_5, Lag_3, SMA_2, SMA_4",24.5171038595
15999,"Bollinger_5, EMA_2, Momentum_2, SMA_4",24.517293124
26397,"EMA_2, Lag_1, Momentum_3",24.5177353098
21757,"EMA_2, Momentum_1, Volatility_2",24.5181084769
7484,"Bollinger_5, Lag_3, Momentum_1, Momentum_2",24.5181864976
31238,"Bollinger_5, Lag_3, Momentum_2, SMA_4",24.5183391495
5290,"Momentum_2, SMA_2, RSI_1, Volatility_2",24.5183837731
34966,"Momentum_2, RSI_1, Weekdays",24.5185438339
31239,"Bollinger_5, Lag_3, Momentum_2, SMA_2",24.5190820872
14234,"Bollinger_4, Lag_1, SMA_4",24.5191528083
21606,"Bollinger_5, EMA_2, Volatility_2",24.5192284612
214,"Momentum_3, RSI_1",24.5194389955
32372,"Bollinger_4, Momentum_1, Momentum_2, RSI_2",24.5196063807
9395,"Bollinger_4, Lag_1, Lag_3",24.5197797989
8903,"Lag_1, RSI_1, RSI_2, Weekdays",24.520475433
14515,"Lag_3, Momentum_1, RSI_2",24.5205898464
15538,"Bollinger_4, Momentum_2, SMA_2, RSI_2",24.5209165931
17881,"EMA_2, Lag_1, Volatility_2",24.5209321332
24271,"Bollinger_5, Lag_1, Lag_3, SMA_4",24.5215681786
9711,"Lag_3, SMA_2, RSI_2",24.5215811934
21571,"Momentum_1, Volatility_2, Volatility_3",24.521644331
11552,"EMA_2, Lag_3, RSI_2",24.5219392427
2075,"RSI_2, Volatility_3",24.5221086031
6510,"Bollinger_4, Momentum_1, Momentum_2, Volatility_2",24.5222894411
188,"Bollinger_5, EMA_2, RSI_2",24.5223128346
5471,"EMA_2, Momentum_2, RSI_2, Weekdays",24.522381449
3666,"EMA_2, Momentum_1, Momentum_3",24.5224746279
6574,"Lag_1, Momentum_2, RSI_1, Weekdays",24.5229534912
34973,"Bollinger_4, SMA_4, RSI_2",24.5237035519
34439,"Bollinger_4, Momentum_1, SMA_4",24.5238047111
801,"Bollinger_4, Momentum_2, Momentum_3",24.5239750763
3940,"Bollinger_4, Lag_3, SMA_4",24.524102296
26156,"Bollinger_4, SMA_2, SMA_4",24.5242392654
5898,"Lag_3, Volatility_2",24.5243197336
1869,"Bollinger_5, Lag_1, Momentum_2, Volatility_2",24.5246031238
18944,"Momentum_1, RSI_1, RSI_2, Weekdays",24.5247901134
3400,"Bollinger_5, Lag_1, Momentum_3",24.5247948032
30738,"SMA_4, RSI_1, RSI_2",24.5249009531
20966,"Bollinger_4, Lag_1, Lag_3, Momentum_2",24.5249466532
34485,"Bollinger_4, EMA_2, Lag_3",24.5250535106
17006,"Bollinger_4, EMA_2, Momentum_2, RSI_1",24.5250907335
8493,"SMA_2, Volatility_2, Volatility_3",24.5254021976
24546,"Bollinger_4, Lag_3, Momentum_1",24.5257491239
6668,"Bollinger_4, Bollinger_5, SMA_4",24.5266774643
18402,"Bollinger_4, Momentum_2, SMA_2, Volatility_2",24.5268332782
3938,"Bollinger_4, Lag_3, SMA_2",24.5270486513
22326,"Bollinger_4, Momentum_2, Weekdays",24.527146395
23902,"EMA_2, Momentum_2, RSI_1, Volatility_2",24.5274381687
23277,"Bollinger_5, Momentum_2, RSI_2",24.5274453653
3209,"Bollinger_4, Lag_1, RSI_2, Volatility_2",24.5277220978
22599,"EMA_2, SMA_4, RSI_1",24.5277905056
380,"Lag_1, Momentum_2, RSI_2, Weekdays",24.5282855767
34719,"Lag_1, SMA_4, RSI_2",24.5282994988
27077,"Bollinger_4, Bollinger_5, Lag_3",24.5285440933
13183,"Momentum_2, SMA_2, Volatility_2, Weekdays",24.5286008099
11288,"RSI_1, Volatility_2, Weekdays",24.529018636
9150,"EMA_2, SMA_2, RSI_1",24.5290365963
3536,"Bollinger_4, Lag_1, RSI_2, Weekdays",24.5298381771
15411,"Bollinger_4, Volatility_3",24.5302110099
25527,"Bollinger_4, EMA_2, Momentum_2, Volatility_2",24.5303023866
29814,"Bollinger_5, EMA_2, Momentum_3",24.5303495881
530,"Bollinger_4, Lag_3, Momentum_1, Momentum_2",24.5303811856
26904,"EMA_2, SMA_4, Volatility_2",24.5307119817
6785,"Bollinger_5, Momentum_1, Momentum_2, Volatility_2",24.531301041
11825,"Bollinger_4, Momentum_2, RSI_1, RSI_2",24.5313095909
18091,"Bollinger_4, Lag_3, Momentum_2, SMA_2",24.5315899287
17547,"Bollinger_5, Momentum_3, SMA_4",24.5316872817
23361,"Momentum_1, SMA_4, RSI_2",24.5317616493
31073,"Bollinger_4, EMA_2, Lag_3, Momentum_2",24.5319140118
16313,"SMA_2, SMA_4, RSI_2",24.5319902241
15327,"Momentum_2, Volatility_3",24.5320181037
14716,"EMA_4, Lag_3",24.5320485986
26916,"Bollinger_5, Momentum_1, Momentum_3",24.532339269
14136,"Momentum_2, RSI_1, RSI_2, Volatility_2",24.5324332656
22510,"EMA_2, SMA_2, Weekdays",24.5329397625
7257,"Bollinger_5, EMA_2, Momentum_2, Volatility_2",24.5329642994
17546,"Bollinger_5, Momentum_3, SMA_2",24.5330335731
9186,"RSI_1, Volatility_2, Volatility_3",24.5330434805
32951,"EMA_2, Momentum_1, RSI_1",24.5332552262
31530,"Bollinger_5, Lag_1, Momentum_2, Momentum_3",24.5334585546
29615,"EMA_2, Lag_1, RSI_1",24.5335103892
26671,"Momentum_2, Momentum_3, RSI_1",24.5336190066
7660,"Bollinger_5, SMA_2, Weekdays",24.5338433344
29468,"Bollinger_5, SMA_4, Volatility_2",24.5340215462
19080,"Lag_3, Momentum_2, RSI_2",24.5343059952
8848,"Lag_1, Momentum_3, RSI_2",24.5343121649
16371,"Bollinger_4, EMA_2, Momentum_2, SMA_4",24.5343656851
26568,"Bollinger_5, Momentum_2, SMA_2, Volatility_2",24.5347674262
741,"Lag_3, SMA_4, RSI_2",24.534860563
22660,"Bollinger_5, EMA_2, Lag_3, SMA_2",24.5358071959
6947,"Bollinger_4, SMA_2, Weekdays",24.5360996517
9593,"EMA_4, RSI_2",24.5366380478
11918,"Bollinger_4, Momentum_1, RSI_2, Volatility_2",24.5367067079
18089,"Bollinger_4, Lag_3, Momentum_2, SMA_4",24.5371441677
11565,"Lag_3, Momentum_2, Volatility_2",24.5376584598
20051,"Bollinger_5, EMA_2, SMA_2",24.5377048243
30126,"Bollinger_4, Lag_3, Momentum_1, SMA_4",24.5380030394
23276,"Bollinger_5, Momentum_2, RSI_1",24.5380895551
28345,"Bollinger_4, Lag_3, RSI_2",24.5382107313
304,"Lag_1, Momentum_1, RSI_2",24.5383435168
31371,"Bollinger_4, Lag_3, SMA_2, SMA_4",24.538397144
765,"Lag_3, SMA_4, RSI_1",24.5384056759
11163,"Momentum_3, Volatility_2",24.5384627127
22148,"Bollinger_5, EMA_2, Momentum_2, Momentum_3",24.5386443466
16265,"Bollinger_5, EMA_2, Momentum_2, Weekdays",24.5387993535
25402,"Bollinger_5, Momentum_1, Momentum_2, Momentum_3",24.5389368856
21786,"Bollinger_4, Lag_1, Lag_3, SMA_4",24.5390641352
4690,"Bollinger_5, RSI_1, RSI_2",24.539177938
1221,"Bollinger_5, Momentum_2, Momentum_3, SMA_4",24.5391963244
15424,"SMA_4, Weekdays",24.5393087482
34718,"Lag_1, SMA_4, RSI_1",24.5394983647
18231,"Momentum_1, Momentum_3, RSI_2",24.5395753876
1222,"Bollinger_5, Momentum_2, Momentum_3, SMA_2",24.5396960274
22661,"Bollinger_5, EMA_2, Lag_3, SMA_4",24.5398629685
13246,"Momentum_3, SMA_2, RSI_2",24.5404734778
8739,"Bollinger_4, EMA_2, Weekdays",24.5409981592
31545,"Bollinger_5, Lag_1, Momentum_3, SMA_4",24.5411185111
4852,"EMA_2, Volatility_2, Weekdays",24.5413444453
31585,"Bollinger_4, Lag_1, Momentum_3",24.5414802822
32618,"Bollinger_5, Momentum_3, SMA_2, SMA_4",24.5416835403
27911,"EMA_2, Momentum_3, RSI_2",24.5419285529
34971,"Bollinger_4, SMA_4, RSI_1",24.5419667821
34534,"Bollinger_5, Momentum_1, Momentum_3, SMA_4",24.5422958133
11307,"Lag_1, SMA_4, Volatility_2",24.5424239363
1647,"Lag_1, SMA_2, RSI_2",24.5427394719
13417,"Bollinger_4, Bollinger_5, Momentum_3",24.5427443592
31134,"Bollinger_5, Lag_3, Volatility_2",24.5428859176
5171,"Lag_3, RSI_1, RSI_2",24.5429003344
26606,"RSI_2, Volatility_2, Weekdays",24.5429916993
28007,"Bollinger_4, SMA_2, RSI_2, Volatility_2",24.5437465674
23359,"Momentum_1, SMA_4, RSI_1",24.5440920968
35312,"Bollinger_4, Bollinger_5, Momentum_2, SMA_4",24.5442115947
34980,"Bollinger_4, Bollinger_5, Lag_3, Momentum_2",24.5442525465
18416,"EMA_2, Momentum_2, SMA_4, RSI_2",24.5445943001
21335,"EMA_2, Lag_1, SMA_4",24.5446708128
12415,"Momentum_1, SMA_4, Volatility_2",24.5448298325
22961,"Lag_1, Lag_3, Momentum_2, RSI_2",24.5459015393
29816,"Bollinger_5, EMA_2, Momentum_1",24.5460279554
16315,"SMA_2, SMA_4, RSI_1",24.5462944926
30959,"Bollinger_5, EMA_2, Lag_1",24.5463047088
35530,"Bollinger_5, Momentum_2, Weekdays",24.5463331689
5656,"Bollinger_5, EMA_2, Lag_3, Momentum_1",24.5463504529
10831,"SMA_2, SMA_4, Volatility_2",24.5464231834
26413,"Bollinger_5, EMA_2, Weekdays",24.5465217386
29544,"Lag_3, SMA_4, Volatility_2",24.5465637296
3379,"Bollinger_4, Momentum_3, SMA_4",24.5467184962
6336,"Bollinger_5, Volatility_3",24.5473651551
11554,"EMA_2, Lag_3, RSI_1",24.5476921631
21947,"EMA_4, Momentum_3",24.5477935806
17892,"EMA_2, Lag_3, Momentum_2, RSI_2",24.5480765476
4522,"Momentum_2, SMA_2, RSI_2, Weekdays",24.5483436033
5228,"EMA_2, Volatility_3",24.5485896856
35028,"Bollinger_4, Lag_1, Momentum_2, Momentum_3",24.5487527178
1548,"Bollinger_4, Momentum_1, Momentum_3",24.5492556498
15628,"Bollinger_5, EMA_2, Lag_1, Lag_3",24.5494498423
27585,"Lag_1, RSI_2, Volatility_2, Weekdays",24.5494501488
1162,"Lag_1, Lag_3, Volatility_2",24.5494697386
5790,"EMA_2, Lag_3, Volatility_2",24.5495661348
20724,"Lag_3, Momentum_2, SMA_4, RSI_2",24.5495794568
34558,"Bollinger_5, Momentum_2, SMA_2, SMA_4",24.5496523684
24662,"Bollinger_5, Lag_1, Momentum_2, SMA_4",24.549844837
26871,"Bollinger_4, EMA_2, Momentum_3",24.5499613255
5726,"Lag_3, Momentum_1, Momentum_2, RSI_2",24.550103092
6069,"Momentum_3, SMA_4, RSI_2",24.5501725431
24968,"Bollinger_5, Lag_1, RSI_1",24.5502376391
9231,"Bollinger_5, Momentum_1, Momentum_2, SMA_4",24.5503916755
3378,"Bollinger_4, Momentum_3, SMA_2",24.5505703512
29476,"Lag_3, Momentum_2, SMA_2, RSI_2",24.5508399769
21474,"Lag_1, Momentum_2, Volatility_3",24.5515748431
26672,"Momentum_2, Momentum_3, RSI_2",24.5518084658
3677,"EMA_2, RSI_1, Weekdays",24.5521397875
24403,"Momentum_1, RSI_2, Volatility_2, Weekdays",24.5523637067
6363,"Bollinger_4, SMA_4, Volatility_2",24.5523671359
9691,"Bollinger_5, RSI_2, Volatility_2",24.5524729391
6012,"Bollinger_4, RSI_1, RSI_2, Volatility_2",24.5526167063
26116,"Lag_1, Momentum_2, Volatility_2, Weekdays",24.5526872392
22960,"Lag_1, Lag_3, Momentum_2, RSI_1",24.5529882293
23576,"Bollinger_4, Momentum_2, SMA_2, Weekdays",24.5536288584
6468,"Momentum_1, Momentum_2, Volatility_2, Weekdays",24.5541411671
18257,"Lag_1, Lag_3, RSI_1",24.5543497766
16932,"Lag_3, Momentum_1, Volatility_2",24.5543787797
2921,"Bollinger_4, Bollinger_5, Lag_1, Volatility_2",24.554424392
10057,"Bollinger_4, Momentum_1, Momentum_2, Momentum_3",24.5544948605
