Date,Open_EXPE,High_EXPE,Low_EXPE,Close_EXPE,Volume_EXPE,AdjClose_EXPE
2015-12-23,128.300003,128.520004,125.0,126.279999,2003200,125.718035
2015-12-24,126.169998,127.43,125.599998,126.470001,761100,125.907192
2015-12-28,126.300003,127.480003,124.660004,126.099998,1023000,125.538836
2015-12-29,126.43,128.919998,126.43,127.699997,1209300,127.131714
2015-12-30,127.68,127.970001,126.010002,126.269997,1083600,125.708077
2015-12-31,125.489998,126.209999,123.959999,124.300003,1355400,123.74685
2016-01-04,121.260002,122.0,119.059998,120.800003,3063700,120.262426
2016-01-05,121.25,122.129997,118.389999,119.93,3723800,119.396295
2016-01-06,117.559998,120.160004,116.510002,119.040001,2123200,118.510256
2016-01-07,117.010002,117.779999,114.0,114.809998,2008800,114.299077
2016-01-08,116.059998,116.5,111.25,111.410004,2456100,110.914213
2016-01-11,112.110001,112.779999,109.25,111.199997,2177900,110.705141
2016-01-12,112.050003,113.120003,110.150002,111.900002,1847100,111.402031
2016-01-13,112.440002,112.910004,105.330002,106.370003,3646400,105.896641
2016-01-14,106.739998,109.489998,102.870003,107.669998,2696300,107.190851
2016-01-15,103.559998,104.019997,99.559998,102.760002,4698600,102.302705
2016-01-19,104.809998,106.769997,104.080002,105.32,3304100,104.851311
2016-01-20,103.75,107.879997,100.07,106.279999,3142300,105.807038
2016-01-21,106.389999,107.620003,105.190002,106.400002,2277100,105.926506
2016-01-22,108.0,109.239998,106.040001,107.120003,1630100,106.643303
2016-01-25,106.879997,107.860001,104.980003,105.209999,1852700,104.7418
2016-01-26,104.660004,105.93,102.360001,104.93,2388300,104.463047
2016-01-27,102.910004,104.0,99.0,99.529999,3269700,99.087076
2016-01-28,101.290001,101.489998,97.220001,98.690002,2624900,98.250818
2016-01-29,99.220001,101.269997,98.129997,101.040001,2056700,100.590359
2016-02-01,100.160004,102.93,98.709999,102.150002,2689000,101.695419
2016-02-02,101.440002,101.790001,97.349998,98.709999,2910400,98.270726
2016-02-03,98.849998,99.080002,92.410004,96.300003,3239700,95.871454
2016-02-04,95.970001,100.209999,94.5,99.900002,2331100,99.455432
2016-02-05,99.07,99.110001,91.910004,93.540001,5815100,93.123735
2016-02-08,91.370003,92.269997,88.400002,91.529999,4856900,91.122677
2016-02-09,90.25,94.400002,89.239998,92.639999,4471200,92.227738
2016-02-10,93.360001,96.510002,93.019997,94.349998,6023000,93.930128
2016-02-11,100.099998,104.949997,96.879997,103.370003,11008900,102.909992
2016-02-12,104.709999,106.209999,99.370003,102.25,4895000,101.794973
2016-02-16,103.349998,105.449997,101.139999,105.440002,3984200,104.970779
2016-02-17,107.959999,112.620003,107.699997,110.879997,4596200,110.386565
2016-02-18,110.010002,111.529999,107.279999,107.470001,3387800,106.991744
2016-02-19,107.040001,108.760002,104.940002,108.669998,1992700,108.186401
2016-02-22,106.589996,108.239998,105.620003,106.959999,2593700,106.484012
2016-02-23,106.599998,107.639999,103.279999,104.160004,2358500,103.696477
2016-02-24,103.160004,105.360001,100.470001,104.400002,2812000,103.935407
2016-02-25,105.0,105.260002,102.699997,105.129997,1993100,104.662154
2016-02-26,105.879997,107.150002,104.389999,105.449997,1538100,104.980729
2016-02-29,104.190002,106.199997,104.010002,104.110001,1856600,103.646696
2016-03-01,105.019997,108.879997,102.849998,108.190002,2227700,107.708542
2016-03-02,107.830002,108.190002,105.660004,106.730003,1677300,106.25504
2016-03-03,106.43,109.220001,105.239998,108.510002,2283300,108.027117
2016-03-04,108.889999,109.089996,107.139999,108.529999,1689300,108.047025
2016-03-07,107.529999,107.870003,104.790001,105.389999,2392100,104.920999
2016-03-08,104.940002,106.360001,103.349998,104.860001,2301000,104.631633
2016-03-09,105.129997,106.230003,103.489998,105.690002,1891500,105.459827
2016-03-10,108.599998,111.449997,107.18,109.379997,3707800,109.141786
2016-03-11,110.550003,115.010002,110.239998,114.93,3803100,114.679702
2016-03-14,113.419998,118.639999,113.419998,116.389999,4029700,116.136521
2016-03-15,115.559998,117.620003,114.860001,116.269997,2505400,116.01678
2016-03-16,116.199997,116.93,111.199997,114.300003,4239700,114.051077
2016-03-17,114.599998,115.089996,111.25,111.480003,2735600,111.237218
2016-03-18,111.900002,111.900002,109.0,110.190002,4113200,109.950027
2016-03-21,110.139999,111.519997,108.419998,110.879997,2390200,110.638519
2016-03-22,108.089996,109.610001,107.849998,108.919998,2584800,108.682788
2016-03-23,109.339996,109.720001,108.379997,108.989998,1642700,108.752636
2016-03-24,108.139999,108.379997,106.5,107.690002,2320000,107.455471
2016-03-28,108.029999,108.029999,105.339996,106.599998,2319800,106.367841
2016-03-29,106.449997,107.959999,104.959999,107.239998,2783500,107.006447
2016-03-30,108.239998,109.190002,107.510002,107.800003,1386400,107.565232
2016-03-31,107.959999,108.269997,106.660004,107.82,2588400,107.585186
2016-04-01,106.790001,108.790001,106.059998,108.199997,2487500,107.964355
2016-04-04,108.32,108.629997,103.75,105.139999,3442600,104.911022
2016-04-05,104.620003,104.980003,102.419998,104.050003,3831400,103.823399
2016-04-06,104.550003,106.870003,104.220001,105.739998,2175900,105.509714
2016-04-07,105.010002,105.870003,103.379997,103.57,2143600,103.344441
2016-04-08,104.099998,104.099998,102.510002,102.970001,2265300,102.74575
2016-04-11,103.0,104.120003,101.839996,101.959999,1677500,101.737947
2016-04-12,102.050003,104.849998,102.050003,104.57,1892000,104.342264
2016-04-13,104.940002,107.209999,104.690002,106.919998,2304700,106.687144
2016-04-14,109.059998,109.5,107.629997,108.82,3084200,108.583008
2016-04-15,108.980003,109.230003,107.809998,109.160004,2246300,108.922271
2016-04-18,109.160004,111.25,109.160004,111.029999,2299800,110.788194
2016-04-19,109.120003,109.809998,106.32,107.559998,3681100,107.32575
2016-04-20,107.709999,108.980003,106.730003,108.290001,1617000,108.054163
2016-04-21,108.550003,108.860001,107.0,108.339996,1373100,108.10405
2016-04-22,108.07,108.720001,105.989998,107.510002,1993400,107.275863
2016-04-25,107.150002,107.5,105.690002,106.43,1719000,106.198213
2016-04-26,106.68,106.910004,105.760002,106.639999,1301600,106.407755
2016-04-27,106.029999,107.940002,105.360001,107.769997,3165600,107.535291
2016-04-28,107.550003,110.790001,106.830002,106.989998,6173600,106.756991
2016-04-29,116.839996,118.0,113.769997,115.769997,8365700,115.517869
2016-05-02,115.760002,116.989998,113.870003,116.519997,3588100,116.266235
2016-05-03,115.160004,116.790001,114.400002,115.970001,2649600,115.717438
2016-05-04,113.660004,115.43,112.889999,114.110001,3233200,113.861488
2016-05-05,114.139999,114.559998,112.449997,112.550003,2174300,112.304888
2016-05-06,112.0,113.330002,111.550003,113.160004,1812700,112.91356
2016-05-09,113.099998,114.120003,111.980003,112.599998,1531300,112.354774
2016-05-10,113.379997,115.360001,113.019997,115.019997,1560300,114.769502
2016-05-11,114.599998,114.910004,112.580002,112.650002,1111500,112.404668
2016-05-12,113.25,113.620003,111.209999,112.940002,1052100,112.694038
2016-05-13,113.25,113.800003,111.900002,111.919998,1235700,111.676255
2016-05-16,112.5,112.699997,111.349998,111.919998,1737200,111.676255
2016-05-17,111.949997,113.68,111.209999,111.620003,1650300,111.376913
2016-05-18,111.099998,112.269997,109.690002,110.769997,2679900,110.528758
2016-05-19,109.489998,110.43,107.760002,108.559998,2241300,108.323572
2016-05-20,108.730003,111.080002,108.269997,110.489998,2243000,110.249369
2016-05-23,110.300003,110.769997,109.940002,110.199997,1096100,109.96
2016-05-24,110.769997,113.690002,110.379997,113.169998,2333500,113.169998
2016-05-25,113.169998,114.099998,112.660004,113.010002,1648000,113.010002
2016-05-26,113.150002,113.449997,111.089996,111.82,1219100,111.82
2016-05-27,112.0,112.650002,111.510002,112.290001,1076400,112.290001
2016-05-31,112.360001,112.650002,109.919998,111.239998,2063300,111.239998
2016-06-01,110.470001,111.900002,109.529999,110.599998,1546600,110.599998
2016-06-02,110.120003,111.5,109.75,111.099998,1102000,111.099998
2016-06-03,110.5,110.669998,108.360001,109.989998,1525400,109.989998
