Date,Open_OI,High_OI,Low_OI,Close_OI,Volume_OI,AdjClose_OI
2015-08-21,20.940001,20.940001,20.32,20.32,1891100,20.32
2015-08-24,19.5,20.940001,19.5,19.74,3825400,19.74
2015-08-25,20.379999,20.51,19.41,19.42,2943500,19.42
2015-08-26,19.91,20.01,19.43,19.82,2146100,19.82
2015-08-27,20.190001,21.02,20.1,20.77,2277800,20.77
2015-08-28,20.629999,20.99,20.459999,20.82,1867400,20.82
2015-08-31,20.610001,21.190001,20.299999,20.85,1936700,20.85
2015-09-01,20.35,20.540001,19.780001,19.99,1851600,19.99
2015-09-02,20.32,20.469999,19.82,20.209999,1726800,20.209999
2015-09-03,20.26,20.690001,20.030001,20.49,1562200,20.49
2015-09-04,20.120001,20.25,19.799999,19.860001,1408100,19.860001
2015-09-08,20.33,20.959999,20.280001,20.93,1215800,20.93
2015-09-09,21.200001,21.4,20.629999,20.66,1588600,20.66
2015-09-10,20.73,20.83,20.440001,20.51,1104800,20.51
2015-09-11,20.33,20.4,19.860001,20.030001,1327300,20.030001
2015-09-14,19.950001,20.1,19.57,20.08,1974100,20.08
2015-09-15,20.790001,21.57,20.540001,21.42,6425800,21.42
2015-09-16,21.459999,21.780001,21.299999,21.67,4021300,21.67
2015-09-17,21.629999,21.84,21.379999,21.43,2233800,21.43
2015-09-18,21.219999,21.57,20.940001,21.43,2924600,21.43
2015-09-21,21.59,22.24,21.389999,22.15,3419100,22.15
2015-09-22,21.76,21.9,21.48,21.6,2147000,21.6
2015-09-23,21.57,21.65,21.040001,21.1,1260500,21.1
2015-09-24,20.82,20.92,20.51,20.84,1803000,20.84
2015-09-25,21.040001,21.26,20.780001,21.120001,1923500,21.120001
2015-09-28,20.99,20.99,20.57,20.639999,1810100,20.639999
2015-09-29,20.58,20.85,20.360001,20.469999,1474700,20.469999
2015-09-30,20.690001,20.83,20.33,20.719999,1407900,20.719999
2015-10-01,20.799999,21.129999,20.5,20.889999,1475900,20.889999
2015-10-02,20.700001,21.41,20.49,21.4,2063000,21.4
2015-10-05,21.620001,22.030001,21.5,21.85,2185200,21.85
2015-10-06,21.85,22.040001,21.52,21.9,1895300,21.9
2015-10-07,22.0,22.48,21.889999,22.370001,1813100,22.370001
2015-10-08,22.290001,23.48,22.27,23.4,2120500,23.4
2015-10-09,23.370001,23.549999,23.209999,23.459999,1610500,23.459999
2015-10-12,23.51,23.51,23.190001,23.379999,823700,23.379999
2015-10-13,23.24,23.540001,23.120001,23.209999,1234800,23.209999
2015-10-14,23.209999,23.799999,23.02,23.549999,1627700,23.549999
2015-10-15,23.65,23.84,23.25,23.790001,1003700,23.790001
2015-10-16,23.780001,23.799999,23.35,23.450001,1378100,23.450001
2015-10-19,23.450001,23.620001,23.209999,23.389999,622700,23.389999
2015-10-20,23.34,23.690001,23.299999,23.57,605900,23.57
2015-10-21,23.540001,23.67,23.09,23.129999,986900,23.129999
2015-10-22,23.309999,23.870001,23.290001,23.83,1095400,23.83
2015-10-23,23.950001,24.049999,23.59,23.6,1324900,23.6
2015-10-26,23.530001,23.66,23.379999,23.4,993700,23.4
2015-10-27,23.219999,23.219999,22.4,22.66,1789900,22.66
2015-10-28,22.530001,22.65,21.299999,21.75,2618100,21.75
2015-10-29,21.530001,21.790001,21.41,21.440001,1370700,21.440001
2015-10-30,21.43,21.76,21.27,21.549999,1467700,21.549999
2015-11-02,21.42,21.940001,21.42,21.790001,1234100,21.790001
2015-11-03,21.74,22.4,21.73,22.17,1901400,22.17
2015-11-04,22.25,22.309999,21.889999,21.92,1179500,21.92
2015-11-05,21.969999,22.33,21.5,21.51,1522700,21.51
2015-11-06,21.360001,21.5,21.030001,21.26,1493800,21.26
2015-11-09,21.200001,21.25,20.52,20.66,1062700,20.66
2015-11-10,20.559999,20.559999,19.940001,20.110001,1833200,20.110001
2015-11-11,20.139999,20.25,19.91,19.959999,1203800,19.959999
2015-11-12,19.82,19.82,18.76,18.799999,2410800,18.799999
2015-11-13,18.84,19.030001,18.67,18.75,1716300,18.75
2015-11-16,18.74,19.07,18.620001,19.02,1879800,19.02
2015-11-17,19.030001,19.209999,18.48,18.790001,2449600,18.790001
2015-11-18,18.83,18.969999,18.620001,18.83,1557500,18.83
2015-11-19,18.860001,18.98,18.629999,18.92,991800,18.92
2015-11-20,19.01,19.219999,18.75,18.76,1016900,18.76
2015-11-23,18.809999,19.360001,18.799999,19.190001,1363600,19.190001
2015-11-24,19.1,19.719999,18.83,19.59,1835700,19.59
2015-11-25,19.52,19.59,19.209999,19.309999,942500,19.309999
2015-11-27,19.299999,19.389999,19.01,19.24,395100,19.24
2015-11-30,19.24,19.43,19.1,19.290001,1516100,19.290001
2015-12-01,19.41,19.57,19.280001,19.35,1051400,19.35
2015-12-02,19.309999,19.549999,18.9,18.91,1319800,18.91
2015-12-03,19.030001,19.16,18.82,18.9,1227600,18.9
2015-12-04,18.92,19.34,18.860001,19.299999,1454000,19.299999
2015-12-07,19.08,19.190001,18.75,18.82,1332900,18.82
2015-12-08,18.59,18.66,18.0,18.030001,1870600,18.030001
2015-12-09,18.040001,18.219999,17.709999,18.0,2955700,18.0
2015-12-10,18.02,18.360001,17.77,18.16,2399100,18.16
2015-12-11,17.469999,17.889999,17.469999,17.51,1825500,17.51
2015-12-14,17.459999,17.620001,17.049999,17.209999,2268400,17.209999
2015-12-15,17.27,17.450001,17.190001,17.290001,1720000,17.290001
2015-12-16,17.34,17.5,17.15,17.360001,2539700,17.360001
2015-12-17,17.360001,17.43,16.75,16.940001,4396500,16.940001
2015-12-18,16.82,17.200001,16.75,17.059999,3276000,17.059999
2015-12-21,17.200001,17.290001,16.870001,16.959999,1685600,16.959999
2015-12-22,16.959999,17.110001,16.85,17.01,1753200,17.01
2015-12-23,17.27,17.610001,17.07,17.57,2270900,17.57
2015-12-24,17.6,17.76,17.4,17.66,618400,17.66
2015-12-28,17.549999,17.57,17.25,17.469999,1109500,17.469999
2015-12-29,17.58,17.73,17.389999,17.690001,1102000,17.690001
2015-12-30,17.629999,17.799999,17.469999,17.52,998900,17.52
2015-12-31,17.459999,17.639999,17.370001,17.42,1123900,17.42
2016-01-04,17.129999,17.129999,16.629999,17.059999,1504400,17.059999
2016-01-05,17.02,17.02,16.209999,16.280001,2044700,16.280001
2016-01-06,16.09,16.139999,15.76,15.85,1475900,15.85
2016-01-07,15.47,15.71,15.29,15.35,2173900,15.35
2016-01-08,15.35,15.5,14.98,15.02,2121300,15.02
2016-01-11,15.0,15.09,14.37,14.62,2034000,14.62
2016-01-12,14.77,14.89,13.86,14.11,3425300,14.11
2016-01-13,14.24,14.46,13.61,13.66,3045900,13.66
2016-01-14,13.73,13.93,13.4,13.8,2751700,13.8
2016-01-15,13.4,13.4,12.89,13.09,2526500,13.09
2016-01-19,13.34,13.34,12.33,12.59,3457900,12.59
2016-01-20,12.34,12.54,11.92,12.42,2898500,12.42
2016-01-21,12.47,12.89,12.39,12.68,2322900,12.68
2016-01-22,12.94,13.2,12.62,12.87,1940600,12.87
2016-01-25,12.72,12.86,12.43,12.45,2078500,12.45
2016-01-26,12.65,13.0,12.6,12.99,3264600,12.99
2016-01-27,12.88,13.46,12.78,13.21,3418300,13.21
2016-01-28,13.37,13.51,12.52,12.59,2378500,12.59
2016-01-29,12.6,12.95,12.35,12.94,2611600,12.94
2016-02-01,12.73,12.77,12.36,12.66,2151400,12.66
2016-02-02,12.35,12.43,11.99,12.06,2107600,12.06
2016-02-03,12.06,12.34,11.58,12.33,2578800,12.33
2016-02-04,12.45,13.34,12.43,12.94,2776000,12.94
2016-02-05,12.89,13.34,12.81,12.9,1845700,12.9
2016-02-08,12.7,12.72,12.09,12.31,2457900,12.31
2016-02-09,12.11,13.77,12.0,13.54,5562200,13.54
2016-02-10,13.38,13.86,12.94,13.41,3693600,13.41
2016-02-11,13.17,13.42,12.38,12.58,3334400,12.58
2016-02-12,12.68,13.31,12.36,13.04,2962000,13.04
2016-02-16,13.28,13.72,12.65,13.62,2414300,13.62
2016-02-17,13.76,14.51,13.51,14.2,3899400,14.2
2016-02-18,14.24,14.98,14.09,14.86,4183400,14.86
2016-02-19,14.7,14.75,13.89,14.06,2259300,14.06
2016-02-22,14.44,15.0,14.34,14.94,2664100,14.94
2016-02-23,15.02,15.19,14.69,14.73,2397200,14.73
2016-02-24,14.41,15.37,14.14,15.34,2804900,15.34
2016-02-25,15.24,15.49,14.62,15.08,2563900,15.08
2016-02-26,15.27,15.45,15.0,15.18,1447000,15.18
2016-02-29,15.17,15.27,14.87,14.96,2827000,14.96
2016-03-01,15.26,15.39,14.02,14.54,4429100,14.54
2016-03-02,14.58,14.69,13.74,14.68,5463500,14.68
2016-03-03,14.7,15.24,14.49,15.22,3055700,15.22
2016-03-04,15.3,15.69,14.91,15.13,2476600,15.13
2016-03-07,15.07,15.44,14.75,15.05,1993600,15.05
2016-03-08,14.58,14.78,13.86,14.01,2782400,14.01
2016-03-09,14.08,14.34,13.76,14.11,1999600,14.11
2016-03-10,14.11,14.24,13.79,14.16,2385500,14.16
2016-03-11,14.37,14.81,14.23,14.75,2910000,14.75
2016-03-14,14.69,15.25,14.62,15.11,3202200,15.11
2016-03-15,14.9,14.97,14.18,14.37,2697700,14.37
2016-03-16,14.35,15.09,14.22,14.98,2801800,14.98
2016-03-17,15.07,16.440001,15.07,16.24,3926800,16.24
2016-03-18,16.540001,16.639999,15.87,16.15,4210700,16.15
2016-03-21,16.07,16.35,15.93,16.190001,1710500,16.190001
2016-03-22,15.94,16.440001,15.83,16.290001,1659500,16.290001
2016-03-23,16.09,16.17,15.79,15.8,1327100,15.8
2016-03-24,15.56,15.8,15.07,15.75,1377100,15.75
2016-03-28,15.78,15.9,15.5,15.85,1048000,15.85
2016-03-29,15.28,15.91,15.22,15.87,1913400,15.87
2016-03-30,15.98,16.040001,15.42,15.74,1700300,15.74
2016-03-31,15.77,16.030001,15.59,15.96,2133100,15.96
2016-04-01,15.75,16.120001,15.56,16.09,1788400,16.09
2016-04-04,16.1,16.190001,15.65,15.67,1365800,15.67
2016-04-05,15.49,15.68,15.27,15.46,1381500,15.46
2016-04-06,16.030001,16.42,16.02,16.33,2776900,16.33
2016-04-07,16.559999,16.6,16.049999,16.16,1785000,16.16
2016-04-08,16.43,16.719999,16.24,16.34,1395900,16.34
2016-04-11,16.48,16.99,16.48,16.83,2334700,16.83
2016-04-12,16.889999,17.110001,16.76,17.030001,1975400,17.030001
2016-04-13,17.26,17.58,17.110001,17.469999,1869600,17.469999
2016-04-14,17.530001,17.68,17.27,17.59,1835800,17.59
2016-04-15,17.540001,17.73,17.51,17.700001,1525300,17.700001
2016-04-18,17.530001,17.91,17.440001,17.889999,2098000,17.889999
2016-04-19,17.940001,18.17,17.84,18.040001,1711300,18.040001
2016-04-20,18.1,18.209999,18.01,18.110001,1723000,18.110001
2016-04-21,18.18,18.43,17.950001,18.02,1894100,18.02
2016-04-22,18.1,18.5,17.98,18.33,1815800,18.33
2016-04-25,18.23,18.33,17.629999,17.809999,1833300,17.809999
2016-04-26,17.940001,18.34,17.809999,18.299999,1625100,18.299999
2016-04-27,18.309999,18.51,18.299999,18.459999,2237900,18.459999
2016-04-28,18.280001,18.610001,18.17,18.379999,2304500,18.379999
2016-04-29,18.42,18.559999,18.27,18.459999,2195200,18.459999
2016-05-02,18.459999,18.709999,18.32,18.610001,2406700,18.610001
2016-05-03,19.059999,19.639999,18.620001,19.200001,4625300,19.200001
2016-05-04,19.08,19.370001,18.690001,19.16,3795100,19.16
2016-05-05,19.32,19.4,18.799999,18.809999,3825500,18.809999
2016-05-06,18.809999,18.940001,18.42,18.77,2788700,18.77
2016-05-09,18.48,18.629999,18.23,18.540001,1471100,18.540001
2016-05-10,18.639999,19.360001,18.559999,19.309999,2421100,19.309999
2016-05-11,19.299999,19.66,19.030001,19.42,1882200,19.42
2016-05-12,19.35,19.719999,18.76,18.969999,2259000,18.969999
2016-05-13,18.950001,19.1,18.35,18.43,2290500,18.43
2016-05-16,18.57,18.98,18.57,18.77,1006300,18.77
2016-05-17,18.74,19.16,18.59,18.780001,1755100,18.780001
2016-05-18,18.57,18.91,18.24,18.34,2052000,18.34
2016-05-19,18.1,18.209999,17.700001,18.049999,1363000,18.049999
2016-05-20,18.139999,18.5,18.139999,18.41,1693500,18.41
2016-05-23,18.309999,18.790001,18.299999,18.42,1662800,18.42
2016-05-24,18.52,18.73,18.370001,18.620001,1019700,18.620001
2016-05-25,18.700001,18.98,18.639999,18.879999,1021600,18.879999
2016-05-26,18.959999,19.040001,18.48,18.48,980700,18.48
2016-05-27,18.57,18.98,18.549999,18.91,981500,18.91
2016-05-31,18.940001,19.09,18.82,18.9,857500,18.9
2016-06-01,18.700001,18.9,18.34,18.879999,1092300,18.879999
2016-06-02,18.799999,19.219999,18.540001,19.219999,1102000,19.219999
2016-06-03,19.26,19.389999,18.84,19.379999,1355400,19.379999
