Date,Open_FLR,High_FLR,Low_FLR,Close_FLR,Volume_FLR,AdjClose_FLR
2015-09-15,45.200001,45.48,44.349998,44.939999,1944700,44.366487
2015-09-16,44.98,45.599998,44.900002,45.470001,1531400,44.889726
2015-09-17,45.380001,45.529999,44.57,44.669998,1515200,44.099933
2015-09-18,43.990002,44.119999,43.139999,43.290001,2184800,42.737546
2015-09-21,43.619999,43.880001,43.330002,43.599998,1457600,43.043588
2015-09-22,42.900002,43.150002,42.459999,42.84,1183400,42.293288
2015-09-23,43.02,43.099998,41.650002,41.700001,1404800,41.167837
2015-09-24,41.34,42.25,40.709999,42.09,1594100,41.55286
2015-09-25,42.400002,42.400002,41.779999,42.139999,1349200,41.602221
2015-09-28,41.650002,41.66,40.700001,40.939999,2205600,40.417534
2015-09-29,40.970001,41.610001,40.849998,41.349998,1476200,40.822302
2015-09-30,41.73,42.389999,41.32,42.349998,1887400,41.80954
2015-10-01,42.610001,42.75,41.150002,41.459999,1778800,40.930899
2015-10-02,41.02,42.439999,40.610001,42.400002,1780300,41.858905
2015-10-05,42.75,44.549999,42.639999,44.540001,1853400,43.971594
2015-10-06,44.490002,46.029999,44.310001,45.549999,2324500,44.968703
2015-10-07,46.0,47.130001,45.419998,46.27,1772000,45.679516
2015-10-08,46.200001,47.549999,46.18,47.369999,1183700,46.765477
2015-10-09,47.560001,47.959999,46.619999,47.41,1641100,46.804967
2015-10-12,47.490002,47.5,46.66,47.09,1002400,46.489051
2015-10-13,46.790001,47.619999,46.470001,46.580002,1231300,45.985561
2015-10-14,46.43,46.919998,46.110001,46.720001,871400,46.123774
2015-10-15,46.77,47.43,46.220001,47.43,1312900,46.824712
2015-10-16,47.18,47.349998,44.23,44.66,2653500,44.090062
2015-10-19,44.220001,44.98,44.209999,44.639999,1037400,44.070317
2015-10-20,44.540001,45.669998,44.380001,45.360001,1167200,44.781129
2015-10-21,45.509998,45.599998,44.639999,44.689999,1058900,44.119678
2015-10-22,44.91,46.049999,44.700001,45.349998,1103700,44.771255
2015-10-23,45.610001,46.259998,45.41,46.209999,1346200,45.62028
2015-10-26,45.950001,46.220001,45.43,45.529999,1156600,44.948958
2015-10-27,44.970001,45.279999,43.790001,43.98,1513500,43.418739
2015-10-28,45.369999,47.580002,45.369999,47.220001,2543900,46.617393
2015-10-29,46.810001,47.43,46.119999,46.549999,1686100,45.955942
2015-10-30,46.0,48.48,44.169998,47.810001,3396400,47.199864
2015-11-02,47.599998,49.75,47.470001,49.310001,2198800,48.680721
2015-11-03,49.310001,50.709999,49.029999,50.18,2080200,49.539618
2015-11-04,50.290001,50.91,49.959999,50.209999,1766200,49.569234
2015-11-05,50.0,50.91,49.630001,50.470001,1244100,49.825918
2015-11-06,49.970001,50.330002,48.619999,49.139999,2456500,48.512889
2015-11-09,49.060001,49.369999,48.48,49.119999,2262900,48.493144
2015-11-10,48.959999,49.299999,48.189999,48.860001,2106400,48.236463
2015-11-11,49.0,49.279999,48.509998,49.18,1163300,48.552379
2015-11-12,48.41,48.669998,46.98,47.0,1860200,46.4002
2015-11-13,46.720001,47.389999,46.470001,46.709999,1316200,46.1139
2015-11-16,46.689999,47.849998,46.529999,47.84,1179700,47.22948
2015-11-17,47.759998,47.869999,46.869999,47.02,1578600,46.419945
2015-11-18,47.540001,48.509998,47.200001,48.389999,1400900,47.77246
2015-11-19,48.259998,48.919998,48.169998,48.869999,1302300,48.246334
2015-11-20,49.16,49.400002,48.099998,48.150002,1283800,47.535525
2015-11-23,47.880001,48.459999,47.5,48.049999,1181700,47.436799
2015-11-24,48.130001,48.759998,47.700001,48.400002,1207400,47.782335
2015-11-25,48.23,48.400002,47.720001,47.84,1355300,47.22948
2015-11-27,47.75,48.669998,47.619999,48.32,840900,47.703354
2015-11-30,48.220001,48.990002,47.84,48.599998,1531100,48.189211
2015-12-01,48.66,48.98,48.349998,48.939999,1340900,48.526337
2015-12-02,48.939999,49.41,47.919998,48.310001,1639400,47.901665
2015-12-03,48.650002,49.099998,48.0,48.310001,1638800,47.901665
2015-12-04,47.990002,48.400002,47.509998,48.09,1518100,47.683523
2015-12-07,47.599998,47.91,47.119999,47.34,1787400,46.939863
2015-12-08,46.77,46.970001,45.439999,45.889999,2038700,45.502118
2015-12-09,45.82,46.599998,45.189999,45.32,1717100,44.936936
2015-12-10,45.27,45.77,45.16,45.490002,1452500,45.105501
2015-12-11,44.619999,45.27,44.32,45.009998,1855000,44.629555
2015-12-14,44.830002,44.98,44.029999,44.950001,2132900,44.570065
2015-12-15,45.48,46.66,45.470001,46.400002,1934300,46.007809
2015-12-16,46.439999,47.23,46.049999,47.110001,1828500,46.711807
2015-12-17,46.919998,46.98,45.560001,46.119999,1927200,45.730174
2015-12-18,45.860001,46.59,45.669998,45.740002,2462200,45.353388
2015-12-21,45.919998,46.369999,45.349998,46.279999,2140300,45.888821
2015-12-22,46.380001,47.299999,46.240002,47.130001,1583600,46.731639
2015-12-23,47.5,48.759998,47.5,48.650002,1503700,48.238792
2015-12-24,48.549999,49.119999,48.540001,48.709999,781800,48.298282
2015-12-28,48.32,48.450001,47.84,48.110001,927900,47.703355
2015-12-29,48.360001,48.700001,47.939999,48.34,974200,47.93141
2015-12-30,47.91,48.540001,47.610001,47.77,1430900,47.366229
2015-12-31,47.48,47.98,47.220001,47.220001,842000,46.820878
2016-01-04,46.529999,47.759998,46.259998,47.709999,1645300,47.306734
2016-01-05,47.599998,48.110001,46.669998,46.779999,1308000,46.384595
2016-01-06,45.799999,46.150002,45.07,45.5,1807100,45.115415
2016-01-07,44.73,45.23,44.34,44.48,2169100,44.104036
2016-01-08,44.669998,45.139999,43.200001,43.330002,2053900,42.963759
2016-01-11,43.509998,43.630001,41.52,41.830002,3113100,41.476437
2016-01-12,42.43,42.669998,41.68,42.400002,2145900,42.041619
2016-01-13,43.110001,43.240002,41.43,41.669998,2238500,41.317786
2016-01-14,42.07,42.639999,41.080002,42.080002,2694600,41.724324
2016-01-15,40.689999,42.09,40.689999,41.950001,2143200,41.595422
2016-01-19,42.34,42.68,40.740002,41.169998,1878500,40.822012
2016-01-20,40.490002,41.630001,39.48,41.110001,1587200,40.762522
2016-01-21,41.18,41.93,40.73,41.32,2355500,40.970746
2016-01-22,42.439999,43.52,42.119999,42.889999,2822400,42.527475
2016-01-25,42.549999,42.939999,42.02,42.349998,1785300,41.992039
2016-01-26,42.939999,44.009998,42.43,43.990002,1508200,43.61818
2016-01-27,43.52,43.939999,42.669998,42.919998,1577000,42.557221
2016-01-28,43.599998,44.130001,43.290001,43.549999,1420200,43.181897
2016-01-29,43.619999,44.959999,43.48,44.889999,2217200,44.51057
2016-02-01,44.52,44.93,43.599998,44.610001,1916200,44.232938
2016-02-02,43.639999,44.580002,43.639999,43.880001,1613900,43.509109
2016-02-03,44.740002,46.330002,42.52,43.459999,2599100,43.092657
2016-02-04,43.57,45.27,43.310001,44.939999,1720200,44.560147
2016-02-05,44.509998,45.330002,44.380001,44.84,1259200,44.460994
2016-02-08,44.189999,44.34,42.200001,42.779999,2080900,42.418404
2016-02-09,42.389999,43.59,42.279999,43.16,1395000,42.795194
2016-02-10,43.169998,43.689999,42.700001,42.709999,1101600,42.348996
2016-02-11,41.509998,42.32,41.060001,41.740002,1996700,41.387198
2016-02-12,41.900002,43.880001,41.900002,43.639999,1419200,43.271136
2016-02-16,44.279999,45.169998,43.790001,44.990002,1813800,44.609727
2016-02-17,45.73,46.880001,45.57,46.43,1688400,46.037555
2016-02-18,46.759998,47.150002,46.029999,46.459999,2174400,46.0673
2016-02-19,42.639999,45.610001,42.41,45.380001,4264700,44.99643
2016-02-22,46.099998,47.599998,46.0,47.0,2013100,46.602736
2016-02-23,46.560001,47.049999,46.02,46.07,1338500,45.680597
2016-02-24,45.119999,46.169998,44.82,46.139999,1252000,45.750005
2016-02-25,45.880001,46.259998,45.16,46.009998,956200,45.621103
2016-02-26,46.560001,47.459999,46.400002,46.810001,1487900,46.414344
2016-02-29,46.740002,46.810001,46.040001,46.040001,1699900,45.856576
2016-03-01,46.560001,48.189999,46.32,47.759998,1087700,47.569721
2016-03-02,47.740002,48.68,47.400002,48.639999,1334900,48.446216
2016-03-03,48.810001,49.290001,48.34,48.889999,1535300,48.69522
2016-03-04,48.98,49.52,48.450001,49.169998,1380800,48.974103
2016-03-07,49.0,51.779999,48.689999,51.759998,2917900,51.553785
2016-03-08,51.299999,51.689999,50.369999,51.009998,3203200,50.806773
2016-03-09,51.23,51.23,50.09,50.209999,2143000,50.009961
2016-03-10,50.259998,50.439999,48.93,49.84,1537000,49.641436
2016-03-11,50.549999,51.810001,50.200001,51.419998,1954700,51.215139
2016-03-14,51.07,52.0,50.709999,51.700001,1375100,51.494026
2016-03-15,51.099998,51.240002,50.52,51.150002,790500,50.946218
2016-03-16,51.0,52.77,50.810001,52.599998,1567200,52.390438
2016-03-17,52.790001,55.0,52.790001,54.790001,2467800,54.571716
2016-03-18,54.939999,55.48,54.66,55.209999,2884400,54.990041
2016-03-21,55.0,55.360001,54.529999,54.91,880500,54.691237
2016-03-22,54.5,55.439999,54.5,55.25,1349000,55.029882
2016-03-23,54.830002,55.099998,54.060001,54.16,1416600,53.944225
2016-03-24,53.73,54.150002,53.349998,54.119999,1111500,53.904383
2016-03-28,54.43,54.59,53.610001,53.880001,890700,53.665341
2016-03-29,53.43,54.060001,53.119999,53.990002,1413100,53.774904
2016-03-30,54.48,54.77,53.77,54.360001,1315500,54.143429
2016-03-31,54.119999,54.169998,53.040001,53.700001,2179600,53.486058
2016-04-01,53.0,53.59,52.18,53.509998,1381600,53.296813
2016-04-04,53.509998,53.93,52.450001,52.59,1335700,52.38048
2016-04-05,52.119999,52.650002,51.889999,52.049999,1241400,51.84263
2016-04-06,52.119999,52.299999,51.200001,51.810001,1328700,51.603589
2016-04-07,51.560001,51.68,50.790001,51.040001,1876500,50.836656
2016-04-08,51.360001,52.25,51.110001,51.27,883700,51.065739
2016-04-11,51.580002,52.150002,51.380001,51.389999,705900,51.18526
2016-04-12,51.619999,53.0,51.560001,52.77,1436200,52.559763
2016-04-13,53.0,53.310001,52.549999,53.16,1554200,52.948209
2016-04-14,53.27,53.619999,52.810001,52.880001,1308600,52.669325
2016-04-15,52.810001,53.240002,52.509998,52.610001,2024200,52.400401
2016-04-18,52.02,52.91,51.439999,52.709999,1455500,52.500001
2016-04-19,53.110001,53.740002,52.869999,53.599998,1385500,53.386454
2016-04-20,53.509998,53.599998,52.849998,53.139999,1327200,52.928288
2016-04-21,53.279999,53.91,53.130001,53.720001,1335300,53.505979
2016-04-22,53.939999,54.599998,53.84,54.279999,1786800,54.063745
2016-04-25,54.0,54.189999,53.189999,53.389999,847100,53.177292
2016-04-26,53.459999,54.619999,53.459999,54.490002,949200,54.272912
2016-04-27,54.68,55.689999,54.509998,55.52,920000,55.298807
2016-04-28,55.099998,55.48,54.189999,54.279999,1116200,54.063745
2016-04-29,54.32,55.169998,54.099998,54.66,994400,54.442233
2016-05-02,54.68,55.02,53.970001,54.98,923600,54.760957
2016-05-03,54.360001,55.130001,53.799999,54.990002,1876600,54.77092
2016-05-04,54.82,55.09,54.009998,54.220001,1149800,54.003987
2016-05-05,54.619999,55.290001,54.110001,54.68,1643600,54.462153
2016-05-06,51.0,52.810001,50.360001,51.790001,4370500,51.583668
2016-05-09,51.5,51.860001,51.130001,51.18,1771000,50.976097
2016-05-10,51.639999,52.07,51.220001,51.799999,1844200,51.593626
2016-05-11,51.810001,52.259998,51.48,51.59,1063200,51.384464
2016-05-12,51.91,52.169998,51.209999,51.330002,1265600,51.125501
2016-05-13,51.220001,51.759998,50.009998,50.040001,1312500,49.84064
2016-05-16,50.400002,51.470001,50.130001,51.150002,1439700,50.946218
2016-05-17,51.130001,51.52,50.450001,50.599998,1098800,50.398406
2016-05-18,50.32,50.91,49.689999,50.009998,1163000,49.810757
2016-05-19,49.279999,49.75,48.959999,49.380001,1205800,49.183269
2016-05-20,49.75,50.310001,49.650002,49.970001,796400,49.770919
2016-05-23,49.93,50.259998,49.48,50.169998,1234300,49.970119
2016-05-24,50.419998,51.279999,50.060001,51.029999,1598500,50.826694
2016-05-25,51.32,52.93,51.259998,52.779999,1872900,52.569721
2016-05-26,52.849998,53.139999,52.209999,52.599998,1229100,52.390438
2016-05-27,52.32,52.740002,52.290001,52.709999,1115700,52.500001
2016-05-31,52.509998,53.25,52.349998,52.779999,1512900,52.779999
2016-06-01,49.16,52.310001,49.16,52.18,1752000,52.18
2016-06-02,51.93,52.529999,51.93,52.52,902300,52.52
2016-06-03,52.380001,52.669998,51.52,52.41,1066600,52.41
