Date,Open_UTX,High_UTX,Low_UTX,Close_UTX,Volume_UTX,AdjClose_UTX
2015-07-27,98.779999,99.540001,98.379997,98.870003,7560400,96.236242
2015-07-28,99.029999,99.279999,98.019997,98.970001,5583000,96.333576
2015-07-29,99.089996,99.580002,97.589996,99.360001,11935800,96.713187
2015-07-30,99.379997,101.290001,99.0,100.730003,6739100,98.046694
2015-07-31,100.919998,101.489998,100.25,100.309998,7217200,97.637877
2015-08-03,100.309998,100.309998,98.18,99.419998,7123700,96.771586
2015-08-04,100.029999,100.120003,98.910004,99.029999,5557600,96.391976
2015-08-05,99.970001,100.129997,98.730003,98.870003,3895600,96.236242
2015-08-06,98.989998,99.209999,98.360001,98.980003,4198400,96.343312
2015-08-07,98.720001,98.989998,98.0,98.290001,2897100,95.67169
2015-08-10,98.849998,99.790001,98.849998,99.550003,6068400,96.898128
2015-08-11,98.68,98.889999,98.0,98.610001,7671400,95.983166
2015-08-12,97.25,98.839996,96.650002,98.690002,4618800,96.688563
2015-08-13,98.540001,99.0,98.059998,98.379997,4689900,96.384845
2015-08-14,98.110001,98.879997,97.989998,98.699997,4413300,96.698355
2015-08-17,98.129997,99.43,97.610001,99.360001,4228400,97.344974
2015-08-18,98.959999,100.019997,98.959999,99.410004,4730400,97.393963
2015-08-19,98.699997,99.370003,97.870003,98.209999,3619800,96.218294
2015-08-20,97.5,98.150002,95.82,95.82,6084000,93.876764
2015-08-21,94.959999,95.220001,92.919998,93.010002,7624400,91.123753
2015-08-24,88.669998,93.190002,87.169998,90.870003,10994900,89.027153
2015-08-25,93.360001,93.75,88.690002,88.800003,8283500,86.999133
2015-08-26,90.690002,91.690002,88.809998,91.559998,7380300,89.703155
2015-08-27,92.519997,93.480003,91.550003,93.269997,7473800,91.378475
2015-08-28,92.849998,93.550003,92.669998,93.239998,5230200,91.349085
2015-08-31,91.209999,92.620003,90.540001,91.610001,7073400,89.752144
2015-09-01,89.489998,90.68,89.279999,89.720001,6786600,87.900474
2015-09-02,90.940002,91.260002,89.970001,91.239998,5642000,89.389645
2015-09-03,92.0,92.580002,91.639999,91.910004,4534600,90.046063
2015-09-04,90.82,91.150002,90.360001,90.68,4562800,88.841004
2015-09-08,92.150002,92.959999,91.949997,92.82,4814800,90.937604
2015-09-09,93.650002,93.839996,91.739998,91.849998,4783500,89.987275
2015-09-10,92.040001,92.089996,90.889999,91.400002,6120700,89.546404
2015-09-11,91.199997,92.339996,91.0,92.330002,4490200,90.457544
2015-09-14,92.300003,92.440002,91.389999,91.830002,3279200,89.967684
2015-09-15,92.620003,93.110001,92.080002,92.68,4107700,90.800444
2015-09-16,92.720001,94.110001,92.68,93.940002,3504200,92.034893
2015-09-17,93.889999,94.919998,93.139999,93.309998,5205800,91.417665
2015-09-18,92.410004,92.599998,90.529999,91.07,10468800,89.223094
2015-09-21,91.330002,92.169998,91.0,91.550003,2981200,89.693363
2015-09-22,88.980003,89.699997,87.660004,88.199997,7911700,86.411295
2015-09-23,88.150002,88.379997,85.900002,86.959999,7324200,85.196445
2015-09-24,85.75,86.989998,85.5,86.82,7126800,85.059285
2015-09-25,87.629997,88.169998,86.730003,87.300003,7447600,85.529553
2015-09-28,86.599998,87.470001,86.290001,86.830002,5343700,85.069084
2015-09-29,86.580002,88.080002,86.459999,87.980003,4117600,86.195763
2015-09-30,88.639999,89.57,88.080002,88.989998,5065900,87.185275
2015-10-01,88.900002,89.43,87.529999,88.360001,3668600,86.568054
2015-10-02,87.489998,89.889999,86.82,89.769997,4624200,87.949455
2015-10-05,90.440002,92.480003,90.220001,92.260002,4912500,90.388963
2015-10-06,92.150002,92.849998,92.010002,92.550003,3386600,90.673083
2015-10-07,94.0,94.160004,92.57,93.510002,3516100,91.613613
2015-10-08,92.860001,94.389999,92.839996,94.330002,4051800,92.416983
2015-10-09,94.669998,95.940002,94.510002,95.370003,4099900,93.435893
2015-10-12,94.940002,95.470001,94.610001,95.43,3194900,93.494674
2015-10-13,94.169998,94.75,93.639999,94.279999,4079300,92.367994
2015-10-14,94.269997,94.860001,91.760002,92.169998,5608300,90.300785
2015-10-15,92.709999,93.230003,92.150002,93.18,3829800,91.290304
2015-10-16,94.0,94.150002,92.629997,93.0,3085400,91.113954
2015-10-19,92.5,92.849998,91.209999,92.050003,5513800,90.183223
2015-10-20,94.330002,97.690002,93.080002,95.620003,9005200,93.680823
2015-10-21,96.239998,98.68,96.019997,97.970001,10498900,95.983163
2015-10-22,98.290001,100.230003,98.099998,99.790001,5722400,97.766253
2015-10-23,100.459999,100.900002,100.18,100.620003,5032900,98.579423
2015-10-26,100.620003,100.980003,100.0,100.230003,2701000,98.197333
2015-10-27,99.800003,99.970001,98.709999,98.879997,3396500,96.874705
2015-10-28,99.370003,99.519997,98.169998,99.32,3829900,97.305784
2015-10-29,99.239998,99.610001,98.239998,99.050003,3287300,97.041263
2015-10-30,99.029999,99.18,98.260002,98.410004,4010900,96.414243
2015-11-02,98.82,99.580002,98.349998,99.389999,3067500,97.374364
2015-11-03,99.379997,100.339996,98.800003,100.0,3090000,97.971994
2015-11-04,100.419998,101.040001,100.0,100.330002,3116100,98.295303
2015-11-05,100.43,100.989998,99.720001,100.800003,2832400,98.755773
2015-11-06,100.040001,100.800003,99.290001,100.800003,2735100,98.755773
2015-11-09,100.599998,100.839996,99.209999,99.660004,3164700,97.638892
2015-11-10,98.830002,99.419998,97.949997,98.68,2738500,97.303633
2015-11-11,99.040001,99.400002,98.07,98.260002,2165900,96.889493
2015-11-12,97.260002,99.730003,96.879997,99.220001,8808200,97.836102
2015-11-13,98.720001,99.639999,96.389999,96.480003,6218900,95.134321
2015-11-16,96.559998,97.860001,96.379997,97.830002,5098700,96.46549
2015-11-17,98.169998,98.300003,97.400002,97.550003,4528800,96.189397
2015-11-18,97.629997,97.860001,96.839996,97.709999,4202000,96.347161
2015-11-19,97.970001,98.889999,97.830002,98.300003,4366600,96.928936
