Date,Open_FCX,High_FCX,Low_FCX,Close_FCX,Volume_FCX,AdjClose_FCX
2015-11-25,8.16,8.49,8.0,8.1,29689500,8.1
2015-11-27,8.13,8.25,8.03,8.1,14910900,8.1
2015-11-30,8.11,8.48,8.03,8.18,33830700,8.18
2015-12-01,8.25,8.41,8.13,8.33,32715400,8.33
2015-12-02,8.23,8.23,7.8,7.83,45139900,7.83
2015-12-03,7.85,7.98,7.63,7.68,45389300,7.68
2015-12-04,7.65,7.92,7.54,7.85,45383900,7.85
2015-12-07,7.63,7.63,7.19,7.23,45710200,7.23
2015-12-08,7.06,7.06,6.63,6.74,57667900,6.74
2015-12-09,6.96,7.48,6.9,6.99,60623500,6.99
2015-12-10,7.07,7.45,6.93,7.36,47334100,7.36
2015-12-11,7.16,7.29,6.83,6.9,67394400,6.9
2015-12-14,6.85,6.95,6.43,6.46,56987100,6.46
2015-12-15,6.57,6.79,6.46,6.52,47266100,6.52
2015-12-16,6.63,6.86,6.53,6.69,50015000,6.69
2015-12-17,6.57,6.64,6.1,6.12,53022700,6.12
2015-12-18,6.29,6.48,6.08,6.21,90834200,6.21
2015-12-21,6.31,6.48,6.13,6.24,42711200,6.24
2015-12-22,6.28,6.46,6.23,6.42,40851000,6.42
2015-12-23,6.7,7.53,6.7,7.45,76458200,7.45
2015-12-24,7.53,7.64,7.26,7.57,23225200,7.57
2015-12-28,7.33,7.33,6.81,6.85,42523400,6.85
2015-12-29,7.15,7.29,6.86,6.97,35344500,6.97
2015-12-30,6.74,6.94,6.68,6.77,26379300,6.77
2015-12-31,6.69,6.93,6.68,6.77,24396600,6.77
2016-01-04,6.6,6.76,6.3,6.55,42971800,6.55
2016-01-05,6.62,6.73,6.51,6.71,37681800,6.71
2016-01-06,6.37,6.47,6.13,6.17,45246300,6.17
2016-01-07,5.98,6.04,5.43,5.61,66532900,5.61
2016-01-08,5.67,5.71,5.36,5.41,42195500,5.41
2016-01-11,5.4,5.42,4.23,4.31,117383000,4.31
2016-01-12,4.31,4.58,3.65,4.11,141281800,4.11
2016-01-13,4.18,4.28,3.7,3.74,64407300,3.74
2016-01-14,3.81,4.23,3.78,4.2,77641400,4.2
2016-01-15,3.8,4.35,3.77,4.35,72977600,4.35
2016-01-19,4.58,4.58,3.92,3.96,59735900,3.96
2016-01-20,3.77,4.13,3.52,4.07,88337200,4.07
2016-01-21,4.14,4.43,3.97,4.33,61066600,4.33
2016-01-22,4.59,4.66,3.8,3.94,107814100,3.94
2016-01-25,3.87,4.0,3.81,3.94,51086300,3.94
2016-01-26,4.4,4.42,3.83,4.2,91940800,4.2
2016-01-27,4.06,5.08,4.02,4.65,95563500,4.65
2016-01-28,4.8,4.88,4.21,4.42,66789400,4.42
2016-01-29,4.44,4.75,4.37,4.6,41823100,4.6
2016-02-01,4.5,4.82,4.33,4.74,48283700,4.74
2016-02-02,4.6,4.65,4.26,4.35,31559600,4.35
2016-02-03,4.43,4.85,4.35,4.85,44213000,4.85
2016-02-04,5.1,6.03,5.09,5.72,116173800,5.72
2016-02-05,5.57,5.98,5.45,5.68,71686300,5.68
2016-02-08,5.46,5.93,5.17,5.27,64853400,5.27
2016-02-09,5.12,5.4,4.97,5.0,43151600,5.0
2016-02-10,4.95,5.13,4.78,4.98,33743900,4.98
2016-02-11,4.81,5.08,4.65,4.89,37980200,4.89
2016-02-12,5.12,5.75,5.08,5.53,44408400,5.53
2016-02-16,5.82,6.38,5.8,6.37,74148400,6.37
2016-02-17,6.63,7.6,6.6,7.16,103520300,7.16
2016-02-18,7.4,7.42,6.65,7.15,59703700,7.15
2016-02-19,6.98,7.17,6.75,6.92,38797400,6.92
2016-02-22,7.27,7.97,7.27,7.93,75176100,7.93
2016-02-23,7.55,7.74,7.15,7.24,58801900,7.24
2016-02-24,6.74,7.26,6.55,7.2,57050800,7.2
2016-02-25,7.14,7.34,6.79,7.12,35161800,7.12
2016-02-26,7.7,7.8,7.31,7.43,48311100,7.43
2016-02-29,7.69,7.84,7.51,7.63,46472500,7.63
2016-03-01,7.84,7.88,7.26,7.76,53860300,7.76
2016-03-02,7.82,9.02,7.79,8.97,84686700,8.97
2016-03-03,8.66,9.2,8.46,9.11,66639700,9.11
2016-03-04,9.32,10.5,9.17,9.74,104835500,9.74
2016-03-07,9.77,10.2,9.51,9.86,63493600,9.86
2016-03-08,9.37,9.42,8.56,8.66,58328900,8.66
2016-03-09,8.91,9.23,8.47,9.15,49063000,9.15
2016-03-10,8.86,9.65,8.75,9.6,55701100,9.6
2016-03-11,9.85,9.88,9.41,9.55,40901700,9.55
2016-03-14,9.47,10.14,9.37,9.97,39704600,9.97
2016-03-15,9.45,9.49,9.03,9.27,36348600,9.27
2016-03-16,9.25,10.28,9.22,10.22,49163700,10.22
2016-03-17,10.43,11.07,10.06,10.9,52841600,10.9
2016-03-18,11.04,11.45,10.44,10.76,78652800,10.76
2016-03-21,10.65,10.93,10.35,10.8,31248900,10.8
2016-03-22,10.56,11.2,10.43,10.99,31000600,10.99
2016-03-23,10.57,10.72,9.73,9.75,48568400,9.75
2016-03-24,9.37,10.15,9.1,10.11,52527400,10.11
2016-03-28,10.25,10.48,9.73,10.14,35295200,10.14
2016-03-29,9.71,10.3,9.41,10.14,44124800,10.14
2016-03-30,10.36,10.59,9.99,10.29,46703300,10.29
2016-03-31,10.13,10.46,10.13,10.34,32847800,10.34
2016-04-01,9.92,10.0,9.59,9.89,41391600,9.89
2016-04-04,9.91,10.09,9.39,9.42,38656000,9.42
2016-04-05,9.26,9.62,9.22,9.34,31995200,9.34
2016-04-06,9.47,9.65,9.1,9.61,37216700,9.61
2016-04-07,9.28,9.51,8.76,8.85,61050100,8.85
2016-04-08,9.17,9.53,9.02,9.33,37139900,9.33
2016-04-11,9.58,9.88,9.51,9.76,33148000,9.76
2016-04-12,10.03,10.48,9.9,10.43,58589400,10.43
2016-04-13,10.74,11.23,10.72,10.82,54961400,10.82
2016-04-14,10.85,11.07,10.54,10.73,37693400,10.73
2016-04-15,10.47,10.93,10.35,10.86,29350200,10.86
2016-04-18,10.48,11.09,10.22,11.02,40993800,11.02
2016-04-19,11.07,12.02,11.06,12.01,62996700,12.01
2016-04-20,11.95,12.69,11.82,12.36,61879200,12.36
2016-04-21,12.59,12.7,11.47,11.52,65928000,11.52
2016-04-22,11.76,12.05,11.43,11.67,53003200,11.67
2016-04-25,11.59,11.76,11.16,11.35,35706800,11.35
2016-04-26,11.29,11.6,10.56,11.48,56503700,11.48
2016-04-27,11.69,12.67,11.59,12.65,58083800,12.65
2016-04-28,12.66,13.36,12.61,12.66,62457500,12.66
2016-04-29,13.11,14.06,13.05,14.0,74434200,14.0
2016-05-02,14.03,14.04,13.31,13.55,46165300,13.55
2016-05-03,13.04,13.08,12.0,12.01,58759300,12.01
2016-05-04,12.14,12.51,11.58,11.8,48012000,11.8
2016-05-05,12.09,12.22,11.08,11.29,50082100,11.29
2016-05-06,11.14,12.12,11.13,11.79,51528300,11.79
2016-05-09,11.2,11.24,10.37,10.52,51190300,10.52
2016-05-10,10.79,10.98,10.51,10.86,25734200,10.86
2016-05-11,11.02,11.94,11.0,11.61,46688800,11.61
2016-05-12,11.67,11.98,10.83,11.03,47824500,11.03
2016-05-13,10.96,11.37,10.29,10.41,43724500,10.41
2016-05-16,10.78,11.46,10.78,11.04,43679200,11.04
2016-05-17,11.3,11.9,11.09,11.51,56826100,11.51
2016-05-18,11.23,11.48,10.35,10.54,55369200,10.54
2016-05-19,10.33,11.02,10.22,10.98,47866700,10.98
2016-05-20,11.13,11.36,10.87,11.08,42620000,11.08
2016-05-23,10.8,11.45,10.72,11.38,39484700,11.38
2016-05-24,11.41,11.51,11.03,11.11,37876300,11.11
2016-05-25,11.39,11.73,11.11,11.65,45708800,11.65
2016-05-26,11.91,12.04,11.28,11.34,30606500,11.34
2016-05-27,11.35,11.42,10.96,11.14,28521800,11.14
2016-05-31,11.06,11.5,11.03,11.08,33573200,11.08
2016-06-01,11.08,11.08,10.27,10.6,43723800,10.6
2016-06-02,10.49,10.71,10.35,10.66,29587500,10.66
2016-06-03,11.0,11.28,10.91,11.11,34736100,11.11
