Date,Open_MCD,High_MCD,Low_MCD,Close_MCD,Volume_MCD,AdjClose_MCD
2015-08-03,100.0,100.18,99.019997,99.419998,4427300,96.341656
2015-08-04,99.470001,99.519997,98.769997,99.139999,2842100,96.070327
2015-08-05,99.830002,100.139999,99.260002,99.800003,3560600,96.709895
2015-08-06,99.720001,100.18,99.209999,99.349998,6740200,96.273824
2015-08-07,99.290001,99.419998,98.449997,98.919998,3463700,95.857138
2015-08-10,99.489998,99.949997,98.870003,99.389999,3994500,96.312586
2015-08-11,98.690002,99.160004,98.400002,98.809998,3585000,95.750543
2015-08-12,98.269997,98.43,97.230003,98.279999,4167100,95.236955
2015-08-13,98.07,99.82,97.989998,99.370003,4636400,96.293209
2015-08-14,99.050003,99.559998,98.720001,99.269997,3185600,96.196299
2015-08-17,99.0,100.910004,98.919998,100.660004,5204100,97.543268
2015-08-18,100.0,101.440002,100.0,100.760002,4257300,97.64017
2015-08-19,100.449997,101.879997,100.190002,101.099998,5989000,97.969639
2015-08-20,100.730003,101.0,99.739998,99.760002,6668000,96.671133
2015-08-21,99.379997,99.389999,97.129997,97.129997,10980000,94.122561
2015-08-24,91.580002,95.879997,87.5,92.870003,15074800,89.994469
2015-08-25,95.470001,95.480003,91.029999,91.209999,11468800,88.385864
2015-08-26,92.93,95.199997,91.470001,95.150002,16439800,92.203872
2015-08-27,95.879997,97.370003,95.57,97.330002,10187100,94.316373
2015-08-28,96.050003,96.660004,95.790001,96.25,5606000,94.091525
2015-08-31,95.769997,95.879997,94.849998,95.019997,5086600,92.889106
2015-09-01,92.769997,94.279999,92.599998,93.470001,7308400,91.37387
2015-09-02,95.629997,96.120003,94.550003,96.040001,6908100,93.886236
2015-09-03,96.800003,97.43,95.580002,96.010002,6313900,93.85691
2015-09-04,95.050003,95.580002,94.309998,94.849998,4429100,92.72292
2015-09-08,96.309998,96.879997,95.489998,96.779999,5771100,94.609638
2015-09-09,97.290001,97.389999,95.220001,95.43,5129400,93.289915
2015-09-10,94.959999,95.849998,94.75,95.25,6210800,93.113951
2015-09-11,95.470001,97.419998,95.260002,97.410004,6656300,95.225515
2015-09-14,97.360001,97.660004,96.629997,96.970001,4557200,94.79538
2015-09-15,97.290001,98.589996,96.739998,98.190002,5142600,95.988022
2015-09-16,98.650002,98.739998,97.529999,98.690002,5198700,96.476809
2015-09-17,98.57,98.970001,97.389999,97.839996,7955000,95.645865
2015-09-18,96.82,97.699997,96.25,97.050003,10492700,94.873588
