Date,Open_CFG,High_CFG,Low_CFG,Close_CFG,Volume_CFG,AdjClose_CFG
2015-09-25,23.629999,23.82,23.48,23.610001,4083200,23.277392
2015-09-28,23.4,23.559999,22.6,22.629999,5404800,22.311196
2015-09-29,22.76,23.440001,22.565001,23.219999,5979200,22.892885
2015-09-30,23.66,25.23,23.389999,23.860001,5608500,23.52387
2015-10-01,23.75,24.02,23.370001,23.5,3214100,23.168941
2015-10-02,22.99,23.48,22.48,23.41,7919400,23.080209
2015-10-05,23.639999,23.83,23.32,23.719999,6639600,23.385841
2015-10-06,23.66,23.83,23.299999,23.360001,3616500,23.030914
2015-10-07,23.52,23.565001,23.18,23.440001,4528600,23.109787
2015-10-08,23.43,23.639999,23.24,23.52,4248700,23.18866
2015-10-09,23.49,23.82,23.360001,23.459999,3644200,23.129504
2015-10-12,23.459999,23.690001,23.389999,23.559999,1948800,23.228095
2015-10-13,23.5,23.620001,23.379999,23.459999,2278100,23.129504
2015-10-14,23.35,23.49,22.790001,22.91,2973500,22.587253
2015-10-15,23.040001,23.59,22.940001,23.52,3083900,23.18866
2015-10-16,23.620001,23.780001,23.219999,23.219999,4212300,22.892885
2015-10-19,23.200001,23.49,23.030001,23.23,3846700,22.902744
2015-10-20,23.23,23.6,23.16,23.389999,4082200,23.06049
2015-10-21,23.48,23.865,23.17,23.17,3909600,22.84359
2015-10-22,23.26,23.620001,22.870001,22.870001,9977700,22.547817
2015-10-23,23.549999,24.299999,23.209999,24.219999,9488000,23.878797
2015-10-26,24.25,24.49,23.559999,23.6,4690000,23.267533
2015-10-27,23.42,23.799999,23.27,23.530001,4038000,23.198519
2015-10-28,23.52,24.440001,23.52,24.18,5537400,23.839362
2015-10-29,24.18,24.43,24.01,24.110001,4366100,23.770348
2015-10-30,23.75,24.389999,23.73,24.299999,50057600,23.95767
2015-11-02,24.58,24.700001,24.120001,24.450001,14762900,24.105559
2015-11-03,24.459999,24.620001,24.139999,24.42,6333800,24.174856
2015-11-04,24.549999,24.74,24.200001,24.530001,11116700,24.283752
2015-11-05,24.469999,24.93,24.440001,24.610001,10044600,24.362949
2015-11-06,25.469999,25.969999,25.120001,25.73,16322300,25.471704
2015-11-09,25.73,26.049999,25.48,25.870001,10013800,25.6103
2015-11-10,25.870001,26.09,25.77,26.0,14272600,25.738994
2015-11-11,26.0,26.129999,25.889999,26.09,6575500,25.828091
2015-11-12,25.75,25.950001,25.49,25.51,8336200,25.253914
