Date,Open_PSX,High_PSX,Low_PSX,Close_PSX,Volume_PSX,AdjClose_PSX
2015-10-27,82.339996,83.559998,82.059998,83.559998,2595800,81.770775
2015-10-28,83.690002,85.330002,83.339996,84.889999,2672500,83.072298
2015-10-29,84.519997,86.919998,84.519997,86.43,3568900,84.579324
2015-10-30,88.32,90.82,87.300003,89.050003,7125400,87.143226
2015-11-02,88.389999,91.5,88.300003,90.599998,4939700,88.660032
2015-11-03,90.720001,93.290001,90.18,92.669998,3636600,90.685708
2015-11-04,93.0,94.120003,92.5,93.330002,3933900,91.331579
2015-11-05,93.339996,93.949997,92.610001,93.68,3115200,91.674084
2015-11-06,93.209999,93.720001,92.040001,92.75,2447100,90.763997
2015-11-09,92.75,94.0,91.389999,92.010002,2730500,90.039844
2015-11-10,91.389999,92.940002,90.910004,92.099998,2299200,90.67982
2015-11-11,91.809998,92.720001,90.410004,90.589996,2590000,89.193102
2015-11-12,89.959999,89.959999,88.410004,89.239998,2692300,87.863921
2015-11-13,89.260002,89.959999,87.919998,89.080002,3080000,87.706392
2015-11-16,88.980003,91.099998,88.330002,91.07,2743500,89.665704
2015-11-17,90.769997,91.980003,90.489998,91.120003,2306700,89.714936
2015-11-18,91.279999,92.720001,91.260002,92.540001,1857500,91.113038
2015-11-19,92.360001,92.980003,91.629997,92.379997,2367400,90.955501
2015-11-20,92.550003,92.989998,91.519997,91.669998,2758700,90.25645
2015-11-23,90.489998,92.5,90.480003,92.169998,2725700,90.74874
2015-11-24,92.099998,93.910004,91.540001,93.129997,2807400,91.693936
2015-11-25,93.07,94.059998,92.760002,92.769997,1949500,91.339487
2015-11-27,92.290001,93.309998,92.110001,92.760002,769900,91.329647
2015-11-30,93.089996,93.459999,91.339996,91.529999,4113100,90.11861
2015-12-01,92.330002,92.949997,91.209999,92.669998,2580500,91.241031
2015-12-02,92.160004,93.0,90.080002,90.440002,3024700,89.045421
2015-12-03,91.0,91.279999,88.199997,88.57,2834600,87.204254
2015-12-04,90.349998,90.669998,88.699997,90.199997,3025900,88.809117
2015-12-07,88.620003,89.459999,85.720001,86.690002,5261600,85.353246
2015-12-08,85.57,87.43,85.110001,86.449997,3427300,85.116941
2015-12-09,86.510002,87.849998,85.199997,86.089996,2916800,84.762492
2015-12-10,86.480003,87.550003,85.68,86.75,2694500,85.412318
2015-12-11,85.459999,85.910004,82.519997,82.779999,4232800,81.503535
2015-12-14,82.32,82.830002,80.279999,81.400002,5113500,80.144817
2015-12-15,82.419998,83.300003,81.419998,81.779999,5233100,80.518954
2015-12-16,81.550003,83.400002,81.550003,83.059998,3981600,81.779216
2015-12-17,83.0,83.339996,81.760002,81.779999,3147700,80.518954
2015-12-18,81.5,81.779999,79.68,80.559998,6246600,79.317766
2015-12-21,81.019997,81.269997,79.470001,80.620003,2809400,79.376846
2015-12-22,80.919998,82.279999,80.669998,81.699997,2623100,80.440186
2015-12-23,82.709999,84.849998,82.139999,84.800003,3113800,83.49239
2015-12-24,84.529999,84.980003,83.809998,84.360001,1054200,83.059173
2015-12-28,83.18,83.559998,81.910004,82.459999,1690500,81.188469
2015-12-29,83.720001,83.870003,82.580002,82.769997,1906100,81.493687
2015-12-30,82.309998,83.410004,81.870003,82.010002,1527700,80.745411
2015-12-31,81.5,82.410004,81.209999,81.800003,2095800,80.53865
2016-01-04,81.209999,81.889999,79.360001,80.080002,3251400,78.845171
2016-01-05,80.370003,81.190002,80.050003,81.0,2849900,79.750983
2016-01-06,79.120003,80.0,77.599998,78.029999,4273300,76.826779
2016-01-07,76.669998,78.110001,75.949997,76.449997,6358000,75.271141
2016-01-08,76.919998,77.18,75.150002,75.209999,6010000,74.050264
2016-01-11,75.860001,77.510002,74.370003,76.18,4356000,75.005308
2016-01-12,76.709999,78.379997,76.0,77.82,5370100,76.620018
2016-01-13,78.910004,78.93,74.540001,75.25,6500200,74.089648
2016-01-14,75.93,80.080002,74.32,79.279999,5363500,78.057504
2016-01-15,76.919998,78.599998,76.610001,78.470001,5343200,77.259997
2016-01-19,80.379997,80.639999,77.480003,78.669998,4574300,77.45691
2016-01-20,76.900002,78.209999,75.370003,76.93,5169900,75.743743
2016-01-21,76.709999,77.230003,75.290001,76.040001,4360700,74.867467
2016-01-22,78.449997,80.900002,77.599998,80.029999,4035600,78.795939
2016-01-25,79.07,79.739998,76.169998,76.230003,4273700,75.05454
2016-01-26,76.910004,77.800003,76.190002,77.760002,3177200,76.560946
2016-01-27,77.139999,79.769997,76.419998,77.730003,4782100,76.53141
2016-01-28,79.239998,80.0,77.0,78.699997,5161000,77.486446
2016-01-29,78.099998,80.230003,75.800003,80.150002,7448400,78.914092
2016-02-01,79.68,80.660004,77.82,79.480003,4487700,78.254425
2016-02-02,78.580002,79.440002,77.800003,78.5,4295400,77.289533
2016-02-03,79.510002,79.940002,76.760002,79.099998,7337500,77.88028
2016-02-04,79.089996,80.919998,78.599998,79.879997,5657700,78.648251
2016-02-05,79.629997,80.480003,77.919998,78.330002,4650400,77.122156
2016-02-08,78.330002,78.330002,73.300003,76.279999,7979800,75.103764
2016-02-09,75.769997,76.620003,74.669998,75.440002,4348600,74.276721
2016-02-10,76.019997,77.099998,74.669998,75.290001,5693400,74.129032
2016-02-11,73.529999,75.040001,71.739998,72.900002,7720800,72.31375
2016-02-12,74.0,75.32,73.839996,75.199997,4217700,74.595249
2016-02-16,76.760002,78.279999,75.860001,78.25,5690300,77.620725
2016-02-17,79.089996,80.889999,78.879997,80.589996,4464600,79.941903
2016-02-18,81.339996,81.75,78.889999,79.440002,4609000,78.801157
2016-02-19,78.75,80.18,78.389999,80.089996,3173500,79.445924
2016-02-22,80.089996,81.419998,80.089996,80.870003,3278100,80.219658
2016-02-23,80.400002,80.610001,78.529999,78.559998,3323400,77.928229
2016-02-24,77.519997,79.150002,77.349998,79.089996,3667200,78.453966
2016-02-25,79.25,79.330002,77.620003,78.760002,3297200,78.126625
2016-02-26,79.519997,80.190002,78.919998,79.099998,2490100,78.463887
2016-02-29,79.400002,80.379997,78.93,79.389999,3106400,78.751556
2016-03-01,80.010002,83.790001,79.699997,83.410004,6029000,82.739232
2016-03-02,83.150002,84.639999,82.839996,84.57,3585500,83.8899
2016-03-03,84.940002,86.580002,84.550003,86.089996,3831300,85.397673
2016-03-04,86.5,86.599998,84.839996,85.779999,2891100,85.090168
2016-03-07,85.379997,87.830002,85.07,87.410004,3741800,86.707065
2016-03-08,86.889999,87.75,84.75,84.800003,3514400,84.118053
2016-03-09,85.519997,87.230003,85.199997,86.089996,3076700,85.397673
2016-03-10,86.07,86.07,84.120003,85.43,2464600,84.742984
2016-03-11,86.25,86.730003,85.110001,86.43,2914700,85.734942
2016-03-14,85.669998,86.5,85.290001,86.18,2028600,85.486953
2016-03-15,85.0,86.669998,84.900002,86.599998,2208900,85.903574
2016-03-16,86.629997,87.900002,86.370003,87.57,2351800,86.865774
2016-03-17,88.010002,88.660004,86.440002,88.379997,2463500,87.669258
2016-03-18,88.800003,89.650002,88.129997,89.410004,5398200,88.690981
2016-03-21,89.150002,89.959999,89.110001,89.690002,2170200,88.968728
2016-03-22,89.620003,90.870003,89.029999,90.160004,2171400,89.43495
2016-03-23,89.940002,89.940002,87.879997,88.120003,2012500,87.411354
2016-03-24,86.970001,88.120003,86.57,88.059998,2547300,87.351832
2016-03-28,87.870003,88.129997,87.07,87.489998,2083500,86.786416
2016-03-29,86.800003,87.730003,86.019997,87.43,1974600,86.726901
2016-03-30,88.190002,88.610001,86.980003,87.620003,1850900,86.915375
2016-03-31,87.269997,87.809998,86.209999,86.589996,2810600,85.893652
2016-04-01,85.599998,85.959999,84.879997,85.669998,2639100,84.981052
2016-04-04,85.699997,86.660004,85.290001,85.730003,1817400,85.040575
2016-04-05,85.080002,85.690002,84.209999,84.809998,2126100,84.127968
2016-04-06,85.349998,85.620003,83.260002,85.019997,3172000,84.336278
2016-04-07,84.599998,85.019997,83.830002,84.510002,1751800,83.830385
2016-04-08,85.800003,86.809998,85.269997,86.059998,2741300,85.367915
2016-04-11,86.5,86.849998,84.559998,84.580002,2158100,83.899821
2016-04-12,84.669998,86.089996,84.059998,85.980003,2587500,85.288564
2016-04-13,86.480003,87.099998,85.800003,87.010002,2089200,86.31028
2016-04-14,87.110001,87.629997,86.57,86.919998,1735400,86.221
