Date,Open_ROST,High_ROST,Low_ROST,Close_ROST,Volume_ROST,AdjClose_ROST
2015-12-01,52.529999,53.200001,52.23,53.09,4127500,52.715052
2015-12-02,53.139999,53.98,53.139999,53.52,3703100,53.142016
2015-12-03,53.439999,53.610001,51.91,52.509998,3971900,52.139147
2015-12-04,52.790001,54.279999,52.57,54.16,2970600,53.777495
2015-12-07,53.759998,54.07,53.130001,53.82,2429600,53.556581
2015-12-08,53.459999,54.700001,53.009998,54.48,2585000,54.213351
2015-12-09,54.0,55.099998,53.470001,54.040001,2959500,53.775506
2015-12-10,54.25,54.779999,53.610001,54.150002,2360500,53.884968
2015-12-11,53.34,54.029999,53.290001,53.560001,2341000,53.297855
2015-12-14,53.860001,54.77,53.610001,54.41,3123400,54.143694
2015-12-15,54.959999,55.330002,53.919998,54.080002,2870700,53.815311
2015-12-16,54.740002,54.990002,53.959999,54.93,2623000,54.661149
2015-12-17,55.360001,55.490002,53.73,53.860001,2523500,53.596386
2015-12-18,53.459999,53.75,52.900002,52.950001,5095400,52.69084
2015-12-21,53.700001,54.099998,53.290001,53.810001,2221500,53.546632
2015-12-22,54.279999,54.549999,53.799999,54.310001,2574100,54.044185
2015-12-23,54.5,54.73,53.709999,54.34,2010100,54.074037
2015-12-24,54.400002,54.580002,54.009998,54.330002,597300,54.064087
2015-12-28,54.07,54.599998,53.91,54.389999,1226700,54.123791
2015-12-29,53.189999,55.639999,53.189999,54.939999,1298200,54.671098
2015-12-30,54.959999,55.290001,54.540001,54.549999,1205000,54.283008
2015-12-31,54.439999,54.540001,53.799999,53.810001,1471700,53.546632
2016-01-04,53.0,54.369999,52.5,54.369999,4145700,54.103888
2016-01-05,54.369999,55.169998,54.18,54.73,3029200,54.462127
2016-01-06,54.029999,54.529999,53.299999,53.889999,2533700,53.626238
2016-01-07,52.970001,55.110001,52.5,53.759998,3774700,53.496873
2016-01-08,53.84,53.84,51.959999,52.099998,2830900,51.844998
2016-01-11,52.52,52.869999,51.880001,52.59,2261900,52.332602
2016-01-12,53.52,54.860001,53.41,54.450001,3878800,54.183499
2016-01-13,54.259998,54.27,52.07,52.189999,3565100,51.934558
2016-01-14,52.419998,53.369999,51.720001,52.82,3212600,52.561476
2016-01-15,51.209999,52.73,51.209999,52.290001,3656500,52.034071
2016-01-19,52.889999,53.150002,52.080002,52.580002,3279000,52.322652
2016-01-20,51.990002,52.830002,50.419998,52.18,4108700,51.924609
2016-01-21,52.32,52.68,51.91,52.23,3216200,51.974363
2016-01-22,52.959999,54.27,52.740002,54.139999,2638200,53.875015
2016-01-25,54.080002,54.349998,53.400002,53.619999,2208400,53.357559
2016-01-26,53.52,54.48,53.200001,54.330002,2145000,54.064087
2016-01-27,54.369999,54.82,53.41,53.779999,2477000,53.516776
2016-01-28,54.259998,54.43,53.23,53.950001,2176800,53.685946
2016-01-29,54.27,56.32,54.0,56.259998,3492100,55.984637
2016-02-01,56.259998,57.189999,55.849998,56.759998,4299200,56.48219
2016-02-02,56.290001,57.189999,55.689999,56.52,3145800,56.243367
2016-02-03,56.779999,56.919998,54.439999,55.099998,3431400,54.830315
2016-02-04,54.439999,54.790001,53.349998,54.48,4135900,54.213351
2016-02-05,54.209999,54.25,53.009998,53.32,4347200,53.059028
2016-02-08,52.669998,53.599998,52.110001,53.330002,3809900,53.068982
2016-02-09,52.939999,54.860001,52.779999,54.529999,3878400,54.263105
2016-02-10,54.470001,55.639999,53.810001,53.84,3474200,53.576484
2016-02-11,53.220001,53.610001,52.16,52.560001,3467900,52.30275
2016-02-12,53.259998,54.060001,52.310001,53.75,2643100,53.486924
2016-02-16,54.330002,56.110001,54.240002,55.0,4148200,54.730806
2016-02-17,55.52,55.860001,54.900002,55.07,4409600,54.800463
2016-02-18,54.77,55.110001,54.290001,54.82,3221000,54.551687
2016-02-19,54.490002,54.73,53.599998,54.689999,3180700,54.422322
2016-02-22,55.32,55.790001,55.02,55.43,3040400,55.158702
2016-02-23,55.110001,56.0,55.029999,55.349998,3101300,55.079091
2016-02-24,55.25,56.380001,54.84,56.25,3838800,55.974688
2016-02-25,56.549999,56.77,55.709999,56.540001,2804700,56.26327
2016-02-26,56.77,56.82,55.639999,56.290001,2443600,56.014493
2016-02-29,56.099998,56.57,54.919998,54.98,6074900,54.710903
2016-03-01,55.450001,56.529999,55.360001,56.23,5119700,55.954785
2016-03-02,57.849998,58.919998,56.75,57.740002,8993600,57.457397
2016-03-03,58.27,58.43,56.07,57.849998,4220300,57.566855
2016-03-04,57.73,57.810001,57.099998,57.419998,3673400,57.13896
2016-03-07,57.619999,59.439999,57.25,57.529999,3128300,57.248422
2016-03-08,57.41,58.099998,57.23,57.380001,2346700,57.099158
2016-03-09,56.439999,57.470001,56.25,56.580002,3208400,56.303075
2016-03-10,56.279999,57.560001,56.16,57.209999,3016500,57.066149
2016-03-11,57.939999,58.099998,57.209999,57.959999,2369700,57.814263
2016-03-14,57.93,58.299999,57.75,58.169998,1551000,58.023734
