Date,Open_MOS,High_MOS,Low_MOS,Close_MOS,Volume_MOS,AdjClose_MOS
2015-12-08,31.82,31.93,30.0,30.02,8154000,29.39219
2015-12-09,30.23,30.99,30.190001,30.84,5394200,30.195041
2015-12-10,30.82,31.450001,30.02,30.07,4687200,29.441144
2015-12-11,29.860001,29.940001,29.280001,29.370001,4180100,28.755784
2015-12-14,29.360001,29.49,28.27,28.700001,5010600,28.099796
2015-12-15,28.84,29.620001,28.84,29.469999,4209900,28.853691
2015-12-16,29.68,30.129999,28.940001,30.09,4558800,29.460726
2015-12-17,30.030001,30.139999,28.82,28.84,4880800,28.236867
2015-12-18,28.73,29.379999,28.5,28.540001,12515400,27.943142
2015-12-21,28.709999,28.799999,26.959999,27.24,8913300,26.670328
2015-12-22,27.4,28.959999,27.370001,28.700001,6796800,28.099796
2015-12-23,28.959999,30.5,28.9,30.01,6161400,29.382399
2015-12-24,30.09,30.450001,29.629999,29.75,1668900,29.127836
2015-12-28,29.6,29.629999,28.620001,28.98,3238100,28.373939
2015-12-29,29.17,29.35,28.52,28.870001,3260900,28.266241
2015-12-30,28.91,29.08,28.17,28.35,3016000,27.757115
2015-12-31,28.059999,28.299999,27.530001,27.59,4235800,27.013009
2016-01-04,27.309999,28.43,27.219999,28.42,7316400,27.825651
2016-01-05,28.66,28.67,27.870001,28.299999,4995600,27.70816
2016-01-06,27.83,27.85,26.27,26.440001,5965400,25.887059
2016-01-07,26.17,26.34,25.34,25.530001,5552700,24.99609
2016-01-08,25.5,25.6,24.77,24.91,5372300,24.389055
2016-01-11,25.0,25.07,23.52,23.799999,7972700,23.302268
2016-01-12,24.299999,24.77,23.65,24.559999,8549900,24.046375
2016-01-13,24.75,25.17,24.030001,24.139999,6384300,23.635158
2016-01-14,24.08,25.379999,23.76,25.059999,7342200,24.535918
2016-01-15,24.440001,25.68,24.23,25.469999,9118900,24.937344
2016-01-19,25.76,25.950001,24.25,24.83,7747100,24.310729
2016-01-20,24.379999,24.4,22.690001,23.93,8875800,23.429551
2016-01-21,24.110001,24.969999,23.790001,24.620001,5979200,24.105121
2016-01-22,25.25,26.23,23.370001,23.85,9015800,23.351224
2016-01-25,23.219999,23.219999,22.16,22.4,7811000,21.931547
2016-01-26,22.43,23.09,22.4,22.85,5043500,22.372137
2016-01-27,22.809999,23.200001,22.16,22.57,5721900,22.097992
2016-01-28,22.49,23.18,22.049999,23.0,5406200,22.519
2016-01-29,23.440001,24.1,22.790001,24.1,7734400,23.595996
2016-02-01,23.950001,24.07,23.02,23.92,5736000,23.41976
2016-02-02,23.629999,23.629999,22.02,22.1,6465500,21.637822
2016-02-03,22.440001,23.940001,22.43,23.93,5728400,23.429551
2016-02-04,24.0,25.370001,23.959999,24.799999,8350100,24.281355
2016-02-05,24.700001,25.459999,24.209999,24.860001,4654000,24.340102
2016-02-08,24.5,24.59,23.059999,23.58,6038900,23.08687
2016-02-09,23.09,24.059999,22.58,23.860001,6326000,23.361015
2016-02-10,24.190001,24.5,23.34,23.42,5091800,22.930216
2016-02-11,23.17,25.77,22.370001,24.75,11169500,24.232402
2016-02-12,24.68,24.91,22.51,22.91,12192700,22.430882
2016-02-16,22.860001,23.620001,22.200001,23.540001,7381400,23.047707
2016-02-17,23.790001,25.51,23.68,25.299999,7562600,24.770899
2016-02-18,25.43,25.889999,24.76,25.719999,6359800,25.182115
2016-02-19,25.59,25.6,24.1,24.4,6529600,23.889721
2016-02-22,24.4,25.219999,24.4,25.16,3692900,24.633827
2016-02-23,25.059999,25.07,24.120001,24.379999,5016400,23.870139
2016-02-24,24.08,25.08,23.110001,24.969999,6586800,24.4478
2016-02-25,24.969999,25.68,24.5,25.42,4698500,24.88839
2016-02-26,25.73,27.07,25.620001,26.82,8208200,26.259111
2016-02-29,26.6,27.200001,26.33,26.65,7683400,26.092666
2016-03-01,26.559999,27.35,26.48,27.1,5778300,26.809906
2016-03-02,26.75,28.42,26.629999,28.15,6645100,27.848666
2016-03-03,28.190001,28.620001,27.889999,28.49,4458000,28.185026
2016-03-04,28.549999,29.82,28.5,29.610001,9121400,29.293038
2016-03-07,29.59,31.1,29.59,30.370001,9752200,30.044903
2016-03-08,30.02,30.370001,29.1,29.129999,5955500,28.818175
2016-03-09,29.35,30.16,29.040001,30.129999,5591500,29.80747
2016-03-10,30.190001,30.35,28.92,29.459999,6894500,29.144642
2016-03-11,29.5,29.799999,28.5,28.700001,7705400,28.392779
2016-03-14,28.6,29.91,28.32,29.459999,5219000,29.144642
2016-03-15,29.030001,29.190001,28.27,28.540001,4412500,28.234492
2016-03-16,28.08,29.23,28.040001,29.1,4646600,28.788497
2016-03-17,29.51,30.25,29.290001,29.870001,5492000,29.550255
2016-03-18,30.07,30.299999,29.34,29.719999,15178000,29.401859
2016-03-21,29.58,30.209999,29.51,29.719999,3606400,29.401859
2016-03-22,29.51,29.700001,28.92,29.15,3961500,28.837961
2016-03-23,28.700001,28.83,27.889999,28.02,5694500,27.720058
2016-03-24,27.75,27.75,26.860001,27.26,6437100,26.968193
2016-03-28,27.51,28.059999,26.82,27.959999,4624300,27.660699
2016-03-29,27.639999,28.059999,26.950001,27.969999,4093100,27.670592
2016-03-30,27.85,28.41,27.690001,28.120001,3778600,27.818988
2016-03-31,28.16,28.309999,26.879999,27.0,6785800,26.710976
2016-04-01,26.889999,27.030001,25.790001,26.84,7022100,26.552689
2016-04-04,26.379999,26.65,25.65,25.809999,4496300,25.533714
2016-04-05,25.6,25.799999,25.17,25.370001,3911900,25.098426
2016-04-06,25.41,25.5,24.52,25.4,4730500,25.128103
2016-04-07,25.190001,25.4,24.52,24.75,4492300,24.485062
2016-04-08,25.110001,25.67,24.870001,24.959999,3948000,24.692813
2016-04-11,24.959999,25.15,24.65,24.870001,4243800,24.603778
2016-04-12,24.98,25.639999,24.57,25.530001,6008800,25.256713
2016-04-13,25.889999,26.559999,25.68,26.52,5014300,26.236115
2016-04-14,26.02,26.110001,25.18,25.469999,6128300,25.197354
2016-04-15,25.42,26.24,25.110001,26.110001,4706300,25.830504
2016-04-18,25.959999,26.719999,25.799999,26.5,4539900,26.216329
2016-04-19,26.440001,28.25,26.379999,28.219999,7156900,27.917916
2016-04-20,28.5,28.93,28.059999,28.52,6413600,28.214706
2016-04-21,28.84,29.66,28.59,28.709999,5772600,28.402671
2016-04-22,28.799999,29.17,28.379999,28.549999,3495000,28.244384
2016-04-25,28.280001,29.16,28.09,28.280001,4030800,27.977275
2016-04-26,28.34,28.690001,27.719999,28.549999,3989600,28.244384
2016-04-27,28.58,28.83,28.24,28.540001,5928000,28.234492
2016-04-28,27.98,29.26,27.52,28.57,7435600,28.26417
2016-04-29,28.42,28.74,27.700001,27.99,7335500,27.690379
2016-05-02,28.27,28.59,27.43,28.52,5288000,28.214706
2016-05-03,28.190001,28.389999,27.41,27.51,4966100,27.215517
2016-05-04,27.07,27.889999,26.040001,27.110001,7040800,26.8198
2016-05-05,27.280001,27.33,25.959999,26.08,6181000,25.800825
2016-05-06,25.92,26.450001,25.84,25.99,3612900,25.711788
2016-05-09,25.74,25.74,24.91,24.93,5396600,24.663135
2016-05-10,25.030001,26.18,24.809999,26.059999,5092300,25.781038
2016-05-11,26.049999,26.67,25.67,26.07,6846100,25.790931
2016-05-12,26.68,26.9,25.379999,25.440001,5245500,25.167676
2016-05-13,25.309999,25.6,24.75,24.84,4880000,24.574098
2016-05-16,25.030001,25.889999,25.01,25.799999,4577500,25.523821
2016-05-17,25.780001,26.59,25.67,26.200001,5543600,25.919541
2016-05-18,25.950001,26.549999,25.1,25.23,4776900,24.959923
2016-05-19,25.219999,25.82,25.049999,25.67,4506600,25.395214
2016-05-20,25.780001,26.360001,25.700001,25.940001,4125100,25.662324
2016-05-23,25.799999,26.719999,25.65,26.309999,4993100,26.028362
2016-05-24,26.51,26.59,25.84,25.959999,4216500,25.682108
2016-05-25,26.139999,26.629999,26.030001,26.49,5039200,26.206436
2016-05-26,26.68,26.809999,26.0,26.129999,5229100,25.850289
2016-05-27,26.17,26.27,25.610001,25.690001,3800000,25.415
2016-05-31,25.469999,25.469999,24.75,25.23,7570700,25.23
2016-06-01,25.0,25.309999,24.42,25.23,7758900,25.23
2016-06-02,25.290001,26.0,25.120001,25.65,7305900,25.65
2016-06-03,25.280001,26.73,25.25,26.700001,6584400,26.700001
