Date,Open_MCO,High_MCO,Low_MCO,Close_MCO,Volume_MCO,AdjClose_MCO
2015-11-06,102.050003,102.599998,101.199997,102.550003,2239300,101.351968
2015-11-09,102.349998,102.519997,99.870003,100.379997,1865300,99.207313
2015-11-10,99.830002,100.459999,99.330002,100.099998,1582300,98.930585
2015-11-11,100.639999,101.080002,99.919998,100.730003,971200,99.55323
2015-11-12,99.870003,101.110001,99.029999,99.400002,2992900,98.238766
2015-11-13,99.599998,99.599998,96.389999,96.900002,2056100,95.767972
2015-11-16,96.610001,98.139999,96.07,98.089996,1309400,96.944065
2015-11-17,99.300003,102.540001,98.82,101.199997,2234800,100.017733
2015-11-18,101.449997,103.290001,99.139999,103.199997,1271400,102.338195
2015-11-19,103.260002,103.68,102.699997,103.43,995300,102.566278
2015-11-20,103.809998,104.629997,103.400002,104.339996,1224400,103.468675
2015-11-23,104.550003,104.830002,104.050003,104.169998,1385500,103.300096
2015-11-24,103.330002,103.75,102.940002,103.489998,970500,102.625775
2015-11-25,103.730003,103.779999,102.449997,102.879997,823500,102.020868
2015-11-27,103.169998,104.019997,102.739998,103.790001,486300,102.923272
2015-11-30,103.75,104.089996,102.970001,103.120003,1188200,102.258869
2015-12-01,103.489998,103.809998,102.589996,103.440002,1165200,102.576197
2015-12-02,103.599998,103.699997,102.629997,102.900002,1055000,102.040705
2015-12-03,103.129997,103.349998,101.089996,101.360001,1980500,100.513565
2015-12-04,101.690002,104.050003,101.480003,104.019997,928100,103.151348
2015-12-07,103.050003,104.230003,103.0,104.050003,2068800,103.181103
2015-12-08,102.980003,103.580002,101.370003,101.489998,1200800,100.642476
2015-12-09,100.970001,102.32,99.239998,99.339996,1249700,98.510429
2015-12-10,99.699997,100.260002,99.379997,99.529999,670700,98.698845
2015-12-11,98.25,98.949997,95.220001,95.730003,2050000,94.930582
2015-12-14,96.010002,97.0,95.370003,96.779999,1439300,95.971809
2015-12-15,97.870003,99.889999,97.190002,98.660004,2093600,97.836115
2015-12-16,99.379997,100.32,98.059998,99.32,1517800,98.490599
2015-12-17,99.580002,100.389999,97.82,97.879997,923000,97.062622
2015-12-18,97.190002,98.160004,96.699997,97.459999,1829400,96.646131
2015-12-21,98.169998,99.580002,98.07,99.209999,1266300,98.381517
2015-12-22,99.529999,99.529999,98.0,99.029999,639700,98.20302
2015-12-23,99.300003,100.309998,98.93,99.849998,576500,99.016172
2015-12-24,99.400002,100.660004,99.239998,100.110001,240200,99.274003
