Date,Open_EL,High_EL,Low_EL,Close_EL,Volume_EL,AdjClose_EL
2015-10-21,83.989998,84.290001,83.230003,83.339996,1383000,82.507258
2015-10-22,84.019997,84.779999,83.949997,84.589996,2624300,83.744768
2015-10-23,85.080002,85.230003,83.669998,84.209999,1920200,83.368567
2015-10-26,84.209999,84.540001,83.510002,83.889999,1317300,83.051765
2015-10-27,83.599998,83.82,83.129997,83.669998,1179000,82.833962
2015-10-28,83.839996,84.349998,83.230003,83.25,2101000,82.418161
2015-10-29,82.739998,83.440002,81.889999,82.239998,4990500,81.418251
2015-10-30,82.5,82.650002,80.18,80.459999,6945600,79.656038
2015-11-02,84.709999,88.099998,84.639999,86.970001,8552300,86.100991
2015-11-03,86.940002,87.040001,85.639999,86.830002,4325900,85.962391
2015-11-04,86.169998,86.519997,85.160004,85.900002,2196600,85.041683
2015-11-05,86.010002,86.919998,85.559998,86.730003,1759500,85.863392
2015-11-06,86.5,86.82,84.540001,85.669998,1668700,84.813978
2015-11-09,85.300003,85.720001,83.959999,84.650002,2160700,83.804173
2015-11-10,84.300003,85.629997,84.290001,85.389999,1050500,84.536777
2015-11-11,86.07,86.690002,85.489998,85.830002,1332100,84.972383
2015-11-12,85.43,85.889999,84.309998,84.349998,1438300,83.507168
2015-11-13,84.059998,84.059998,82.309998,82.660004,2009900,81.83406
2015-11-16,82.660004,83.239998,82.300003,83.050003,1416700,82.220162
2015-11-17,83.25,83.370003,81.870003,82.059998,1582100,81.240049
2015-11-18,82.470001,83.809998,82.050003,83.75,1534900,82.913165
2015-11-19,84.139999,84.870003,83.949997,84.57,1808300,83.724971
2015-11-20,84.82,85.370003,84.139999,84.400002,1786000,83.556671
2015-11-23,84.410004,85.540001,84.300003,85.410004,1058600,84.556582
2015-11-24,85.010002,86.0,84.720001,85.57,1996600,84.714979
2015-11-25,85.75,86.080002,85.230003,85.400002,1232500,84.844132
2015-11-27,85.470001,85.800003,85.129997,85.290001,775900,84.734848
2015-11-30,85.190002,85.419998,84.099998,84.120003,1993100,83.572465
2015-12-01,84.260002,85.07,83.769997,85.029999,1654300,84.476538
2015-12-02,84.93,85.160004,83.720001,83.790001,1357500,83.244611
2015-12-03,84.260002,84.449997,82.989998,83.830002,2391800,83.284352
2015-12-04,84.010002,85.519997,83.82,85.43,1348600,84.873936
2015-12-07,85.440002,87.57,85.110001,86.980003,2066300,86.41385
2015-12-08,86.43,87.279999,85.849998,87.080002,2950700,86.513198
2015-12-09,86.959999,87.989998,86.059998,86.239998,4321200,85.678661
