Date,Open_FLS,High_FLS,Low_FLS,Close_FLS,Volume_FLS,AdjClose_FLS
2015-11-30,46.16,46.740002,46.009998,46.240002,1067300,45.850027
2015-12-01,46.349998,46.98,45.98,46.41,721500,46.018592
2015-12-02,46.330002,46.470001,45.18,45.389999,716700,45.007194
2015-12-03,45.52,45.66,44.529999,44.950001,722300,44.570906
2015-12-04,44.919998,45.200001,44.459999,44.950001,636900,44.570906
2015-12-07,44.459999,44.459999,43.439999,43.599998,1112600,43.232289
2015-12-08,42.669998,42.919998,41.900002,42.07,1635300,41.715194
2015-12-09,41.900002,42.82,41.740002,42.099998,1005000,41.74494
2015-12-10,42.080002,42.52,41.860001,42.130001,759200,41.774689
2015-12-11,41.490002,41.650002,41.169998,41.240002,840300,40.892196
2015-12-14,41.23,41.439999,40.689999,41.400002,1057300,41.050846
2015-12-15,41.84,41.84,40.849998,41.07,1130400,40.723628
2015-12-16,41.130001,41.91,40.869999,41.860001,1548700,41.506966
2015-12-17,41.779999,41.900002,40.790001,40.799999,1227800,40.455904
2015-12-18,40.540001,41.0,40.310001,40.66,2501300,40.317086
2015-12-21,40.759998,41.16,40.099998,40.400002,1289700,40.237409
2015-12-22,40.349998,40.959999,40.099998,40.639999,1153000,40.476441
2015-12-23,41.18,42.720001,41.18,42.490002,1196600,42.318998
2015-12-24,42.470001,43.060001,42.470001,42.889999,533800,42.717386
2015-12-28,42.450001,42.669998,41.990002,42.150002,696200,41.980366
2015-12-29,42.700001,43.049999,42.25,42.869999,977200,42.697466
2015-12-30,42.540001,43.09,42.369999,42.560001,773700,42.388716
2015-12-31,42.41,42.830002,42.060001,42.080002,570500,41.910648
2016-01-04,41.400002,42.029999,40.900002,42.009998,948700,41.840926
2016-01-05,42.029999,42.07,40.75,41.119999,982600,40.954509
2016-01-06,40.299999,40.73,39.98,40.279999,2249300,40.117889
2016-01-07,39.650002,39.73,39.02,39.279999,1989800,39.121914
2016-01-08,38.970001,39.48,37.98,38.029999,1515300,37.876945
2016-01-11,38.119999,38.23,37.279999,37.82,1326700,37.667791
2016-01-12,38.27,38.400002,37.23,38.02,1273100,37.866986
2016-01-13,38.25,38.779999,37.360001,37.400002,1622500,37.249483
2016-01-14,37.59,37.75,36.73,37.18,2387000,37.030367
2016-01-15,36.049999,36.23,35.669998,36.009998,2523000,35.865074
2016-01-19,36.060001,37.209999,34.900002,35.400002,1352200,35.257532
2016-01-20,34.610001,35.73,33.860001,35.529999,2561300,35.387006
2016-01-21,35.389999,36.34,34.900002,35.830002,1798500,35.685802
2016-01-22,36.75,37.540001,36.470001,37.02,1817500,36.871011
2016-01-25,36.799999,37.0,35.869999,35.919998,1087800,35.775436
2016-01-26,36.630001,37.490002,36.18,37.360001,1232100,37.209643
2016-01-27,37.310001,38.049999,36.799999,37.02,1211300,36.871011
2016-01-28,37.779999,38.880001,36.93,37.52,1105300,37.368999
2016-01-29,37.740002,38.700001,37.639999,38.639999,1092300,38.48449
2016-02-01,38.049999,38.529999,37.110001,38.369999,1079800,38.215576
2016-02-02,35.25,37.32,35.25,37.049999,2892300,36.900889
2016-02-03,37.48,38.509998,36.849998,38.43,1582300,38.275336
2016-02-04,38.490002,41.150002,37.75,40.310001,2438600,40.147771
2016-02-05,40.099998,41.009998,39.830002,40.720001,1278800,40.556121
2016-02-08,40.130001,40.82,39.73,40.389999,1131000,40.227447
