Date,Open_SLB,High_SLB,Low_SLB,Close_SLB,Volume_SLB,AdjClose_SLB
2015-10-13,74.190002,76.080002,74.0,74.639999,6666300,73.146053
2015-10-14,74.599998,75.339996,73.769997,75.010002,7187800,73.50865
2015-10-15,75.360001,76.269997,73.879997,76.160004,11034700,74.635634
2015-10-16,75.75,75.800003,72.489998,74.510002,17795100,73.018658
2015-10-19,73.349998,75.419998,73.209999,74.139999,7586000,72.656061
2015-10-20,73.889999,76.089996,73.849998,75.550003,8901400,74.037843
2015-10-21,75.300003,76.980003,75.110001,75.629997,7928600,74.116236
2015-10-22,76.370003,78.519997,76.239998,78.260002,9091200,76.6936
2015-10-23,77.839996,79.239998,77.400002,78.349998,8867400,76.781795
2015-10-26,78.059998,78.150002,76.970001,77.150002,7887200,75.605817
2015-10-27,75.459999,77.419998,75.349998,76.949997,9291600,75.409815
2015-10-28,77.849998,79.709999,77.199997,79.129997,11293200,77.546182
2015-10-29,78.730003,79.949997,78.370003,78.690002,6612800,77.114994
2015-10-30,78.639999,78.889999,76.660004,78.160004,9474800,76.595603
2015-11-02,77.650002,79.730003,77.449997,79.43,8480100,77.84018
2015-11-03,79.870003,82.43,79.690002,81.519997,10257000,79.888345
2015-11-04,81.449997,81.709999,79.800003,80.309998,8788400,78.702564
2015-11-05,79.739998,80.720001,78.610001,78.800003,6730900,77.222793
2015-11-06,78.050003,79.07,77.0,79.059998,7444300,77.477583
2015-11-09,78.82,79.290001,77.330002,77.910004,5860000,76.350607
2015-11-10,77.400002,78.870003,77.279999,78.769997,5949900,77.193387
2015-11-11,78.480003,78.589996,76.760002,77.629997,5575200,76.076205
2015-11-12,76.349998,77.790001,75.910004,76.599998,8141900,75.066822
2015-11-13,76.25,77.040001,75.709999,76.139999,7311400,74.61603
2015-11-16,76.269997,78.5,75.769997,78.330002,6662500,76.762199
2015-11-17,78.040001,78.339996,76.660004,76.739998,5579200,75.204019
2015-11-18,77.0,78.68,76.760002,78.550003,6955100,76.977797
2015-11-19,77.730003,78.699997,77.629997,77.919998,6674600,76.360401
