Date,Open_PEG,High_PEG,Low_PEG,Close_PEG,Volume_PEG,AdjClose_PEG
2015-07-20,41.380001,41.470001,41.09,41.34,2926000,40.144857
2015-07-21,41.23,41.32,40.290001,40.490002,2835100,39.319432
2015-07-22,40.59,41.009998,40.5,40.759998,3166600,39.581623
2015-07-23,40.73,40.73,39.41,39.759998,3137500,38.610533
2015-07-24,39.799999,39.939999,39.650002,39.779999,2228200,38.629955
2015-07-27,39.790001,40.369999,39.779999,40.189999,2535500,39.028102
2015-07-28,40.189999,40.450001,39.98,40.299999,3304800,39.134922
2015-07-29,40.209999,40.720001,39.950001,40.68,3357000,39.503937
2015-07-30,40.470001,41.310001,40.389999,41.259998,3429300,40.067168
2015-07-31,41.43,42.119999,41.040001,41.669998,4065700,40.465314
2015-08-03,41.830002,41.970001,41.400002,41.630001,2616700,40.426474
2015-08-04,41.509998,41.509998,40.57,40.639999,2449800,39.465093
2015-08-05,40.869999,41.290001,40.75,41.189999,3598400,39.999192
2015-08-06,41.150002,41.650002,40.720001,41.599998,3792400,40.397338
2015-08-07,41.52,42.509998,41.279999,42.439999,3227200,41.213054
2015-08-10,42.389999,42.490002,41.73,41.919998,2802300,40.708087
2015-08-11,41.91,42.790001,41.860001,42.470001,3947800,41.242189
2015-08-12,42.349998,43.099998,42.25,42.5,5337600,41.271321
2015-08-13,42.299999,42.529999,41.799999,42.310001,4100100,41.086815
2015-08-14,42.27,42.939999,42.150002,42.91,2044600,41.669467
2015-08-17,42.849998,43.349998,42.77,43.150002,2531200,41.902531
2015-08-18,43.0,43.07,42.700001,43.029999,2151500,41.785997
2015-08-19,42.869999,43.669998,42.610001,43.48,2368800,42.222988
2015-08-20,43.16,43.91,42.900002,43.200001,3199600,41.951084
2015-08-21,42.959999,43.18,42.02,42.040001,4782700,40.82462
2015-08-24,41.0,41.540001,40.380001,40.650002,6306700,39.474806
2015-08-25,41.419998,41.900002,39.700001,39.889999,6200900,38.736775
2015-08-26,40.240002,40.439999,39.57,40.27,4789300,39.105791
