Date,Open_DGX,High_DGX,Low_DGX,Close_DGX,Volume_DGX,AdjClose_DGX
2016-01-08,67.989998,69.190002,67.339996,67.419998,1038100,67.048383
2016-01-11,67.639999,68.190002,66.940002,67.940002,1253700,67.565521
2016-01-12,68.669998,69.43,67.230003,68.239998,784200,67.863863
2016-01-13,68.169998,68.629997,66.510002,66.68,925300,66.312464
2016-01-14,66.919998,67.25,65.980003,66.900002,1153000,66.531253
2016-01-15,65.150002,65.970001,64.550003,65.769997,1033500,65.407476
2016-01-19,66.5,66.559998,64.830002,65.480003,902700,65.119082
2016-01-20,64.830002,65.480003,63.369999,65.0,1778300,64.641724
2016-01-21,65.110001,65.720001,64.330002,64.75,1077400,64.393102
2016-01-22,65.160004,66.129997,64.889999,65.940002,1014300,65.576545
2016-01-25,65.980003,66.860001,65.43,65.57,700200,65.208582
2016-01-26,65.830002,66.279999,65.230003,66.230003,977400,65.864948
2016-01-27,65.879997,67.089996,65.220001,65.75,1158200,65.38759
2016-01-28,66.43,67.309998,63.130001,64.150002,1938100,63.796411
2016-01-29,64.400002,65.720001,63.169998,65.669998,1832300,65.308029
2016-02-01,65.660004,66.120003,64.68,65.860001,1382800,65.496984
2016-02-02,65.099998,65.690002,63.720001,63.970001,1035100,63.617402
2016-02-03,64.330002,64.419998,62.779999,64.019997,1414600,63.667122
2016-02-04,63.919998,64.900002,63.580002,63.869999,995700,63.517951
2016-02-05,63.84,63.860001,61.939999,62.049999,1335000,61.707983
2016-02-08,61.540001,61.700001,59.66,60.540001,1111400,60.206308
2016-02-09,59.779999,61.02,59.66,60.549999,1494700,60.216251
2016-02-10,60.709999,63.450001,60.580002,62.119999,1028700,61.777597
2016-02-11,61.259998,62.09,61.110001,61.299999,1077700,60.962117
2016-02-12,61.75,62.34,61.549999,61.900002,739500,61.558812
2016-02-16,62.119999,63.57,61.919998,63.220001,896000,62.871536
2016-02-17,63.77,64.800003,63.049999,64.57,936000,64.214094
2016-02-18,64.639999,66.860001,63.849998,66.050003,1349400,65.685939
2016-02-19,65.919998,66.419998,65.269997,66.309998,945400,65.944501
2016-02-22,66.830002,67.739998,66.510002,66.699997,819600,66.332351
2016-02-23,66.650002,66.860001,66.010002,66.139999,780100,65.77544
2016-02-24,65.599998,66.239998,65.059998,66.07,1011700,65.705826
2016-02-25,66.480003,66.959999,66.07,66.720001,1073800,66.352245
2016-02-26,66.830002,67.900002,66.779999,67.220001,998100,66.849489
2016-02-29,67.209999,67.510002,66.510002,66.529999,854000,66.163289
2016-03-01,67.800003,68.769997,66.650002,68.480003,922800,68.102546
2016-03-02,68.209999,68.660004,67.389999,67.93,954700,67.555574
2016-03-03,67.699997,69.830002,67.699997,69.709999,1201000,69.325762
2016-03-04,69.699997,69.959999,69.129997,69.32,1109100,68.937912
2016-03-07,68.879997,70.0,68.860001,69.620003,988700,69.236262
2016-03-08,69.190002,69.230003,68.220001,68.43,897000,68.052818
2016-03-09,68.629997,68.949997,68.099998,68.610001,761700,68.231826
2016-03-10,69.040001,69.080002,67.360001,68.029999,1104200,67.655022
2016-03-11,68.75,71.07,68.610001,70.720001,1200900,70.330197
2016-03-14,70.139999,70.879997,69.75,69.849998,905000,69.46499
2016-03-15,69.290001,69.650002,68.629997,69.300003,874900,68.918026
2016-03-16,69.239998,69.980003,68.959999,69.68,784600,69.295928
2016-03-17,69.510002,69.699997,68.199997,69.080002,1073900,68.699237
2016-03-18,69.230003,70.599998,69.07,70.110001,1704300,69.723559
2016-03-21,70.139999,70.290001,69.440002,70.019997,867600,69.634051
2016-03-22,69.830002,70.18,69.160004,69.879997,888700,69.494823
2016-03-23,70.010002,70.660004,69.849998,70.150002,817300,69.763339
2016-03-24,69.440002,69.910004,68.910004,69.790001,886200,69.405323
2016-03-28,70.059998,70.769997,69.620003,70.400002,880100,70.011961
2016-03-29,70.269997,71.519997,69.879997,71.480003,707600,71.08601
2016-03-30,71.889999,72.639999,71.529999,72.260002,998300,71.861709
2016-03-31,71.989998,72.230003,71.269997,71.449997,1241300,71.056169
2016-04-01,71.18,72.68,70.919998,72.57,979000,72.169998
2016-04-04,72.330002,72.639999,71.739998,72.07,703100,72.07
2016-04-05,71.370003,72.290001,71.349998,71.43,1240900,71.43
2016-04-06,71.43,73.25,71.43,73.160004,893900,73.160004
2016-04-07,72.660004,73.330002,71.610001,71.980003,724100,71.980003
