Date,Open_SRCL,High_SRCL,Low_SRCL,Close_SRCL,Volume_SRCL,AdjClose_SRCL
2015-12-11,115.809998,116.540001,115.32,116.199997,1482300,116.199997
2015-12-14,117.339996,118.150002,115.779999,117.089996,1135900,117.089996
2015-12-15,118.410004,119.559998,117.300003,118.529999,1115600,118.529999
2015-12-16,119.75,120.0,116.919998,118.610001,706200,118.610001
2015-12-17,119.160004,119.849998,118.489998,118.660004,790000,118.660004
2015-12-18,118.010002,118.080002,115.769997,116.75,1189300,116.75
2015-12-21,117.839996,118.339996,117.059998,118.290001,581800,118.290001
2015-12-22,118.419998,120.099998,118.129997,119.660004,601900,119.660004
2015-12-23,120.209999,121.339996,119.730003,121.18,407500,121.18
2015-12-24,121.620003,121.620003,120.379997,120.989998,159600,120.989998
2015-12-28,120.300003,121.940002,120.010002,121.639999,456400,121.639999
2015-12-29,122.019997,123.620003,121.730003,123.150002,393500,123.150002
2015-12-30,122.730003,123.849998,121.760002,121.779999,286800,121.779999
2015-12-31,121.779999,122.489998,120.580002,120.599998,332300,120.599998
2016-01-04,119.209999,119.440002,116.900002,117.870003,846400,117.870003
2016-01-05,118.43,120.970001,117.900002,120.529999,632400,120.529999
2016-01-06,118.940002,120.580002,118.129997,120.010002,737700,120.010002
2016-01-07,118.220001,120.190002,118.010002,119.510002,859600,119.510002
2016-01-08,120.0,120.300003,118.050003,118.239998,646600,118.239998
2016-01-11,118.660004,119.849998,118.199997,119.419998,717800,119.419998
2016-01-12,119.519997,121.440002,118.349998,121.019997,634600,121.019997
2016-01-13,121.010002,121.32,116.040001,116.309998,776600,116.309998
2016-01-14,117.0,117.0,114.550003,116.410004,823800,116.410004
2016-01-15,113.550003,115.25,113.489998,115.160004,955500,115.160004
2016-01-19,116.480003,118.290001,115.470001,115.82,517200,115.82
2016-01-20,114.160004,115.730003,111.25,115.120003,814500,115.120003
2016-01-21,115.779999,116.440002,114.040001,114.989998,508000,114.989998
2016-01-22,115.949997,118.309998,115.489998,117.949997,396200,117.949997
2016-01-25,117.809998,117.900002,116.669998,116.910004,561300,116.910004
2016-01-26,116.93,118.410004,116.93,118.169998,290700,118.169998
2016-01-27,118.169998,119.830002,117.160004,117.870003,570400,117.870003
2016-01-28,118.010002,118.860001,116.519997,116.93,727900,116.93
2016-01-29,117.190002,120.449997,117.0,120.349998,787800,120.349998
2016-02-01,119.290001,121.110001,118.690002,120.650002,582900,120.650002
2016-02-02,119.510002,120.57,117.809998,118.32,708600,118.32
2016-02-03,118.139999,118.57,115.010002,117.199997,1366900,117.199997
2016-02-04,117.419998,118.480003,115.790001,115.940002,1860300,115.940002
2016-02-05,111.690002,114.699997,108.75,111.120003,2591400,111.120003
2016-02-08,109.639999,110.089996,105.160004,105.989998,1288300,105.989998
2016-02-09,105.110001,107.360001,104.910004,106.029999,790700,106.029999
2016-02-10,106.800003,108.389999,106.580002,107.910004,945900,107.910004
2016-02-11,106.160004,107.980003,105.379997,106.050003,877800,106.050003
2016-02-12,107.839996,108.349998,105.639999,106.919998,1136000,106.919998
2016-02-16,109.440002,109.889999,108.169998,109.470001,750600,109.470001
2016-02-17,109.919998,111.529999,109.260002,111.410004,866900,111.410004
2016-02-18,110.830002,113.0,110.5,111.540001,840200,111.540001
2016-02-19,111.300003,111.650002,109.300003,109.660004,898500,109.660004
