Date,Open_AIV,High_AIV,Low_AIV,Close_AIV,Volume_AIV,AdjClose_AIV
2015-09-02,35.82,35.98,35.23,35.709999,1355600,34.820447
2015-09-03,35.830002,35.950001,35.310001,35.650002,1084200,34.761944
2015-09-04,35.360001,35.450001,34.709999,34.849998,895700,33.981869
2015-09-08,35.290001,35.459999,34.849998,35.200001,1270500,34.323153
2015-09-09,35.75,35.919998,34.93,34.990002,1361400,34.118385
2015-09-10,34.810001,35.73,34.810001,35.240002,1349300,34.362157
2015-09-11,35.09,36.139999,34.990002,36.139999,1284900,35.239736
2015-09-14,36.23,36.23,35.77,36.0,774200,35.103224
2015-09-15,35.380001,36.009998,34.82,35.849998,3239500,34.956959
2015-09-16,35.860001,36.279999,35.75,36.080002,1921100,35.181233
2015-09-17,36.110001,37.040001,35.889999,36.41,1733500,35.50301
2015-09-18,36.02,36.849998,35.900002,36.259998,2023800,35.356745
2015-09-21,36.240002,36.720001,35.709999,36.57,1535700,35.659025
2015-09-22,36.419998,36.619999,36.139999,36.310001,1100500,35.405503
2015-09-23,36.490002,36.650002,36.130001,36.59,1239400,35.678527
2015-09-24,36.52,36.639999,35.869999,36.18,1003900,35.27874
2015-09-25,36.279999,36.790001,36.029999,36.509998,895600,35.600518
2015-09-28,36.349998,36.57,35.599998,35.880001,1070200,34.986214
2015-09-29,35.939999,36.790001,35.810001,36.650002,1439200,35.737033
2015-09-30,36.950001,37.09,36.73,37.02,1700800,36.097816
2015-10-01,37.209999,37.599998,36.959999,37.540001,1216100,36.604863
2015-10-02,36.349998,37.900002,36.349998,37.889999,1066500,36.946142
2015-10-05,38.0,38.369999,37.73,38.330002,1207100,37.375184
2015-10-06,38.389999,38.740002,38.040001,38.080002,1874400,37.131412
2015-10-07,38.110001,38.66,37.93,38.66,1835900,37.696962
2015-10-08,38.619999,39.080002,38.369999,39.0,1075800,38.028492
2015-10-09,38.93,39.279999,38.77,39.27,853900,38.291767
2015-10-12,39.32,39.619999,39.07,39.509998,895200,38.525786
2015-10-13,39.310001,39.509998,38.990002,39.18,582300,38.204009
2015-10-14,39.220001,39.259998,38.599998,38.689999,954400,37.726213
2015-10-15,38.810001,39.400002,38.639999,39.400002,657300,38.41853
2015-10-16,39.549999,39.740002,39.400002,39.580002,748100,38.594046
2015-10-19,39.5,40.330002,39.389999,40.32,845300,39.31561
2015-10-20,40.689999,40.720001,40.259998,40.509998,986300,39.500876
2015-10-21,40.610001,40.75,40.200001,40.200001,1002600,39.198601
2015-10-22,40.299999,40.610001,40.099998,40.23,1537200,39.227852
2015-10-23,40.189999,40.830002,39.650002,39.990002,937900,38.993833
2015-10-26,40.080002,40.259998,39.75,39.98,1162600,38.98408
2015-10-27,39.959999,40.310001,39.82,40.23,1231800,39.227852
2015-10-28,40.209999,40.490002,39.220001,39.810001,1059900,38.818316
2015-10-29,39.549999,40.110001,39.400002,39.959999,1156800,38.964578
2015-10-30,40.029999,40.169998,39.16,39.189999,1764100,38.213758
2015-11-02,39.169998,40.029999,39.0,40.009998,1519500,39.013331
2015-11-03,39.799999,40.0,39.189999,39.669998,1103500,38.681801
2015-11-04,38.880001,39.299999,37.73,38.259998,3030900,37.306925
2015-11-05,38.200001,38.450001,38.0,38.27,1540200,37.316678
2015-11-06,37.860001,37.900002,36.75,37.09,1419500,36.166072
2015-11-09,36.59,37.0,35.900002,36.220001,1673400,35.317745
