Date,Open_CB,High_CB,Low_CB,Close_CB,Volume_CB,AdjClose_CB
2015-07-28,107.459999,107.739998,106.93,107.620003,2554600,107.015191
2015-07-29,107.519997,108.419998,107.110001,107.989998,1918200,107.383107
2015-07-30,107.599998,108.739998,107.599998,108.589996,1531900,107.979733
2015-07-31,109.970001,110.199997,108.57,108.769997,4031400,108.158722
2015-08-03,108.68,110.82,108.550003,110.739998,2660000,110.117652
2015-08-04,110.620003,111.18,110.269997,110.370003,2368600,109.749736
2015-08-05,110.919998,111.629997,110.5,111.129997,2394700,110.50546
2015-08-06,111.279999,111.32,109.709999,110.139999,1951700,109.521025
2015-08-07,109.940002,110.010002,109.339996,109.860001,1466000,109.2426
2015-08-10,110.599998,111.040001,109.849998,110.110001,1589800,109.491195
2015-08-11,109.199997,110.540001,109.199997,109.980003,1799700,109.361929
2015-08-12,109.32,109.389999,107.809998,109.129997,1807200,108.516699
2015-08-13,107.919998,109.529999,107.620003,108.980003,1516100,108.367548
2015-08-14,109.190002,109.720001,108.790001,109.669998,1326200,109.053666
2015-08-17,109.580002,110.449997,108.93,109.989998,1391200,109.371867
2015-08-18,109.790001,110.540001,109.489998,110.480003,1458600,109.859119
2015-08-19,109.739998,110.529999,109.040001,109.730003,1917900,109.113334
2015-08-20,108.769997,109.07,107.449997,107.5,2499100,106.895863
2015-08-21,106.730003,107.25,105.019997,105.07,2685300,104.479519
2015-08-24,99.779999,103.75,96.0,101.32,5703900,100.750593
2015-08-25,104.360001,104.360001,99.620003,99.720001,3455300,99.159586
2015-08-26,101.660004,102.25,99.57,101.849998,3644400,101.277613
2015-08-27,102.860001,104.029999,101.669998,103.639999,2837100,103.057555
2015-08-28,103.349998,103.739998,101.739998,102.709999,2426600,102.132781
2015-08-31,102.309998,102.629997,101.300003,102.160004,2195500,101.585876
2015-09-01,100.379997,101.019997,99.220001,99.720001,3025600,99.159586
2015-09-02,100.68,101.120003,99.5,100.629997,2130000,100.064468
2015-09-03,101.07,101.970001,100.989998,101.669998,2136300,101.098625
2015-09-04,100.400002,100.730003,99.550003,100.160004,2508900,99.597116
2015-09-08,101.470001,102.110001,100.580002,101.970001,1950400,101.396942
2015-09-09,102.790001,103.260002,100.559998,100.730003,1837100,100.163912
2015-09-10,100.730003,101.489998,100.330002,100.739998,1683300,100.173851
2015-09-11,100.349998,101.07,100.25,100.860001,1591600,100.293179
2015-09-14,101.059998,101.059998,99.980003,100.209999,1650900,99.646831
2015-09-15,100.419998,101.629997,99.949997,101.300003,1936600,100.730709
2015-09-16,101.330002,101.949997,101.129997,101.809998,1405600,101.237837
2015-09-17,101.910004,102.870003,101.379997,101.550003,2626500,100.979304
2015-09-18,99.790001,101.230003,99.589996,99.919998,3566800,99.358459
2015-09-21,100.629997,101.959999,100.269997,101.68,2327500,101.108571
2015-09-22,100.699997,101.269997,100.309998,100.980003,2647200,100.412507
2015-09-23,100.870003,102.150002,100.550003,101.339996,2540500,100.770477
2015-09-24,100.529999,101.769997,100.150002,101.550003,1989600,100.979304
2015-09-25,102.889999,104.239998,102.419998,103.419998,2657600,102.83879
2015-09-28,102.209999,103.040001,100.330002,100.900002,2657400,100.332955
2015-09-29,100.830002,101.790001,100.110001,101.589996,2097800,101.019072
2015-09-30,102.389999,103.550003,102.139999,103.400002,2993300,102.818906
2015-10-01,103.230003,103.330002,100.940002,102.290001,3354300,101.715143
2015-10-02,100.879997,102.720001,100.339996,102.720001,2019600,102.142727
2015-10-05,103.470001,104.650002,103.419998,104.330002,2184600,103.743679
2015-10-06,103.599998,104.089996,102.93,103.290001,2078400,102.709523
2015-10-07,103.910004,104.980003,103.480003,104.980003,2596600,104.390028
2015-10-08,104.540001,106.660004,104.0,106.580002,1964200,105.981035
2015-10-09,106.410004,107.269997,106.220001,106.470001,3162700,105.871652
2015-10-12,105.75,107.269997,105.75,107.019997,1144900,106.418557
2015-10-13,106.559998,107.370003,106.080002,106.449997,1443500,105.85176
2015-10-14,106.290001,106.739998,105.400002,105.550003,1545700,104.956824
2015-10-15,105.830002,107.68,105.830002,107.550003,1584400,106.945585
2015-10-16,108.589996,109.190002,107.870003,108.949997,2542800,108.337711
2015-10-19,108.709999,109.529999,108.07,109.510002,2175700,108.894569
2015-10-20,109.720001,111.440002,109.550003,111.050003,3151500,110.425915
2015-10-21,112.489998,114.559998,110.769997,113.580002,4115100,112.941695
2015-10-22,113.989998,115.940002,113.690002,115.110001,3526700,114.463096
2015-10-23,115.25,115.25,113.230003,114.830002,2369300,114.184671
2015-10-26,115.139999,116.269997,114.860001,115.269997,2090900,114.622193
2015-10-27,114.690002,115.139999,114.120003,114.580002,1872800,113.936076
2015-10-28,115.089996,115.699997,114.040001,115.290001,1377300,114.642085
2015-10-29,115.589996,116.010002,114.870003,115.279999,1222400,114.632139
2015-10-30,115.029999,115.43,113.540001,113.540001,2405400,112.901919
2015-11-02,113.919998,114.349998,113.220001,114.07,2451400,113.42894
2015-11-03,113.959999,114.029999,113.18,113.639999,1953600,113.001356
2015-11-04,113.610001,113.910004,112.660004,112.959999,1808800,112.325177
2015-11-05,113.040001,113.699997,113.040001,113.529999,1755500,112.891973
2015-11-06,114.589996,114.589996,112.209999,113.029999,1777200,112.394783
2015-11-09,112.779999,113.18,111.919998,112.519997,1443800,111.887647
