Date,Open_LB,High_LB,Low_LB,Close_LB,Volume_LB,AdjClose_LB
2015-07-23,84.199997,84.419998,83.440002,83.620003,1238800,79.368336
2015-07-24,83.959999,84.059998,82.919998,82.959999,2452800,78.741891
2015-07-27,82.510002,82.970001,80.860001,81.050003,2232300,76.929009
2015-07-28,81.129997,81.599998,80.419998,81.389999,1849200,77.251718
2015-07-29,81.269997,83.080002,81.169998,82.739998,1463500,78.533076
2015-07-30,82.620003,82.949997,81.269997,81.339996,1499700,77.204257
2015-07-31,81.910004,82.199997,80.660004,80.720001,1619600,76.615786
2015-08-03,80.82,82.269997,80.699997,82.190002,2509000,78.011045
2015-08-04,82.129997,83.290001,81.959999,83.199997,1626700,78.969686
2015-08-05,83.529999,84.849998,83.529999,84.489998,2092500,80.194097
2015-08-06,84.459999,84.959999,80.690002,81.800003,3059900,77.640875
2015-08-07,81.720001,82.029999,80.599998,81.660004,1538100,77.507994
2015-08-10,82.330002,83.650002,82.019997,83.389999,1323900,79.150028
2015-08-11,82.620003,83.410004,82.0,82.489998,1279000,78.295787
2015-08-12,80.660004,81.519997,78.449997,81.099998,3107300,76.976462
2015-08-13,81.129997,81.43,80.559998,80.699997,1208900,76.596799
2015-08-14,80.800003,81.300003,80.510002,80.989998,1443800,76.872054
2015-08-17,80.900002,81.620003,80.129997,81.510002,1074100,77.365619
2015-08-18,81.5,81.959999,81.019997,81.349998,1272000,77.213751
2015-08-19,80.449997,81.690002,80.300003,81.18,1937600,77.528912
2015-08-20,79.519997,84.300003,79.5,83.940002,3783400,80.164782
2015-08-21,83.029999,83.32,79.959999,80.290001,4021200,76.67894
2015-08-24,76.629997,80.040001,75.110001,78.07,3309100,74.558784
2015-08-25,80.160004,80.32,77.830002,77.870003,2890100,74.367782
2015-08-26,79.82,81.529999,78.419998,81.360001,2456200,77.700817
2015-08-27,81.980003,82.949997,81.099998,82.809998,2023900,79.0856
2015-08-28,82.760002,84.18,82.690002,83.639999,1992300,79.878272
2015-08-31,83.510002,84.349998,83.089996,83.900002,2591600,80.12658
2015-09-01,82.080002,84.260002,81.93,83.849998,2923400,80.078826
2015-09-02,84.68,86.010002,83.32,85.730003,3411000,81.874277
2015-09-03,87.110001,90.769997,87.110001,89.279999,3989900,85.264611
2015-09-04,88.550003,90.860001,88.0,90.379997,3230200,86.315137
2015-09-08,91.760002,92.790001,90.400002,92.720001,3085500,88.549899
2015-09-09,92.970001,93.410004,90.519997,90.639999,2425500,86.563445
2015-09-10,90.760002,92.220001,90.709999,91.589996,2657100,87.470716
2015-09-11,90.970001,92.43,90.400002,92.32,1557400,88.167887
2015-09-14,92.550003,93.290001,91.82,92.150002,1501300,88.005535
2015-09-15,92.019997,92.309998,91.18,91.769997,1555700,87.642621
2015-09-16,91.760002,92.809998,91.07,92.699997,1389900,88.530794
2015-09-17,93.150002,93.349998,91.730003,92.089996,1798100,87.948228
2015-09-18,90.839996,92.400002,90.370003,91.93,4382300,87.795428
2015-09-21,92.720001,93.18,91.669998,92.209999,1343200,88.062834
2015-09-22,91.360001,92.050003,90.690002,91.779999,1330400,87.652173
2015-09-23,92.040001,92.68,91.529999,91.959999,914700,87.824078
2015-09-24,91.230003,92.059998,91.080002,91.839996,953600,87.709472
2015-09-25,92.230003,93.110001,91.169998,91.800003,992600,87.671278
2015-09-28,91.290001,91.970001,88.93,89.419998,1247600,85.398314
2015-09-29,89.75,89.849998,88.480003,89.389999,1048300,85.369664
2015-09-30,90.440002,91.160004,89.82,90.129997,1770500,86.076381
2015-10-01,90.099998,91.389999,89.639999,91.309998,1915800,87.20331
2015-10-02,90.389999,93.059998,89.900002,93.059998,1571800,88.874604
2015-10-05,93.269997,93.980003,92.959999,93.870003,1834900,89.648179
2015-10-06,93.809998,94.349998,92.089996,93.389999,1103500,89.189764
2015-10-07,92.419998,95.239998,92.419998,94.699997,2038900,90.440844
2015-10-08,95.959999,97.489998,95.309998,96.529999,2808800,92.188541
2015-10-09,96.5,96.510002,95.559998,96.339996,1455200,92.007084
2015-10-12,96.25,97.099998,96.07,96.830002,1685700,92.475051
2015-10-13,96.699997,97.260002,96.290001,96.540001,895900,92.198093
2015-10-14,96.349998,96.769997,94.989998,95.410004,742100,91.118918
2015-10-15,95.879997,96.230003,94.849998,96.040001,1034600,91.720581
2015-10-16,96.459999,97.099998,95.57,96.82,754900,92.465499
2015-10-19,96.669998,97.410004,96.309998,97.18,1089400,92.809308
2015-10-20,96.800003,97.529999,96.32,96.379997,1332800,92.045286
2015-10-21,97.0,97.699997,95.709999,96.519997,1079800,92.178988
2015-10-22,96.959999,97.18,96.410004,96.760002,1467400,92.4082
2015-10-23,97.779999,97.93,92.739998,93.879997,2407300,89.657724
2015-10-26,94.059998,96.290001,93.760002,95.919998,1404400,91.605975
2015-10-27,95.720001,96.110001,94.480003,94.660004,1448900,90.402649
2015-10-28,94.230003,95.769997,93.910004,95.650002,819000,91.348122
