Date,Open_CLX,High_CLX,Low_CLX,Close_CLX,Volume_CLX,AdjClose_CLX
2015-12-22,127.93,128.009995,126.629997,127.589996,1173700,126.047498
2015-12-23,128.0,128.860001,127.75,128.179993,689000,126.630362
2015-12-24,127.970001,128.350006,127.360001,127.860001,248900,126.314238
2015-12-28,127.639999,128.399994,127.449997,128.059998,607100,126.511817
2015-12-29,128.699997,129.149994,128.449997,129.009995,779600,127.450329
2015-12-30,129.25,129.25,128.089996,128.199997,595500,126.650124
2015-12-31,127.910004,128.199997,126.779999,126.830002,705400,125.296692
2016-01-04,125.349998,125.620003,123.790001,125.279999,1531600,123.765427
2016-01-05,125.519997,127.540001,125.349998,127.089996,1571400,125.553543
2016-01-06,125.660004,127.540001,125.660004,127.029999,1354600,125.494271
2016-01-07,125.419998,126.919998,125.199997,125.639999,1111500,124.121076
2016-01-08,125.849998,127.400002,125.589996,126.18,1183000,124.654548
2016-01-11,126.669998,128.179993,126.330002,127.68,1192600,126.136414
2016-01-12,128.119995,128.690002,127.389999,128.399994,1060100,126.847703
2016-01-13,128.559998,129.380005,127.830002,128.110001,1400800,126.561216
2016-01-14,128.229996,128.990005,127.190002,127.32,1178300,125.780766
2016-01-15,125.620003,127.470001,125.57,126.860001,1291100,125.326328
2016-01-19,127.57,129.139999,126.940002,127.639999,788100,126.096897
2016-01-20,126.25,127.370003,123.739998,125.389999,1725200,123.874098
2016-01-21,125.370003,126.379997,124.25,125.889999,1288900,124.368053
2016-01-22,126.860001,127.980003,125.779999,127.589996,822300,126.047498
2016-01-25,126.330002,127.419998,124.949997,125.040001,1684300,124.278345
2016-01-26,125.400002,126.730003,124.449997,125.550003,1574200,124.785241
2016-01-27,125.529999,126.160004,124.150002,124.639999,1459300,123.88078
2016-01-28,124.449997,126.230003,123.730003,126.029999,1148400,125.262313
2016-01-29,126.870003,129.470001,125.980003,129.050003,2006100,128.263921
2016-02-01,129.149994,132.190002,128.929993,131.809998,1319500,131.007104
2016-02-02,131.059998,131.710007,128.639999,129.089996,1533500,128.303671
2016-02-03,129.809998,131.399994,128.419998,131.089996,1832500,130.291488
2016-02-04,131.559998,131.589996,124.209999,124.709999,2524600,123.950353
2016-02-05,124.949997,125.809998,122.400002,124.379997,1733200,123.622362
2016-02-08,123.599998,127.580002,123.279999,127.040001,1713000,126.266163
2016-02-09,126.260002,129.949997,125.010002,128.679993,2273000,127.896165
2016-02-10,129.089996,130.929993,127.410004,127.910004,1676000,127.130866
2016-02-11,127.150002,127.940002,125.080002,126.980003,2280900,126.20653
2016-02-12,128.039993,128.669998,126.690002,127.540001,1079300,126.763117
2016-02-16,127.82,128.460007,126.68,128.119995,1017500,127.339578
2016-02-17,128.100006,130.320007,127.75,129.419998,1210000,128.631663
2016-02-18,129.429993,129.580002,127.760002,127.889999,945200,127.110983
2016-02-19,127.889999,128.759995,126.870003,128.630005,795700,127.846481
2016-02-22,128.970001,129.529999,127.809998,128.309998,895100,127.528423
