Date,Open_KMX,High_KMX,Low_KMX,Close_KMX,Volume_KMX,AdjClose_KMX
2015-09-18,61.049999,61.529999,60.119999,60.27,3182700,60.27
2015-09-21,60.75,62.68,60.73,62.66,3119300,62.66
2015-09-22,60.02,60.540001,56.68,59.720001,6101600,59.720001
2015-09-23,58.549999,59.889999,57.880001,59.32,3877300,59.32
2015-09-24,58.68,59.439999,58.220001,59.07,2017300,59.07
2015-09-25,59.669998,60.32,59.310001,59.73,1279600,59.73
2015-09-28,59.279999,59.450001,57.82,57.900002,1682700,57.900002
2015-09-29,57.880001,58.310001,57.290001,57.959999,1440600,57.959999
2015-09-30,59.099998,59.82,58.759998,59.32,2284300,59.32
2015-10-01,59.549999,59.75,57.709999,58.650002,2215100,58.650002
2015-10-02,57.59,59.779999,57.32,59.779999,1728100,59.779999
2015-10-05,60.099998,60.59,59.639999,60.48,1581700,60.48
2015-10-06,60.220001,60.5,58.900002,59.220001,1418800,59.220001
2015-10-07,59.59,60.330002,58.849998,59.48,1165800,59.48
2015-10-08,59.360001,60.419998,59.119999,59.959999,1468100,59.959999
2015-10-09,59.16,59.259998,57.959999,58.77,2641400,58.77
2015-10-12,58.91,59.0,57.259998,57.34,2430500,57.34
2015-10-13,57.209999,57.66,56.75,56.91,2443900,56.91
2015-10-14,56.91,57.290001,55.900002,56.77,2092000,56.77
2015-10-15,56.970001,57.220001,56.25,56.98,1762100,56.98
2015-10-16,57.009998,57.099998,56.07,56.18,2319500,56.18
2015-10-19,56.119999,56.939999,56.0,56.849998,2276300,56.849998
2015-10-20,56.860001,57.349998,56.57,56.950001,1462100,56.950001
2015-10-21,57.259998,57.34,56.669998,57.299999,2060200,57.299999
2015-10-22,57.669998,58.84,57.66,58.240002,2329800,58.240002
2015-10-23,58.759998,58.830002,57.48,58.049999,1861300,58.049999
2015-10-26,58.02,59.0,57.91,58.790001,1534100,58.790001
2015-10-27,58.490002,58.84,57.849998,58.209999,1208000,58.209999
2015-10-28,58.240002,58.459999,57.5,57.869999,2230000,57.869999
2015-10-29,57.919998,58.549999,57.68,58.41,2129000,58.41
2015-10-30,58.27,59.66,58.009998,59.009998,1492800,59.009998
2015-11-02,59.080002,59.34,58.529999,58.77,1287500,58.77
2015-11-03,58.650002,59.549999,57.75,57.959999,2286500,57.959999
2015-11-04,57.41,58.25,56.23,57.150002,2979500,57.150002
2015-11-05,57.330002,57.549999,56.73,57.060001,2195400,57.060001
2015-11-06,56.799999,57.689999,56.619999,57.299999,1739900,57.299999
2015-11-09,57.189999,57.209999,56.139999,56.450001,1779800,56.450001
2015-11-10,56.43,56.669998,55.779999,56.5,1145000,56.5
2015-11-11,56.68,56.82,55.990002,56.02,1192600,56.02
2015-11-12,55.599998,56.099998,55.450001,55.450001,1454000,55.450001
2015-11-13,55.23,55.490002,53.84,53.98,1832900,53.98
2015-11-16,53.799999,55.049999,53.459999,55.02,1819900,55.02
2015-11-17,54.990002,56.400002,54.990002,55.619999,2071300,55.619999
2015-11-18,55.900002,56.689999,55.66,56.68,1646900,56.68
2015-11-19,56.540001,57.049999,56.099998,56.349998,1426800,56.349998
2015-11-20,56.700001,57.650002,56.599998,57.41,1775800,57.41
2015-11-23,57.09,57.23,56.459999,56.630001,1727900,56.630001
2015-11-24,56.16,57.59,56.150002,57.310001,1516400,57.310001
2015-11-25,57.459999,58.209999,57.259998,57.889999,1252300,57.889999
2015-11-27,57.860001,57.860001,56.93,57.41,727400,57.41
2015-11-30,57.310001,57.639999,56.84,57.299999,1593900,57.299999
2015-12-01,57.360001,57.950001,56.790001,57.259998,1767800,57.259998
2015-12-02,57.27,58.110001,56.52,57.98,3103000,57.98
2015-12-03,57.990002,59.139999,57.639999,58.220001,2912300,58.220001
2015-12-04,58.34,59.560001,58.130001,59.220001,1799700,59.220001
2015-12-07,59.209999,59.220001,58.200001,58.689999,2143600,58.689999
2015-12-08,58.279999,59.75,58.200001,59.25,1970700,59.25
2015-12-09,58.950001,60.0,58.549999,58.860001,1588200,58.860001
2015-12-10,58.779999,59.169998,58.470001,58.650002,1440500,58.650002
2015-12-11,57.759998,58.060001,57.139999,57.48,1917200,57.48
2015-12-14,57.650002,58.720001,57.200001,57.860001,2749300,57.860001
2015-12-15,58.09,59.369999,58.0,58.669998,2744000,58.669998
2015-12-16,58.75,59.040001,57.220001,58.66,3793500,58.66
2015-12-17,58.810001,59.16,57.110001,57.150002,4757100,57.150002
2015-12-18,53.439999,53.900002,50.57,53.490002,20119800,53.490002
2015-12-21,53.080002,53.25,51.040001,52.529999,7230300,52.529999
2015-12-22,52.66,52.790001,51.189999,51.619999,4467300,51.619999
2015-12-23,52.119999,53.82,51.73,53.619999,2922900,53.619999
2015-12-24,53.52,53.75,53.009998,53.23,849800,53.23
2015-12-28,53.0,53.32,52.299999,53.18,1743000,53.18
2015-12-29,53.57,54.759998,53.48,54.59,2069800,54.59
2015-12-30,54.369999,54.959999,54.25,54.560001,1968300,54.560001
2015-12-31,54.279999,54.919998,53.970001,53.970001,1688000,53.970001
2016-01-04,53.099998,53.099998,51.919998,52.369999,3218900,52.369999
2016-01-05,52.459999,52.75,51.740002,52.119999,2752500,52.119999
2016-01-06,49.779999,50.720001,47.700001,48.310001,7647100,48.310001
2016-01-07,47.669998,47.900002,46.75,47.110001,7079500,47.110001
2016-01-08,47.700001,47.990002,46.700001,46.799999,4823800,46.799999
2016-01-11,46.959999,47.189999,46.18,46.990002,3448700,46.990002
2016-01-12,48.07,48.689999,46.860001,47.66,3437700,47.66
2016-01-13,47.830002,48.02,45.98,46.240002,3744700,46.240002
2016-01-14,46.259998,47.349998,45.439999,47.060001,3646100,47.060001
2016-01-15,45.599998,45.939999,44.09,45.02,5510100,45.02
2016-01-19,45.16,45.5,42.389999,42.990002,5635900,42.990002
2016-01-20,42.400002,45.16,41.880001,44.889999,6199800,44.889999
2016-01-21,44.939999,47.119999,44.869999,45.779999,4292800,45.779999
2016-01-22,46.580002,46.849998,45.459999,45.849998,2387200,45.849998
2016-01-25,45.68,45.860001,44.900002,44.98,3052000,44.98
2016-01-26,45.189999,46.02,44.810001,45.990002,2438900,45.990002
2016-01-27,45.57,46.049999,44.220001,44.639999,4090800,44.639999
2016-01-28,44.950001,45.130001,42.73,42.900002,5739900,42.900002
2016-01-29,43.189999,44.299999,42.970001,44.18,4305500,44.18
2016-02-01,43.630001,44.400002,41.279999,43.93,6314400,43.93
2016-02-02,43.529999,43.560001,41.970001,42.369999,3494800,42.369999
2016-02-03,42.889999,42.939999,41.25,42.509998,3041800,42.509998
2016-02-04,42.560001,44.02,41.990002,43.900002,3154900,43.900002
2016-02-05,43.900002,44.41,43.369999,44.150002,3114000,44.150002
2016-02-08,43.75,43.919998,42.25,42.650002,2887500,42.650002
2016-02-09,42.389999,43.509998,42.110001,42.860001,2258800,42.860001
2016-02-10,43.0,44.400002,42.709999,43.130001,2559300,43.130001
2016-02-11,42.110001,42.970001,41.459999,42.150002,3097000,42.150002
2016-02-12,42.880001,43.75,42.09,43.630001,2008400,43.630001
2016-02-16,44.330002,46.189999,44.130001,46.040001,3061900,46.040001
2016-02-17,46.740002,48.939999,46.689999,47.950001,4902000,47.950001
2016-02-18,47.77,47.98,46.360001,46.639999,2956800,46.639999
2016-02-19,46.32,46.32,44.299999,45.360001,3715200,45.360001
2016-02-22,46.009998,46.93,45.650002,45.849998,2478000,45.849998
2016-02-23,45.82,46.330002,44.540001,45.470001,2351300,45.470001
2016-02-24,44.709999,45.279999,43.470001,45.189999,2419600,45.189999
2016-02-25,45.220001,46.27,44.75,46.259998,2242300,46.259998
2016-02-26,46.599998,47.610001,46.220001,47.200001,2347700,47.200001
2016-02-29,47.169998,47.380001,46.25,46.259998,2100800,46.259998
2016-03-01,46.889999,47.990002,46.09,47.98,2802700,47.98
2016-03-02,47.91,48.540001,46.759998,47.720001,2267700,47.720001
2016-03-03,47.66,50.540001,47.52,50.290001,4312600,50.290001
2016-03-04,50.43,53.02,50.25,51.349998,4386000,51.349998
2016-03-07,50.82,52.810001,50.720001,52.639999,2870800,52.639999
2016-03-08,52.099998,53.23,50.48,50.700001,2758400,50.700001
2016-03-09,50.91,51.060001,49.990002,50.990002,1369600,50.990002
2016-03-10,50.98,51.669998,50.360001,50.98,1689200,50.98
2016-03-11,51.099998,52.099998,50.18,51.889999,2486800,51.889999
2016-03-14,51.5,51.849998,50.189999,50.830002,1780000,50.830002
2016-03-15,50.259998,50.450001,48.889999,49.240002,2222700,49.240002
2016-03-16,49.130001,50.119999,48.52,50.09,2330200,50.09
2016-03-17,49.360001,49.720001,47.07,49.310001,2460600,49.310001
2016-03-18,49.560001,50.439999,49.439999,50.240002,3390500,50.240002
2016-03-21,50.299999,50.66,49.860001,50.57,1520500,50.57
2016-03-22,50.119999,50.650002,49.959999,50.200001,2224100,50.200001
2016-03-23,50.040001,50.040001,48.310001,48.439999,2111900,48.439999
2016-03-24,48.209999,48.889999,47.110001,48.830002,2297200,48.830002
2016-03-28,48.240002,49.110001,48.099998,48.900002,1570100,48.900002
2016-03-29,48.549999,50.580002,48.52,50.43,2333300,50.43
2016-03-30,50.66,51.169998,50.209999,50.810001,1701400,50.810001
2016-03-31,50.810001,51.369999,50.279999,51.099998,2533300,51.099998
2016-04-01,50.57,51.779999,49.77,51.75,4384100,51.75
2016-04-04,51.740002,51.75,50.790001,51.150002,3342700,51.150002
2016-04-05,50.5,51.360001,50.5,51.220001,2616600,51.220001
2016-04-06,51.400002,53.470001,51.200001,53.290001,5117100,53.290001
2016-04-07,54.66,54.66,48.779999,49.48,11238400,49.48
2016-04-08,49.75,51.689999,49.43,50.98,4466300,50.98
2016-04-11,51.259998,52.490002,50.830002,50.880001,2836700,50.880001
2016-04-12,51.16,51.98,51.07,51.59,2317300,51.59
2016-04-13,52.18,53.970001,51.990002,53.939999,3040500,53.939999
2016-04-14,54.200001,54.330002,53.16,53.619999,3037500,53.619999
2016-04-15,53.57,54.0,53.009998,53.669998,1974500,53.669998
2016-04-18,53.240002,53.790001,52.759998,53.43,1739800,53.43
2016-04-19,53.66,54.389999,53.490002,54.330002,2330100,54.330002
2016-04-20,54.389999,54.400002,53.259998,54.139999,2054000,54.139999
2016-04-21,54.099998,54.720001,51.68,52.43,2907900,52.43
2016-04-22,51.549999,53.560001,50.630001,53.220001,2176000,53.220001
2016-04-25,53.200001,53.290001,52.580002,52.990002,1339800,52.990002
2016-04-26,53.380001,55.869999,53.07,55.470001,2528300,55.470001
2016-04-27,55.400002,55.990002,54.790001,55.130001,2354500,55.130001
2016-04-28,54.849998,55.360001,53.779999,53.93,1142800,53.93
2016-04-29,53.84,53.84,52.639999,52.950001,2609600,52.950001
2016-05-02,53.209999,53.279999,51.950001,52.200001,2328000,52.200001
2016-05-03,51.470001,52.360001,51.02,51.919998,1809400,51.919998
2016-05-04,51.549999,52.189999,50.990002,51.290001,1866100,51.290001
2016-05-05,51.610001,51.709999,50.470001,50.599998,2063800,50.599998
2016-05-06,50.41,50.830002,49.84,50.41,1587100,50.41
2016-05-09,50.41,51.549999,50.310001,51.23,1375400,51.23
2016-05-10,51.439999,52.799999,51.200001,52.5,1683000,52.5
2016-05-11,52.220001,52.220001,50.75,50.970001,2166400,50.970001
2016-05-12,51.150002,51.299999,50.490002,51.0,1959000,51.0
2016-05-13,50.849998,51.599998,50.560001,50.669998,3715100,50.669998
2016-05-16,50.66,51.09,50.299999,50.639999,2311400,50.639999
2016-05-17,50.400002,51.150002,50.080002,50.810001,2282800,50.810001
2016-05-18,50.790001,51.130001,50.32,50.790001,3235600,50.790001
2016-05-19,50.790001,51.91,50.720001,51.32,1909600,51.32
2016-05-20,51.5,52.73,51.310001,52.73,2298000,52.73
2016-05-23,52.82,52.970001,52.110001,52.130001,1515300,52.130001
2016-05-24,52.279999,53.139999,51.91,52.889999,1384800,52.889999
2016-05-25,53.040001,54.599998,52.869999,54.040001,2317300,54.040001
2016-05-26,54.080002,54.419998,53.150002,53.389999,1638100,53.389999
2016-05-27,53.490002,54.23,53.380001,53.59,1979400,53.59
2016-05-31,53.830002,54.16,53.470001,53.66,2436900,53.66
2016-06-01,53.66,53.66,51.470001,52.09,3446400,52.09
2016-06-02,51.77,52.299999,51.110001,52.09,3596700,52.09
2016-06-03,51.669998,51.82,50.529999,51.540001,3724300,51.540001
