Date,Open_MJN,High_MJN,Low_MJN,Close_MJN,Volume_MJN,AdjClose_MJN
2015-07-27,89.559998,90.18,88.830002,89.519997,1728800,88.075465
2015-07-28,90.110001,90.339996,88.959999,90.089996,1280700,88.636267
2015-07-29,90.0,90.419998,89.550003,90.300003,1499200,88.842885
2015-07-30,89.949997,90.0,89.160004,89.480003,1756200,88.036118
2015-07-31,89.75,89.779999,88.059998,88.389999,2409400,86.963702
2015-08-03,88.400002,88.489998,87.199997,87.980003,1383200,86.560322
2015-08-04,87.910004,88.150002,87.160004,87.75,1766500,86.33403
2015-08-05,88.279999,88.800003,87.790001,87.93,1482300,86.511126
2015-08-06,88.410004,88.82,87.769997,88.059998,1550800,86.639026
2015-08-07,87.760002,88.25,87.440002,88.160004,889000,86.737418
2015-08-10,88.620003,89.529999,88.300003,89.389999,1103600,87.947566
2015-08-11,88.5,88.5,86.82,86.940002,3310100,85.537103
2015-08-12,86.120003,86.379997,84.029999,84.870003,3131700,83.500506
2015-08-13,84.769997,84.980003,83.5,84.029999,2220800,82.674056
2015-08-14,84.040001,84.239998,83.419998,83.830002,1913300,82.477287
2015-08-17,83.800003,84.800003,83.339996,84.410004,1882500,83.047929
2015-08-18,84.169998,84.519997,83.669998,83.709999,1399900,82.35922
2015-08-19,83.260002,83.519997,81.269997,82.400002,3112400,81.070361
2015-08-20,81.970001,82.019997,79.529999,79.599998,3906300,78.31554
2015-08-21,79.330002,79.75,78.519997,78.519997,3190900,77.252966
2015-08-24,74.0,78.150002,73.099998,76.82,4374000,75.580401
2015-08-25,78.199997,78.790001,75.410004,75.43,5164200,74.212831
2015-08-26,77.010002,78.269997,75.849998,78.18,2899900,76.918456
2015-08-27,78.889999,79.010002,77.110001,78.370003,2265400,77.105392
2015-08-28,78.199997,78.660004,77.919998,78.57,1156400,77.302162
2015-08-31,77.940002,78.580002,77.220001,78.339996,1758900,77.07587
2015-09-01,77.239998,77.57,75.699997,76.040001,1607600,74.812988
2015-09-02,76.589996,76.839996,75.629997,76.730003,1868500,75.491857
2015-09-03,76.839996,77.580002,76.470001,77.360001,2001300,76.111688
2015-09-04,76.400002,76.5,74.900002,75.57,3048300,74.350571
2015-09-08,76.720001,76.720001,75.5,76.190002,2136700,74.960569
2015-09-09,76.550003,76.910004,75.010002,75.169998,1837900,73.957024
2015-09-10,74.919998,75.620003,74.599998,74.849998,1485800,74.049029
2015-09-11,74.589996,75.639999,74.169998,75.620003,1535900,74.810793
2015-09-14,75.629997,75.800003,74.75,75.139999,1364300,74.335926
2015-09-15,75.339996,76.160004,74.550003,75.800003,1750000,74.988867
2015-09-16,75.760002,76.129997,74.43,74.809998,2515700,74.009456
2015-09-17,74.910004,76.550003,74.610001,75.32,1313000,74.514
2015-09-18,74.470001,75.550003,74.43,74.629997,1664000,73.831382
2015-09-21,75.010002,75.419998,74.779999,75.040001,1402700,74.236998
2015-09-22,74.129997,74.199997,73.150002,73.540001,1425200,72.753049
2015-09-23,73.550003,73.870003,72.5,72.720001,1685700,71.941824
2015-09-24,72.620003,74.739998,72.300003,74.730003,2870800,73.930318
2015-09-25,75.019997,75.099998,71.019997,71.540001,4433000,70.774451
2015-09-28,71.370003,71.550003,69.830002,70.220001,2465200,69.468577
2015-09-29,70.279999,70.639999,69.199997,69.639999,2052500,68.894782
2015-09-30,70.419998,70.970001,69.690002,70.400002,2023700,69.646651
2015-10-01,70.440002,70.809998,69.849998,70.5,2954400,69.745579
2015-10-02,70.010002,73.129997,69.309998,73.120003,2810300,72.337546
2015-10-05,73.580002,75.230003,72.580002,75.160004,3028300,74.355716
2015-10-06,75.129997,75.559998,74.43,75.089996,2468000,74.286458
2015-10-07,74.5,75.82,71.910004,72.349998,5226300,71.575781
2015-10-08,70.68,72.349998,69.839996,72.129997,3595900,71.358134
2015-10-09,72.07,72.980003,71.68,72.029999,1821500,71.259206
2015-10-12,72.029999,72.370003,70.970001,71.300003,1480700,70.537022
2015-10-13,71.25,72.589996,70.889999,71.559998,2419100,70.794234
2015-10-14,71.800003,72.489998,71.18,71.360001,1258700,70.596377
2015-10-15,72.260002,74.550003,72.25,74.510002,3698700,73.712671
2015-10-16,74.540001,75.190002,73.790001,75.099998,2316800,74.296353
2015-10-19,75.0,75.279999,74.5,75.040001,2029100,74.236998
2015-10-20,74.699997,75.0,73.309998,74.760002,2652000,73.959995
2015-10-21,74.900002,76.610001,74.480003,75.099998,3878600,74.296353
2015-10-22,71.989998,80.300003,71.959999,79.25,7967800,78.401946
2015-10-23,79.419998,81.150002,79.040001,81.120003,6051200,80.251938
2015-10-26,80.730003,80.889999,79.260002,79.709999,5212900,78.857022
2015-10-27,79.360001,79.709999,78.400002,79.339996,4651500,78.490979
2015-10-28,79.199997,79.989998,77.669998,79.769997,3869200,78.916378
2015-10-29,83.589996,83.75,81.559998,82.790001,6512700,81.904065
2015-10-30,82.5,82.93,81.379997,82.0,3913800,81.122518
2015-11-02,82.0,82.790001,81.510002,82.470001,2398000,81.58749
2015-11-03,82.25,84.260002,82.040001,84.150002,3005900,83.249512
2015-11-04,84.129997,84.489998,82.870003,83.480003,2879000,82.586684
2015-11-05,83.480003,83.790001,82.360001,83.32,1945900,82.428392
2015-11-06,82.839996,83.269997,82.040001,82.959999,1930000,82.072244
2015-11-09,83.0,83.519997,82.07,82.489998,1928800,81.607272
2015-11-10,82.330002,82.910004,81.699997,82.330002,1876600,81.448988
2015-11-11,82.870003,82.959999,82.019997,82.5,1329300,81.617167
2015-11-12,81.940002,82.050003,81.0,81.239998,2481800,80.370649
2015-11-13,81.25,81.699997,80.75,81.309998,2129100,80.439899
2015-11-16,81.0,82.57,81.0,82.32,1931300,81.439093
2015-11-17,82.419998,82.650002,81.239998,81.559998,2092600,80.687224
2015-11-18,81.940002,82.639999,81.510002,82.57,1952800,81.686418
2015-11-19,82.660004,83.029999,82.32,82.760002,1584400,81.874387
2015-11-20,83.25,83.419998,82.0,82.080002,1712800,81.201664
2015-11-23,82.25,82.599998,81.459999,81.589996,1906800,80.716902
2015-11-24,81.529999,81.949997,80.379997,81.160004,3512700,80.29151
2015-11-25,81.169998,82.309998,81.019997,81.68,1469200,80.805943
2015-11-27,81.93,82.540001,81.830002,82.010002,518700,81.132413
2015-11-30,82.129997,82.389999,80.519997,80.589996,1531000,79.727603
2015-12-01,80.349998,81.07,79.080002,80.699997,3674800,79.836426
2015-12-02,80.790001,80.860001,79.5,80.129997,1940900,79.272526
2015-12-03,80.57,81.239998,78.699997,79.32,2000700,78.471196
2015-12-04,79.489998,79.93,78.699997,79.889999,1249900,79.035096
2015-12-07,79.879997,80.959999,79.650002,80.110001,1857100,79.252743
2015-12-08,79.309998,79.800003,78.510002,79.260002,2156800,78.411841
2015-12-09,78.769997,79.5,78.419998,79.050003,1583600,78.204089
2015-12-10,79.129997,79.129997,78.059998,78.580002,1528000,78.147403
2015-12-11,77.559998,77.800003,76.68,77.510002,2643000,77.083294
2015-12-14,76.160004,77.510002,75.620003,77.400002,2508500,76.973899
2015-12-15,77.75,78.360001,76.580002,77.029999,1965100,76.605933
2015-12-16,77.43,78.760002,77.309998,78.480003,1446600,78.047955
2015-12-17,78.580002,78.650002,77.559998,77.589996,1272900,77.162848
2015-12-18,77.150002,78.019997,76.809998,77.0,2823200,76.576099
2015-12-21,77.620003,78.120003,77.370003,77.889999,978500,77.461199
2015-12-22,77.959999,78.769997,77.449997,78.43,854600,77.998227
2015-12-23,78.629997,79.379997,78.300003,79.199997,953400,78.763985
2015-12-24,79.349998,79.709999,79.290001,79.300003,610600,78.86344
2015-12-28,79.010002,79.25,78.400002,78.849998,499700,78.415913
2015-12-29,79.120003,80.199997,78.809998,79.809998,1116500,79.370627
2015-12-30,79.830002,79.989998,79.279999,79.330002,708300,78.893274
2015-12-31,79.110001,79.519997,78.519997,78.949997,824000,78.515361
2016-01-04,77.629997,78.459999,77.199997,78.18,2570600,77.749603
2016-01-05,78.300003,78.529999,76.900002,77.550003,2776000,77.123074
2016-01-06,76.790001,78.150002,76.610001,77.5,3016800,77.073347
2016-01-07,76.400002,77.389999,75.589996,75.639999,4594200,75.223586
2016-01-08,75.489998,75.650002,72.580002,73.089996,5176400,72.687621
2016-01-11,72.120003,72.150002,70.019997,70.550003,6265800,70.161611
2016-01-12,70.879997,71.889999,70.089996,70.669998,2285800,70.280945
2016-01-13,70.949997,71.059998,68.849998,69.089996,2831100,68.709642
2016-01-14,69.449997,69.959999,68.790001,69.169998,3292000,68.789203
2016-01-15,67.339996,70.0,67.110001,69.739998,2806600,69.356065
2016-01-19,69.82,70.489998,68.730003,69.239998,1913000,68.858818
2016-01-20,68.599998,68.830002,66.650002,68.010002,2869900,67.635593
2016-01-21,68.010002,68.470001,66.849998,67.639999,2971000,67.267627
2016-01-22,68.510002,70.480003,68.190002,70.160004,3001700,69.773759
2016-01-25,69.800003,69.93,68.889999,68.910004,2615900,68.53064
2016-01-26,69.059998,70.769997,69.019997,70.129997,2145100,69.743917
2016-01-27,69.709999,70.190002,68.040001,68.199997,4271600,67.824542
2016-01-28,73.080002,73.209999,65.529999,70.199997,7260300,69.813532
2016-01-29,71.0,72.639999,70.790001,72.489998,2786600,72.090926
2016-02-01,72.260002,72.43,70.57,71.93,3179000,71.534011
2016-02-02,71.239998,71.260002,68.949997,68.970001,2525900,68.590307
2016-02-03,69.540001,69.860001,68.419998,68.93,2704600,68.550527
2016-02-04,69.120003,70.879997,68.650002,69.639999,2041800,69.256617
2016-02-05,69.629997,72.379997,69.139999,71.940002,4790100,71.543958
2016-02-08,71.410004,71.5,66.889999,68.220001,3770800,67.844436
2016-02-09,68.010002,68.769997,66.660004,67.919998,2437300,67.546085
2016-02-10,68.580002,71.230003,68.580002,70.720001,2941100,70.330673
2016-02-11,69.300003,70.650002,69.120003,69.220001,3353200,68.838931
2016-02-12,69.970001,70.970001,69.669998,70.529999,1569100,70.141717
2016-02-16,71.449997,72.919998,71.43,72.529999,1946800,72.130706
2016-02-17,73.150002,75.150002,73.029999,74.989998,2480100,74.577163
2016-02-18,74.849998,75.260002,74.080002,74.660004,1822500,74.248985
2016-02-19,74.169998,75.0,73.739998,74.790001,1393000,74.378267
2016-02-22,75.190002,75.339996,73.290001,74.0,2377600,73.592615
2016-02-23,73.510002,73.660004,72.660004,72.910004,1843400,72.508619
2016-02-24,72.139999,73.029999,70.720001,72.68,2290900,72.279882
