Date,Open_PKI,High_PKI,Low_PKI,Close_PKI,Volume_PKI,AdjClose_PKI
2015-08-18,50.299999,50.779999,50.220001,50.540001,444500,50.322209
2015-08-19,50.259998,50.259998,49.619999,49.810001,525800,49.595355
2015-08-20,49.52,49.630001,49.080002,49.139999,841600,48.928241
2015-08-21,48.860001,48.919998,47.700001,47.709999,1145600,47.504403
2015-08-24,45.59,47.380001,45.080002,45.950001,1289300,45.751989
2015-08-25,47.16,47.209999,45.970001,46.02,1442600,45.821687
2015-08-26,46.93,48.119999,46.369999,48.040001,1169900,47.832982
2015-08-27,48.25,49.52,48.23,49.439999,900100,49.226947
2015-08-28,49.23,49.560001,48.830002,49.48,694700,49.266776
2015-08-31,49.209999,49.369999,48.41,48.68,1240800,48.470224
2015-09-01,47.740002,47.900002,46.23,46.419998,1372600,46.219961
2015-09-02,47.0,47.560001,46.57,47.560001,666000,47.355051
2015-09-03,47.619999,48.419998,47.59,47.950001,843000,47.74337
2015-09-04,47.25,47.75,47.049999,47.349998,636900,47.145953
2015-09-08,48.240002,48.25,47.59,48.23,543600,48.022162
2015-09-09,48.52,48.650002,47.220001,47.349998,448100,47.145953
2015-09-10,47.09,47.73,47.040001,47.450001,667800,47.245525
2015-09-11,47.290001,47.990002,47.080002,47.939999,330000,47.733411
2015-09-14,47.939999,48.02,47.380001,47.759998,392300,47.554186
2015-09-15,47.919998,48.580002,47.630001,48.41,440300,48.201387
2015-09-16,48.450001,48.919998,48.200001,48.630001,482400,48.42044
2015-09-17,48.630001,49.669998,48.599998,49.029999,482600,48.818714
2015-09-18,48.52,48.639999,47.279999,47.369999,1193400,47.165868
2015-09-21,47.650002,47.799999,46.669998,46.84,640100,46.638153
2015-09-22,46.27,46.529999,45.970001,46.48,813900,46.279703
2015-09-23,46.459999,46.779999,46.290001,46.52,475300,46.319532
2015-09-24,46.099998,46.130001,45.560001,45.93,691000,45.732074
2015-09-25,46.290001,46.48,45.450001,45.75,993000,45.55285
2015-09-28,45.509998,45.580002,44.130001,44.450001,1114300,44.258453
2015-09-29,44.450001,45.48,44.369999,45.290001,1227400,45.094833
2015-09-30,45.790001,46.220001,45.220001,45.959999,681700,45.761944
2015-10-01,45.91,46.09,45.060001,45.43,764900,45.234229
2015-10-02,44.779999,46.439999,44.709999,46.43,516100,46.22992
2015-10-05,46.73,47.09,46.349998,46.799999,546400,46.598324
2015-10-06,46.549999,46.880001,46.27,46.740002,822700,46.538585
2015-10-07,46.970001,47.869999,46.869999,47.529999,846000,47.325178
2015-10-08,47.349998,47.990002,47.130001,47.880001,437000,47.673672
2015-10-09,47.860001,48.279999,47.810001,48.189999,339400,47.982334
2015-10-12,48.060001,48.27,47.709999,48.209999,382400,48.002248
2015-10-13,47.950001,48.419998,47.5,47.59,463200,47.384921
2015-10-14,47.619999,47.830002,47.040001,47.16,384300,47.025943
2015-10-15,47.150002,48.259998,47.119999,48.25,399700,48.112844
2015-10-16,48.360001,48.610001,48.02,48.59,459300,48.451878
2015-10-19,48.52,48.900002,48.299999,48.880001,475900,48.741055
2015-10-20,48.779999,49.110001,48.560001,48.970001,565500,48.830799
2015-10-21,49.23,49.25,48.57,48.799999,551500,48.66128
2015-10-22,48.98,49.439999,48.709999,48.990002,791000,48.850742
2015-10-23,49.32,50.389999,49.09,50.32,523600,50.17696
2015-10-26,50.25,50.310001,49.740002,49.869999,436000,49.728238
2015-10-27,49.689999,50.200001,49.549999,50.07,795200,49.92767
2015-10-28,50.07,51.0,49.900002,50.990002,340500,50.845057
2015-10-29,51.09,51.310001,50.610001,51.150002,592000,51.004602
2015-10-30,51.220001,51.970001,51.130001,51.639999,726800,51.493207
2015-11-02,51.740002,53.119999,51.529999,52.91,627500,52.759598
2015-11-03,52.740002,52.950001,52.369999,52.93,719400,52.779541
2015-11-04,52.860001,53.34,52.73,53.209999,621100,53.058744
2015-11-05,53.290001,53.5,52.349998,52.43,891400,52.280963
2015-11-06,51.380001,53.299999,51.380001,51.939999,850000,51.792354
2015-11-09,51.84,51.91,51.380001,51.650002,829100,51.503181
2015-11-10,51.610001,52.400002,51.400002,52.18,659400,52.031673
2015-11-11,52.189999,52.549999,51.509998,51.509998,548100,51.363576
2015-11-12,51.400002,51.689999,50.669998,50.68,556400,50.535937
2015-11-13,50.720001,51.099998,50.369999,50.639999,549400,50.49605
2015-11-16,50.59,51.169998,50.310001,51.009998,1359500,50.864997
2015-11-17,51.040001,51.630001,50.779999,51.57,1524500,51.423407
2015-11-18,51.700001,52.669998,51.580002,52.59,828400,52.440508
2015-11-19,52.650002,52.880001,52.419998,52.630001,496900,52.480395
2015-11-20,52.900002,53.0,52.580002,52.669998,1678100,52.520278
2015-11-23,52.720001,53.099998,52.599998,52.830002,373500,52.679827
2015-11-24,52.310001,52.75,52.009998,52.540001,535700,52.39065
2015-11-25,52.709999,53.290001,52.369999,53.16,391100,53.008887
2015-11-27,53.220001,53.759998,53.07,53.580002,212500,53.427695
2015-11-30,53.5,53.73,53.139999,53.16,684100,53.008887
2015-12-01,53.459999,53.689999,53.009998,53.66,509200,53.507466
2015-12-02,53.52,53.66,52.490002,52.560001,471600,52.410594
2015-12-03,51.41,51.91,50.580002,50.889999,756300,50.745339
2015-12-04,51.049999,52.290001,51.049999,52.25,606700,52.101474
2015-12-07,52.029999,52.220001,51.189999,51.41,579400,51.263862
2015-12-08,49.669998,51.009998,49.400002,50.689999,1102800,50.545907
2015-12-09,50.450001,51.049999,49.990002,50.25,659000,50.107159
2015-12-10,50.110001,50.580002,49.880001,50.380001,604700,50.236791
