Date,Open_VMC,High_VMC,Low_VMC,Close_VMC,Volume_VMC,AdjClose_VMC
2016-01-22,83.730003,88.07,83.709999,85.370003,1289100,85.045131
2016-01-25,84.650002,85.610001,82.529999,82.889999,937400,82.574565
2016-01-26,83.089996,84.279999,82.639999,84.230003,773900,83.90947
2016-01-27,84.330002,85.669998,83.129997,83.660004,815500,83.341639
2016-01-28,84.660004,85.559998,82.980003,83.239998,578900,82.923232
2016-01-29,83.370003,88.970001,83.089996,88.199997,1897600,87.864356
2016-02-01,87.540001,88.290001,86.839996,87.07,1710900,86.738658
2016-02-02,86.639999,87.839996,85.690002,86.93,1965400,86.599192
2016-02-03,88.110001,88.650002,85.199997,88.019997,2036400,87.68504
2016-02-04,92.260002,95.440002,91.5,93.769997,2703300,93.413159
2016-02-05,93.900002,94.480003,90.400002,93.639999,1663100,93.283656
2016-02-08,91.989998,92.18,87.169998,89.220001,1785500,88.880478
2016-02-09,88.199997,94.739998,87.379997,91.010002,1856100,90.663667
2016-02-10,91.849998,94.25,91.370003,93.080002,1757800,92.72579
2016-02-11,91.419998,91.93,88.830002,89.989998,1559900,89.647545
2016-02-12,91.610001,92.480003,89.5,92.019997,1530200,91.669818
2016-02-16,93.860001,94.080002,91.800003,93.260002,1067300,92.905105
2016-02-17,94.389999,97.040001,93.800003,95.339996,1319000,94.977184
2016-02-18,94.669998,95.510002,93.709999,94.120003,956000,93.761833
2016-02-19,93.779999,95.959999,92.260002,94.879997,924200,94.518935
2016-02-22,94.68,96.82,94.68,96.050003,872200,95.886611
2016-02-23,95.239998,96.260002,93.949997,94.480003,947700,94.319282
2016-02-24,93.669998,97.839996,93.239998,97.349998,1514600,97.184395
2016-02-25,97.300003,98.849998,96.059998,97.980003,655000,97.813328
2016-02-26,99.269997,99.699997,98.459999,98.730003,1049600,98.562052
2016-02-29,98.980003,99.57,98.510002,98.529999,970200,98.362388
2016-03-01,99.760002,102.260002,98.279999,101.620003,1036900,101.447135
2016-03-02,101.169998,102.489998,100.300003,102.239998,1177200,102.066076
2016-03-03,102.5,103.169998,101.230003,102.709999,1095500,102.535277
2016-03-04,102.879997,103.370003,101.279999,101.760002,1255600,101.586897
2016-03-07,101.32,103.169998,100.879997,103.019997,1123800,102.844748
2016-03-08,101.839996,103.050003,100.610001,102.129997,1248500,101.956262
2016-03-09,103.230003,103.260002,101.580002,102.559998,1156200,102.385531
2016-03-10,103.0,103.75,101.910004,103.220001,931600,103.044412
2016-03-11,104.199997,104.669998,102.940002,104.129997,736200,103.95286
2016-03-14,103.980003,104.360001,102.690002,103.75,1030100,103.573509
2016-03-15,102.830002,104.260002,102.300003,103.519997,799500,103.343897
2016-03-16,103.309998,103.739998,102.459999,103.580002,1001500,103.4038
2016-03-17,103.220001,105.269997,103.040001,104.690002,1090000,104.511913
2016-03-18,104.919998,105.690002,104.57,105.419998,1328200,105.240666
2016-03-21,105.419998,105.459999,104.379997,104.910004,674700,104.73154
2016-03-22,104.480003,105.370003,104.18,104.949997,848000,104.771465
2016-03-23,104.290001,105.589996,104.080002,104.599998,756000,104.422062
2016-03-24,104.400002,105.150002,104.040001,105.110001,534300,104.931196
2016-03-28,105.190002,106.220001,105.190002,105.589996,617300,105.410375
2016-03-29,105.220001,106.760002,105.010002,105.93,678000,105.749801
2016-03-30,106.040001,106.459999,104.650002,105.489998,664100,105.310547
2016-03-31,105.68,106.779999,104.330002,105.57,1162600,105.390413
2016-04-01,105.25,107.779999,104.980003,107.209999,1155800,107.027622
2016-04-04,107.040001,107.040001,105.139999,106.0,784500,105.819682
2016-04-05,104.849998,105.830002,104.610001,105.559998,894900,105.380428
2016-04-06,105.550003,107.580002,105.470001,106.660004,1212700,106.478563
2016-04-07,105.959999,106.18,105.080002,105.849998,788400,105.669935
2016-04-08,106.919998,109.0,106.919998,108.0,1216600,107.816279
2016-04-11,109.080002,109.629997,106.470001,106.540001,1094300,106.358764
