Date,Open_MPC,High_MPC,Low_MPC,Close_MPC,Volume_MPC,AdjClose_MPC
2015-09-18,45.880001,47.439999,45.740002,46.09,6192300,44.930894
2015-09-21,46.490002,47.450001,46.049999,46.169998,3244700,45.00888
2015-09-22,45.48,46.639999,45.34,45.939999,4515800,44.784665
2015-09-23,46.099998,47.200001,45.939999,46.259998,3288600,45.096617
2015-09-24,46.080002,46.98,45.549999,46.669998,3582100,45.496306
2015-09-25,46.939999,47.75,46.599998,47.330002,4736100,46.139711
2015-09-28,46.740002,47.689999,44.57,45.029999,4127900,43.897551
2015-09-29,45.380001,46.599998,45.09,45.540001,5439400,44.394727
2015-09-30,46.139999,47.049999,45.57,46.330002,5986900,45.16486
2015-10-01,46.490002,48.0,46.029999,47.93,5413300,46.724621
2015-10-02,46.919998,48.439999,46.700001,48.389999,4639200,47.173051
2015-10-05,48.950001,50.669998,48.720001,50.580002,4987200,49.307978
2015-10-06,50.470001,51.07,49.950001,50.040001,5707600,48.781557
2015-10-07,50.66,51.130001,48.93,50.290001,4950100,49.02527
2015-10-08,50.209999,51.310001,49.860001,51.080002,3570800,49.795404
2015-10-09,51.07,51.25,48.98,49.639999,4880600,48.391615
2015-10-12,49.880001,50.099998,49.34,49.77,2779000,48.518347
2015-10-13,49.560001,50.110001,48.619999,48.779999,3816400,47.553243
2015-10-14,48.82,49.200001,48.119999,48.59,3635900,47.368022
2015-10-15,48.82,50.16,48.529999,50.099998,4517500,48.840046
2015-10-16,50.630001,51.200001,50.080002,51.130001,4586500,49.844145
2015-10-19,50.66,50.869999,48.799999,49.060001,4341600,47.826204
2015-10-20,48.669998,48.860001,47.029999,47.34,5012300,46.149458
2015-10-21,47.52,47.889999,46.560001,46.779999,4863800,45.60354
2015-10-22,47.209999,48.049999,46.970001,47.650002,5531100,46.451664
2015-10-23,47.830002,48.970001,47.610001,48.59,3314200,47.368022
2015-10-26,48.599998,49.919998,48.5,48.720001,3702700,47.494754
2015-10-27,48.34,49.029999,48.02,48.98,5123100,47.748214
2015-10-28,49.02,50.110001,48.75,49.84,5051600,48.586586
2015-10-29,48.950001,51.380001,48.84,51.240002,4959700,49.95138
2015-10-30,51.41,52.77,50.299999,51.799999,5376700,50.497294
2015-11-02,51.77,53.369999,51.369999,52.919998,4317200,51.589126
2015-11-03,52.889999,55.369999,52.73,54.630001,6035300,53.256125
2015-11-04,54.639999,55.400002,54.139999,54.799999,4567700,53.421848
