Date,Open_TAP,High_TAP,Low_TAP,Close_TAP,Volume_TAP,AdjClose_TAP
2015-09-02,66.959999,67.169998,65.769997,66.800003,1347200,65.922313
2015-09-03,66.870003,67.93,66.720001,66.959999,1606300,66.080207
2015-09-04,66.459999,67.949997,66.059998,67.269997,1596200,66.386132
2015-09-08,68.25,69.410004,68.019997,69.290001,2054600,68.379595
2015-09-09,69.800003,69.910004,68.269997,68.440002,1461900,67.540765
2015-09-10,68.489998,69.75,68.050003,69.260002,1544900,68.34999
2015-09-11,68.970001,69.379997,68.279999,69.349998,1507400,68.438804
2015-09-14,69.349998,69.550003,68.849998,69.089996,1346900,68.182218
2015-09-15,69.419998,72.709999,68.830002,72.639999,3844100,71.685577
2015-09-16,80.699997,83.300003,80.300003,82.980003,20381700,81.889723
2015-09-17,82.800003,83.75,81.699997,82.599998,7079700,81.514711
2015-09-18,81.519997,84.519997,81.519997,84.379997,7130500,83.271323
2015-09-21,85.760002,85.790001,83.389999,83.669998,3932100,82.570652
2015-09-22,82.809998,83.410004,81.300003,82.889999,3324000,81.800902
2015-09-23,82.949997,83.459999,82.610001,82.790001,3151000,81.702217
2015-09-24,82.239998,82.650002,80.800003,81.110001,3224600,80.044291
2015-09-25,81.699997,82.830002,81.629997,82.300003,2112600,81.218658
2015-09-28,82.5,84.57,82.010002,82.389999,4958100,81.307471
2015-09-29,82.580002,83.349998,80.160004,82.0,5460000,80.922596
2015-09-30,83.040001,83.870003,81.790001,83.019997,2535200,81.929191
2015-10-01,83.019997,83.82,82.559998,83.239998,2271100,82.146302
2015-10-02,82.459999,83.860001,81.989998,83.839996,2256900,82.738417
2015-10-05,84.400002,85.050003,83.849998,84.260002,2669200,83.152904
2015-10-06,82.230003,82.839996,80.949997,80.989998,4301800,79.925865
2015-10-07,81.5,82.269997,79.459999,82.209999,4049200,81.129836
2015-10-08,81.980003,82.68,80.129997,82.0,3751700,80.922596
2015-10-09,81.919998,82.419998,81.370003,81.610001,3787600,80.537721
2015-10-12,82.5,82.870003,78.169998,78.75,5811500,77.715298
2015-10-13,86.739998,89.0,85.720001,86.580002,14511800,85.442421
2015-10-14,86.800003,86.980003,85.419998,86.0,3207800,84.87004
