Date,Open_EFX,High_EFX,Low_EFX,Close_EFX,Volume_EFX,AdjClose_EFX
2016-04-05,114.849998,115.540001,113.959999,114.57,621400,114.262317
2016-04-06,114.779999,115.5,113.93,115.449997,509500,115.139951
2016-04-07,114.449997,114.779999,113.169998,113.779999,438800,113.474437
2016-04-08,115.440002,115.589996,114.129997,115.019997,710200,114.711105
2016-04-11,115.339996,115.470001,113.650002,113.690002,464300,113.384683
2016-04-12,114.089996,114.089996,113.089996,113.480003,448000,113.175247
2016-04-13,114.279999,115.019997,113.5,114.949997,407300,114.641293
2016-04-14,115.18,117.220001,115.18,115.970001,627000,115.658558
2016-04-15,116.150002,116.5,115.449997,116.18,471400,115.867993
2016-04-18,115.800003,117.0,115.75,116.75,316200,116.436462
2016-04-19,116.980003,117.480003,116.050003,116.410004,487900,116.097379
2016-04-20,116.809998,117.68,116.400002,117.330002,455200,117.014907
2016-04-21,116.989998,117.07,115.82,115.910004,463300,115.598722
2016-04-22,115.300003,116.349998,114.989998,115.709999,370500,115.399254
2016-04-25,115.389999,116.419998,115.150002,116.309998,435200,115.997642
2016-04-26,116.760002,117.480003,116.5,117.18,450200,116.865308
2016-04-27,116.889999,118.75,116.860001,118.610001,821700,118.291468
2016-04-28,117.790001,122.550003,115.660004,120.32,2611100,119.996875
2016-04-29,120.059998,120.449997,118.839996,120.25,969900,119.927063
2016-05-02,120.349998,121.410004,119.68,121.220001,709000,120.894459
2016-05-03,120.43,120.720001,118.760002,120.089996,816800,119.767489
2016-05-04,119.089996,119.760002,118.339996,119.300003,598200,118.979617
2016-05-05,119.349998,120.220001,119.300003,120.040001,541900,119.717628
2016-05-06,119.080002,120.25,118.5,119.919998,655700,119.597947
2016-05-09,119.639999,121.279999,119.230003,120.970001,658900,120.645131
2016-05-10,121.93,124.650002,121.239998,124.589996,1123700,124.255404
2016-05-11,124.540001,124.75,122.139999,122.18,850500,121.85188
2016-05-12,122.809998,123.32,121.410004,122.650002,620100,122.320619
2016-05-13,122.660004,123.300003,121.860001,122.589996,664800,122.260775
2016-05-16,122.440002,124.080002,122.379997,123.690002,746500,123.357827
2016-05-17,123.400002,123.989998,122.32,122.940002,733000,122.609841
2016-05-18,122.75,123.559998,121.75,122.410004,672600,122.081266
2016-05-19,122.5,122.980003,121.330002,122.550003,502400,122.220889
2016-05-20,123.349998,123.669998,122.139999,122.879997,690600,122.549997
2016-05-23,122.629997,122.720001,121.919998,122.389999,391200,122.389999
2016-05-24,123.150002,125.269997,122.550003,125.160004,559300,125.160004
2016-05-25,125.540001,125.860001,124.669998,124.889999,601800,124.889999
2016-05-26,124.879997,125.330002,124.699997,125.07,561100,125.07
2016-05-27,125.129997,126.510002,124.889999,126.290001,493400,126.290001
2016-05-31,126.089996,126.25,124.970001,125.730003,740100,125.730003
2016-06-01,125.300003,125.730003,124.709999,125.489998,384400,125.489998
2016-06-02,125.449997,126.330002,124.989998,126.309998,450700,126.309998
2016-06-03,125.830002,125.879997,124.43,125.199997,434700,125.199997
