Date,Open_TJX,High_TJX,Low_TJX,Close_TJX,Volume_TJX,AdjClose_TJX
2015-07-31,69.839996,69.980003,69.510002,69.82,2866700,68.965004
2015-08-03,70.0,70.279999,69.019997,69.360001,2798700,68.510638
2015-08-04,69.32,69.830002,69.230003,69.559998,1664600,68.708186
2015-08-05,69.940002,70.589996,69.889999,70.18,1286800,69.320596
2015-08-06,70.080002,70.360001,68.940002,69.489998,2173500,68.639043
2015-08-07,69.57,69.690002,68.889999,69.629997,1745700,68.777328
2015-08-10,70.050003,70.519997,69.959999,70.169998,2026300,69.310716
2015-08-11,69.639999,70.199997,69.529999,69.970001,2009100,69.320628
2015-08-12,69.639999,70.32,68.599998,70.07,2879300,69.419698
2015-08-13,70.0,71.300003,69.610001,70.57,3481500,69.915058
2015-08-14,70.510002,70.709999,70.040001,70.599998,2436300,69.944778
2015-08-17,70.519997,71.839996,70.160004,71.610001,4446900,70.945407
2015-08-18,74.779999,76.93,74.75,76.779999,9652300,76.067423
2015-08-19,75.18,76.0,74.010002,74.870003,6850300,74.175154
2015-08-20,74.139999,75.260002,74.0,74.330002,3688300,73.640164
2015-08-21,73.510002,73.980003,71.470001,71.550003,5071700,70.885966
2015-08-24,67.580002,71.720001,67.25,69.43,6861900,68.785638
2015-08-25,71.199997,71.309998,68.790001,68.849998,5212800,68.211019
2015-08-26,70.339996,70.860001,68.400002,70.809998,5123400,70.152828
2015-08-27,71.300003,71.629997,70.029999,71.440002,3372800,70.776986
2015-08-28,71.07,71.699997,70.330002,70.720001,4482600,70.063667
2015-08-31,70.610001,71.029999,70.040001,70.32,2740700,69.667378
2015-09-01,69.050003,70.309998,69.0,69.389999,3488200,68.746009
2015-09-02,70.410004,70.860001,69.639999,70.839996,3047900,70.182549
2015-09-03,71.0,72.18,70.690002,71.440002,3027000,70.776986
2015-09-04,70.529999,71.18,70.290001,70.760002,2218500,70.103297
2015-09-08,71.900002,72.389999,70.949997,72.339996,2913900,71.668628
2015-09-09,72.57,72.889999,70.879997,71.059998,2303000,70.400508
2015-09-10,70.830002,71.93,70.809998,71.489998,2336100,70.826518
2015-09-11,71.18,71.839996,70.830002,71.800003,2293700,71.133646
2015-09-14,71.75,71.959999,71.019997,71.209999,2024100,70.549118
2015-09-15,71.260002,71.370003,70.529999,70.970001,3167300,70.311347
2015-09-16,70.919998,71.660004,70.32,71.57,2863500,70.905777
2015-09-17,72.400002,73.489998,72.059998,72.540001,4750500,71.866776
2015-09-18,71.860001,72.260002,71.110001,71.360001,4873000,70.697727
2015-09-21,71.699997,72.300003,71.459999,71.970001,2016400,71.302066
2015-09-22,71.300003,71.449997,70.550003,71.220001,3138300,70.559027
2015-09-23,71.150002,71.580002,70.870003,71.160004,1746100,70.499586
2015-09-24,70.400002,71.540001,70.370003,71.230003,2079900,70.568936
2015-09-25,71.800003,71.900002,70.449997,70.959999,2605100,70.301438
2015-09-28,70.580002,70.93,69.0,69.089996,2370800,68.44879
2015-09-29,69.0,69.610001,68.529999,69.480003,3621400,68.835177
2015-09-30,70.099998,71.540001,69.620003,71.419998,4657700,70.757168
2015-10-01,71.419998,71.629997,69.879997,70.800003,3203500,70.142927
2015-10-02,69.940002,71.379997,69.290001,71.379997,2930700,70.717538
2015-10-05,71.790001,71.989998,70.330002,71.529999,3776000,70.866147
2015-10-06,71.830002,72.050003,70.449997,70.769997,2352100,70.113199
2015-10-07,71.239998,72.0,70.839996,71.900002,3990200,71.232716
2015-10-08,71.589996,72.739998,71.349998,72.230003,2393500,71.559655
2015-10-09,72.050003,72.910004,71.589996,72.779999,2377900,72.104546
2015-10-12,73.0,73.940002,72.889999,73.580002,2442500,72.897125
2015-10-13,73.410004,73.800003,72.529999,72.739998,2228500,72.064917
2015-10-14,72.830002,73.449997,71.410004,71.769997,2945700,71.103918
2015-10-15,71.860001,71.980003,70.540001,71.730003,3589900,71.064296
2015-10-16,72.080002,72.900002,71.739998,72.43,2672400,71.757796
2015-10-19,72.419998,72.940002,72.190002,72.919998,2211200,72.243247
2015-10-20,72.919998,73.309998,72.699997,73.010002,2242300,72.332415
2015-10-21,73.339996,73.379997,72.190002,72.410004,1833800,71.737985
2015-10-22,72.870003,74.010002,72.379997,73.900002,2806600,73.214155
2015-10-23,74.610001,74.610001,71.080002,71.760002,3727400,71.094016
2015-10-26,71.660004,72.760002,71.449997,72.440002,2363500,71.767706
2015-10-27,72.300003,72.489998,71.150002,71.839996,2173900,71.173268
2015-10-28,72.040001,73.440002,71.839996,73.230003,2359000,72.550375
2015-10-29,73.379997,73.459999,72.43,73.080002,1921400,72.401765
2015-10-30,72.970001,73.93,72.870003,73.190002,2742600,72.510745
2015-11-02,73.32,73.580002,72.080002,73.220001,2596300,72.540465
2015-11-03,73.5,74.650002,73.32,74.230003,2659600,73.541094
2015-11-04,74.239998,74.449997,73.07,73.68,2200300,72.996195
2015-11-05,74.120003,74.489998,73.129997,74.32,2844400,73.630255
2015-11-06,74.330002,74.489998,72.470001,72.93,2547900,72.253156
2015-11-09,72.519997,72.610001,70.620003,71.07,3251500,70.613746
2015-11-10,71.029999,71.970001,70.690002,71.82,3170000,71.358931
2015-11-11,71.349998,71.360001,69.010002,69.080002,4433500,68.636524
2015-11-12,68.68,69.120003,68.169998,68.25,6131700,67.81185
2015-11-13,65.169998,65.699997,64.080002,64.209999,10261700,63.797785
2015-11-16,63.810001,65.669998,63.529999,65.650002,8485200,65.228543
2015-11-17,69.669998,69.900002,66.620003,68.18,10593600,67.7423
2015-11-18,68.410004,68.620003,67.309998,68.339996,5454400,67.901269
2015-11-19,67.75,68.650002,67.580002,67.699997,4037500,67.265378
2015-11-20,68.300003,70.269997,68.300003,70.150002,6323000,69.699654
2015-11-23,70.150002,70.989998,70.150002,70.589996,3625500,70.136824
2015-11-24,69.949997,71.239998,69.949997,70.529999,4101800,70.077212
2015-11-25,70.589996,72.0,70.279999,71.650002,3573100,71.190024
2015-11-27,71.779999,72.0,70.93,71.339996,1566400,70.882009
2015-11-30,71.629997,71.730003,70.32,70.599998,6682800,70.146762
2015-12-01,71.110001,71.730003,70.400002,70.779999,3622900,70.325607
