Date,Open_OMC,High_OMC,Low_OMC,Close_OMC,Volume_OMC,AdjClose_OMC
2015-12-24,76.199997,76.629997,75.800003,76.080002,900000,75.597018
2015-12-28,75.82,76.529999,75.720001,76.510002,1251700,76.024288
2015-12-29,76.949997,77.239998,76.519997,77.150002,1474900,76.660225
2015-12-30,77.089996,77.57,76.580002,76.629997,1632800,76.143522
2015-12-31,74.900002,76.470001,74.440002,75.660004,2015300,75.179686
2016-01-04,74.389999,74.440002,72.809998,73.57,2150700,73.10295
2016-01-05,74.040001,74.239998,73.169998,73.959999,1820400,73.490474
2016-01-06,73.18,73.440002,71.57,71.940002,2415200,71.483301
2016-01-07,70.419998,71.709999,69.970001,70.510002,1721700,70.062378
2016-01-08,71.160004,71.410004,69.709999,69.900002,1502600,69.45625
2016-01-11,70.230003,70.559998,68.849998,69.650002,1714600,69.207837
2016-01-12,70.290001,71.110001,70.07,70.800003,1556100,70.350538
2016-01-13,70.940002,71.239998,69.139999,69.25,1113500,68.810375
2016-01-14,69.559998,71.089996,69.010002,70.75,1364100,70.300853
2016-01-15,68.940002,70.040001,68.830002,69.669998,1472300,69.227707
2016-01-19,70.43,70.720001,68.690002,68.889999,1748700,68.45266
2016-01-20,68.010002,68.699997,66.480003,67.940002,2177300,67.508694
2016-01-21,68.260002,69.230003,67.089996,68.650002,1198700,68.214186
2016-01-22,69.699997,71.0,69.25,70.610001,1601200,70.161742
2016-01-25,70.25,70.730003,69.769997,69.879997,1353600,69.436373
2016-01-26,70.290001,72.07,70.230003,71.989998,1796300,71.532979
2016-01-27,71.860001,72.760002,71.010002,71.519997,2266800,71.065961
2016-01-28,71.839996,72.010002,70.620003,71.889999,1921300,71.433615
2016-01-29,72.25,73.470001,72.18,73.349998,2020300,72.884345
2016-02-01,72.910004,74.519997,72.650002,73.949997,1739600,73.480535
2016-02-02,73.080002,73.220001,72.209999,72.370003,1580300,71.910571
2016-02-03,72.860001,73.239998,71.779999,72.470001,1750200,72.009935
2016-02-04,72.510002,73.779999,72.07,72.650002,1960500,72.188792
2016-02-05,72.580002,72.760002,70.889999,71.209999,2649200,70.757932
2016-02-08,70.239998,70.410004,68.050003,69.720001,3711200,69.277393
2016-02-09,69.720001,72.830002,69.720001,71.620003,4780400,71.165332
2016-02-10,72.389999,74.769997,72.150002,73.470001,3863200,73.003586
2016-02-11,72.5,73.379997,71.25,71.889999,2923300,71.433615
2016-02-12,72.629997,73.410004,71.25,73.349998,1772700,72.884345
2016-02-16,74.050003,75.959999,73.150002,75.75,2114200,75.269111
2016-02-17,76.199997,76.529999,75.099998,75.459999,2073200,74.980951
2016-02-18,75.389999,76.519997,75.25,76.010002,2036300,75.527462
2016-02-19,75.989998,76.519997,75.400002,76.519997,1466200,76.034219
2016-02-22,76.519997,77.599998,76.300003,77.120003,1341600,76.630416
2016-02-23,77.040001,77.639999,76.720001,76.82,1350900,76.332318
2016-02-24,75.919998,77.019997,75.400002,76.900002,1911500,76.411812
2016-02-25,77.080002,77.849998,76.300003,77.709999,1997000,77.216667
2016-02-26,78.0,78.25,77.349998,77.610001,1226700,77.117303
2016-02-29,77.720001,78.690002,77.620003,77.809998,2051400,77.316031
2016-03-01,78.629997,79.230003,78.279999,79.0,1961100,78.498479
2016-03-02,78.709999,79.139999,77.980003,78.410004,2231300,77.912228
2016-03-03,78.529999,78.739998,77.239998,78.389999,4042000,77.892351
2016-03-04,78.470001,78.970001,77.889999,78.760002,2098900,78.260004
2016-03-07,77.839996,78.620003,77.470001,78.5,1446500,78.5
2016-03-08,77.93,78.389999,77.419998,77.860001,1322600,77.860001
2016-03-09,78.25,78.279999,77.150002,77.629997,1323200,77.629997
2016-03-10,78.019997,78.540001,77.150002,77.580002,1569300,77.580002
2016-03-11,78.279999,79.269997,78.230003,78.949997,1603600,78.949997
2016-03-14,78.57,79.190002,77.739998,78.970001,745300,78.970001
2016-03-15,78.32,79.190002,78.209999,78.889999,1222400,78.889999
2016-03-16,78.599998,79.839996,78.239998,79.690002,909000,79.690002
2016-03-17,79.839996,80.760002,79.75,80.459999,1587400,80.459999
2016-03-18,80.580002,81.339996,80.529999,80.980003,2219000,80.980003
2016-03-21,80.669998,81.739998,80.529999,81.480003,1356000,81.480003
2016-03-22,81.150002,81.919998,80.889999,81.339996,1180200,81.339996
2016-03-23,81.57,81.959999,80.989998,81.290001,1708500,81.290001
2016-03-24,80.970001,81.400002,80.629997,81.339996,1173500,81.339996
2016-03-28,81.379997,82.510002,81.230003,82.199997,1614600,82.199997
2016-03-29,82.199997,82.980003,81.93,82.800003,1156400,82.800003
2016-03-30,82.989998,83.860001,82.769997,83.32,1743100,83.32
2016-03-31,83.410004,84.230003,83.0,83.230003,1661700,83.230003
2016-04-01,82.290001,84.089996,82.190002,83.900002,2000900,83.900002
2016-04-04,83.849998,84.290001,83.459999,83.879997,1722500,83.879997
2016-04-05,83.760002,83.870003,83.150002,83.32,1297600,83.32
2016-04-06,83.470001,84.080002,83.32,84.0,1131400,84.0
2016-04-07,83.410004,83.660004,82.730003,82.910004,1339900,82.910004
2016-04-08,83.540001,83.660004,82.910004,83.150002,847400,83.150002
2016-04-11,83.519997,84.239998,83.25,83.330002,1170900,83.330002
2016-04-12,83.339996,84.480003,83.150002,84.339996,1159900,84.339996
2016-04-13,84.57,84.779999,83.629997,84.419998,2104700,84.419998
2016-04-14,83.779999,83.93,83.269997,83.739998,2367700,83.739998
2016-04-15,83.629997,84.379997,83.43,84.300003,1488400,84.300003
2016-04-18,83.849998,85.540001,83.720001,85.25,2292600,85.25
2016-04-19,84.419998,85.949997,84.07,84.739998,3028400,84.739998
2016-04-20,84.370003,84.370003,82.910004,83.410004,2270100,83.410004
2016-04-21,83.599998,84.360001,83.440002,84.019997,1948800,84.019997
2016-04-22,83.849998,85.0,83.489998,83.769997,1801300,83.769997
2016-04-25,83.5,83.730003,82.669998,83.519997,1822000,83.519997
2016-04-26,83.809998,84.269997,83.339996,83.889999,1569100,83.889999
2016-04-27,83.82,84.379997,83.18,84.129997,1053600,84.129997
2016-04-28,83.629997,83.959999,83.019997,83.18,1195500,83.18
2016-04-29,83.160004,83.190002,82.459999,82.970001,1643600,82.970001
2016-05-02,83.459999,83.800003,82.970001,83.610001,1097700,83.610001
2016-05-03,83.209999,83.589996,83.07,83.449997,1328900,83.449997
2016-05-04,82.959999,83.620003,82.809998,83.349998,1311600,83.349998
2016-05-05,83.300003,83.57,82.830002,83.260002,1441100,83.260002
2016-05-06,83.209999,84.199997,83.139999,83.959999,1318900,83.959999
2016-05-09,83.690002,84.459999,83.610001,83.669998,1037700,83.669998
2016-05-10,83.669998,84.610001,83.5,84.580002,1456700,84.580002
2016-05-11,84.019997,84.269997,83.540001,84.120003,2221400,84.120003
2016-05-12,84.360001,84.440002,83.720001,84.260002,1876000,84.260002
2016-05-13,84.029999,84.379997,83.339996,83.730003,1284500,83.730003
2016-05-16,83.57,84.629997,83.419998,84.260002,1074400,84.260002
2016-05-17,84.050003,84.5,83.089996,83.300003,1264800,83.300003
2016-05-18,83.260002,83.650002,82.730003,83.230003,1805900,83.230003
2016-05-19,82.900002,83.0,81.919998,82.410004,1868000,82.410004
2016-05-20,82.800003,83.309998,82.739998,82.790001,1600800,82.790001
2016-05-23,82.93,83.080002,82.129997,82.190002,1549000,82.190002
2016-05-24,82.489998,83.040001,82.25,82.879997,1641700,82.879997
2016-05-25,83.010002,83.209999,81.559998,82.059998,2143500,82.059998
2016-05-26,81.970001,82.57,81.809998,82.190002,2188400,82.190002
2016-05-27,82.419998,82.75,82.290001,82.639999,651200,82.639999
2016-05-31,82.769997,83.410004,82.400002,83.330002,1559500,83.330002
2016-06-01,83.139999,83.160004,82.599998,82.949997,1423700,82.949997
2016-06-02,82.970001,83.110001,82.519997,83.040001,1942500,83.040001
2016-06-03,82.699997,82.769997,81.160004,81.940002,2027700,81.940002
