Date,Open_HAL,High_HAL,Low_HAL,Close_HAL,Volume_HAL,AdjClose_HAL
2015-07-22,41.849998,42.889999,39.32,41.540001,47543000,40.76088
2015-07-23,42.189999,42.970001,41.689999,42.330002,16688700,41.536064
2015-07-24,42.419998,42.610001,41.240002,41.720001,11780200,40.937505
2015-07-27,40.919998,41.330002,40.240002,40.98,12239400,40.211382
2015-07-28,41.310001,42.0,40.25,41.919998,16038500,41.13375
2015-07-29,41.5,43.389999,41.5,43.290001,16896100,42.478057
2015-07-30,43.279999,43.709999,42.169998,42.290001,10686100,41.496813
2015-07-31,42.07,42.400002,41.689999,41.790001,8715400,41.006191
2015-08-03,41.299999,41.34,39.91,40.119999,19219500,39.367512
2015-08-04,40.349998,40.799999,39.369999,39.599998,14913000,38.857264
2015-08-05,40.040001,40.98,39.860001,40.610001,14681700,39.848323
2015-08-06,40.57,41.0,39.799999,40.849998,11875600,40.083819
2015-08-07,40.580002,41.080002,39.580002,39.759998,7808000,39.014263
2015-08-10,39.860001,41.700001,39.82,41.619999,10614100,40.839378
2015-08-11,40.57,42.0,40.439999,41.950001,12541500,41.16319
2015-08-12,41.830002,43.02,40.810001,42.709999,17473600,41.908934
2015-08-13,42.34,42.439999,41.59,41.759998,11117600,40.976751
2015-08-14,41.709999,42.639999,41.689999,41.990002,9011700,41.202441
2015-08-17,41.630001,41.869999,40.889999,41.290001,9184900,40.515569
2015-08-18,41.130001,41.73,40.810001,41.009998,9655800,40.240818
2015-08-19,40.369999,40.849998,39.029999,39.299999,15540700,38.562892
2015-08-20,39.130001,39.689999,37.66,37.700001,17242900,36.992903
2015-08-21,37.23,37.77,35.34,35.689999,28078600,35.0206
2015-08-24,33.0,35.700001,30.93,33.560001,24757800,32.930553
2015-08-25,35.290001,35.290001,33.470001,33.470001,14726600,32.842241
2015-08-26,34.18,35.240002,33.630001,34.43,19270000,33.784234
2015-08-27,35.68,38.16,35.470001,38.040001,21762400,37.326526
2015-08-28,37.57,39.150002,37.560001,38.59,14974800,37.866209
2015-08-31,37.779999,39.799999,37.360001,39.349998,14148100,38.7929
2015-09-01,38.099998,38.73,37.549999,37.950001,15096900,37.412722
2015-09-02,38.75,38.860001,37.279999,38.169998,11072100,37.629605
2015-09-03,38.459999,39.130001,37.560001,38.080002,15369000,37.540883
2015-09-04,37.389999,37.790001,36.759998,36.849998,10000500,36.328293
2015-09-08,37.299999,38.040001,36.889999,37.950001,14942700,37.412722
2015-09-09,38.330002,39.02,37.049999,37.150002,11131200,36.624049
2015-09-10,37.139999,37.889999,36.240002,37.580002,12533500,37.047962
2015-09-11,37.580002,37.580002,36.529999,37.200001,12276700,36.673341
2015-09-14,37.119999,37.360001,36.610001,36.880001,8653000,36.357871
2015-09-15,37.119999,37.299999,36.610001,37.009998,11837700,36.486028
2015-09-16,37.419998,39.099998,37.150002,38.650002,12643300,38.102813
2015-09-17,38.580002,39.52,38.130001,38.700001,12144700,38.152104
2015-09-18,37.91,38.040001,37.150002,37.380001,14347600,36.850792
2015-09-21,37.75,38.009998,37.189999,37.450001,11498500,36.919801
2015-09-22,36.720001,38.02,36.59,37.459999,11490900,36.929658
2015-09-23,37.689999,37.799999,37.099998,37.299999,7907000,36.771923
2015-09-24,36.93,37.439999,36.400002,37.0,12938200,36.476171
2015-09-25,37.32,37.380001,36.360001,36.700001,10576500,36.180419
2015-09-28,36.200001,36.23,34.720001,34.93,13185700,34.435478
2015-09-29,35.049999,35.689999,34.360001,34.68,12185100,34.189017
2015-09-30,35.009998,35.959999,34.610001,35.349998,13868900,34.84953
2015-10-01,35.869999,36.189999,34.450001,34.91,14620300,34.41576
2015-10-02,34.66,36.84,34.41,36.799999,13385500,36.279002
2015-10-05,37.200001,38.110001,36.950001,37.709999,13060600,37.176119
2015-10-06,38.009998,39.560001,37.639999,39.040001,13680100,38.487291
2015-10-07,39.720001,41.279999,39.240002,39.860001,16782100,39.295681
2015-10-08,39.48,40.540001,38.720001,40.41,11382000,39.837894
2015-10-09,40.580002,40.790001,39.32,39.650002,11644700,39.088655
2015-10-12,39.720001,39.810001,38.450001,38.869999,7424800,38.319696
2015-10-13,38.610001,39.459999,38.259998,38.470001,6576600,37.925361
2015-10-14,38.560001,38.919998,38.080002,38.720001,6361800,38.171822
2015-10-15,38.619999,39.279999,38.0,39.259998,8811400,38.704174
2015-10-16,39.029999,39.099998,37.119999,37.810001,18733700,37.274705
2015-10-19,37.310001,37.779999,36.830002,37.360001,12286800,36.831075
2015-10-20,37.400002,37.919998,37.189999,37.68,11762400,37.146544
2015-10-21,37.93,39.200001,37.400002,38.400002,13313300,37.856352
2015-10-22,38.919998,39.98,38.830002,39.709999,17261400,39.147803
2015-10-23,39.310001,40.0,38.900002,39.209999,16021100,38.654882
2015-10-26,39.060001,39.209999,38.439999,38.549999,9832900,38.004226
2015-10-27,37.77,38.599998,37.459999,37.48,11611700,36.949375
2015-10-28,37.790001,38.91,37.27,38.27,13206100,37.728192
2015-10-29,38.119999,38.689999,37.68,38.189999,8423400,37.649322
2015-10-30,38.330002,38.740002,37.700001,38.380001,9626200,37.836635
