Date,Open_PAYX,High_PAYX,Low_PAYX,Close_PAYX,Volume_PAYX,AdjClose_PAYX
2015-09-08,45.029999,45.599998,44.5,45.580002,1866600,44.44968
2015-09-09,45.939999,45.98,45.23,45.34,2292900,44.21563
2015-09-10,45.209999,45.790001,45.130001,45.299999,2434900,44.176621
2015-09-11,45.16,45.73,45.029999,45.709999,1567100,44.576454
2015-09-14,45.700001,45.720001,45.23,45.310001,1566900,44.186375
2015-09-15,45.48,46.16,45.279999,45.970001,1972000,44.830008
2015-09-16,45.880001,46.52,45.720001,46.279999,1627400,45.132318
2015-09-17,46.189999,47.049999,46.07,46.689999,3175000,45.532151
2015-09-18,46.139999,47.060001,46.029999,46.529999,4849700,45.376118
2015-09-21,46.700001,47.080002,46.43,46.650002,1969500,45.493145
2015-09-22,46.029999,46.389999,45.709999,46.029999,2027300,44.888518
2015-09-23,46.040001,46.610001,45.990002,46.389999,1501900,45.239591
2015-09-24,46.09,46.540001,45.779999,46.34,1994500,45.190832
2015-09-25,46.810001,47.09,46.400002,46.689999,2796900,45.532151
2015-09-28,46.68,46.790001,45.689999,45.759998,2615500,44.625213
2015-09-29,45.669998,46.07,45.549999,46.009998,2906300,44.869013
2015-09-30,46.599998,47.709999,46.23,47.630001,4411100,46.448842
2015-10-01,47.439999,48.189999,47.389999,48.139999,4031500,46.946193
2015-10-02,47.380001,47.849998,46.389999,47.77,6231500,46.58537
2015-10-05,48.389999,48.77,47.900002,48.68,3138700,47.472803
2015-10-06,48.900002,49.110001,48.400002,48.529999,3371100,47.326521
2015-10-07,48.880001,49.470001,48.779999,49.470001,2485200,48.243213
2015-10-08,49.380001,50.060001,49.290001,49.959999,2123200,48.721059
2015-10-09,50.049999,50.299999,49.950001,50.060001,3197900,48.818582
2015-10-12,50.139999,50.439999,49.919998,50.310001,1496200,49.062382
2015-10-13,50.110001,50.200001,49.630001,49.779999,2248700,48.545523
2015-10-14,49.900002,50.0,49.439999,49.540001,1479100,48.311477
2015-10-15,49.07,49.869999,49.07,49.869999,1799600,48.633291
2015-10-16,49.93,50.34,49.560001,50.23,1860100,48.984364
2015-10-19,50.240002,50.720001,50.009998,50.459999,1932300,49.20866
2015-10-20,50.259998,50.709999,50.009998,50.41,1600100,49.159901
2015-10-21,50.669998,50.939999,50.169998,50.310001,1833700,49.062382
2015-10-22,50.529999,51.790001,50.52,51.599998,3620900,50.320389
2015-10-23,51.919998,51.950001,51.41,51.790001,2424600,50.50568
2015-10-26,51.939999,52.209999,51.650002,52.150002,2247800,50.856753
2015-10-27,51.959999,52.150002,51.66,52.09,2272800,50.798239
2015-10-28,52.16,52.380001,51.599998,52.240002,2604600,50.944521
2015-10-29,51.57,51.810001,51.439999,51.759998,1551700,50.885532
