Date,Open_SWN,High_SWN,Low_SWN,Close_SWN,Volume_SWN,AdjClose_SWN
2015-08-24,15.1,16.299999,14.96,15.24,15014900,15.24
2015-08-25,15.89,16.0,14.77,14.78,16725600,14.78
2015-08-26,15.21,15.22,14.68,15.08,11019400,15.08
2015-08-27,15.27,15.74,14.97,15.53,16438500,15.53
2015-08-28,15.48,16.57,15.45,16.0,18302300,16.0
2015-08-31,15.68,16.52,15.14,16.24,15949600,16.24
2015-09-01,15.64,16.129999,15.51,15.73,14388700,15.73
2015-09-02,15.97,16.030001,15.1,15.67,11396900,15.67
2015-09-03,15.73,15.93,15.04,15.41,16973100,15.41
2015-09-04,15.14,15.47,14.95,15.36,9114100,15.36
2015-09-08,15.78,15.79,15.18,15.47,7825700,15.47
2015-09-09,15.57,15.99,14.91,14.94,9555000,14.94
2015-09-10,15.1,15.4,14.91,15.33,10938900,15.33
2015-09-11,15.15,15.41,14.98,15.41,9994900,15.41
2015-09-14,15.35,15.35,15.03,15.14,7800600,15.14
2015-09-15,15.19,15.64,15.16,15.4,15069200,15.4
2015-09-16,15.52,16.16,15.44,16.120001,9011300,16.120001
2015-09-17,16.1,16.209999,15.37,15.41,8842400,15.41
2015-09-18,15.11,15.19,14.29,14.49,15439700,14.49
2015-09-21,14.63,14.68,14.14,14.39,8537000,14.39
2015-09-22,14.2,14.44,13.98,14.17,8844200,14.17
2015-09-23,14.24,14.27,13.27,13.31,9688200,13.31
2015-09-24,13.18,13.5,12.79,13.27,14577100,13.27
2015-09-25,13.37,13.47,12.8,12.99,7921700,12.99
2015-09-28,12.81,12.95,12.08,12.11,9884900,12.11
2015-09-29,12.17,12.38,11.84,12.17,15584400,12.17
2015-09-30,12.34,12.71,12.19,12.69,9295000,12.69
2015-10-01,12.88,13.25,12.32,12.38,11020700,12.38
2015-10-02,12.1,12.82,12.1,12.81,13984500,12.81
2015-10-05,12.98,13.35,12.83,13.01,19158600,13.01
2015-10-06,13.03,13.45,12.82,13.17,19533900,13.17
2015-10-07,13.45,13.9,13.09,13.48,18748500,13.48
2015-10-08,13.43,13.69,13.02,13.59,12589900,13.59
2015-10-09,13.64,13.64,12.69,12.8,16706600,12.8
2015-10-12,12.82,12.82,11.86,12.03,14630800,12.03
2015-10-13,11.88,12.64,11.79,12.16,12282100,12.16
2015-10-14,12.19,12.55,12.1,12.55,11405000,12.55
2015-10-15,12.53,13.29,12.48,13.26,13757100,13.26
2015-10-16,13.27,13.3,12.7,13.14,11621900,13.14
2015-10-19,12.91,13.1,12.64,12.99,10626100,12.99
2015-10-20,12.96,13.48,12.87,13.09,10792400,13.09
2015-10-21,13.0,13.08,12.25,12.4,11870600,12.4
2015-10-22,12.43,12.54,11.48,11.67,17882500,11.67
2015-10-23,11.65,11.66,10.57,11.18,25464700,11.18
2015-10-26,11.08,11.08,10.63,10.76,15816500,10.76
2015-10-27,10.55,11.05,10.48,10.64,14082400,10.64
2015-10-28,10.65,11.11,10.54,10.76,13516600,10.76
2015-10-29,10.74,11.1,10.69,10.78,9053900,10.78
2015-10-30,10.92,11.18,10.25,11.04,13333100,11.04
2015-11-02,10.87,11.38,10.82,11.3,12683500,11.3
2015-11-03,11.35,11.57,11.13,11.31,11947200,11.31
2015-11-04,11.43,11.98,11.38,11.66,12545900,11.66
2015-11-05,11.44,12.71,11.44,12.28,13040900,12.28
2015-11-06,12.13,12.34,11.79,11.91,16527200,11.91
2015-11-09,11.92,12.21,11.46,11.8,11960600,11.8
2015-11-10,11.76,11.92,11.34,11.43,12947200,11.43
2015-11-11,11.35,11.4,10.34,10.64,16369700,10.64
2015-11-12,10.4,10.7,9.98,10.3,15302200,10.3
2015-11-13,10.25,11.12,10.09,11.02,14569900,11.02
2015-11-16,11.04,11.73,11.03,11.66,12968800,11.66
2015-11-17,11.04,11.49,10.8,10.93,16905500,10.93
2015-11-18,11.09,11.44,10.25,10.54,13712500,10.54
2015-11-19,10.41,10.49,9.75,9.78,16124600,9.78
2015-11-20,9.75,9.75,8.96,9.04,15908500,9.04
2015-11-23,9.0,9.08,8.7,9.02,17285500,9.02
2015-11-24,9.07,9.31,8.77,9.26,15306600,9.26
2015-11-25,9.12,9.46,8.96,9.42,8071100,9.42
2015-11-27,9.31,9.31,8.7,8.74,7322700,8.74
2015-11-30,8.79,9.4,8.7,9.01,21429600,9.01
2015-12-01,8.97,9.06,8.81,8.91,12322600,8.91
2015-12-02,8.8,9.14,8.61,8.85,18024800,8.85
2015-12-03,8.82,9.02,8.15,8.19,21275400,8.19
2015-12-04,8.05,8.06,7.63,7.74,20823600,7.74
2015-12-07,7.34,7.37,7.05,7.12,17806600,7.12
2015-12-08,6.86,7.02,6.68,6.98,26888700,6.98
2015-12-09,7.07,7.29,6.73,6.95,16863800,6.95
2015-12-10,6.83,7.09,6.59,6.86,13202300,6.86
2015-12-11,6.61,6.61,5.72,5.9,31365600,5.9
2015-12-14,5.81,5.85,5.28,5.33,34554000,5.33
2015-12-15,5.65,5.72,5.25,5.37,28801700,5.37
2015-12-16,5.4,5.44,5.05,5.3,27746900,5.3
2015-12-17,5.36,5.42,5.0,5.15,18968900,5.15
2015-12-18,5.16,5.67,5.1,5.54,38054000,5.54
2015-12-21,5.56,6.05,5.4,5.87,28770000,5.87
2015-12-22,5.83,5.97,5.6,5.88,20210100,5.88
2015-12-23,6.0,6.71,6.0,6.71,24220200,6.71
2015-12-24,6.71,6.83,6.54,6.71,8183300,6.71
2015-12-28,6.65,6.93,6.55,6.85,18968500,6.85
2015-12-29,7.02,7.19,6.57,6.76,22152100,6.76
2015-12-30,6.43,6.77,6.25,6.3,15341300,6.3
2015-12-31,6.42,7.15,6.35,7.11,15712000,7.11
2016-01-04,7.03,7.79,6.89,7.71,27000700,7.71
2016-01-05,7.65,7.84,7.44,7.65,24597900,7.65
2016-01-06,7.36,7.38,6.36,6.69,29362100,6.69
2016-01-07,6.47,6.85,6.29,6.85,21559200,6.85
2016-01-08,6.83,7.13,6.52,6.95,16778600,6.95
2016-01-11,6.54,6.63,6.33,6.54,19399900,6.54
2016-01-12,6.56,6.63,5.56,5.94,27775800,5.94
2016-01-13,6.01,6.47,5.9,6.46,23079600,6.46
2016-01-14,6.51,6.85,6.44,6.63,24389800,6.63
2016-01-15,6.3,6.75,6.12,6.7,19346200,6.7
2016-01-19,6.74,7.09,6.31,6.52,19670600,6.52
2016-01-20,6.06,7.52,5.9,7.38,22400500,7.38
2016-01-21,7.72,8.93,7.67,8.8,27220700,8.8
2016-01-22,9.18,9.29,8.38,8.77,25419200,8.77
2016-01-25,8.5,9.0,7.88,7.93,15711400,7.93
2016-01-26,8.18,8.68,7.77,8.6,10763900,8.6
2016-01-27,8.56,9.53,8.5,8.82,19767100,8.82
2016-01-28,9.48,9.62,8.4,8.54,14764900,8.54
2016-01-29,8.86,9.1,8.49,8.89,22369200,8.89
2016-02-01,8.49,8.72,7.96,8.5,14338000,8.5
2016-02-02,8.11,8.46,7.75,8.17,18915100,8.17
2016-02-03,8.28,8.99,7.83,8.97,17150700,8.97
2016-02-04,8.86,9.23,8.42,8.84,17255200,8.84
2016-02-05,8.85,9.65,8.52,9.34,21816000,9.34
2016-02-08,9.2,9.9,8.92,9.34,29676500,9.34
2016-02-09,9.17,9.39,7.95,8.37,17534800,8.37
2016-02-10,8.59,8.72,8.12,8.58,10489800,8.58
2016-02-11,8.35,8.41,7.72,8.15,18732400,8.15
2016-02-12,8.21,9.0,7.88,8.93,13860200,8.93
2016-02-16,8.81,8.91,7.94,8.0,18350300,8.0
2016-02-17,8.26,9.09,7.94,8.88,20257100,8.88
2016-02-18,9.1,9.16,8.3,8.49,20469400,8.49
2016-02-19,8.36,8.36,6.96,7.09,33581300,7.09
2016-02-22,7.3,7.4,7.12,7.26,11548400,7.26
2016-02-23,7.05,7.1,6.57,6.63,16055200,6.63
2016-02-24,6.39,6.89,6.12,6.83,23918200,6.83
2016-02-25,6.54,7.1,6.41,6.77,16887200,6.77
2016-02-26,5.8,6.49,5.3,6.38,57129000,6.38
2016-02-29,6.22,6.24,5.64,5.78,25892900,5.78
2016-03-01,5.91,5.94,5.41,5.62,21577800,5.62
2016-03-02,5.59,6.22,5.49,6.21,34039700,6.21
2016-03-03,5.99,7.64,5.98,7.34,43356800,7.34
2016-03-04,7.56,8.79,7.28,7.83,46740500,7.83
2016-03-07,7.97,9.09,7.94,8.59,38104000,8.59
2016-03-08,8.36,8.4,7.03,7.33,27366400,7.33
2016-03-09,7.66,7.82,7.07,7.13,22188300,7.13
2016-03-10,7.01,7.49,6.62,7.26,22467300,7.26
2016-03-11,7.37,8.34,7.28,8.0,19291100,8.0
2016-03-14,7.64,7.76,7.2,7.46,14776200,7.46
2016-03-15,7.38,7.83,6.97,7.23,16136700,7.23
2016-03-16,7.32,7.92,7.08,7.9,15053500,7.9
2016-03-17,8.18,8.22,7.75,8.1,19232700,8.1
2016-03-18,8.2,8.24,7.67,7.93,28378200,7.93
2016-03-21,7.94,8.05,7.69,7.86,11378000,7.86
2016-03-22,7.76,8.19,7.73,8.08,12578100,8.08
2016-03-23,8.08,8.08,7.27,7.35,9852100,7.35
2016-03-24,7.12,7.56,7.02,7.38,10000200,7.38
2016-03-28,7.4,7.61,7.07,7.5,8496300,7.5
2016-03-29,7.26,8.1,7.11,8.0,18360500,8.0
2016-03-30,8.04,8.14,7.65,7.7,13038600,7.7
2016-03-31,7.76,8.32,7.65,8.07,13003300,8.07
2016-04-01,7.9,8.09,7.66,7.81,15687600,7.81
2016-04-04,7.96,8.94,7.88,8.51,23400900,8.51
2016-04-05,8.36,8.38,7.78,7.81,17849700,7.81
2016-04-06,7.91,7.99,7.55,7.68,15880300,7.68
2016-04-07,7.72,8.08,7.56,8.01,19175000,8.01
2016-04-08,8.28,8.7,8.16,8.68,13829800,8.68
2016-04-11,8.6,9.19,8.57,9.13,15714400,9.13
2016-04-12,9.27,10.76,9.1,10.54,27391100,10.54
2016-04-13,10.38,10.77,10.03,10.48,18946200,10.48
2016-04-14,10.47,10.78,10.32,10.75,13647000,10.75
2016-04-15,10.25,10.75,10.06,10.49,16056300,10.49
2016-04-18,9.98,10.71,9.89,10.47,14673900,10.47
2016-04-19,10.57,11.13,10.36,10.63,19341600,10.63
2016-04-20,10.65,11.09,10.61,10.8,18430200,10.8
2016-04-21,10.93,11.15,10.44,10.67,21607300,10.67
2016-04-22,11.27,12.56,11.1,12.27,35771300,12.27
2016-04-25,12.13,12.31,11.39,12.1,23064600,12.1
2016-04-26,12.15,13.11,11.88,12.96,19615600,12.96
2016-04-27,13.2,13.87,13.03,13.66,25497900,13.66
2016-04-28,13.65,14.03,12.75,12.78,23805700,12.78
2016-04-29,13.09,13.57,12.54,13.43,21190700,13.43
2016-05-02,13.16,13.25,12.46,12.8,20241800,12.8
2016-05-03,12.59,12.72,11.75,11.92,19469900,11.92
2016-05-04,12.09,12.2,11.33,11.71,16620000,11.71
2016-05-05,12.18,12.45,11.86,12.16,11720500,12.16
2016-05-06,11.94,12.68,11.69,11.79,13801200,11.79
2016-05-09,11.7,11.73,11.11,11.53,9887500,11.53
2016-05-10,11.63,12.41,11.61,12.36,10008700,12.36
2016-05-11,12.3,12.62,11.9,12.23,11581100,12.23
2016-05-12,12.55,12.68,11.7,11.86,11559400,11.86
2016-05-13,11.75,12.04,11.25,11.26,13353500,11.26
2016-05-16,11.49,11.84,11.22,11.46,16425000,11.46
2016-05-17,11.6,12.39,11.26,12.26,14273700,12.26
2016-05-18,12.09,12.55,11.75,11.84,12046800,11.84
2016-05-19,11.69,12.26,11.38,12.05,19634000,12.05
2016-05-20,12.1,12.2,11.44,11.65,14887900,11.65
2016-05-23,11.56,12.19,11.42,11.99,9411300,11.99
2016-05-24,12.06,12.4,11.58,12.29,11808400,12.29
2016-05-25,12.29,13.28,12.29,13.13,15074200,13.13
2016-05-26,13.37,13.79,12.94,13.13,14746200,13.13
2016-05-27,13.05,13.25,12.83,13.06,7914900,13.06
2016-05-31,13.37,14.16,13.31,13.67,14930500,13.67
2016-06-01,13.6,14.06,13.45,14.06,16656200,14.06
2016-06-02,13.86,14.58,13.69,14.42,14357000,14.42
2016-06-03,14.52,14.88,14.28,14.6,17505000,14.6
