Date,Open_CVX,High_CVX,Low_CVX,Close_CVX,Volume_CVX,AdjClose_CVX
2015-11-20,90.639999,91.309998,88.809998,89.010002,8561400,86.975738
2015-11-23,88.650002,90.440002,88.110001,90.010002,6889600,87.952884
2015-11-24,90.190002,92.300003,89.800003,91.349998,8549000,89.262256
2015-11-25,90.709999,91.32,90.160004,90.870003,5419300,88.79323
2015-11-27,90.25,90.839996,90.050003,90.370003,2547800,88.304657
2015-11-30,90.639999,91.959999,90.440002,91.32,12179400,89.232942
2015-12-01,90.970001,92.650002,90.970001,92.480003,6975500,90.366435
2015-12-02,92.599998,92.690002,90.029999,90.25,11830700,88.187397
2015-12-03,90.809998,91.419998,88.360001,88.849998,10996800,86.819391
2015-12-04,87.900002,89.82,86.489998,89.709999,13170200,87.659737
2015-12-07,87.480003,87.940002,84.900002,87.279999,15378900,85.285273
2015-12-08,85.809998,88.0,84.25,86.440002,13397500,84.464474
2015-12-09,86.669998,90.139999,86.300003,87.599998,14675800,85.597959
2015-12-10,88.0,90.459999,87.610001,89.300003,14534800,87.259111
2015-12-11,87.849998,87.910004,86.089996,86.440002,13186900,84.464474
2015-12-14,86.300003,89.589996,85.410004,89.330002,12430700,87.288425
2015-12-15,90.580002,93.400002,90.550003,92.760002,19086400,90.640035
2015-12-16,92.580002,93.82,90.809998,93.440002,16917900,91.304494
2015-12-17,93.5,94.0,90.400002,90.540001,14082500,88.47077
2015-12-18,90.059998,91.269997,89.300003,89.809998,20167200,87.75745
2015-12-21,90.400002,90.699997,88.209999,89.239998,12852300,87.200478
2015-12-22,89.120003,90.790001,88.300003,90.269997,9661700,88.206937
2015-12-23,92.199997,93.849998,91.57,93.809998,11172800,91.666033
2015-12-24,93.949997,93.949997,92.010002,92.050003,4998700,89.946262
2015-12-28,90.309998,90.720001,89.690002,90.360001,6800000,88.294884
2015-12-29,91.889999,92.580002,91.07,91.25,6471200,89.164543
2015-12-30,90.099998,90.980003,89.889999,90.089996,5600200,88.03105
2015-12-31,89.379997,90.860001,89.019997,89.959999,6988700,87.904024
2016-01-04,89.529999,90.110001,87.57,88.849998,11397300,86.819391
2016-01-05,89.050003,89.650002,87.839996,89.610001,7883400,87.562024
2016-01-06,87.440002,87.779999,85.160004,86.07,14511400,84.102928
2016-01-07,84.550003,85.75,82.669998,83.019997,15368800,81.12263
2016-01-08,83.389999,83.839996,81.220001,82.129997,11891600,80.252971
2016-01-11,82.849998,82.970001,79.769997,80.769997,14366400,78.924053
2016-01-12,82.199997,82.400002,79.690002,82.150002,13477500,80.272518
2016-01-13,83.160004,84.25,80.010002,81.330002,15550100,79.471259
2016-01-14,81.949997,86.169998,80.949997,85.470001,16433400,83.516642
2016-01-15,81.639999,83.809998,80.870003,83.669998,17870300,81.757777
2016-01-19,84.169998,84.75,80.790001,81.510002,13155600,79.647146
2016-01-20,79.980003,80.309998,75.330002,78.980003,26151100,77.174968
2016-01-21,78.800003,81.650002,78.019997,81.050003,16107800,79.19766
2016-01-22,84.459999,85.190002,81.720001,83.540001,15724600,81.63075
2016-01-25,82.290001,84.290001,80.800003,80.889999,12370300,79.041313
2016-01-26,81.970001,84.5,81.349998,84.120003,12191400,82.197497
2016-01-27,83.949997,86.099998,82.360001,83.290001,12380600,81.386464
2016-01-28,85.75,86.690002,83.699997,85.919998,13017400,83.956354
2016-01-29,84.050003,86.709999,82.949997,86.470001,20248900,84.493787
2016-02-01,85.150002,86.089996,84.239998,85.290001,10958300,83.340755
2016-02-02,82.709999,83.040001,80.959999,81.239998,13326200,79.383312
2016-02-03,82.389999,84.629997,79.849998,84.620003,13964100,82.686069
2016-02-04,84.589996,86.190002,83.830002,84.790001,12825000,82.852182
2016-02-05,83.940002,84.290001,82.260002,82.879997,15090100,80.985831
2016-02-08,81.760002,86.699997,81.099998,85.989998,17712800,84.024754
2016-02-09,85.080002,85.790001,82.169998,82.919998,12605600,81.024917
2016-02-10,82.769997,83.900002,81.5,83.040001,12110300,81.142177
2016-02-11,81.599998,83.660004,80.639999,82.989998,12741400,81.093317
2016-02-12,83.800003,85.580002,83.199997,85.43,9835100,83.477555
2016-02-16,85.230003,85.389999,83.309998,84.809998,10631500,83.922848
2016-02-17,85.410004,88.660004,85.019997,88.309998,12710500,87.386236
2016-02-18,88.75,89.25,86.610001,86.730003,9517800,85.82277
2016-02-19,86.330002,86.540001,84.800003,86.5,9783300,85.595172
2016-02-22,86.5,89.839996,86.5,88.82,10299900,87.890904
2016-02-23,88.389999,88.480003,84.699997,84.910004,10655800,84.021808
2016-02-24,83.330002,85.489998,82.900002,85.269997,9775200,84.378035
2016-02-25,85.669998,85.709999,83.739998,85.300003,9452600,84.407728
