Date,Open_STX,High_STX,Low_STX,Close_STX,Volume_STX,AdjClose_STX
2015-08-10,49.889999,51.200001,49.580002,51.139999,2976800,47.802713
2015-08-11,50.759998,51.119999,50.279999,51.009998,3671700,47.681196
2015-08-12,50.580002,51.68,49.77,51.619999,4263500,48.251389
2015-08-13,51.349998,51.740002,51.099998,51.369999,3723600,48.017703
2015-08-14,51.139999,52.349998,51.119999,52.02,3813000,48.625287
2015-08-17,51.389999,52.59,51.169998,52.450001,3767000,49.027227
2015-08-18,52.119999,52.560001,51.330002,52.049999,4400000,48.653328
2015-08-19,51.639999,51.84,49.400002,49.43,6785500,46.204305
2015-08-20,48.77,49.57,48.290001,48.650002,6015400,45.475207
2015-08-21,48.209999,50.450001,48.07,48.720001,7832800,45.540639
2015-08-24,45.709999,48.630001,45.630001,47.619999,7211400,44.51242
2015-08-25,48.84,49.310001,46.27,46.330002,6053300,43.306606
2015-08-26,47.580002,48.41,46.119999,47.889999,4102500,44.764801
2015-08-27,48.709999,50.389999,48.5,50.040001,3585200,46.774498
2015-08-28,50.169998,51.259998,49.939999,50.68,3680000,47.372733
2015-08-31,50.48,51.549999,50.049999,51.400002,3734400,48.045748
2015-09-01,50.240002,52.119999,50.139999,50.599998,5924800,47.297951
2015-09-02,50.709999,51.470001,48.889999,49.77,7750100,46.522117
2015-09-03,49.560001,50.59,48.75,49.490002,4644000,46.260391
2015-09-04,48.950001,49.799999,47.950001,48.209999,3508700,45.063918
2015-09-08,49.009998,49.669998,48.619999,49.610001,3284800,46.372559
2015-09-09,50.220001,50.91,49.57,50.099998,4068300,46.83058
2015-09-10,49.09,50.07,48.209999,49.220001,4473900,46.00801
2015-09-11,48.75,49.34,48.52,48.939999,4339400,45.74628
2015-09-14,48.919998,48.990002,48.110001,48.330002,3049700,45.17609
2015-09-15,48.470001,48.73,48.009998,48.610001,3272600,45.437817
2015-09-16,48.759998,49.52,48.490002,49.150002,2668000,45.942578
2015-09-17,48.669998,48.790001,47.66,47.759998,3745200,44.643284
2015-09-18,47.259998,47.490002,45.220001,45.650002,10100400,42.670981
2015-09-21,45.75,46.57,45.52,46.200001,3183200,43.185088
2015-09-22,45.43,45.669998,43.5,43.790001,4132000,40.93236
2015-09-23,44.07,44.400002,42.959999,43.549999,3589300,40.70802
2015-09-24,43.080002,44.450001,42.540001,44.099998,3904300,41.222128
2015-09-25,44.23,44.400002,42.43,42.889999,3802700,40.09109
2015-09-28,42.75,42.75,41.689999,42.07,4796000,39.324602
2015-09-29,42.09,43.200001,41.59,41.779999,5109300,39.053526
2015-09-30,44.509998,45.98,43.400002,44.799999,9312400,41.876448
2015-10-01,44.810001,44.849998,42.369999,42.860001,6315600,40.063049
2015-10-02,42.32,43.220001,42.009998,43.18,4368400,40.362166
2015-10-05,43.68,45.57,43.459999,44.84,4959200,41.913838
2015-10-06,44.790001,46.529999,44.66,46.200001,4135200,43.185088
2015-10-07,46.84,47.93,46.299999,47.290001,3561300,44.203957
2015-10-08,47.419998,48.580002,47.240002,48.330002,2963200,45.17609
2015-10-09,48.41,49.5,48.189999,49.029999,5099200,45.830407
2015-10-12,49.290001,49.290001,48.169998,49.02,2097500,45.821061
2015-10-13,48.950001,49.43,48.560001,48.619999,2808000,45.447162
2015-10-14,48.419998,49.259998,47.540001,47.799999,4271400,44.680674
2015-10-15,42.279999,44.16,40.52,41.439999,21466700,38.735714
2015-10-16,41.27,41.360001,38.639999,39.560001,13936000,36.978401
2015-10-19,39.200001,39.630001,38.43,38.75,6879500,36.221258
2015-10-20,38.540001,38.939999,37.73,38.52,9698700,36.006268
2015-10-21,38.09,39.5,36.799999,37.130001,6846000,34.706977
2015-10-22,37.59,39.459999,37.419998,39.240002,8104900,36.679284
2015-10-23,39.599998,41.830002,39.27,41.150002,6726600,38.464641
2015-10-26,41.029999,41.43,39.029999,39.549999,5303100,36.969051
2015-10-27,39.27,39.630001,38.919998,39.200001,2525900,36.641893
2015-10-28,39.360001,39.549999,38.52,39.34,4387600,36.772756
2015-10-29,39.259998,39.259998,37.77,38.060001,6953900,35.576288
2015-10-30,39.130001,39.700001,37.139999,38.060001,6977100,35.576288
2015-11-02,37.759998,39.150002,37.299999,38.880001,4854400,36.342776
2015-11-03,38.880001,40.91,38.759998,40.369999,5302400,37.73554
2015-11-04,39.59,40.009998,38.490002,38.810001,4586200,36.85245
2015-11-05,38.740002,39.299999,38.43,38.869999,2826700,36.909421
2015-11-06,38.810001,39.07,38.200001,38.810001,2808900,36.85245
2015-11-09,38.830002,38.98,37.990002,38.279999,2891200,36.34918
2015-11-10,37.830002,38.25,36.25,36.540001,4946500,34.696947
2015-11-11,36.759998,36.82,35.02,36.119999,6369100,34.298129
2015-11-12,35.790001,36.029999,34.07,34.080002,8054800,32.361028
2015-11-13,33.98,34.080002,32.380001,33.07,7420900,31.40197
2015-11-16,33.07,34.52,33.07,34.299999,4095400,32.569929
2015-11-17,34.330002,34.740002,33.740002,33.880001,3164400,32.171116
2015-11-18,33.830002,34.66,33.830002,34.380001,2829600,32.645896
2015-11-19,34.91,35.189999,34.080002,34.279999,3392700,32.550938
2015-11-20,34.5,34.84,33.939999,34.41,3102800,32.674382
2015-11-23,34.52,35.200001,34.380001,34.700001,4500400,32.949755
2015-11-24,34.439999,34.52,33.860001,34.27,3089200,32.541444
2015-11-25,34.099998,34.849998,33.73,34.57,2394600,32.826311
2015-11-27,34.509998,34.799999,34.25,34.619999,911900,32.873788
2015-11-30,35.459999,35.970001,34.709999,35.939999,6184200,34.127208
2015-12-01,36.150002,36.619999,35.669998,36.509998,4034700,34.668457
2015-12-02,36.189999,36.360001,34.360001,34.540001,5145500,32.797825
2015-12-03,34.759998,34.91,33.470001,33.77,4558000,32.066663
2015-12-04,33.709999,34.650002,33.400002,34.450001,4357700,32.712365
2015-12-07,34.450001,35.23,34.049999,35.099998,3640700,33.329577
2015-12-08,34.790001,35.57,34.43,35.43,3799400,33.642934
2015-12-09,35.169998,36.48,35.049999,35.720001,3649600,33.918307
2015-12-10,35.740002,36.5,35.5,36.220001,4904600,34.393088
2015-12-11,35.630001,36.560001,34.41,35.98,5420100,34.165191
2015-12-14,36.040001,36.169998,33.400002,33.669998,4997700,31.971705
2015-12-15,33.91,35.02,33.75,34.25,4131400,32.522452
2015-12-16,34.59,34.990002,34.07,34.779999,3919800,33.025718
2015-12-17,34.919998,35.0,33.450001,33.919998,4021800,32.209095
2015-12-18,33.700001,34.689999,33.509998,34.099998,6627300,32.380016
2015-12-21,34.290001,34.98,34.150002,34.700001,2476200,32.949755
2015-12-22,34.57,35.59,34.150002,35.450001,2926900,33.661925
2015-12-23,35.650002,37.25,35.459999,36.619999,3804700,34.77291
2015-12-24,36.48,37.259998,36.470001,36.650002,1818500,34.801399
2015-12-28,36.720001,37.18,36.259998,36.740002,2366000,34.88686
2015-12-29,37.040001,37.439999,36.779999,37.150002,3351000,35.276179
2015-12-30,37.0,37.939999,37.0,37.18,2704000,35.304665
2015-12-31,37.009998,37.349998,36.599998,36.66,2391700,34.810893
2016-01-04,36.029999,36.43,35.110001,36.27,4653200,34.440565
2016-01-05,36.5,36.880001,35.919998,36.330002,3092700,34.49754
2016-01-06,35.650002,35.919998,34.330002,34.75,4120900,32.997232
2016-01-07,34.049999,34.810001,33.759998,34.540001,5974800,32.797825
2016-01-08,34.380001,34.529999,32.16,32.540001,9802300,30.898704
2016-01-11,33.119999,33.119999,30.65,31.35,7834300,29.768726
2016-01-12,31.719999,31.940001,30.42,31.57,6090000,29.977629
2016-01-13,31.59,32.450001,30.950001,31.07,4734000,29.502849
2016-01-14,31.190001,32.43,30.450001,32.110001,5229900,30.490393
2016-01-15,30.48,31.24,29.91,30.889999,8660100,29.331928
2016-01-19,31.459999,31.73,29.389999,29.83,5466900,28.325394
2016-01-20,29.190001,29.5,27.75,29.219999,6750500,27.746161
2016-01-21,29.450001,29.469999,27.41,27.559999,10447100,26.169891
2016-01-22,28.24,28.51,27.030001,27.93,8349800,26.521229
2016-01-25,27.610001,27.690001,26.35,26.4,6461800,25.068401
2016-01-26,26.5,28.139999,26.5,27.74,5956800,26.340812
2016-01-27,27.4,27.92,26.73,26.969999,4982500,25.60965
2016-01-28,27.17,27.27,26.25,26.76,8695500,25.410243
2016-01-29,29.02,30.15,28.049999,29.049999,12431000,27.584736
2016-02-01,29.059999,30.93,28.6,30.41,7997400,28.876139
2016-02-02,29.709999,30.790001,28.27,28.610001,6713400,27.166931
2016-02-03,30.18,31.33,29.77,30.52,9232900,28.980591
2016-02-04,30.57,33.619999,30.559999,32.189999,11677300,30.566356
2016-02-05,31.34,31.91,30.5,31.59,7819000,30.595413
2016-02-08,30.91,31.290001,29.690001,30.360001,4843100,29.404139
2016-02-09,29.969999,30.209999,28.950001,29.41,5722000,28.484048
2016-02-10,29.73,30.76,29.66,30.190001,5512100,29.239491
2016-02-11,29.48,29.799999,28.639999,29.030001,5989400,28.116013
2016-02-12,29.51,29.93,28.51,29.879999,4263000,28.93925
2016-02-16,30.18,31.530001,29.85,31.33,4966400,30.343598
2016-02-17,31.51,32.400002,31.42,31.969999,5097300,30.963448
2016-02-18,31.83,33.650002,31.540001,33.110001,5550200,32.067557
2016-02-19,32.439999,32.73,31.02,31.34,4411600,30.353284
2016-02-22,31.98,32.540001,31.57,32.23,4554500,31.215262
2016-02-23,32.040001,32.060001,30.66,30.74,4239100,29.772174
2016-02-24,30.370001,31.25,29.23,31.08,4672600,30.10147
2016-02-25,31.01,31.01,29.799999,30.92,3040400,29.946507
2016-02-26,31.32,32.130001,31.110001,31.690001,3485600,30.692265
2016-02-29,31.639999,31.99,31.25,31.360001,3555800,30.372655
2016-03-01,31.799999,33.860001,31.65,33.23,6653800,32.183778
2016-03-02,33.279999,34.18,32.82,33.93,4881000,32.86174
2016-03-03,33.740002,35.07,33.689999,34.75,4239200,33.655922
2016-03-04,34.919998,35.66,34.419998,34.529999,5198400,33.442848
2016-03-07,34.23,36.23,33.77,35.48,5139400,34.362938
2016-03-08,35.240002,35.389999,34.130001,34.240002,5744100,33.161981
2016-03-09,34.360001,35.119999,33.900002,34.209999,4585900,33.132923
2016-03-10,34.330002,35.23,33.970001,34.950001,4281500,33.849626
2016-03-11,35.66,36.18,35.25,36.169998,3333100,35.031213
2016-03-14,35.700001,35.990002,34.450001,35.360001,6751600,34.246718
2016-03-15,35.349998,35.5,33.91,34.619999,3614500,33.530014
2016-03-16,34.27,34.950001,33.799999,34.490002,4212700,33.40411
2016-03-17,34.68,35.549999,34.450001,34.93,4231600,33.830256
2016-03-18,35.169998,36.990002,34.959999,36.57,11672900,35.418621
2016-03-21,36.360001,36.950001,36.060001,36.540001,2886800,35.389567
2016-03-22,36.310001,37.450001,36.099998,37.040001,4086200,35.873824
2016-03-23,36.720001,36.799999,34.75,34.799999,4559800,33.704347
2016-03-24,34.59,34.700001,32.400002,33.23,8570000,32.183778
2016-03-28,33.66,33.990002,33.25,33.540001,3924600,32.484019
2016-03-29,33.209999,33.93,32.48,33.799999,3537100,32.735832
2016-03-30,34.029999,34.57,33.549999,34.169998,3719900,33.094182
