Date,Open_MSFT,High_MSFT,Low_MSFT,Close_MSFT,Volume_MSFT,AdjClose_MSFT
2015-07-31,47.290001,47.369999,46.5,46.700001,31201500,45.437127
2015-08-03,46.98,47.0,46.450001,46.810001,24125900,45.544153
2015-08-04,46.75,47.709999,46.68,47.540001,33403900,46.254411
2015-08-05,47.98,48.41,47.540001,47.580002,26959700,46.293331
2015-08-06,47.709999,47.77,46.330002,46.619999,27368000,45.359288
2015-08-07,46.389999,46.779999,46.259998,46.740002,19163000,45.476046
2015-08-10,46.950001,47.490002,46.84,47.330002,23079900,46.050091
2015-08-11,46.82,46.939999,45.900002,46.41,29237400,45.154968
2015-08-12,46.189999,46.900002,45.709999,46.740002,30181400,45.476046
2015-08-13,47.060001,47.099998,46.490002,46.73,22627200,45.466314
2015-08-14,46.529999,47.099998,46.52,47.0,21473400,45.729013
2015-08-17,46.810001,47.450001,46.57,47.32,21099700,46.04036
2015-08-18,46.84,47.43,46.700001,47.27,23574100,46.294998
2015-08-19,46.779999,47.080002,46.299999,46.610001,31485500,45.648611
2015-08-20,46.07,46.470001,45.66,45.66,36238200,44.718205
2015-08-21,45.299999,45.48,43.07,43.07,70053100,42.181627
2015-08-24,40.450001,42.689999,39.720001,41.68,88753700,40.820298
2015-08-25,42.57,43.240002,40.389999,40.470001,70616600,39.635257
2015-08-26,42.009998,42.84,41.060001,42.709999,63408000,41.829052
2015-08-27,43.23,43.950001,42.93,43.900002,50943200,42.994509
2015-08-28,43.400002,44.150002,43.389999,43.93,28246700,43.023889
2015-08-31,43.560001,43.93,43.099998,43.52,34441700,42.622346
2015-09-01,42.169998,42.59,41.66,41.82,49688900,40.95741
2015-09-02,42.360001,43.380001,41.880001,43.360001,37671500,42.465647
2015-09-03,43.41,43.98,43.279999,43.5,28285200,42.602758
2015-09-04,42.810001,43.040001,42.200001,42.610001,37138800,41.731116
2015-09-08,43.299999,44.0,43.200001,43.889999,32469800,42.984713
2015-09-09,44.209999,44.400002,42.91,43.07,33469500,42.181627
2015-09-10,43.119999,43.790001,42.75,43.290001,31366600,42.397091
2015-09-11,43.139999,43.59,42.939999,43.48,27132500,42.58317
2015-09-14,43.43,43.439999,42.860001,43.040001,23656000,42.152247
2015-09-15,43.189999,44.290001,43.080002,43.98,28882200,43.072857
2015-09-16,43.970001,44.380001,43.84,44.299999,23372200,43.386257
2015-09-17,44.290001,45.0,44.080002,44.25,32768200,43.337289
2015-09-18,43.5,43.990002,43.330002,43.48,63143700,42.58317
2015-09-21,43.619999,44.470001,43.599998,44.110001,26177200,43.200177
2015-09-22,43.380001,44.049999,43.310001,43.900002,28085900,42.994509
2015-09-23,43.93,44.169998,43.509998,43.869999,17145200,42.965126
2015-09-24,43.450001,44.130001,43.27,43.91,27905600,43.004301
2015-09-25,44.48,44.73,43.759998,43.939999,29384600,43.033681
2015-09-28,43.830002,44.09,43.209999,43.290001,27613800,42.397091
2015-09-29,43.369999,43.57,43.049999,43.439999,32763600,42.543994
2015-09-30,43.880001,44.299999,43.66,44.259998,34958900,43.347081
2015-10-01,44.75,44.75,43.75,44.610001,28657900,43.689864
2015-10-02,44.27,45.57,43.919998,45.57,41839000,44.630062
2015-10-05,45.75,46.889999,45.700001,46.630001,34369300,45.668199
2015-10-06,46.330002,47.18,46.220001,46.75,27510800,45.785723
2015-10-07,47.099998,47.349998,45.950001,46.799999,27711500,45.834691
2015-10-08,46.560001,47.52,46.5,47.450001,33772700,46.471285
2015-10-09,47.450001,47.540001,46.919998,47.110001,28600600,46.138298
2015-10-12,46.98,47.07,46.5,47.0,19769100,46.030566
2015-10-13,46.560001,47.130001,46.560001,46.889999,19987800,45.922835
2015-10-14,46.650002,47.099998,46.529999,46.68,24697800,45.717167
2015-10-15,47.009998,47.029999,46.529999,47.009998,27189400,46.040358
2015-10-16,47.02,47.540001,46.900002,47.509998,25779300,46.530045
2015-10-19,47.419998,47.880001,47.02,47.619999,29387600,46.637777
2015-10-20,47.439999,47.810001,47.02,47.77,30802200,46.784685
2015-10-21,47.919998,47.990002,47.110001,47.200001,25144300,46.226442
2015-10-22,47.529999,48.950001,47.09,48.029999,56637100,47.03932
2015-10-23,52.299999,54.07,52.25,52.869999,135227100,51.779489
2015-10-26,52.529999,54.32,52.5,54.25,64633300,53.131026
2015-10-27,53.990002,54.369999,53.580002,53.689999,50999900,52.582575
2015-10-28,53.540001,53.98,52.860001,53.98,47000800,52.866595
2015-10-29,53.540001,53.830002,53.220001,53.360001,30202100,52.259384
2015-10-30,53.32,53.990002,52.619999,52.639999,46619800,51.554234
2015-11-02,52.849998,53.360001,52.619999,53.240002,30285000,52.14186
2015-11-03,52.93,54.389999,52.900002,54.150002,36596900,53.03309
2015-11-04,54.18,54.880001,54.060001,54.400002,37087800,53.277934
2015-11-05,54.490002,54.700001,54.0,54.380001,31468500,53.258346
2015-11-06,54.09,54.98,53.959999,54.919998,32851200,53.787205
2015-11-09,54.549999,54.869999,53.560001,54.16,32513100,53.042882
2015-11-10,54.07,54.130001,53.27,53.509998,55283700,52.406288
2015-11-11,53.700001,54.200001,53.459999,53.650002,36516300,52.543403
2015-11-12,53.48,53.98,53.189999,53.32,35361100,52.220208
2015-11-13,53.07,53.290001,52.529999,52.84,36848200,51.750109
2015-11-16,53.080002,53.889999,52.849998,53.77,32165200,52.660927
2015-11-17,53.169998,53.529999,52.849998,52.970001,31551300,52.227098
2015-11-18,53.0,53.98,52.98,53.849998,29710000,53.094754
2015-11-19,53.990002,54.66,53.779999,53.939999,28149200,53.183492
2015-11-20,54.25,54.299999,53.27,54.189999,37147600,53.429985
2015-11-23,54.25,54.459999,53.75,54.189999,28235900,53.429985
2015-11-24,53.919998,54.439999,53.580002,54.25,24600000,53.489145
2015-11-25,54.09,54.23,53.689999,53.689999,21005100,52.936998
2015-11-27,53.799999,54.080002,53.790001,53.93,9009100,53.173634
2015-11-30,54.540001,54.959999,54.0,54.349998,56241400,53.587741
2015-12-01,54.41,55.23,54.299999,55.220001,39952800,54.445542
2015-12-02,55.32,55.959999,55.060001,55.209999,47274900,54.43568
2015-12-03,55.490002,55.77,53.93,54.200001,38627800,53.439847
2015-12-04,54.119999,56.23,54.099998,55.91,43963700,55.125864
2015-12-07,55.790001,55.970001,55.290001,55.810001,30709800,55.027268
2015-12-08,55.470001,56.099998,54.990002,55.790001,32878000,55.007548
2015-12-09,55.369999,55.869999,54.509998,54.98,36373200,54.208907
2015-12-10,55.389999,55.66,55.009998,55.27,31775800,54.49484
2015-12-11,54.709999,55.099998,54.009998,54.060001,39549500,53.301811
2015-12-14,54.330002,55.209999,53.68,55.139999,46768900,54.366662
2015-12-15,55.66,55.900002,55.09,55.200001,39459000,54.425822
2015-12-16,55.540001,56.25,54.759998,56.130001,37503300,55.342779
2015-12-17,56.360001,56.790001,55.529999,55.700001,41280900,54.91881
2015-12-18,55.77,56.0,54.029999,54.130001,84684200,53.370829
2015-12-21,54.880001,55.349998,54.23,54.830002,37246300,54.061013
2015-12-22,54.990002,55.48,54.5,55.349998,28322200,54.573716
2015-12-23,55.700001,55.880001,55.439999,55.82,27279800,55.037126
2015-12-24,55.860001,55.959999,55.43,55.669998,9570000,54.889228
2015-12-28,55.349998,55.950001,54.98,55.950001,22458300,55.165304
2015-12-29,56.290001,56.849998,56.060001,56.549999,27731400,55.756887
2015-12-30,56.470001,56.779999,56.290001,56.310001,21704500,55.520255
2015-12-31,56.040001,56.189999,55.419998,55.48,27334100,54.701894
2016-01-04,54.32,54.799999,53.389999,54.799999,53778000,54.031431
2016-01-05,54.93,55.389999,54.540001,55.049999,34079700,54.277924
2016-01-06,54.32,54.400002,53.639999,54.049999,39518900,53.291949
2016-01-07,52.700001,53.490002,52.07,52.169998,56564900,51.438315
2016-01-08,52.369999,53.279999,52.150002,52.330002,48754000,51.596075
2016-01-11,52.509998,52.849998,51.459999,52.299999,36943800,51.566493
2016-01-12,52.759998,53.099998,52.060001,52.779999,36095500,52.039761
2016-01-13,53.799999,54.07,51.299999,51.639999,66883600,50.91575
2016-01-14,52.0,53.419998,51.57,53.110001,52381900,52.365134
2016-01-15,51.310001,51.970001,50.34,50.990002,71820700,50.274868
2016-01-19,51.48,51.68,50.060001,50.560001,43564500,49.850899
2016-01-20,49.98,51.380001,49.099998,50.790001,63273000,50.077673
2016-01-21,51.0,51.580002,50.299999,50.48,40191200,49.772019
2016-01-22,51.41,52.330002,51.259998,52.290001,37555800,51.556635
2016-01-25,51.939999,52.650002,51.650002,51.790001,34707700,51.063648
2016-01-26,51.790001,52.439999,51.549999,52.169998,28900800,51.438315
2016-01-27,52.009998,52.200001,51.02,51.220001,36775200,50.501642
2016-01-28,51.860001,52.209999,51.25,52.060001,62513800,51.329861
2016-01-29,54.73,55.09,54.0,55.09,83611700,54.317364
2016-02-01,54.880001,55.09,54.5,54.709999,44208500,53.942693
2016-02-02,54.169998,54.259998,52.650002,53.0,56313800,52.256676
2016-02-03,53.25,53.389999,51.259998,52.16,57559800,51.428457
2016-02-04,52.099998,52.810001,51.369999,52.0,46987100,51.270701
2016-02-05,51.939999,52.0,49.560001,50.16,62009000,49.456507
2016-02-08,49.549999,49.57,48.189999,49.41,59290500,48.717026
2016-02-09,49.02,50.240002,48.669998,49.279999,46740500,48.588848
2016-02-10,49.889999,50.389999,49.52,49.709999,38237000,49.012818
2016-02-11,48.68,50.110001,48.509998,49.689999,48878600,48.993098
2016-02-12,50.25,50.68,49.75,50.5,34243300,49.791739
2016-02-16,50.900002,51.09,50.130001,51.09,37291200,50.73514
2016-02-17,51.490002,52.77,51.450001,52.419998,40789000,52.0559
2016-02-18,52.330002,52.950001,52.099998,52.189999,27176000,51.827498
2016-02-19,51.970001,52.279999,51.529999,51.82,33559100,51.460069
2016-02-22,52.279999,53.0,52.279999,52.650002,25008300,52.284306
2016-02-23,52.34,52.369999,50.98,51.18,28895300,50.824515
2016-02-24,50.689999,51.5,50.200001,51.360001,33014500,51.003265
2016-02-25,51.73,52.099998,50.610001,52.099998,26939500,51.738123
2016-02-26,52.599998,52.68,51.099998,51.299999,35975900,50.94368
2016-02-29,51.349998,51.650002,50.66,50.880001,31654000,50.526599
2016-03-01,50.970001,52.59,50.919998,52.580002,33024500,52.214792
2016-03-02,52.41,52.959999,52.16,52.950001,29289900,52.582221
2016-03-03,52.970001,52.970001,51.779999,52.349998,24427800,51.986386
2016-03-04,52.400002,52.450001,51.709999,52.029999,33034200,51.668609
2016-03-07,51.560001,51.799999,50.580002,51.029999,38407800,50.675555
2016-03-08,50.799999,52.130001,50.599998,51.650002,33835100,51.291252
2016-03-09,51.889999,52.849998,51.860001,52.84,28251600,52.472985
2016-03-10,52.93,52.939999,51.16,52.049999,38387800,51.688471
2016-03-11,53.0,53.07,52.380001,53.07,32275700,52.701387
2016-03-14,52.709999,53.59,52.630001,53.169998,24083600,52.800691
2016-03-15,52.75,53.59,52.740002,53.59,21104800,53.217775
2016-03-16,53.450001,54.599998,53.400002,54.349998,31691700,53.972495
2016-03-17,54.209999,55.0,54.0,54.66,28223900,54.280343
2016-03-18,54.919998,54.970001,53.450001,53.490002,67625500,53.118471
2016-03-21,53.25,53.93,52.93,53.860001,23925700,53.4859
2016-03-22,53.610001,54.25,53.459999,54.07,23124100,53.694441
2016-03-23,54.110001,54.240002,53.740002,53.970001,20129000,53.595137
2016-03-24,53.84,54.330002,53.73,54.209999,19950000,53.833468
2016-03-28,54.209999,54.290001,53.330002,53.540001,17025100,53.168123
2016-03-29,53.66,54.860001,53.450001,54.709999,23924300,54.329995
2016-03-30,54.93,55.639999,54.900002,55.049999,23008300,54.667634
2016-03-31,54.950001,55.59,54.860001,55.23,26360500,54.846384
2016-04-01,55.049999,55.610001,54.57,55.57,24399200,55.184022
2016-04-04,55.43,55.66,55.0,55.43,18928800,55.044995
2016-04-05,55.189999,55.299999,54.459999,54.560001,19272300,54.181039
2016-04-06,54.360001,55.200001,54.209999,55.119999,21188700,54.737147
2016-04-07,54.869999,54.91,54.23,54.459999,19225100,54.081731
2016-04-08,54.669998,55.279999,54.32,54.419998,22167200,54.042008
2016-04-11,54.490002,55.150002,54.299999,54.310001,21414200,53.932776
2016-04-12,54.369999,54.779999,53.759998,54.650002,24944300,54.270414
2016-04-13,55.119999,55.439999,54.889999,55.349998,20818000,54.965549
2016-04-14,55.220001,55.580002,55.07,55.360001,20877100,54.975482
2016-04-15,55.299999,55.919998,55.110001,55.650002,28793800,55.263468
2016-04-18,55.490002,56.59,55.209999,56.459999,23786000,56.06784
2016-04-19,56.630001,56.77,55.68,56.389999,29596800,55.998326
2016-04-20,56.290001,56.5,55.490002,55.59,36195700,55.203884
2016-04-21,55.799999,56.23,55.419998,55.779999,38909100,55.392563
2016-04-22,51.91,52.43,50.77,51.779999,126834100,51.420346
2016-04-25,51.779999,52.130001,51.630001,52.110001,33226900,51.748056
2016-04-26,52.259998,52.349998,51.09,51.439999,33532600,51.082707
2016-04-27,51.48,51.5,50.549999,50.939999,43369300,50.58618
2016-04-28,50.619999,50.77,49.560001,49.900002,43134800,49.553407
2016-04-29,49.349998,50.25,49.349998,49.869999,48411700,49.523612
2016-05-02,50.0,50.75,49.779999,50.610001,33114500,50.258474
2016-05-03,50.34,50.41,49.599998,49.779999,26460200,49.434237
2016-05-04,49.84,50.060001,49.459999,49.869999,24257600,49.523612
2016-05-05,49.869999,50.299999,49.73,49.939999,25390700,49.593126
2016-05-06,49.919998,50.389999,49.66,50.389999,24787300,50.040001
2016-05-09,50.490002,50.59,50.0,50.07,17951600,49.722224
2016-05-10,50.330002,51.099998,50.189999,51.02,22891000,50.665626
2016-05-11,51.130001,51.779999,51.0,51.049999,24039100,50.695417
2016-05-12,51.200001,51.810001,50.919998,51.509998,24102800,51.152221
2016-05-13,51.439999,51.900002,51.040001,51.080002,22592300,50.725211
2016-05-16,50.799999,51.959999,50.75,51.830002,20032000,51.470002
2016-05-17,51.720001,51.73,50.360001,50.509998,27803500,50.509998
2016-05-18,50.48,51.139999,50.299999,50.810001,24907500,50.810001
2016-05-19,50.470001,50.619999,49.82,50.32,23842400,50.32
2016-05-20,50.48,51.220001,50.400002,50.619999,23692400,50.619999
2016-05-23,50.599998,50.68,49.98,50.029999,25999700,50.029999
2016-05-24,50.700001,51.709999,50.400002,51.59,34621600,51.59
2016-05-25,51.919998,52.490002,51.790001,52.119999,24040200,52.119999
2016-05-26,51.93,51.98,51.360001,51.889999,24182900,51.889999
2016-05-27,51.919998,52.32,51.77,52.32,17653700,52.32
2016-05-31,52.259998,53.0,52.080002,53.0,37137700,53.0
2016-06-01,52.439999,52.950001,52.439999,52.849998,24772900,52.849998
2016-06-02,52.639999,52.740002,51.84,52.48,22565300,52.48
2016-06-03,52.380001,52.419998,51.599998,51.790001,23081300,51.790001
